Date,GREENPLY
2016-01-01,986.35
2016-01-04,985.2
2016-01-05,985.25
2016-01-06,200.7
2016-01-07,194.45
2016-01-08,200.3
2016-01-11,198.05
2016-01-12,195.4
2016-01-13,188.9
2016-01-14,176.0
2016-01-15,173.8
2016-01-18,167.15
2016-01-19,177.1
2016-01-20,174.05
2016-01-21,175.45
2016-01-22,171.25
2016-01-25,173.3
2016-01-27,177.45
2016-01-28,174.2
2016-01-29,176.6
2016-02-01,183.6
2016-02-02,184.4
2016-02-03,181.55
2016-02-04,185.3
2016-02-05,183.9
2016-02-08,184.9
2016-02-09,185.25
2016-02-10,184.2
2016-02-11,177.95
2016-02-12,175.1
2016-02-15,183.95
2016-02-16,179.95
2016-02-17,175.55
2016-02-18,171.95
2016-02-19,169.7
2016-02-22,174.65
2016-02-23,174.35
2016-02-24,173.1
2016-02-25,174.0
2016-02-26,170.3
2016-02-29,163.3
2016-03-01,171.35
2016-03-02,183.5
2016-03-03,180.85
2016-03-04,182.65
2016-03-08,179.75
2016-03-09,179.5
2016-03-10,186.25
2016-03-11,187.7
2016-03-14,188.9
2016-03-15,183.15
2016-03-16,180.3
2016-03-17,179.55
2016-03-18,177.0
2016-03-21,176.25
2016-03-22,180.25
2016-03-23,178.8
2016-03-28,174.7
2016-03-29,174.95
2016-03-30,175.05
2016-03-31,174.9
2016-04-01,174.65
2016-04-04,177.25
2016-04-05,179.55
2016-04-06,178.1
2016-04-07,180.35
2016-04-08,186.75
2016-04-11,184.7
2016-04-12,182.95
2016-04-13,189.95
2016-04-18,193.4
2016-04-20,197.5
2016-04-21,196.9
2016-04-22,200.15
2016-04-25,205.25
2016-04-26,210.7
2016-04-27,213.0
2016-04-28,209.25
2016-04-29,209.75
2016-05-02,205.95
2016-05-03,214.5
2016-05-04,213.35
2016-05-05,209.3
2016-05-06,209.9
2016-05-09,209.65
2016-05-10,215.8
2016-05-11,219.45
2016-05-12,221.5
2016-05-13,214.15
2016-05-16,210.25
2016-05-17,209.35
2016-05-18,207.45
2016-05-19,203.5
2016-05-20,197.0
2016-05-23,201.25
2016-05-24,197.95
2016-05-25,213.3
2016-05-26,212.05
2016-05-27,215.05
2016-05-30,211.45
2016-05-31,213.25
2016-06-01,214.3
2016-06-02,216.45
2016-06-03,219.75
2016-06-06,220.2
2016-06-07,220.05
2016-06-08,226.65
2016-06-09,229.95
2016-06-10,232.9
2016-06-13,237.1
2016-06-14,237.0
2016-06-15,248.6
2016-06-16,253.05
2016-06-17,246.6
2016-06-20,248.5
2016-06-21,249.75
2016-06-22,240.35
2016-06-23,237.45
2016-06-24,241.95
2016-06-27,250.25
2016-06-28,250.8
2016-06-29,255.45
2016-06-30,252.2
2016-07-01,242.4
2016-07-04,240.85
2016-07-05,247.95
2016-07-07,252.85
2016-07-08,249.9
2016-07-11,253.4
2016-07-12,246.0
2016-07-13,252.95
2016-07-14,257.75
2016-07-15,275.1
2016-07-18,269.3
2016-07-19,264.35
2016-07-20,266.55
2016-07-21,263.25
2016-07-22,267.7
2016-07-25,266.9
2016-07-26,252.95
2016-07-27,255.25
2016-07-28,258.9
2016-07-29,257.3
2016-08-01,256.9
2016-08-02,256.7
2016-08-03,252.1
2016-08-04,248.5
2016-08-05,253.35
2016-08-08,266.4
2016-08-09,263.7
2016-08-10,265.5
2016-08-11,264.1
2016-08-12,265.4
2016-08-16,263.55
2016-08-17,265.6
2016-08-18,268.25
2016-08-19,270.95
2016-08-22,269.2
2016-08-23,265.6
2016-08-24,264.0
2016-08-25,268.4
2016-08-26,269.4
2016-08-29,270.45
2016-08-30,272.05
2016-08-31,270.55
2016-09-01,271.35
2016-09-02,270.95
2016-09-06,270.35
2016-09-07,278.5
2016-09-08,273.75
2016-09-09,278.65
2016-09-12,268.4
2016-09-14,266.35
2016-09-15,268.95
2016-09-16,270.8
2016-09-19,267.25
2016-09-20,270.25
2016-09-21,269.1
2016-09-22,272.8
2016-09-23,270.0
2016-09-26,272.85
2016-09-27,270.55
2016-09-28,271.75
2016-09-29,264.85
2016-09-30,267.65
2016-10-03,272.0
2016-10-04,272.3
2016-10-05,274.6
2016-10-06,270.3
2016-10-07,278.25
2016-10-10,271.95
2016-10-13,267.0
2016-10-14,271.1
2016-10-17,268.15
2016-10-18,269.7
2016-10-19,273.15
2016-10-20,275.5
2016-10-21,276.45
2016-10-24,283.95
2016-10-25,283.1
2016-10-26,287.15
2016-10-27,288.85
2016-10-28,290.05
2016-10-30,291.9
2016-11-01,302.25
2016-11-02,297.6
2016-11-03,291.15
2016-11-04,289.75
2016-11-07,292.95
2016-11-08,285.25
2016-11-09,276.1
2016-11-10,275.45
2016-11-11,270.4
2016-11-15,267.0
2016-11-16,257.85
2016-11-17,274.9
2016-11-18,273.55
2016-11-21,257.4
2016-11-22,259.8
2016-11-23,251.9
2016-11-24,247.5
2016-11-25,256.05
2016-11-28,264.1
2016-11-29,258.6
2016-11-30,261.5
2016-12-01,260.65
2016-12-02,259.0
2016-12-05,259.8
2016-12-06,256.35
2016-12-07,263.85
2016-12-08,259.5
2016-12-09,259.65
2016-12-12,256.85
2016-12-13,262.8
2016-12-14,260.1
2016-12-15,260.15
2016-12-16,258.4
2016-12-19,254.25
2016-12-20,252.5
2016-12-21,249.25
2016-12-22,246.75
2016-12-23,247.5
2016-12-26,241.0
2016-12-27,242.15
2016-12-28,245.05
2016-12-29,245.1
2016-12-30,258.45
