Date,ACC
2016-01-01,1373.65
2016-01-04,1344.0
2016-01-05,1341.3
2016-01-06,1320.35
2016-01-07,1300.5
2016-01-08,1295.8
2016-01-11,1297.55
2016-01-12,1280.4
2016-01-13,1281.95
2016-01-14,1269.05
2016-01-15,1229.6
2016-01-18,1224.25
2016-01-19,1235.3
2016-01-20,1212.25
2016-01-21,1228.45
2016-01-22,1241.0
2016-01-25,1245.0
2016-01-27,1230.35
2016-01-28,1214.95
2016-01-29,1240.05
2016-02-01,1271.85
2016-02-02,1261.35
2016-02-03,1248.95
2016-02-04,1270.4
2016-02-05,1271.4
2016-02-08,1280.6
2016-02-09,1279.1
2016-02-10,1265.85
2016-02-11,1234.0
2016-02-12,1221.05
2016-02-15,1256.55
2016-02-16,1227.8
2016-02-17,1226.05
2016-02-18,1262.35
2016-02-19,1278.0
2016-02-22,1281.5
2016-02-23,1243.9
2016-02-24,1233.15
2016-02-25,1199.85
2016-02-26,1190.9
2016-02-29,1193.9
2016-03-01,1232.9
2016-03-02,1243.25
2016-03-03,1254.15
2016-03-04,1239.35
2016-03-08,1241.15
2016-03-09,1243.75
2016-03-10,1230.35
2016-03-11,1226.75
2016-03-14,1235.8
2016-03-15,1240.1
2016-03-16,1236.15
2016-03-17,1273.7
2016-03-18,1337.2
2016-03-21,1374.35
2016-03-22,1365.5
2016-03-23,1372.65
2016-03-28,1377.55
2016-03-29,1366.05
2016-03-30,1385.7
2016-03-31,1381.9
2016-04-01,1413.8
2016-04-04,1412.1
2016-04-05,1390.75
2016-04-06,1427.7
2016-04-07,1417.55
2016-04-08,1441.85
2016-04-11,1447.15
2016-04-12,1448.7
2016-04-13,1469.95
2016-04-18,1464.15
2016-04-20,1467.65
2016-04-21,1433.3
2016-04-22,1414.15
2016-04-25,1422.9
2016-04-26,1426.9
2016-04-27,1429.55
2016-04-28,1437.85
2016-04-29,1443.15
2016-05-02,1420.55
2016-05-03,1420.15
2016-05-04,1403.7
2016-05-05,1394.85
2016-05-06,1425.45
2016-05-09,1439.75
2016-05-10,1463.35
2016-05-11,1467.25
2016-05-12,1462.4
2016-05-13,1457.1
2016-05-16,1458.2
2016-05-17,1449.4
2016-05-18,1434.05
2016-05-19,1409.85
2016-05-20,1393.45
2016-05-23,1418.0
2016-05-24,1446.15
2016-05-25,1475.05
2016-05-26,1504.05
2016-05-27,1522.95
2016-05-30,1537.15
2016-05-31,1529.05
2016-06-01,1552.4
2016-06-02,1546.3
2016-06-03,1540.0
2016-06-06,1534.7
2016-06-07,1540.45
2016-06-08,1546.75
