Date,SATIN
2016-01-01,394.1
2016-01-04,413.1
2016-01-05,396.45
2016-01-06,378.85
2016-01-07,367.7
2016-01-08,391.65
2016-01-11,385.7
2016-01-12,384.6
2016-01-13,372.8
2016-01-14,372.4
2016-01-15,365.7
2016-01-18,340.65
2016-01-19,352.5
2016-01-20,335.25
2016-01-21,351.45
2016-01-22,359.4
2016-01-25,359.6
2016-01-27,355.55
2016-01-28,373.25
2016-01-29,390.05
2016-02-01,391.05
2016-02-02,389.1
2016-02-03,376.15
2016-02-04,371.25
2016-02-05,379.3
2016-02-08,387.95
2016-02-09,380.6
2016-02-10,377.4
2016-02-11,346.5
2016-02-12,329.4
2016-02-15,345.25
2016-02-16,326.0
2016-02-17,324.35
2016-02-18,333.6
2016-02-19,330.4
2016-02-22,332.35
2016-02-23,317.05
2016-02-24,309.45
2016-02-25,296.1
2016-02-26,267.75
2016-02-29,279.45
2016-03-01,311.95
2016-03-02,312.85
2016-03-03,319.9
2016-03-04,323.6
2016-03-08,314.95
2016-03-09,310.6
2016-03-10,308.4
2016-03-11,307.75
2016-03-14,305.85
2016-03-15,303.4
2016-03-16,302.95
2016-03-17,303.7
2016-03-18,302.7
2016-03-21,296.4
2016-03-22,298.7
2016-03-23,299.35
2016-03-28,292.3
2016-03-29,290.05
2016-03-30,310.25
2016-03-31,327.15
2016-04-01,325.75
2016-04-04,315.2
2016-04-05,315.7
2016-04-06,307.0
2016-04-07,304.9
2016-04-08,305.15
2016-04-11,308.5
2016-04-12,310.95
2016-04-13,326.15
2016-04-18,332.8
2016-04-20,339.3
2016-04-21,322.5
2016-04-22,312.6
2016-04-25,313.15
2016-04-26,322.2
2016-04-27,320.95
2016-04-28,316.3
2016-04-29,319.3
2016-05-02,314.85
2016-05-03,309.6
2016-05-04,307.65
2016-05-05,315.35
2016-05-06,315.85
2016-05-09,317.0
2016-05-10,313.65
2016-05-11,314.75
2016-05-12,312.05
2016-05-13,304.9
2016-05-16,308.45
2016-05-17,310.7
2016-05-18,306.95
2016-05-19,306.45
2016-05-20,303.55
2016-05-23,311.5
2016-05-24,320.0
2016-05-25,342.5
2016-05-26,336.1
2016-05-27,339.1
2016-05-30,350.0
2016-05-31,369.2
2016-06-01,374.0
2016-06-02,360.95
2016-06-03,368.2
2016-06-06,386.75
2016-06-07,392.75
2016-06-08,401.2
2016-06-09,375.75
2016-06-10,418.55
2016-06-13,433.35
2016-06-14,422.5
2016-06-15,456.9
2016-06-16,438.0
2016-06-17,432.55
2016-06-20,429.85
2016-06-21,435.7
2016-06-22,441.45
2016-06-23,439.55
2016-06-24,436.4
2016-06-27,492.1
2016-06-28,510.7
2016-06-29,515.75
2016-06-30,499.5
2016-07-01,483.9
2016-07-04,475.95
2016-07-05,505.3
2016-07-07,504.15
2016-07-08,499.2
2016-07-11,502.1
2016-07-12,495.4
2016-07-13,477.2
2016-07-14,479.75
2016-07-15,478.5
2016-07-18,477.2
2016-07-19,480.65
2016-07-20,499.4
2016-07-21,483.8
2016-07-22,524.4
2016-07-25,595.1
2016-07-26,599.0
2016-07-27,690.2
2016-07-28,637.75
2016-07-29,606.5
2016-08-01,620.95
2016-08-02,591.2
2016-08-03,562.15
2016-08-04,591.85
2016-08-05,640.75
2016-08-08,622.6
2016-08-09,631.55
2016-08-10,612.0
2016-08-11,607.15
2016-08-12,602.5
2016-08-16,593.65
2016-08-17,580.1
2016-08-18,604.95
2016-08-19,607.3
2016-08-22,602.3
2016-08-23,613.35
2016-08-24,605.5
2016-08-25,612.05
2016-08-26,611.05
2016-08-29,609.45
2016-08-30,609.95
2016-08-31,609.4
2016-09-01,591.75
2016-09-02,590.05
2016-09-06,597.45
2016-09-07,602.0
2016-09-08,622.0
2016-09-09,611.7
2016-09-12,582.6
2016-09-14,581.6
2016-09-15,582.5
2016-09-16,573.25
2016-09-19,578.15
2016-09-20,576.0
2016-09-21,575.75
2016-09-22,592.05
2016-09-23,587.45
2016-09-26,595.4
2016-09-27,588.8
2016-09-28,582.5
2016-09-29,552.85
2016-09-30,568.95
2016-10-03,581.95
2016-10-04,595.1
2016-10-05,584.3
2016-10-06,569.9
2016-10-07,569.2
2016-10-10,564.55
2016-10-13,556.0
2016-10-14,558.65
2016-10-17,564.45
2016-10-18,568.55
2016-10-19,587.3
2016-10-20,593.4
2016-10-21,593.1
2016-10-24,580.1
2016-10-25,582.95
2016-10-26,573.9
2016-10-27,568.25
2016-10-28,571.2
2016-10-30,577.5
2016-11-01,570.3
2016-11-02,555.35
2016-11-03,555.3
2016-11-04,541.05
2016-11-07,559.0
2016-11-08,558.1
2016-11-09,546.5
2016-11-10,530.2
2016-11-11,484.6
2016-11-15,398.4
2016-11-16,385.65
2016-11-17,374.25
2016-11-18,384.65
2016-11-21,359.3
2016-11-22,335.9
2016-11-23,369.45
2016-11-24,405.9
2016-11-25,446.45
2016-11-28,408.6
2016-11-29,440.0
2016-11-30,461.45
2016-12-01,438.4
2016-12-02,416.5
2016-12-05,395.7
2016-12-06,382.7
2016-12-07,386.9
2016-12-08,402.65
2016-12-09,388.85
2016-12-12,376.45
2016-12-13,357.8
2016-12-14,348.95
2016-12-15,366.35
2016-12-16,361.1
2016-12-19,354.5
2016-12-20,336.85
2016-12-21,337.15
2016-12-22,322.5
2016-12-23,323.0
2016-12-26,306.9
2016-12-27,318.85
2016-12-28,327.1
2016-12-29,332.9
2016-12-30,330.6
