Date,TNPETRO
2016-01-01,21.9
2016-01-04,21.0
2016-01-05,22.1
2016-01-06,22.35
2016-01-07,20.95
2016-01-08,21.3
2016-01-11,21.25
2016-01-12,21.5
2016-01-13,22.2
2016-01-14,22.8
2016-01-15,21.95
2016-01-18,20.2
2016-01-19,22.0
2016-01-20,21.15
2016-01-21,21.4
2016-01-22,21.4
2016-01-25,21.25
2016-01-27,20.55
2016-01-28,22.95
2016-01-29,24.75
2016-02-01,25.25
2016-02-02,22.05
2016-02-03,21.4
2016-02-04,21.1
2016-02-05,20.9
2016-02-08,20.55
2016-02-09,20.85
2016-02-10,20.55
2016-02-11,20.3
2016-02-12,19.55
2016-02-15,20.3
2016-02-16,20.2
2016-02-17,21.2
2016-02-18,23.65
2016-02-19,23.05
2016-02-22,23.3
2016-02-23,23.25
2016-02-24,23.15
2016-02-25,23.45
2016-02-26,23.55
2016-02-29,23.25
2016-03-01,23.5
2016-03-02,23.5
2016-03-03,23.5
2016-03-04,23.0
2016-03-08,22.85
2016-03-09,23.25
2016-03-10,23.25
2016-03-11,23.35
2016-03-14,22.85
2016-03-15,22.7
2016-03-16,23.0
2016-03-17,22.6
2016-03-18,22.4
2016-03-21,22.25
2016-03-22,22.05
2016-03-23,21.5
2016-03-28,20.55
2016-03-29,19.75
2016-03-30,20.45
2016-03-31,20.1
2016-04-01,20.45
2016-04-04,20.65
2016-04-05,19.75
2016-04-06,20.1
2016-04-07,20.0
2016-04-08,20.05
2016-04-11,20.1
2016-04-12,20.15
2016-04-13,20.5
2016-04-18,20.2
2016-04-20,21.85
2016-04-21,22.1
2016-04-22,21.6
2016-04-25,21.7
2016-04-26,21.55
2016-04-27,23.45
2016-04-28,23.0
2016-04-29,23.1
2016-05-02,22.5
2016-05-03,22.75
2016-05-04,22.2
2016-05-05,23.0
2016-05-06,23.15
2016-05-09,22.7
2016-05-10,21.75
2016-05-11,22.3
2016-05-12,22.3
2016-05-13,22.25
2016-05-16,21.9
2016-05-17,22.0
2016-05-18,22.0
2016-05-19,21.55
2016-05-20,20.85
2016-05-23,20.95
2016-05-24,21.15
2016-05-25,20.6
2016-05-26,21.35
2016-05-27,21.05
2016-05-30,21.0
2016-05-31,20.7
2016-06-01,20.85
2016-06-02,20.6
2016-06-03,20.45
2016-06-06,20.4
2016-06-07,20.35
2016-06-08,20.7
2016-06-09,20.55
2016-06-10,20.5
2016-06-13,20.35
2016-06-14,20.25
2016-06-15,20.85
2016-06-16,20.75
2016-06-17,20.4
2016-06-20,20.8
2016-06-21,20.5
2016-06-22,20.45
2016-06-23,20.25
2016-06-24,19.4
2016-06-27,20.65
2016-06-28,21.1
2016-06-29,21.4
2016-06-30,20.9
2016-07-01,20.6
2016-07-04,21.75
2016-07-05,21.0
2016-07-07,21.15
2016-07-08,21.0
2016-07-11,20.85
2016-07-12,20.65
2016-07-13,21.65
2016-07-14,21.5
2016-07-15,21.2
2016-07-18,20.75
2016-07-19,20.85
2016-07-20,21.0
2016-07-21,22.25
2016-07-22,21.35
2016-07-25,21.75
2016-07-26,21.55
2016-07-27,21.5
2016-07-28,21.05
2016-07-29,20.8
2016-08-01,20.6
2016-08-02,21.0
2016-08-03,20.6
2016-08-04,20.55
2016-08-05,23.3
2016-08-08,22.3
2016-08-09,21.95
2016-08-10,21.5
2016-08-11,21.25
2016-08-12,20.8
2016-08-16,20.55
2016-08-17,20.9
2016-08-18,21.1
2016-08-19,21.0
2016-08-22,21.3
2016-08-23,21.35
2016-08-24,21.5
2016-08-25,21.9
2016-08-26,21.45
2016-08-29,21.15
2016-08-30,21.2
2016-08-31,20.9
2016-09-01,20.8
2016-09-02,21.35
2016-09-06,21.55
2016-09-07,21.75
2016-09-08,21.5
2016-09-09,21.45
2016-09-12,21.25
2016-09-14,22.0
2016-09-15,22.9
2016-09-16,22.3
2016-09-19,22.2
2016-09-20,22.25
2016-09-21,22.25
2016-09-22,22.2
2016-09-23,21.85
2016-09-26,21.8
2016-09-27,22.7
2016-09-28,22.5
2016-09-29,21.8
2016-09-30,22.6
2016-10-03,25.2
2016-10-04,24.3
2016-10-05,27.25
2016-10-06,26.7
2016-10-07,26.7
2016-10-10,26.4
2016-10-13,25.1
2016-10-14,26.2
2016-10-17,26.9
2016-10-18,30.75
2016-10-19,29.35
2016-10-20,29.55
2016-10-21,30.1
2016-10-24,30.0
2016-10-25,29.45
2016-10-26,29.65
2016-10-27,29.35
2016-10-28,29.7
2016-10-30,29.6
2016-11-01,29.55
2016-11-02,29.4
2016-11-03,31.1
2016-11-04,29.6
2016-11-07,30.45
2016-11-08,29.9
2016-11-09,28.55
2016-11-10,29.75
2016-11-11,28.5
2016-11-15,26.3
2016-11-16,26.5
2016-11-17,25.25
2016-11-18,24.6
2016-11-21,22.65
2016-11-22,21.8
2016-11-23,23.05
2016-11-24,23.3
2016-11-25,23.95
2016-11-28,25.25
2016-11-29,24.8
2016-11-30,25.3
2016-12-01,24.9
2016-12-02,24.1
2016-12-05,24.05
2016-12-06,24.05
2016-12-07,24.05
2016-12-08,24.85
2016-12-09,25.7
2016-12-12,25.55
2016-12-13,25.85
2016-12-14,25.6
2016-12-15,25.3
2016-12-16,24.95
2016-12-19,24.5
2016-12-20,24.55
2016-12-21,24.35
2016-12-22,23.85
2016-12-23,23.55
2016-12-26,22.35
2016-12-27,22.8
2016-12-28,22.8
2016-12-29,23.7
2016-12-30,23.35
