Date,INDIGO
2016-01-01,1343.45
2016-01-04,1262.1
2016-01-05,1252.95
2016-01-06,1235.4
2016-01-07,1250.55
2016-01-08,1272.2
2016-01-11,1238.15
2016-01-12,1250.65
2016-01-13,1228.8
2016-01-14,1200.0
2016-01-15,1176.25
2016-01-18,1131.8
2016-01-19,1206.75
2016-01-20,1202.1
2016-01-21,1197.85
2016-01-22,968.3
2016-01-25,902.7
2016-01-27,936.15
2016-01-28,903.35
2016-01-29,874.7
2016-02-01,882.05
2016-02-02,845.0
2016-02-03,837.95
2016-02-04,805.35
2016-02-05,836.95
2016-02-08,824.35
2016-02-09,788.15
2016-02-10,771.45
2016-02-11,719.7
2016-02-12,779.65
2016-02-15,839.05
2016-02-16,840.85
2016-02-17,839.8
2016-02-18,849.15
2016-02-19,841.25
2016-02-22,819.9
2016-02-23,810.05
2016-02-24,808.45
2016-02-25,791.1
2016-02-26,833.3
2016-02-29,812.25
2016-03-01,825.7
2016-03-02,869.75
2016-03-03,851.75
2016-03-04,872.85
2016-03-08,859.5
2016-03-09,812.8
2016-03-10,806.65
2016-03-11,820.55
2016-03-14,804.65
2016-03-15,800.1
2016-03-16,801.85
2016-03-17,806.9
2016-03-18,808.8
2016-03-21,848.95
2016-03-22,843.65
2016-03-23,898.5
2016-03-28,880.6
2016-03-29,889.8
2016-03-30,891.0
2016-03-31,873.2
2016-04-01,908.55
2016-04-04,967.05
2016-04-05,973.45
2016-04-06,993.55
2016-04-07,990.75
2016-04-08,954.3
2016-04-11,985.7
2016-04-12,1004.05
2016-04-13,1030.9
2016-04-18,1053.55
2016-04-20,1019.25
2016-04-21,1001.05
2016-04-22,1001.45
2016-04-25,1015.0
2016-04-26,1030.0
2016-04-27,1047.7
2016-04-28,1063.9
2016-04-29,1075.95
2016-05-02,1025.3
2016-05-03,1059.2
2016-05-04,1067.6
2016-05-05,1088.4
2016-05-06,1075.5
2016-05-09,1077.45
2016-05-10,1076.1
2016-05-11,1060.75
2016-05-12,1045.0
2016-05-13,1042.6
2016-05-16,1030.5
2016-05-17,1049.95
2016-05-18,1025.6
2016-05-19,1008.4
2016-05-20,962.5
2016-05-23,992.2
2016-05-24,980.3
2016-05-25,985.3
2016-05-26,993.9
2016-05-27,1030.15
2016-05-30,1060.75
2016-05-31,1064.3
2016-06-01,1023.95
2016-06-02,1012.95
2016-06-03,992.7
2016-06-06,1019.8
2016-06-07,1007.05
2016-06-08,992.5
2016-06-09,1004.6
2016-06-10,998.3
2016-06-13,980.1
2016-06-14,990.35
2016-06-15,1011.4
2016-06-16,1012.8
2016-06-17,1013.45
2016-06-20,1071.7
2016-06-21,1039.35
2016-06-22,1025.3
2016-06-23,1006.55
2016-06-24,1004.5
2016-06-27,1017.65
2016-06-28,1019.95
2016-06-29,1018.2
2016-06-30,1015.35
2016-07-01,1012.4
2016-07-04,1044.65
2016-07-05,1017.25
2016-07-07,1013.0
2016-07-08,1013.9
2016-07-11,1008.7
2016-07-12,1012.55
2016-07-13,998.85
2016-07-14,991.7
2016-07-15,970.3
2016-07-18,950.3
2016-07-19,947.1
2016-07-20,951.4
2016-07-21,946.55
2016-07-22,953.95
2016-07-25,956.5
2016-07-26,942.5
2016-07-27,948.5
2016-07-28,948.9
2016-07-29,987.8
2016-08-01,971.65
2016-08-02,866.05
2016-08-03,862.85
2016-08-04,827.45
2016-08-05,821.55
2016-08-08,827.5
2016-08-09,812.9
2016-08-10,800.6
2016-08-11,793.5
2016-08-12,800.8
2016-08-16,826.4
2016-08-17,858.2
2016-08-18,880.35
2016-08-19,880.7
2016-08-22,901.9
2016-08-23,895.05
2016-08-24,878.9
2016-08-25,881.3
2016-08-26,856.8
2016-08-29,869.1
2016-08-30,880.95
2016-08-31,882.6
2016-09-01,877.15
2016-09-02,870.5
2016-09-06,868.9
2016-09-07,871.15
2016-09-08,867.5
2016-09-09,863.45
2016-09-12,864.95
2016-09-14,861.6
2016-09-15,869.5
2016-09-16,866.9
2016-09-19,864.9
2016-09-20,858.25
2016-09-21,883.55
2016-09-22,893.05
2016-09-23,921.35
2016-09-26,938.95
2016-09-27,924.6
2016-09-28,920.9
2016-09-29,903.65
2016-09-30,915.7
2016-10-03,944.85
2016-10-04,950.8
2016-10-05,949.9
2016-10-06,937.05
2016-10-07,949.9
2016-10-10,936.75
2016-10-13,935.75
2016-10-14,934.4
2016-10-17,935.15
2016-10-18,938.2
2016-10-19,948.15
2016-10-20,937.95
2016-10-21,936.2
2016-10-24,931.95
2016-10-25,925.5
2016-10-26,931.6
2016-10-27,937.75
2016-10-28,930.7
2016-10-30,938.35
2016-11-01,940.2
2016-11-02,935.15
2016-11-03,933.0
2016-11-04,919.75
2016-11-07,925.25
2016-11-08,927.05
2016-11-09,948.6
2016-11-10,936.65
2016-11-11,915.25
2016-11-15,883.6
2016-11-16,833.4
2016-11-17,860.2
2016-11-18,848.9
2016-11-21,850.7
2016-11-22,858.7
2016-11-23,869.5
2016-11-24,867.3
2016-11-25,870.15
2016-11-28,888.1
2016-11-29,874.55
2016-11-30,859.8
2016-12-01,838.55
2016-12-02,843.25
2016-12-05,849.65
2016-12-06,849.25
2016-12-07,849.3
2016-12-08,851.15
2016-12-09,847.6
2016-12-12,828.0
2016-12-13,816.25
2016-12-14,817.8
2016-12-15,829.55
2016-12-16,830.3
2016-12-19,832.8
2016-12-20,833.15
2016-12-21,832.35
2016-12-22,828.25
2016-12-23,825.05
2016-12-26,828.6
2016-12-27,830.25
2016-12-28,829.8
2016-12-29,815.55
2016-12-30,821.45
