Date,NIBL
2016-01-01,64.95
2016-01-04,64.9
2016-01-05,67.25
2016-01-06,68.95
2016-01-07,68.95
2016-01-08,68.0
2016-01-11,69.7
2016-01-12,68.0
2016-01-13,65.0
2016-01-14,63.85
2016-01-15,63.25
2016-01-18,60.1
2016-01-19,58.55
2016-01-20,57.55
2016-01-21,59.5
2016-01-22,56.5
2016-01-25,54.35
2016-01-27,54.95
2016-01-28,52.25
2016-01-29,54.0
2016-02-01,53.1
2016-02-02,52.85
2016-02-03,52.95
2016-02-04,51.2
2016-02-05,50.95
2016-02-08,56.6
2016-02-09,58.1
2016-02-10,53.95
2016-02-11,51.1
2016-02-12,50.05
2016-02-15,51.9
2016-02-16,49.5
2016-02-17,48.0
2016-02-18,49.05
2016-02-19,47.55
2016-02-22,45.15
2016-02-23,44.0
2016-02-24,39.65
2016-02-25,39.1
2016-02-26,40.75
2016-02-29,41.5
2016-03-01,43.95
2016-03-02,44.0
2016-03-03,48.25
2016-03-04,46.25
2016-03-08,46.25
2016-03-09,46.45
2016-03-10,44.65
2016-03-11,45.0
2016-03-14,46.25
2016-03-15,46.0
2016-03-16,48.15
2016-03-17,46.3
2016-03-18,46.0
2016-03-21,47.5
2016-03-22,45.9
2016-03-23,45.6
2016-03-29,44.7
2016-03-30,43.55
2016-03-31,44.75
2016-04-01,45.1
2016-04-04,45.35
2016-04-05,45.1
2016-04-06,46.0
2016-04-07,45.1
2016-04-08,47.45
2016-04-11,46.0
2016-04-12,45.5
2016-04-13,45.1
2016-04-18,46.0
2016-04-20,45.25
2016-04-21,45.95
2016-04-22,46.6
2016-04-25,45.2
2016-04-26,44.4
2016-04-27,45.0
2016-04-28,44.4
2016-04-29,44.45
2016-05-02,44.1
2016-05-03,44.3
2016-05-04,44.05
2016-05-05,43.25
2016-05-06,43.0
2016-05-09,41.5
2016-05-10,41.95
2016-05-11,40.0
2016-05-12,40.9
2016-05-13,42.75
2016-05-16,41.3
2016-05-17,43.0
2016-05-18,42.45
2016-05-19,41.55
2016-05-20,41.0
2016-05-23,42.35
2016-05-24,42.3
2016-05-25,40.1
2016-05-26,41.5
2016-05-27,39.45
2016-05-30,38.8
2016-05-31,33.05
2016-06-01,33.6
2016-06-02,34.55
2016-06-03,34.95
2016-06-06,34.0
2016-06-07,37.55
2016-06-08,40.75
2016-06-09,41.4
2016-06-10,40.35
2016-06-13,40.8
2016-06-14,40.1
2016-06-15,41.55
2016-06-16,40.0
2016-06-17,40.5
2016-06-20,40.45
2016-06-21,40.55
2016-06-22,40.5
2016-06-23,39.85
2016-06-24,42.1
2016-06-27,42.45
2016-06-28,42.8
2016-06-29,42.6
2016-06-30,43.95
2016-07-01,42.75
2016-07-04,41.9
2016-07-05,41.9
2016-07-07,42.1
2016-07-08,42.95
2016-07-11,42.7
2016-07-12,42.1
2016-07-13,39.8
2016-07-14,40.8
2016-07-15,39.8
2016-07-18,40.9
2016-07-19,40.3
2016-07-20,39.5
2016-07-21,40.0
2016-07-22,40.85
2016-07-25,40.65
2016-07-26,40.0
2016-07-27,40.2
2016-07-28,39.35
2016-07-29,42.2
2016-08-01,42.75
2016-08-02,44.5
2016-08-03,43.65
2016-08-04,41.95
2016-08-05,41.9
2016-08-08,41.1
2016-08-09,43.3
2016-08-10,41.85
2016-08-11,42.95
2016-08-12,39.9
2016-08-16,39.7
2016-08-17,44.45
2016-08-18,42.9
2016-08-19,44.0
2016-08-22,41.9
2016-08-23,41.1
2016-08-24,41.2
2016-08-25,41.4
2016-08-26,41.3
2016-08-29,42.75
2016-08-30,41.8
2016-08-31,40.2
2016-09-01,40.15
2016-09-02,40.1
2016-09-06,39.45
2016-09-07,39.85
2016-09-08,39.7
2016-09-09,41.25
2016-09-12,39.1
2016-09-14,39.15
2016-09-15,45.85
2016-09-16,47.9
2016-09-19,47.9
2016-09-20,46.15
2016-09-21,45.65
2016-09-22,45.35
2016-09-23,44.5
2016-09-26,43.25
2016-09-27,43.15
2016-09-28,44.15
2016-09-29,43.0
2016-09-30,42.75
2016-10-03,44.1
2016-10-04,44.85
2016-10-05,44.25
2016-10-06,44.5
2016-10-07,44.5
2016-10-10,45.65
2016-10-13,43.55
2016-10-14,45.0
2016-10-17,45.0
2016-10-18,43.5
2016-10-19,44.95
2016-10-20,47.85
2016-10-21,47.85
2016-10-24,48.5
2016-10-25,48.5
2016-10-26,48.4
2016-10-27,45.5
2016-10-28,44.8
2016-10-30,44.7
2016-11-01,46.9
2016-11-02,46.0
2016-11-03,46.95
2016-11-04,45.2
2016-11-07,45.25
2016-11-08,43.3
2016-11-09,42.7
2016-11-10,42.7
2016-11-11,40.15
2016-11-15,37.75
2016-11-16,38.6
2016-11-17,34.35
2016-11-18,35.3
2016-11-21,32.3
2016-11-22,34.0
2016-11-23,34.45
2016-11-24,33.05
2016-11-25,35.15
2016-11-28,34.0
2016-11-29,34.2
2016-11-30,36.7
2016-12-01,36.05
2016-12-02,34.75
2016-12-05,36.4
2016-12-06,36.7
2016-12-07,36.55
2016-12-08,38.55
2016-12-09,37.5
2016-12-12,36.85
2016-12-13,36.1
2016-12-14,36.05
2016-12-15,36.4
2016-12-16,36.0
2016-12-19,35.6
2016-12-20,35.45
2016-12-21,34.0
2016-12-22,33.95
2016-12-23,30.95
2016-12-26,30.0
2016-12-27,29.9
2016-12-28,29.7
2016-12-29,29.45
2016-12-30,30.35
