Date,IVC
2016-01-01,19.35
2016-01-04,19.3
2016-01-05,19.55
2016-01-06,19.65
2016-01-07,18.9
2016-01-08,18.95
2016-01-11,19.1
2016-01-12,19.45
2016-01-13,19.05
2016-01-14,18.85
2016-01-15,18.35
2016-01-18,17.5
2016-01-19,18.05
2016-01-20,17.7
2016-01-21,17.6
2016-01-22,18.0
2016-01-25,18.15
2016-01-27,18.1
2016-01-28,18.25
2016-01-29,18.0
2016-02-01,18.0
2016-02-02,17.95
2016-02-03,17.6
2016-02-04,17.45
2016-02-05,17.55
2016-02-08,17.8
2016-02-09,17.4
2016-02-10,17.1
2016-02-11,15.95
2016-02-12,15.8
2016-02-15,16.05
2016-02-16,15.7
2016-02-17,16.3
2016-02-18,16.3
2016-02-19,16.05
2016-02-22,16.05
2016-02-23,15.95
2016-02-24,15.55
2016-02-25,15.65
2016-02-26,15.7
2016-02-29,15.35
2016-03-01,15.5
2016-03-02,15.5
2016-03-03,15.75
2016-03-04,16.1
2016-03-08,16.2
2016-03-09,16.2
2016-03-10,16.1
2016-03-11,16.05
2016-03-14,16.1
2016-03-15,15.9
2016-03-16,16.05
2016-03-17,15.9
2016-03-18,15.65
2016-03-21,15.9
2016-03-22,15.95
2016-03-23,16.0
2016-03-28,15.75
2016-03-29,15.8
2016-03-30,16.0
2016-03-31,16.0
2016-04-01,16.05
2016-04-04,16.25
2016-04-05,16.1
2016-04-06,16.75
2016-04-07,16.8
2016-04-08,17.0
2016-04-11,17.0
2016-04-12,17.15
2016-04-13,17.05
2016-04-18,17.05
2016-04-20,17.3
2016-04-21,17.55
2016-04-22,17.25
2016-04-25,17.25
2016-04-26,17.3
2016-04-27,17.4
2016-04-28,17.9
2016-04-29,18.3
2016-05-02,18.4
2016-05-03,17.65
2016-05-04,17.3
2016-05-05,17.3
2016-05-06,17.2
2016-05-09,17.15
2016-05-10,16.95
2016-05-11,16.95
2016-05-12,17.05
2016-05-13,16.85
2016-05-16,16.95
2016-05-17,16.9
2016-05-18,17.0
2016-05-19,17.0
2016-05-20,16.9
2016-05-23,17.25
2016-05-24,17.15
2016-05-25,17.0
2016-05-26,16.9
2016-05-27,16.9
2016-05-30,16.45
2016-05-31,15.45
2016-06-01,14.45
2016-06-02,13.55
2016-06-03,13.0
2016-06-06,13.0
2016-06-07,14.45
2016-06-08,15.05
2016-06-09,15.25
2016-06-10,15.2
2016-06-13,15.1
2016-06-14,15.45
2016-06-15,15.7
2016-06-16,16.45
2016-06-17,16.2
2016-06-20,16.25
2016-06-21,16.15
2016-06-22,16.1
2016-06-23,16.05
2016-06-24,15.9
2016-06-27,16.1
2016-06-28,16.1
2016-06-29,16.7
2016-06-30,17.0
2016-07-01,17.2
2016-07-04,17.6
2016-07-05,17.45
2016-07-07,17.65
2016-07-08,17.95
2016-07-11,18.0
2016-07-12,17.95
2016-07-13,17.8
2016-07-14,17.85
2016-07-15,17.75
2016-07-18,17.65
2016-07-19,17.75
2016-07-20,17.85
2016-07-21,17.9
2016-07-22,18.35
2016-07-25,19.05
2016-07-26,19.0
2016-07-27,18.25
2016-07-28,18.35
2016-07-29,16.65
2016-08-01,16.25
2016-08-02,16.0
2016-08-03,15.9
2016-08-04,15.65
2016-08-05,15.9
2016-08-08,15.8
2016-08-09,14.65
2016-08-10,14.65
2016-08-11,14.7
2016-08-12,14.65
2016-08-16,14.6
2016-08-17,14.35
2016-08-18,14.45
2016-08-19,14.45
2016-08-22,14.4
2016-08-23,14.6
2016-08-24,14.8
2016-08-25,15.05
2016-08-26,14.75
2016-08-29,14.7
2016-08-30,14.7
2016-08-31,14.9
2016-09-01,14.7
2016-09-02,14.9
2016-09-06,14.85
2016-09-07,14.9
2016-09-08,14.8
2016-09-09,15.35
2016-09-12,14.85
2016-09-14,14.9
2016-09-15,15.0
2016-09-16,14.9
2016-09-19,15.15
2016-09-20,15.15
2016-09-21,15.0
2016-09-22,15.05
2016-09-23,15.05
2016-09-26,15.0
2016-09-27,14.85
2016-09-28,14.9
2016-09-29,14.55
2016-09-30,14.75
2016-10-03,14.8
2016-10-04,14.9
2016-10-05,15.0
2016-10-06,16.0
2016-10-07,17.0
2016-10-10,16.5
2016-10-13,16.15
2016-10-14,16.1
2016-10-17,15.75
2016-10-18,15.7
2016-10-19,15.8
2016-10-20,15.85
2016-10-21,15.95
2016-10-24,16.0
2016-10-25,15.85
2016-10-26,15.8
2016-10-27,15.5
2016-10-28,15.3
2016-10-30,15.5
2016-11-01,15.2
2016-11-02,15.05
2016-11-03,14.85
2016-11-04,14.65
2016-11-07,14.85
2016-11-08,14.8
2016-11-09,14.6
2016-11-10,14.8
2016-11-11,14.6
2016-11-15,14.65
2016-11-16,14.55
2016-11-17,14.3
2016-11-18,14.2
2016-11-21,14.0
2016-11-22,14.25
2016-11-23,14.35
2016-11-24,14.4
2016-11-25,14.5
2016-11-28,14.4
2016-11-29,14.75
2016-11-30,14.8
2016-12-01,14.55
2016-12-02,14.55
2016-12-05,14.45
2016-12-06,14.7
2016-12-07,14.7
2016-12-08,14.65
2016-12-09,14.7
2016-12-12,14.85
2016-12-13,14.7
2016-12-14,14.7
2016-12-15,14.55
2016-12-16,14.55
2016-12-19,14.45
2016-12-20,14.35
2016-12-21,14.4
2016-12-22,14.35
2016-12-23,14.2
2016-12-26,14.2
2016-12-27,14.2
2016-12-28,14.25
2016-12-29,14.25
2016-12-30,14.35
