Date,NELCAST
2016-01-01,72.6
2016-01-04,72.85
2016-01-05,73.95
2016-01-06,72.05
2016-01-07,68.2
2016-01-08,69.45
2016-01-11,68.75
2016-01-12,66.25
2016-01-13,64.55
2016-01-14,62.0
2016-01-15,60.65
2016-01-18,52.75
2016-01-19,55.75
2016-01-20,52.85
2016-01-21,52.95
2016-01-22,57.25
2016-01-25,60.0
2016-01-27,60.05
2016-01-28,59.95
2016-01-29,60.45
2016-02-01,60.85
2016-02-02,59.95
2016-02-03,58.15
2016-02-04,61.5
2016-02-05,64.75
2016-02-08,63.05
2016-02-09,59.9
2016-02-10,60.55
2016-02-11,59.7
2016-02-12,58.75
2016-02-15,61.85
2016-02-16,59.4
2016-02-17,60.1
2016-02-18,59.5
2016-02-19,58.05
2016-02-22,58.25
2016-02-23,56.95
2016-02-24,54.7
2016-02-25,53.2
2016-02-26,52.3
2016-02-29,52.2
2016-03-01,54.25
2016-03-02,57.95
2016-03-03,58.75
2016-03-04,58.05
2016-03-08,58.0
2016-03-09,58.25
2016-03-10,58.5
2016-03-11,58.95
2016-03-14,59.2
2016-03-15,58.1
2016-03-16,57.55
2016-03-17,58.0
2016-03-18,56.55
2016-03-21,56.7
2016-03-22,56.2
2016-03-23,55.3
2016-03-28,54.5
2016-03-29,52.95
2016-03-30,56.65
2016-03-31,55.5
2016-04-01,56.65
2016-04-04,57.15
2016-04-05,56.55
2016-04-06,56.05
2016-04-07,57.5
2016-04-08,58.05
2016-04-11,57.6
2016-04-12,62.6
2016-04-13,60.8
2016-04-18,62.05
2016-04-20,61.0
2016-04-21,60.55
2016-04-22,60.45
2016-04-25,58.3
2016-04-26,58.55
2016-04-27,60.7
2016-04-28,60.05
2016-04-29,59.7
2016-05-02,59.95
2016-05-03,60.3
2016-05-04,60.45
2016-05-05,60.75
2016-05-06,60.85
2016-05-09,62.8
2016-05-10,65.4
2016-05-11,65.05
2016-05-12,63.95
2016-05-13,63.6
2016-05-16,64.5
2016-05-17,64.05
2016-05-18,64.5
2016-05-19,63.45
2016-05-20,62.1
2016-05-23,60.3
2016-05-24,57.1
2016-05-25,56.15
2016-05-26,55.0
2016-05-27,57.25
2016-05-30,56.2
2016-05-31,56.4
2016-06-01,56.8
2016-06-02,56.0
2016-06-03,56.25
2016-06-06,55.05
2016-06-07,64.1
2016-06-08,61.4
2016-06-09,59.15
2016-06-10,59.85
2016-06-13,58.9
2016-06-14,59.55
2016-06-15,60.25
2016-06-16,59.85
2016-06-17,60.05
2016-06-20,59.85
2016-06-21,64.05
2016-06-22,61.35
2016-06-23,59.9
2016-06-24,59.3
2016-06-27,60.7
2016-06-28,60.5
2016-06-29,60.85
2016-06-30,61.15
2016-07-01,63.85
2016-07-04,63.8
2016-07-05,67.4
2016-07-07,67.9
2016-07-08,68.05
2016-07-11,69.5
2016-07-12,67.4
2016-07-13,67.05
2016-07-14,65.95
2016-07-15,66.05
2016-07-18,66.15
2016-07-19,65.45
2016-07-20,65.85
2016-07-21,68.55
2016-07-22,68.0
2016-07-25,69.05
2016-07-26,67.0
2016-07-27,67.3
2016-07-28,66.05
2016-07-29,65.5
2016-08-01,65.35
2016-08-02,65.3
2016-08-03,64.55
2016-08-04,63.85
2016-08-05,64.95
2016-08-08,64.45
2016-08-09,62.9
2016-08-10,61.9
2016-08-11,61.35
2016-08-12,60.4
2016-08-16,61.4
2016-08-17,60.85
2016-08-18,60.0
2016-08-19,61.35
2016-08-22,62.2
2016-08-23,61.55
2016-08-24,60.65
2016-08-25,60.4
2016-08-26,60.1
2016-08-29,59.7
2016-08-30,59.3
2016-08-31,58.3
2016-09-01,57.95
2016-09-02,63.5
2016-09-06,65.25
2016-09-07,65.55
2016-09-08,64.05
2016-09-09,64.0
2016-09-12,61.65
2016-09-14,62.65
2016-09-15,61.6
2016-09-16,63.3
2016-09-19,63.2
2016-09-20,61.75
2016-09-21,61.5
2016-09-22,62.3
2016-09-23,61.7
2016-09-26,61.4
2016-09-27,61.3
2016-09-28,61.5
2016-09-29,54.85
2016-09-30,57.95
2016-10-03,61.4
2016-10-04,61.1
2016-10-05,61.15
2016-10-06,62.35
2016-10-07,61.25
2016-10-10,61.4
2016-10-13,60.2
2016-10-14,61.9
2016-10-17,61.9
2016-10-18,62.5
2016-10-19,63.1
2016-10-20,65.7
2016-10-21,66.15
2016-10-24,64.95
2016-10-25,64.15
2016-10-26,64.1
2016-10-27,64.1
2016-10-28,64.7
2016-10-30,65.55
2016-11-01,65.45
2016-11-02,63.55
2016-11-03,62.1
2016-11-04,61.1
2016-11-07,60.9
2016-11-08,60.2
2016-11-09,58.75
2016-11-10,59.9
2016-11-11,58.25
2016-11-15,54.7
2016-11-16,55.0
2016-11-17,51.3
2016-11-18,49.95
2016-11-21,48.75
2016-11-22,50.1
2016-11-23,51.1
2016-11-24,52.1
2016-11-25,53.05
2016-11-28,54.05
2016-11-29,53.8
2016-11-30,53.95
2016-12-01,53.7
2016-12-02,52.65
2016-12-05,52.4
2016-12-06,53.85
2016-12-07,53.3
2016-12-08,52.9
2016-12-09,52.55
2016-12-12,51.8
2016-12-13,52.0
2016-12-14,51.75
2016-12-15,51.3
2016-12-16,52.25
2016-12-19,52.05
2016-12-20,52.4
2016-12-21,51.85
2016-12-22,51.5
2016-12-23,50.8
2016-12-26,49.85
2016-12-27,49.45
2016-12-28,49.65
2016-12-29,49.3
2016-12-30,50.2
