Date,PVP
2016-01-01,6.6
2016-01-04,6.5
2016-01-05,7.0
2016-01-06,6.9
2016-01-07,6.5
2016-01-08,6.6
2016-01-11,6.7
2016-01-12,6.5
2016-01-13,6.15
2016-01-14,5.9
2016-01-15,5.7
2016-01-18,5.15
2016-01-19,5.35
2016-01-20,5.2
2016-01-21,5.15
2016-01-22,5.35
2016-01-25,5.5
2016-01-27,5.6
2016-01-28,5.5
2016-01-29,5.55
2016-02-01,5.5
2016-02-02,5.25
2016-02-03,5.15
2016-02-04,5.15
2016-02-05,5.15
2016-02-08,5.15
2016-02-09,5.0
2016-02-10,4.95
2016-02-11,4.6
2016-02-12,4.7
2016-02-15,4.85
2016-02-16,5.0
2016-02-17,4.95
2016-02-18,4.85
2016-02-19,4.9
2016-02-22,4.8
2016-02-23,4.6
2016-02-24,4.55
2016-02-25,4.6
2016-02-26,4.4
2016-02-29,4.8
2016-03-01,4.85
2016-03-02,4.95
2016-03-03,5.15
2016-03-04,5.05
2016-03-08,4.95
2016-03-09,4.95
2016-03-10,5.05
2016-03-11,5.0
2016-03-14,4.8
2016-03-15,4.8
2016-03-16,4.9
2016-03-17,4.85
2016-03-18,4.8
2016-03-21,4.75
2016-03-22,5.0
2016-03-23,5.0
2016-03-28,4.85
2016-03-29,4.7
2016-03-30,4.95
2016-03-31,4.75
2016-04-01,4.95
2016-04-04,4.9
2016-04-05,4.85
2016-04-06,4.8
2016-04-07,4.8
2016-04-08,5.0
2016-04-11,4.95
2016-04-12,4.8
2016-04-13,4.8
2016-04-18,4.75
2016-04-20,4.7
2016-04-21,4.85
2016-04-22,4.75
2016-04-25,4.7
2016-04-26,4.75
2016-04-27,4.75
2016-04-28,4.6
2016-04-29,4.7
2016-05-02,4.65
2016-05-03,4.65
2016-05-04,4.6
2016-05-05,4.9
2016-05-06,4.75
2016-05-09,4.85
2016-05-10,4.8
2016-05-11,4.7
2016-05-12,4.85
2016-05-13,4.9
2016-05-16,4.75
2016-05-17,4.8
2016-05-18,4.75
2016-05-19,4.8
2016-05-20,4.7
2016-05-23,4.7
2016-05-24,4.5
2016-05-25,4.55
2016-05-26,4.4
2016-05-27,4.75
2016-05-30,4.8
2016-05-31,4.5
2016-06-01,4.55
2016-06-02,4.5
2016-06-03,4.55
2016-06-06,4.4
2016-06-07,4.45
2016-06-08,4.5
2016-06-09,4.5
2016-06-10,4.35
2016-06-13,4.45
2016-06-14,4.65
2016-06-15,4.6
2016-06-16,4.6
2016-06-17,4.55
2016-06-20,4.5
2016-06-21,4.5
2016-06-22,4.45
2016-06-23,4.4
2016-06-24,4.35
2016-06-27,4.4
2016-06-28,4.45
2016-06-29,4.5
2016-06-30,4.55
2016-07-01,4.8
2016-07-04,4.7
2016-07-05,4.65
2016-07-07,4.7
2016-07-08,4.6
2016-07-11,4.7
2016-07-12,4.65
2016-07-13,4.55
2016-07-14,4.6
2016-07-15,4.45
2016-07-18,4.45
2016-07-19,4.5
2016-07-20,4.45
2016-07-21,4.45
2016-07-22,4.8
2016-07-25,4.75
2016-07-26,4.6
2016-07-27,4.65
2016-07-28,4.5
2016-07-29,4.6
2016-08-01,4.55
2016-08-02,4.5
2016-08-03,4.4
2016-08-04,4.45
2016-08-05,4.5
2016-08-08,4.6
2016-08-09,4.6
2016-08-10,4.55
2016-08-11,4.5
2016-08-12,4.45
2016-08-16,4.45
2016-08-17,4.6
2016-08-18,4.6
2016-08-19,4.6
2016-08-22,4.6
2016-08-23,4.8
2016-08-24,4.75
2016-08-25,4.55
2016-08-26,4.55
2016-08-29,4.45
2016-08-30,4.75
2016-08-31,4.7
2016-09-01,4.55
2016-09-02,4.55
2016-09-06,4.65
2016-09-07,4.5
2016-09-08,4.55
2016-09-09,4.55
2016-09-12,4.55
2016-09-14,4.55
2016-09-15,4.55
2016-09-16,4.45
2016-09-19,4.55
2016-09-20,4.6
2016-09-21,4.55
2016-09-22,4.5
2016-09-23,4.5
2016-09-26,4.5
2016-09-27,4.45
2016-09-28,4.45
2016-09-29,4.35
2016-09-30,4.4
2016-10-03,4.4
2016-10-04,4.4
2016-10-05,4.35
2016-10-06,4.3
2016-10-07,4.35
2016-10-10,4.35
2016-10-13,4.3
2016-10-14,4.3
2016-10-17,4.25
2016-10-18,4.3
2016-10-19,4.4
2016-10-20,4.65
2016-10-21,4.8
2016-10-24,5.3
2016-10-25,5.25
2016-10-26,5.65
2016-10-27,5.35
2016-10-28,5.35
2016-10-30,5.45
2016-11-01,6.25
2016-11-02,5.95
2016-11-03,5.7
2016-11-04,5.35
2016-11-07,5.45
2016-11-08,5.7
2016-11-09,5.25
2016-11-10,5.4
2016-11-11,5.15
2016-11-15,4.8
2016-11-16,4.85
2016-11-17,4.9
2016-11-18,5.2
2016-11-21,5.3
2016-11-22,5.3
2016-11-23,5.15
2016-11-24,5.15
2016-11-25,5.05
2016-11-28,5.0
2016-11-29,5.05
2016-11-30,5.2
2016-12-01,5.05
2016-12-02,5.15
2016-12-05,5.2
2016-12-06,5.05
2016-12-07,5.15
2016-12-08,5.15
2016-12-09,5.05
2016-12-12,5.15
2016-12-13,5.0
2016-12-14,4.95
2016-12-15,4.9
2016-12-16,4.85
2016-12-19,4.8
2016-12-20,4.65
2016-12-21,4.65
2016-12-22,4.6
2016-12-23,4.6
2016-12-26,4.55
2016-12-27,4.75
2016-12-28,4.65
2016-12-29,4.65
2016-12-30,4.6
