Date,VIPULLTD
2016-01-01,53.55
2016-01-04,53.2
2016-01-05,54.25
2016-01-06,54.85
2016-01-07,53.8
2016-01-08,52.75
2016-01-11,52.65
2016-01-12,52.5
2016-01-13,51.45
2016-01-14,50.45
2016-01-15,49.45
2016-01-18,50.0
2016-01-19,49.0
2016-01-20,48.05
2016-01-21,48.05
2016-01-22,47.1
2016-01-25,46.2
2016-01-27,46.2
2016-01-29,47.0
2016-02-02,46.55
2016-02-03,45.8
2016-02-04,45.0
2016-02-05,45.55
2016-02-08,46.45
2016-02-09,47.35
2016-02-10,48.0
2016-02-11,47.5
2016-02-12,46.6
2016-02-15,47.25
2016-02-16,46.35
2016-02-17,46.35
2016-02-18,46.35
2016-02-19,46.65
2016-02-22,47.05
2016-02-23,47.15
2016-02-24,46.5
2016-02-25,45.6
2016-02-26,46.0
2016-02-29,45.9
2016-03-01,45.0
2016-03-02,44.1
2016-03-03,43.25
2016-03-04,42.8
2016-03-08,42.0
2016-03-09,41.2
2016-03-10,40.5
2016-03-11,40.0
2016-03-14,40.8
2016-03-15,41.0
2016-03-16,41.4
2016-03-17,40.7
2016-03-18,41.0
2016-03-21,40.25
2016-03-22,40.25
2016-03-23,41.05
2016-03-28,40.65
2016-03-29,40.0
2016-03-30,40.0
2016-03-31,40.6
2016-04-01,42.6
2016-04-04,44.7
2016-04-05,45.0
2016-04-06,46.75
2016-04-07,47.1
2016-04-08,48.05
2016-04-11,48.5
2016-04-12,48.55
2016-04-13,49.55
2016-04-18,50.0
2016-04-20,50.75
2016-04-21,51.45
2016-04-22,51.6
2016-04-25,51.65
2016-04-26,52.25
2016-04-27,52.2
2016-04-28,52.5
2016-04-29,52.15
2016-05-02,52.8
2016-05-03,53.55
2016-05-04,53.95
2016-05-05,54.4
2016-05-06,54.5
2016-05-09,55.85
2016-05-10,54.9
2016-05-11,54.85
2016-05-12,54.9
2016-05-13,54.25
2016-05-16,55.0
2016-05-17,54.85
2016-05-18,54.3
2016-05-19,54.35
2016-05-20,54.65
2016-05-23,53.8
2016-05-24,53.9
2016-05-25,54.55
2016-05-26,54.0
2016-05-27,54.1
2016-05-30,53.25
2016-05-31,53.0
2016-06-01,53.25
2016-06-02,54.65
2016-06-03,55.0
2016-06-06,55.35
2016-06-07,54.7
2016-06-08,52.8
2016-06-09,56.45
2016-06-10,54.85
2016-06-13,53.0
2016-06-14,52.05
2016-06-15,54.75
2016-06-16,54.0
2016-06-17,54.45
2016-06-20,55.25
2016-06-21,55.55
2016-06-22,56.55
2016-06-23,55.85
2016-06-24,52.85
2016-06-27,56.0
2016-06-28,56.5
2016-06-29,56.7
2016-06-30,58.85
2016-07-01,58.95
2016-07-04,59.15
2016-07-05,58.55
2016-07-07,61.4
2016-07-08,57.45
2016-07-11,57.9
2016-07-12,63.35
2016-07-13,60.95
2016-07-14,62.55
2016-07-15,61.55
2016-07-18,61.7
2016-07-19,61.8
2016-07-20,61.65
2016-07-21,61.65
2016-07-22,62.25
2016-07-25,66.5
2016-07-26,65.8
2016-07-27,65.9
2016-07-28,68.25
2016-07-29,68.5
2016-08-01,66.95
2016-08-02,65.6
2016-08-03,63.65
2016-08-04,64.1
2016-08-05,64.0
2016-08-08,64.0
2016-08-09,63.05
2016-08-10,63.2
2016-08-11,63.25
2016-08-12,63.9
2016-08-16,69.15
2016-08-17,65.85
2016-08-18,69.7
2016-08-19,70.7
2016-08-22,71.6
2016-08-23,72.45
2016-08-24,72.65
2016-08-25,72.6
2016-08-26,71.95
2016-08-29,69.55
2016-08-30,70.0
2016-08-31,70.0
2016-09-01,69.6
2016-09-02,69.3
2016-09-06,69.8
2016-09-07,69.2
2016-09-08,71.95
2016-09-09,72.3
2016-09-12,71.55
2016-09-14,71.9
2016-09-15,71.0
2016-09-16,75.2
2016-09-19,86.0
2016-09-20,82.95
2016-09-21,86.25
2016-09-22,91.1
2016-09-23,89.95
2016-09-26,89.15
2016-09-27,94.55
2016-09-28,94.35
2016-09-29,84.8
2016-09-30,86.75
2016-10-03,91.55
2016-10-04,90.0
2016-10-05,90.85
2016-10-06,87.8
2016-10-07,84.9
2016-10-10,83.4
2016-10-13,82.0
2016-10-14,81.75
2016-10-17,81.8
2016-10-18,86.55
2016-10-19,83.85
2016-10-20,83.35
2016-10-21,82.3
2016-10-24,90.95
2016-10-25,93.35
2016-10-26,93.05
2016-10-27,92.9
2016-10-28,92.55
2016-10-30,93.75
2016-11-01,92.95
2016-11-02,90.45
2016-11-03,91.3
2016-11-04,87.05
2016-11-07,87.95
2016-11-08,88.15
2016-11-09,80.0
2016-11-10,78.7
2016-11-11,74.0
2016-11-15,62.95
2016-11-16,62.7
2016-11-17,62.4
2016-11-18,59.65
2016-11-21,56.25
2016-11-22,59.0
2016-11-23,61.8
2016-11-24,64.15
2016-11-25,65.65
2016-11-28,64.5
2016-11-29,63.7
2016-11-30,62.65
2016-12-01,62.1
2016-12-02,59.5
2016-12-05,58.85
2016-12-06,59.0
2016-12-07,61.0
2016-12-08,59.75
2016-12-09,60.9
2016-12-12,61.15
2016-12-13,60.1
2016-12-14,60.0
2016-12-15,59.0
2016-12-16,56.85
2016-12-19,56.3
2016-12-20,57.9
2016-12-21,57.5
2016-12-22,57.5
2016-12-23,56.05
2016-12-26,56.5
2016-12-27,54.9
2016-12-28,55.05
2016-12-29,54.3
2016-12-30,56.45
