Date,KRIDHANINF
2016-01-01,123.55
2016-01-04,120.85
2016-01-05,123.2
2016-01-06,121.55
2016-01-07,116.45
2016-01-08,116.35
2016-01-11,115.1
2016-01-12,112.95
2016-01-13,108.1
2016-01-14,111.6
2016-01-15,103.2
2016-01-18,102.05
2016-01-19,108.6
2016-01-20,102.4
2016-01-21,102.9
2016-01-22,105.1
2016-01-25,104.9
2016-01-27,103.5
2016-01-28,106.35
2016-01-29,112.55
2016-02-01,110.2
2016-02-02,104.65
2016-02-03,105.0
2016-02-04,103.8
2016-02-05,102.95
2016-02-08,103.0
2016-02-09,101.45
2016-02-10,97.55
2016-02-11,90.15
2016-02-12,89.8
2016-02-15,100.4
2016-02-16,92.45
2016-02-17,90.25
2016-02-18,92.45
2016-02-19,90.55
2016-02-22,92.0
2016-02-23,89.1
2016-02-24,91.1
2016-02-25,89.65
2016-02-26,88.85
2016-02-29,91.6
2016-03-01,92.25
2016-03-02,93.4
2016-03-03,92.6
2016-03-04,90.95
2016-03-08,89.7
2016-03-09,89.6
2016-03-10,89.1
2016-03-11,90.45
2016-03-14,95.05
2016-03-15,93.1
2016-03-16,91.45
2016-03-17,89.25
2016-03-18,91.7
2016-03-21,90.25
2016-03-22,89.45
2016-03-23,88.55
2016-03-28,88.1
2016-03-29,93.5
2016-03-30,95.55
2016-03-31,98.05
2016-04-01,95.15
2016-04-04,95.4
2016-04-05,94.65
2016-04-06,94.65
2016-04-07,95.2
2016-04-08,93.8
2016-04-11,94.9
2016-04-12,93.9
2016-04-13,93.5
2016-04-18,92.2
2016-04-20,91.25
2016-04-21,92.85
2016-04-22,91.25
2016-04-25,90.55
2016-04-26,90.45
2016-04-27,91.65
2016-04-28,90.15
2016-04-29,95.25
2016-05-02,90.6
2016-05-03,90.45
2016-05-04,90.8
2016-05-05,90.05
2016-05-06,90.2
2016-05-09,89.5
2016-05-10,89.65
2016-05-11,87.6
2016-05-12,85.9
2016-05-13,87.55
2016-05-16,86.25
2016-05-17,85.35
2016-05-18,84.55
2016-05-19,83.3
2016-05-20,80.9
2016-05-23,79.75
2016-05-24,75.3
2016-05-25,77.6
2016-05-26,76.7
2016-05-27,78.4
2016-05-30,80.2
2016-05-31,86.6
2016-06-01,84.95
2016-06-02,86.4
2016-06-03,83.45
2016-06-06,83.9
2016-06-07,81.9
2016-06-08,80.5
2016-06-09,79.95
2016-06-10,80.2
2016-06-13,78.75
2016-06-14,80.45
2016-06-15,80.85
2016-06-16,79.05
2016-06-17,79.7
2016-06-20,79.5
2016-06-21,79.4
2016-06-22,77.7
2016-06-23,79.05
2016-06-24,77.05
2016-06-27,78.05
2016-06-28,78.75
2016-06-29,82.0
2016-06-30,80.65
2016-07-01,76.65
2016-07-04,78.0
2016-07-05,76.8
2016-07-07,81.0
2016-07-08,80.55
2016-07-11,77.25
2016-07-12,77.45
2016-07-13,74.65
2016-07-14,75.1
2016-07-15,74.1
2016-07-18,73.8
2016-07-19,73.0
2016-07-20,73.85
2016-07-21,74.15
2016-07-22,74.3
2016-07-25,74.15
2016-07-26,76.8
2016-07-27,77.4
2016-07-28,79.75
2016-07-29,80.8
2016-08-01,78.8
2016-08-02,80.7
2016-08-03,80.9
2016-08-04,80.5
2016-08-05,78.75
2016-08-08,77.3
2016-08-09,75.45
2016-08-10,75.65
2016-08-11,75.5
2016-08-12,77.6
2016-08-16,79.4
2016-08-17,78.7
2016-08-18,76.75
2016-08-19,76.4
2016-08-22,74.1
2016-08-23,74.15
2016-08-24,74.15
2016-08-25,75.5
2016-08-26,74.5
2016-08-29,74.0
2016-08-30,74.2
2016-08-31,74.0
2016-09-01,73.0
2016-09-02,71.95
2016-09-06,70.5
2016-09-07,70.3
2016-09-08,69.35
2016-09-09,69.3
2016-09-12,70.0
2016-09-14,68.25
2016-09-15,67.25
2016-09-16,66.35
2016-09-19,66.15
2016-09-20,66.3
2016-09-21,65.65
2016-09-22,64.55
2016-09-23,64.45
2016-09-26,64.25
2016-09-27,64.8
2016-09-28,65.55
2016-09-29,62.2
2016-09-30,62.95
2016-10-03,62.25
2016-10-04,68.55
2016-10-05,67.85
2016-10-06,65.25
2016-10-07,64.75
2016-10-10,64.3
2016-10-13,63.2
2016-10-14,62.1
2016-10-17,61.6
2016-10-18,63.0
2016-10-19,64.25
2016-10-20,64.5
2016-10-21,63.65
2016-10-24,64.4
2016-10-25,63.9
2016-10-26,63.85
2016-10-27,63.1
2016-10-28,64.1
2016-10-30,65.3
2016-11-01,65.95
2016-11-02,65.45
2016-11-03,63.55
2016-11-04,60.25
2016-11-07,62.15
2016-11-08,62.55
2016-11-09,60.2
2016-11-10,61.4
2016-11-11,60.35
2016-11-15,56.7
2016-11-16,58.6
2016-11-17,58.2
2016-11-18,58.9
2016-11-21,53.1
2016-11-22,56.0
2016-11-23,58.4
2016-11-24,58.35
2016-11-25,57.85
2016-11-28,58.3
2016-11-29,58.35
2016-11-30,57.5
2016-12-01,58.05
2016-12-02,60.7
2016-12-05,59.0
2016-12-06,58.8
2016-12-07,59.5
2016-12-08,59.85
2016-12-09,57.8
2016-12-12,58.5
2016-12-13,58.6
2016-12-14,58.75
2016-12-15,59.2
2016-12-16,59.4
2016-12-19,56.35
2016-12-20,56.4
2016-12-21,58.65
2016-12-22,56.0
2016-12-23,57.45
2016-12-26,54.9
2016-12-27,54.85
2016-12-28,54.75
2016-12-29,54.85
2016-12-30,55.0
