Date,VIPCLOTHNG
2016-01-01,57.45
2016-01-04,58.75
2016-01-05,63.8
2016-01-06,62.7
2016-01-07,58.85
2016-01-08,59.75
2016-01-11,58.55
2016-01-12,57.4
2016-01-13,54.95
2016-01-14,55.5
2016-01-15,51.1
2016-01-18,45.75
2016-01-19,50.65
2016-01-20,49.2
2016-01-21,48.5
2016-01-22,49.15
2016-01-25,50.05
2016-01-27,50.6
2016-01-28,50.3
2016-01-29,50.95
2016-02-01,49.3
2016-02-02,47.4
2016-02-03,45.5
2016-02-04,43.65
2016-02-05,44.35
2016-02-08,44.8
2016-02-09,43.25
2016-02-10,42.3
2016-02-11,38.6
2016-02-12,38.2
2016-02-15,38.75
2016-02-16,36.15
2016-02-17,35.4
2016-02-18,35.65
2016-02-19,36.3
2016-02-22,36.7
2016-02-23,35.45
2016-02-24,34.25
2016-02-25,31.75
2016-02-26,30.55
2016-02-29,31.3
2016-03-01,33.5
2016-03-02,35.75
2016-03-03,35.75
2016-03-04,38.85
2016-03-08,37.85
2016-03-09,40.4
2016-03-10,41.4
2016-03-11,42.0
2016-03-14,42.05
2016-03-15,42.1
2016-03-16,43.25
2016-03-17,43.4
2016-03-18,43.3
2016-03-21,43.25
2016-03-22,44.25
2016-03-23,43.3
2016-03-28,43.1
2016-03-29,43.55
2016-03-30,44.45
2016-03-31,43.9
2016-04-01,44.3
2016-04-04,47.3
2016-04-05,45.15
2016-04-06,46.65
2016-04-07,48.5
2016-04-08,48.2
2016-04-11,49.9
2016-04-12,49.95
2016-04-13,50.5
2016-04-18,51.6
2016-04-20,51.05
2016-04-21,50.55
2016-04-22,52.85
2016-04-25,53.95
2016-04-26,54.6
2016-04-27,54.5
2016-04-28,52.55
2016-04-29,51.75
2016-05-02,51.45
2016-05-03,53.1
2016-05-04,52.6
2016-05-05,51.95
2016-05-06,50.45
2016-05-09,50.85
2016-05-10,52.75
2016-05-11,51.3
2016-05-12,51.15
2016-05-13,50.9
2016-05-16,52.7
2016-05-17,52.0
2016-05-18,52.65
2016-05-19,50.8
2016-05-20,50.2
2016-05-23,49.9
2016-05-24,50.0
2016-05-25,49.95
2016-05-26,50.35
2016-05-27,50.1
2016-05-30,50.05
2016-05-31,49.25
2016-06-01,54.1
2016-06-02,54.0
2016-06-03,51.95
2016-06-06,50.5
2016-06-07,50.85
2016-06-08,53.95
2016-06-09,53.45
2016-06-10,51.85
2016-06-13,51.05
2016-06-14,52.6
2016-06-15,54.65
2016-06-16,63.75
2016-06-17,60.95
2016-06-20,64.3
2016-06-21,66.9
2016-06-22,68.05
2016-06-23,64.85
2016-06-24,70.2
2016-06-27,71.15
2016-06-28,68.3
2016-06-29,68.45
2016-06-30,67.2
2016-07-01,67.05
2016-07-04,67.25
2016-07-05,65.1
2016-07-07,70.95
2016-07-08,68.5
2016-07-11,69.8
2016-07-12,67.65
2016-07-13,66.0
2016-07-14,66.8
2016-07-15,64.3
2016-07-18,62.65
2016-07-19,62.65
2016-07-20,64.6
2016-07-21,63.45
2016-07-22,62.85
2016-07-25,65.25
2016-07-26,63.6
2016-07-27,62.75
2016-07-28,62.1
2016-07-29,67.85
2016-08-01,69.7
2016-08-02,68.85
2016-08-03,67.5
2016-08-04,66.25
2016-08-05,67.15
2016-08-08,71.6
2016-08-09,69.2
2016-08-10,65.7
2016-08-11,69.8
2016-08-12,68.6
2016-08-16,67.05
2016-08-17,67.7
2016-08-18,68.35
2016-08-19,69.3
2016-08-22,68.0
2016-08-23,67.45
2016-08-24,66.95
2016-08-25,66.05
2016-08-26,64.6
2016-08-29,64.6
2016-08-30,65.8
2016-08-31,65.0
2016-09-01,63.65
2016-09-02,64.85
2016-09-06,64.65
2016-09-07,63.6
2016-09-08,65.9
2016-09-09,65.8
2016-09-12,63.2
2016-09-14,63.55
2016-09-15,66.95
2016-09-16,64.8
2016-09-19,65.0
2016-09-20,65.55
2016-09-21,66.95
2016-09-22,67.3
2016-09-23,65.45
2016-09-26,64.9
2016-09-27,64.65
2016-09-28,64.1
2016-09-29,59.1
2016-09-30,59.9
2016-10-03,64.15
2016-10-04,63.2
2016-10-05,63.25
2016-10-06,61.8
2016-10-07,62.3
2016-10-10,63.45
2016-10-13,60.6
2016-10-14,61.15
2016-10-17,59.8
2016-10-18,60.5
2016-10-19,60.45
2016-10-20,60.85
2016-10-21,63.45
2016-10-24,62.75
2016-10-25,65.5
2016-10-26,64.0
2016-10-27,64.3
2016-10-28,63.65
2016-10-30,63.9
2016-11-01,64.2
2016-11-02,61.65
2016-11-03,63.55
2016-11-04,60.15
2016-11-07,61.85
2016-11-08,60.8
2016-11-09,58.1
2016-11-10,58.8
2016-11-11,55.45
2016-11-15,50.35
2016-11-16,49.35
2016-11-17,47.5
2016-11-18,46.75
2016-11-21,44.6
2016-11-22,43.2
2016-11-23,44.95
2016-11-24,46.3
2016-11-25,47.65
2016-11-28,47.5
2016-11-29,55.65
2016-11-30,53.95
2016-12-01,52.85
2016-12-02,53.5
2016-12-05,54.0
2016-12-06,54.4
2016-12-07,53.2
2016-12-08,55.6
2016-12-09,56.2
2016-12-12,56.7
2016-12-13,57.7
2016-12-14,56.25
2016-12-15,55.2
2016-12-16,54.4
2016-12-19,53.8
2016-12-20,51.55
2016-12-21,53.0
2016-12-22,50.8
2016-12-23,50.45
2016-12-26,47.6
2016-12-27,48.3
2016-12-28,48.25
2016-12-29,48.65
2016-12-30,52.2
