Date,PEARLPOLY
2016-01-01,21.5
2016-01-04,21.0
2016-01-05,19.95
2016-01-06,20.45
2016-01-07,19.0
2016-01-08,19.65
2016-01-11,21.6
2016-01-12,23.75
2016-01-13,24.6
2016-01-14,26.3
2016-01-15,25.85
2016-01-18,24.6
2016-01-19,23.65
2016-01-20,22.55
2016-01-21,22.0
2016-01-22,21.6
2016-01-25,20.55
2016-01-27,20.0
2016-01-28,19.15
2016-01-29,18.8
2016-02-01,18.9
2016-02-02,18.0
2016-02-03,17.1
2016-02-04,16.25
2016-02-05,17.0
2016-02-08,17.65
2016-02-09,16.8
2016-02-10,16.0
2016-02-11,15.2
2016-02-12,15.75
2016-02-15,15.0
2016-02-16,14.25
2016-02-17,14.65
2016-02-18,14.15
2016-02-22,13.95
2016-02-23,14.5
2016-02-24,14.9
2016-02-25,14.2
2016-02-26,14.1
2016-02-29,13.4
2016-03-01,13.25
2016-03-02,13.9
2016-03-03,13.7
2016-03-04,13.55
2016-03-08,13.7
2016-03-09,13.55
2016-03-11,13.1
2016-03-14,13.5
2016-03-15,12.9
2016-03-17,12.8
2016-03-18,13.1
2016-03-21,12.6
2016-03-22,13.2
2016-03-23,12.6
2016-03-28,12.05
2016-03-29,12.0
2016-03-30,12.05
2016-03-31,11.95
2016-04-01,13.1
2016-04-04,13.5
2016-04-05,12.4
2016-04-06,13.5
2016-04-07,13.45
2016-04-08,13.5
2016-04-11,14.5
2016-04-12,14.0
2016-04-13,14.8
2016-04-18,16.25
2016-04-20,17.05
2016-04-21,16.5
2016-04-22,16.2
2016-04-25,17.0
2016-04-26,16.75
2016-04-27,16.0
2016-04-28,16.0
2016-04-29,15.6
2016-05-02,15.35
2016-05-03,14.6
2016-05-04,14.2
2016-05-05,14.4
2016-05-06,14.35
2016-05-09,15.5
2016-05-10,16.5
2016-05-11,17.0
2016-05-12,17.2
2016-05-13,16.95
2016-05-16,17.4
2016-05-17,17.2
2016-05-18,17.5
2016-05-19,16.5
2016-05-20,16.85
2016-05-23,16.45
2016-05-24,16.5
2016-05-25,17.5
2016-05-26,16.95
2016-05-27,16.7
2016-05-30,16.25
2016-05-31,17.3
2016-06-01,16.1
2016-06-02,16.1
2016-06-03,17.25
2016-06-06,16.2
2016-06-07,16.45
2016-06-08,17.5
2016-06-09,16.75
2016-06-10,17.5
2016-06-13,18.0
2016-06-14,17.75
2016-06-16,18.0
2016-06-17,18.0
2016-06-20,18.0
2016-06-21,17.5
2016-06-22,18.5
2016-06-23,18.0
2016-06-24,18.15
2016-06-27,17.55
2016-06-28,18.5
2016-06-29,18.85
2016-06-30,18.0
2016-07-01,18.1
2016-07-04,18.5
2016-07-05,18.0
2016-07-07,17.0
2016-07-08,18.8
2016-07-11,21.0
2016-07-12,21.8
2016-07-13,20.55
2016-07-14,20.95
2016-07-15,20.05
2016-07-18,17.5
2016-07-19,18.05
2016-07-20,19.5
2016-07-21,18.55
2016-07-22,18.8
2016-07-25,22.55
2016-07-26,24.5
2016-07-27,24.15
2016-07-28,24.25
2016-07-29,23.8
2016-08-01,22.95
2016-08-02,22.95
2016-08-03,21.7
2016-08-04,21.2
2016-08-05,21.55
2016-08-08,25.1
2016-08-09,23.75
2016-08-10,22.85
2016-08-11,22.5
2016-08-12,18.95
2016-08-16,18.35
2016-08-17,18.3
2016-08-18,19.0
2016-08-19,19.3
2016-08-22,18.55
2016-08-23,18.75
2016-08-24,18.7
2016-08-25,18.5
2016-08-26,18.55
2016-08-29,17.95
2016-08-30,18.2
2016-08-31,18.35
2016-09-01,18.25
2016-09-02,18.1
2016-09-06,18.0
2016-09-07,18.05
2016-09-08,18.15
2016-09-09,18.2
2016-09-12,18.0
2016-09-14,17.75
2016-09-15,18.9
2016-09-16,19.0
2016-09-19,20.35
2016-09-20,19.9
2016-09-21,20.25
2016-09-22,21.1
2016-09-23,20.75
2016-09-26,20.3
2016-09-27,20.3
2016-09-28,20.55
2016-09-29,18.25
2016-09-30,18.75
2016-10-03,19.9
2016-10-04,20.35
2016-10-05,24.0
2016-10-06,21.75
2016-10-07,21.3
2016-10-10,20.55
2016-10-13,20.35
2016-10-14,20.7
2016-10-17,21.6
2016-10-18,22.2
2016-10-19,22.0
2016-10-20,22.0
2016-10-21,23.25
2016-10-24,26.8
2016-10-25,24.8
2016-10-26,29.45
2016-10-27,28.8
2016-10-28,28.25
2016-10-30,28.45
2016-11-01,26.55
2016-11-02,25.55
2016-11-03,22.9
2016-11-04,23.4
2016-11-07,23.3
2016-11-08,21.95
2016-11-09,20.6
2016-11-10,20.05
2016-11-11,20.1
2016-11-15,18.75
2016-11-16,18.6
2016-11-17,18.3
2016-11-18,18.6
2016-11-21,17.95
2016-11-22,18.4
2016-11-23,19.1
2016-11-24,19.25
2016-11-25,20.25
2016-11-28,20.55
2016-11-29,21.95
2016-11-30,23.45
2016-12-01,23.85
2016-12-02,23.7
2016-12-05,23.8
2016-12-06,23.85
2016-12-07,23.4
2016-12-08,24.5
2016-12-09,24.15
2016-12-12,23.75
2016-12-13,24.1
2016-12-14,24.0
2016-12-15,23.55
2016-12-16,23.75
2016-12-19,23.6
2016-12-20,23.75
2016-12-21,23.3
2016-12-22,22.5
2016-12-23,22.8
2016-12-26,22.7
2016-12-27,22.85
2016-12-28,23.95
2016-12-29,23.9
2016-12-30,23.95
