Date,SPLIL
2016-01-01,30.65
2016-01-04,34.35
2016-01-05,36.4
2016-01-06,35.55
2016-01-07,32.7
2016-01-08,39.2
2016-01-11,41.05
2016-01-12,40.6
2016-01-13,36.5
2016-01-14,35.1
2016-01-15,33.9
2016-01-18,29.4
2016-01-19,32.55
2016-01-20,31.3
2016-01-21,34.7
2016-01-22,35.15
2016-01-25,33.6
2016-01-27,34.1
2016-01-28,34.6
2016-01-29,35.4
2016-02-01,34.4
2016-02-02,34.05
2016-02-03,32.7
2016-02-04,33.75
2016-02-05,31.9
2016-02-08,32.5
2016-02-09,31.55
2016-02-10,30.95
2016-02-11,29.6
2016-02-12,27.95
2016-02-15,29.95
2016-02-16,27.95
2016-02-17,27.3
2016-02-18,29.1
2016-02-19,28.2
2016-02-22,27.0
2016-02-23,25.45
2016-02-24,23.95
2016-02-25,23.35
2016-02-26,22.65
2016-02-29,23.55
2016-03-01,24.05
2016-03-02,26.75
2016-03-03,27.0
2016-03-04,25.8
2016-03-08,24.65
2016-03-09,23.55
2016-03-10,23.9
2016-03-11,22.25
2016-03-14,22.9
2016-03-15,21.45
2016-03-16,21.95
2016-03-17,21.7
2016-03-18,21.25
2016-03-21,21.9
2016-03-22,21.3
2016-03-23,21.8
2016-03-28,21.8
2016-03-29,21.4
2016-03-30,22.7
2016-03-31,22.8
2016-04-01,22.55
2016-04-04,22.3
2016-04-05,22.8
2016-04-06,23.6
2016-04-07,26.1
2016-04-08,25.2
2016-04-11,23.85
2016-04-12,28.6
2016-04-13,32.2
2016-04-18,29.45
2016-04-20,29.95
2016-04-21,29.7
2016-04-22,28.9
2016-04-25,30.15
2016-04-26,30.65
2016-04-27,29.0
2016-04-28,29.2
2016-04-29,30.95
2016-05-02,29.35
2016-05-03,29.8
2016-05-04,28.6
2016-05-05,28.85
2016-05-06,29.0
2016-05-09,28.8
2016-05-10,29.3
2016-05-11,28.8
2016-05-12,26.25
2016-05-13,26.15
2016-05-16,26.9
2016-05-17,27.85
2016-05-18,26.8
2016-05-19,27.4
2016-05-20,27.6
2016-05-23,28.0
2016-05-24,27.25
2016-05-25,27.8
2016-05-26,27.65
2016-05-27,30.85
2016-05-30,36.35
2016-05-31,34.25
2016-06-01,34.3
2016-06-02,34.85
2016-06-03,32.2
2016-06-06,31.65
2016-06-07,31.5
2016-06-08,31.6
2016-06-09,31.0
2016-06-10,30.5
2016-06-13,29.9
2016-06-14,30.05
2016-06-15,29.9
2016-06-16,30.05
2016-06-17,29.75
2016-06-20,30.45
2016-06-21,31.1
2016-06-22,32.55
2016-06-23,32.5
2016-06-24,31.65
2016-06-27,32.65
2016-06-28,32.15
2016-06-29,32.65
2016-06-30,32.85
2016-07-01,32.15
2016-07-04,32.65
2016-07-05,33.35
2016-07-07,32.2
2016-07-08,32.8
2016-07-11,33.4
2016-07-12,33.15
2016-07-13,33.1
2016-07-14,32.55
2016-07-15,32.4
2016-07-18,31.5
2016-07-19,31.3
2016-07-20,32.95
2016-07-21,32.9
2016-07-22,33.1
2016-07-25,32.25
2016-07-26,31.75
2016-07-27,31.95
2016-07-28,31.35
2016-07-29,32.35
2016-08-01,30.8
2016-08-02,30.3
2016-08-03,30.0
2016-08-04,30.15
2016-08-05,30.25
2016-08-08,30.4
2016-08-09,30.3
2016-08-10,29.3
2016-08-11,30.9
2016-08-12,30.15
2016-08-16,32.5
2016-08-17,30.85
2016-08-18,31.1
2016-08-19,30.65
2016-08-22,27.2
2016-08-23,27.9
2016-08-24,27.15
2016-08-25,26.3
2016-08-26,26.7
2016-08-29,29.05
2016-08-30,28.85
2016-08-31,29.75
2016-09-01,29.3
2016-09-02,28.6
2016-09-06,29.1
2016-09-07,28.3
2016-09-08,28.4
2016-09-09,28.2
2016-09-12,29.0
2016-09-14,30.0
2016-09-15,30.0
2016-09-16,28.7
2016-09-19,28.65
2016-09-20,28.35
2016-09-21,28.6
2016-09-22,28.8
2016-09-23,28.55
2016-09-26,28.1
2016-09-27,28.45
2016-09-28,30.0
2016-09-29,29.2
2016-09-30,28.5
2016-10-03,29.35
2016-10-04,29.6
2016-10-05,29.05
2016-10-06,29.4
2016-10-07,29.0
2016-10-10,28.7
2016-10-13,28.45
2016-10-14,29.25
2016-10-17,29.25
2016-10-18,28.8
2016-10-19,29.25
2016-10-20,29.7
2016-10-21,29.15
2016-10-24,29.0
2016-10-25,29.45
2016-10-26,29.05
2016-10-27,28.3
2016-10-28,28.4
2016-10-30,28.45
2016-11-01,28.9
2016-11-02,28.35
2016-11-03,29.1
2016-11-04,29.55
2016-11-07,29.1
2016-11-08,28.8
2016-11-09,27.15
2016-11-10,28.1
2016-11-11,27.05
2016-11-15,26.4
2016-11-16,26.05
2016-11-17,25.6
2016-11-18,25.25
2016-11-21,25.05
2016-11-22,25.5
2016-11-23,25.7
2016-11-24,24.9
2016-11-25,25.8
2016-11-28,25.6
2016-11-29,25.35
2016-11-30,26.4
2016-12-01,27.0
2016-12-02,26.15
2016-12-05,25.8
2016-12-06,26.0
2016-12-07,26.6
2016-12-08,29.15
2016-12-09,28.55
2016-12-12,27.75
2016-12-13,28.7
2016-12-14,28.7
2016-12-15,28.0
2016-12-16,27.75
2016-12-19,27.5
2016-12-20,27.25
2016-12-21,27.35
2016-12-22,26.7
2016-12-23,26.75
2016-12-26,26.3
2016-12-27,26.75
2016-12-28,26.2
2016-12-29,25.8
2016-12-30,26.4
