Date,CINELINE
2016-01-01,22.6
2016-01-04,24.0
2016-01-05,26.4
2016-01-06,28.4
2016-01-07,26.25
2016-01-08,25.65
2016-01-11,28.2
2016-01-12,27.45
2016-01-13,25.55
2016-01-14,25.5
2016-01-15,23.55
2016-01-18,21.4
2016-01-19,21.95
2016-01-20,21.0
2016-01-21,20.0
2016-01-22,21.0
2016-01-25,22.05
2016-01-27,23.15
2016-01-28,24.3
2016-01-29,25.5
2016-02-01,26.75
2016-02-02,26.55
2016-02-03,25.3
2016-02-04,25.45
2016-02-05,24.25
2016-02-08,25.25
2016-02-09,24.2
2016-02-10,23.0
2016-02-11,21.85
2016-02-12,21.05
2016-02-15,22.0
2016-02-16,21.1
2016-02-17,20.3
2016-02-18,20.8
2016-02-19,21.35
2016-02-22,21.4
2016-02-23,21.3
2016-02-24,20.25
2016-02-25,19.25
2016-02-26,18.6
2016-02-29,18.05
2016-03-01,18.95
2016-03-02,19.85
2016-03-03,20.8
2016-03-04,21.3
2016-03-08,20.7
2016-03-09,21.6
2016-03-10,21.1
2016-03-11,20.25
2016-03-14,20.05
2016-03-15,19.5
2016-03-16,19.1
2016-03-17,18.6
2016-03-18,19.05
2016-03-21,19.25
2016-03-22,19.85
2016-03-23,18.9
2016-03-28,18.5
2016-03-29,18.1
2016-03-30,19.0
2016-03-31,19.95
2016-04-01,21.9
2016-04-04,24.05
2016-04-05,26.45
2016-04-06,27.75
2016-04-07,28.15
2016-04-08,29.55
2016-04-11,28.1
2016-04-12,27.0
2016-04-13,28.0
2016-04-18,27.75
2016-04-20,27.3
2016-04-21,26.7
2016-04-22,26.85
2016-04-25,28.15
2016-04-26,28.0
2016-04-27,28.0
2016-04-28,27.2
2016-04-29,27.25
2016-05-02,27.25
2016-05-03,27.15
2016-05-04,27.0
2016-05-05,27.1
2016-05-06,27.0
2016-05-09,26.95
2016-05-10,27.05
2016-05-11,29.75
2016-05-12,32.4
2016-05-13,31.2
2016-05-16,34.1
2016-05-17,34.5
2016-05-18,33.7
2016-05-19,32.55
2016-05-20,32.6
2016-05-23,32.15
2016-05-24,31.7
2016-05-25,32.3
2016-05-26,32.5
2016-05-27,34.1
2016-05-30,35.8
2016-05-31,34.45
2016-06-01,34.25
2016-06-02,35.95
2016-06-03,37.8
2016-06-06,39.6
2016-06-07,40.95
2016-06-08,44.85
2016-06-09,44.45
2016-06-10,43.75
2016-06-13,43.75
2016-06-14,43.55
2016-06-15,47.9
2016-06-16,52.65
2016-06-17,55.25
2016-06-20,58.0
2016-06-21,60.9
2016-06-22,63.9
2016-06-23,60.95
2016-06-24,57.95
2016-06-27,56.3
2016-06-28,53.7
2016-06-29,56.35
2016-06-30,59.15
2016-07-01,65.05
2016-07-04,65.95
2016-07-05,62.85
2016-07-07,61.85
2016-07-08,61.5
2016-07-11,60.55
2016-07-12,56.1
2016-07-13,53.5
2016-07-14,58.85
2016-07-15,61.3
2016-07-18,59.5
2016-07-19,59.9
2016-07-20,58.9
2016-07-21,57.95
2016-07-22,57.9
2016-07-25,56.95
2016-07-26,55.2
2016-07-27,55.2
2016-07-28,55.7
2016-07-29,54.95
2016-08-01,54.5
2016-08-02,54.05
2016-08-03,52.3
2016-08-04,53.85
2016-08-05,57.25
2016-08-08,56.1
2016-08-09,56.35
2016-08-10,53.5
2016-08-11,52.2
2016-08-12,51.75
2016-08-16,51.35
2016-08-17,50.8
2016-08-18,53.0
2016-08-19,53.85
2016-08-22,53.5
2016-08-23,58.85
2016-08-24,64.2
2016-08-25,63.4
2016-08-26,63.6
2016-08-29,63.05
2016-08-30,62.35
2016-08-31,63.05
2016-09-01,61.9
2016-09-02,60.8
2016-09-06,60.9
2016-09-07,62.0
2016-09-08,62.15
2016-09-09,61.4
2016-09-12,60.6
2016-09-14,63.0
2016-09-15,62.55
2016-09-16,63.6
2016-09-19,63.6
2016-09-20,62.8
2016-09-21,61.8
2016-09-22,62.55
2016-09-23,61.4
2016-09-26,58.9
2016-09-27,58.55
2016-09-28,61.1
2016-09-29,57.95
2016-09-30,63.8
2016-10-03,64.55
2016-10-04,63.5
2016-10-05,63.75
2016-10-06,61.35
2016-10-07,62.75
2016-10-10,63.05
2016-10-13,62.25
2016-10-14,63.2
2016-10-17,67.2
2016-10-18,67.1
2016-10-19,70.4
2016-10-20,70.55
2016-10-21,70.8
2016-10-24,72.65
2016-10-25,72.45
2016-10-26,71.85
2016-10-27,72.5
2016-10-28,87.0
2016-10-30,96.55
2016-11-01,95.7
2016-11-02,95.95
2016-11-03,97.35
2016-11-04,96.95
2016-11-07,94.35
2016-11-08,91.6
2016-11-09,88.8
2016-11-10,89.25
2016-11-11,83.65
2016-11-15,78.35
2016-11-16,73.6
2016-11-17,72.25
2016-11-18,72.8
2016-11-21,67.15
2016-11-22,64.35
2016-11-23,77.2
2016-11-24,83.45
2016-11-25,83.9
2016-11-28,79.45
2016-11-29,79.0
2016-11-30,83.9
2016-12-01,80.0
2016-12-02,77.3
2016-12-05,78.95
2016-12-06,80.6
2016-12-07,78.75
2016-12-08,83.8
2016-12-09,84.15
2016-12-12,81.3
2016-12-13,81.2
2016-12-14,82.15
2016-12-15,81.7
2016-12-16,83.2
2016-12-19,83.15
2016-12-20,80.1
2016-12-21,81.05
2016-12-22,78.25
2016-12-23,78.7
2016-12-26,78.4
2016-12-27,79.45
2016-12-28,79.75
2016-12-29,80.6
2016-12-30,81.1
