Date,GREAVESCOT
2016-01-01,142.25
2016-01-04,142.2
2016-01-05,145.75
2016-01-06,142.2
2016-01-07,138.6
2016-01-08,138.9
2016-01-11,139.25
2016-01-12,139.45
2016-01-13,136.85
2016-01-14,133.9
2016-01-15,133.2
2016-01-18,124.95
2016-01-19,126.35
2016-01-20,127.65
2016-01-21,123.45
2016-01-22,125.0
2016-01-25,127.75
2016-01-27,128.25
2016-01-28,128.0
2016-01-29,128.95
2016-02-01,127.2
2016-02-02,126.45
2016-02-03,124.85
2016-02-04,129.9
2016-02-05,131.5
2016-02-08,127.65
2016-02-09,125.2
2016-02-10,128.95
2016-02-11,121.7
2016-02-12,118.65
2016-02-15,126.6
2016-02-16,126.8
2016-02-17,126.1
2016-02-18,123.65
2016-02-19,124.65
2016-02-22,125.05
2016-02-23,122.0
2016-02-24,118.45
2016-02-25,116.8
2016-02-26,118.7
2016-02-29,116.9
2016-03-01,125.15
2016-03-02,125.3
2016-03-03,126.1
2016-03-04,126.85
2016-03-08,126.2
2016-03-09,126.55
2016-03-10,125.9
2016-03-11,125.1
2016-03-14,125.5
2016-03-15,124.6
2016-03-16,123.05
2016-03-17,122.3
2016-03-18,122.95
2016-03-21,123.7
2016-03-22,124.55
2016-03-23,125.15
2016-03-28,122.25
2016-03-29,121.25
2016-03-30,121.65
2016-03-31,123.1
2016-04-01,123.55
2016-04-04,127.75
2016-04-05,125.2
2016-04-06,130.2
2016-04-07,127.65
2016-04-08,126.9
2016-04-11,127.4
2016-04-12,131.05
2016-04-13,136.65
2016-04-18,133.95
2016-04-20,132.9
2016-04-21,136.2
2016-04-22,135.95
2016-04-25,134.0
2016-04-26,133.9
2016-04-27,136.0
2016-04-28,135.1
2016-04-29,134.0
2016-05-02,132.95
2016-05-03,133.9
2016-05-04,132.35
2016-05-05,131.25
2016-05-06,131.45
2016-05-09,138.3
2016-05-10,140.7
2016-05-11,142.05
2016-05-12,145.55
2016-05-13,144.15
2016-05-16,143.25
2016-05-17,140.8
2016-05-18,140.15
2016-05-19,139.25
2016-05-20,137.7
2016-05-23,135.8
2016-05-24,137.05
2016-05-25,135.1
2016-05-26,140.9
2016-05-27,141.05
2016-05-30,138.5
2016-05-31,135.9
2016-06-01,136.4
2016-06-02,137.5
2016-06-03,137.6
2016-06-06,136.35
2016-06-07,139.25
2016-06-08,137.85
2016-06-09,138.6
2016-06-10,138.55
2016-06-13,139.15
2016-06-14,137.8
2016-06-15,139.2
2016-06-16,138.95
2016-06-17,136.5
2016-06-20,138.45
2016-06-21,137.5
2016-06-22,134.95
2016-06-23,135.5
2016-06-24,132.2
2016-06-27,137.0
2016-06-28,136.4
2016-06-29,137.6
2016-06-30,138.7
2016-07-01,137.95
2016-07-04,138.85
2016-07-05,137.85
2016-07-07,138.05
2016-07-08,136.9
2016-07-11,138.0
2016-07-12,146.55
2016-07-13,143.3
2016-07-14,143.2
2016-07-15,140.7
2016-07-18,141.4
2016-07-19,145.9
2016-07-20,145.1
2016-07-21,143.55
2016-07-22,144.1
2016-07-25,144.05
2016-07-26,141.75
2016-07-27,144.65
2016-07-28,144.8
2016-07-29,143.9
2016-08-01,146.25
2016-08-02,139.6
2016-08-03,141.95
2016-08-04,139.3
2016-08-05,139.3
2016-08-08,138.25
2016-08-09,139.1
2016-08-10,137.6
2016-08-11,138.45
2016-08-12,137.35
2016-08-16,138.15
2016-08-17,139.15
2016-08-18,140.25
2016-08-19,138.2
2016-08-22,137.1
2016-08-23,132.7
2016-08-24,133.9
2016-08-25,136.3
2016-08-26,138.25
2016-08-29,135.9
2016-08-30,137.8
2016-08-31,137.6
2016-09-01,136.5
2016-09-02,135.35
2016-09-06,135.15
2016-09-07,135.0
2016-09-08,135.0
2016-09-09,133.55
2016-09-12,135.45
2016-09-14,134.75
2016-09-15,134.95
2016-09-16,133.9
2016-09-19,132.75
2016-09-20,132.85
2016-09-21,133.35
2016-09-22,132.3
2016-09-23,130.3
2016-09-26,127.7
2016-09-27,127.65
2016-09-28,131.65
2016-09-29,127.5
2016-09-30,129.9
2016-10-03,129.9
2016-10-04,128.85
2016-10-05,128.45
2016-10-06,127.0
2016-10-07,126.3
2016-10-10,128.2
2016-10-13,126.95
2016-10-14,126.05
2016-10-17,126.55
2016-10-18,128.65
2016-10-19,128.25
2016-10-20,127.65
2016-10-21,126.95
2016-10-24,133.7
2016-10-25,139.0
2016-10-26,137.65
2016-10-27,137.1
2016-10-28,138.25
2016-10-30,138.5
2016-11-01,140.25
2016-11-02,137.3
2016-11-03,135.4
2016-11-04,134.7
2016-11-07,134.3
2016-11-08,132.45
2016-11-09,130.2
2016-11-10,129.45
2016-11-11,128.55
2016-11-15,125.1
2016-11-16,125.7
2016-11-17,123.8
2016-11-18,124.9
2016-11-21,121.8
2016-11-22,121.8
2016-11-23,123.7
2016-11-24,123.35
2016-11-25,124.55
2016-11-28,125.0
2016-11-29,125.5
2016-11-30,126.0
2016-12-01,128.8
2016-12-02,130.1
2016-12-05,127.85
2016-12-06,126.2
2016-12-07,127.15
2016-12-08,127.0
2016-12-09,125.9
2016-12-12,126.05
2016-12-13,126.15
2016-12-14,125.1
2016-12-15,123.9
2016-12-16,122.75
2016-12-19,122.25
2016-12-20,121.1
2016-12-21,121.25
2016-12-22,119.95
2016-12-23,119.7
2016-12-26,117.4
2016-12-27,118.8
2016-12-28,119.45
2016-12-29,119.0
2016-12-30,122.05
