Date,HIMATSEIDE
2016-01-01,217.85
2016-01-04,211.2
2016-01-05,219.8
2016-01-06,231.95
2016-01-07,218.65
2016-01-08,232.85
2016-01-11,233.95
2016-01-12,230.95
2016-01-13,222.8
2016-01-14,214.1
2016-01-15,204.05
2016-01-18,181.55
2016-01-19,205.35
2016-01-20,201.05
2016-01-21,201.95
2016-01-22,202.3
2016-01-25,195.25
2016-01-27,194.15
2016-01-28,192.6
2016-01-29,201.8
2016-02-01,202.95
2016-02-02,197.4
2016-02-03,186.85
2016-02-04,189.55
2016-02-05,189.8
2016-02-08,185.5
2016-02-09,179.9
2016-02-10,176.5
2016-02-11,162.25
2016-02-12,164.4
2016-02-15,181.0
2016-02-16,171.15
2016-02-17,168.2
2016-02-18,173.85
2016-02-19,170.7
2016-02-22,166.25
2016-02-23,165.85
2016-02-24,158.15
2016-02-25,155.65
2016-02-26,153.75
2016-02-29,147.8
2016-03-01,157.25
2016-03-02,168.45
2016-03-03,175.95
2016-03-04,179.8
2016-03-08,186.1
2016-03-09,182.8
2016-03-10,188.95
2016-03-11,193.35
2016-03-14,202.7
2016-03-15,198.65
2016-03-16,192.6
2016-03-17,189.35
2016-03-18,199.05
2016-03-21,201.7
2016-03-22,195.05
2016-03-23,192.95
2016-03-28,190.3
2016-03-29,191.05
2016-03-30,196.4
2016-03-31,195.15
2016-04-01,197.35
2016-04-04,197.4
2016-04-05,188.75
2016-04-06,190.55
2016-04-07,189.25
2016-04-08,186.25
2016-04-11,187.3
2016-04-12,190.3
2016-04-13,193.65
2016-04-18,212.3
2016-04-20,209.45
2016-04-21,210.1
2016-04-22,208.4
2016-04-25,215.8
2016-04-26,226.45
2016-04-27,225.2
2016-04-28,224.5
2016-04-29,234.3
2016-05-02,243.6
2016-05-03,236.5
2016-05-04,240.9
2016-05-05,238.35
2016-05-06,239.45
2016-05-09,238.25
2016-05-10,234.65
2016-05-11,227.3
2016-05-12,232.55
2016-05-13,233.65
2016-05-16,232.05
2016-05-17,231.85
2016-05-18,231.7
2016-05-19,228.3
2016-05-20,221.6
2016-05-23,222.75
2016-05-24,217.85
2016-05-25,216.2
2016-05-26,215.25
2016-05-27,224.75
2016-05-30,222.75
2016-05-31,220.3
2016-06-01,220.95
2016-06-02,222.05
2016-06-03,222.2
2016-06-06,222.35
2016-06-07,232.9
2016-06-08,230.15
2016-06-09,229.9
2016-06-10,231.45
2016-06-13,229.85
2016-06-14,227.05
2016-06-15,226.7
2016-06-16,229.1
2016-06-17,228.8
2016-06-20,227.25
2016-06-21,231.55
2016-06-22,235.05
2016-06-23,234.55
2016-06-24,223.85
2016-06-27,226.4
2016-06-28,226.5
2016-06-29,229.85
2016-06-30,229.7
2016-07-01,231.85
2016-07-04,234.2
2016-07-05,251.55
2016-07-07,253.35
2016-07-08,261.45
2016-07-11,264.7
2016-07-12,271.5
2016-07-13,271.5
2016-07-14,271.15
2016-07-15,275.75
2016-07-18,271.95
2016-07-19,276.3
2016-07-20,278.05
2016-07-21,281.75
2016-07-22,287.9
2016-07-25,286.15
2016-07-26,275.45
2016-07-27,270.75
2016-07-28,268.75
2016-07-29,272.25
2016-08-01,270.85
2016-08-02,258.55
2016-08-03,264.85
2016-08-04,254.65
2016-08-05,259.95
2016-08-08,265.45
2016-08-09,259.4
2016-08-10,259.55
2016-08-11,269.4
2016-08-12,269.85
2016-08-16,267.55
2016-08-17,269.4
2016-08-18,271.1
2016-08-19,268.85
2016-08-22,262.55
2016-08-23,266.55
2016-08-24,263.35
2016-08-25,260.4
2016-08-26,260.1
2016-08-29,257.45
2016-08-30,265.65
2016-08-31,259.9
2016-09-01,258.65
2016-09-02,254.9
2016-09-06,256.45
2016-09-07,265.35
2016-09-08,263.3
2016-09-09,260.55
2016-09-12,259.15
2016-09-14,263.35
2016-09-15,259.9
2016-09-16,266.65
2016-09-19,271.4
2016-09-20,266.8
2016-09-21,268.75
2016-09-22,268.85
2016-09-23,266.65
2016-09-26,272.15
2016-09-27,270.95
2016-09-28,273.8
2016-09-29,263.45
2016-09-30,268.6
2016-10-03,278.8
2016-10-04,288.35
2016-10-05,287.35
2016-10-06,284.25
2016-10-07,277.3
2016-10-10,276.45
2016-10-13,269.85
2016-10-14,274.65
2016-10-17,272.3
2016-10-18,273.25
2016-10-19,273.05
2016-10-20,269.05
2016-10-21,271.05
2016-10-24,272.75
2016-10-25,278.15
2016-10-26,273.8
2016-10-27,281.45
2016-10-28,285.9
2016-10-30,281.7
2016-11-01,293.1
2016-11-02,295.15
2016-11-03,297.15
2016-11-04,280.95
2016-11-07,288.0
2016-11-08,284.0
2016-11-09,278.05
2016-11-10,287.65
2016-11-11,272.55
2016-11-15,269.8
2016-11-16,265.0
2016-11-17,266.7
2016-11-18,266.15
2016-11-21,259.1
2016-11-22,268.75
2016-11-23,273.3
2016-11-24,275.65
2016-11-25,278.25
2016-11-28,281.8
2016-11-29,283.6
2016-11-30,283.8
2016-12-01,280.2
2016-12-02,281.55
2016-12-05,287.55
2016-12-06,290.25
2016-12-07,293.8
2016-12-08,292.0
2016-12-09,302.45
2016-12-12,304.6
2016-12-13,301.9
2016-12-14,293.35
2016-12-15,291.5
2016-12-16,286.9
2016-12-19,290.3
2016-12-20,290.95
2016-12-21,286.25
2016-12-22,279.05
2016-12-23,276.1
2016-12-26,270.55
2016-12-27,276.15
2016-12-28,285.05
2016-12-29,297.25
2016-12-30,294.35
