Date,JPOLYINVST
2016-01-01,113.3
2016-01-04,111.2
2016-01-05,108.55
2016-01-06,108.75
2016-01-07,100.3
2016-01-08,101.95
2016-01-11,99.95
2016-01-12,99.25
2016-01-13,94.35
2016-01-14,90.75
2016-01-15,84.1
2016-01-18,78.75
2016-01-19,79.25
2016-01-20,73.1
2016-01-21,75.05
2016-01-22,84.15
2016-01-25,84.75
2016-01-27,83.4
2016-01-28,79.85
2016-01-29,83.2
2016-02-01,81.75
2016-02-02,81.1
2016-02-03,77.05
2016-02-04,77.45
2016-02-05,79.95
2016-02-08,77.1
2016-02-09,75.05
2016-02-10,73.25
2016-02-11,72.3
2016-02-12,69.9
2016-02-15,71.0
2016-02-16,69.6
2016-02-17,70.3
2016-02-18,71.85
2016-02-19,69.4
2016-02-22,72.2
2016-02-23,70.9
2016-02-24,76.1
2016-02-25,71.7
2016-02-26,70.9
2016-02-29,70.0
2016-03-01,74.0
2016-03-02,76.0
2016-03-03,77.15
2016-03-04,77.35
2016-03-08,80.3
2016-03-09,79.9
2016-03-10,79.15
2016-03-11,82.1
2016-03-14,79.9
2016-03-15,77.55
2016-03-16,77.0
2016-03-17,80.25
2016-03-18,76.45
2016-03-21,79.35
2016-03-22,80.15
2016-03-23,80.35
2016-03-28,78.35
2016-03-29,82.65
2016-03-30,81.15
2016-03-31,79.0
2016-04-01,78.85
2016-04-04,80.65
2016-04-05,81.0
2016-04-06,80.3
2016-04-07,84.5
2016-04-08,82.3
2016-04-11,82.2
2016-04-12,82.2
2016-04-13,82.15
2016-04-18,80.9
2016-04-20,83.05
2016-04-21,81.75
2016-04-22,84.4
2016-04-25,87.9
2016-04-26,86.0
2016-04-27,86.85
2016-04-28,86.5
2016-04-29,82.2
2016-05-02,83.1
2016-05-03,81.0
2016-05-04,81.25
2016-05-05,83.3
2016-05-06,78.95
2016-05-09,80.6
2016-05-10,80.1
2016-05-11,80.25
2016-05-12,83.95
2016-05-13,80.35
2016-05-16,81.95
2016-05-17,81.95
2016-05-18,81.0
2016-05-19,80.4
2016-05-20,79.95
2016-05-23,79.85
2016-05-24,78.7
2016-05-25,79.45
2016-05-26,80.0
2016-05-27,83.0
2016-05-30,81.0
2016-05-31,79.0
2016-06-01,82.0
2016-06-02,80.05
2016-06-03,79.7
2016-06-06,80.4
2016-06-07,84.5
2016-06-08,84.75
2016-06-09,84.45
2016-06-10,83.65
2016-06-13,83.2
2016-06-14,83.25
2016-06-15,83.7
2016-06-16,83.0
2016-06-17,82.4
2016-06-20,82.45
2016-06-21,86.15
2016-06-22,87.2
2016-06-23,88.95
2016-06-24,82.4
2016-06-27,85.45
2016-06-28,84.0
2016-06-29,84.1
2016-06-30,83.25
2016-07-01,83.0
2016-07-04,83.1
2016-07-05,84.15
2016-07-07,86.95
2016-07-08,83.95
2016-07-11,84.05
2016-07-12,87.05
2016-07-13,88.0
2016-07-14,90.9
2016-07-15,95.05
2016-07-18,106.75
2016-07-19,102.8
2016-07-20,97.15
2016-07-21,97.6
2016-07-22,95.65
2016-07-25,97.9
2016-07-26,95.45
2016-07-27,94.4
2016-07-28,95.0
2016-07-29,93.4
2016-08-01,90.95
2016-08-02,90.15
2016-08-03,90.05
2016-08-04,88.7
2016-08-05,89.3
2016-08-08,89.95
2016-08-09,86.85
2016-08-10,87.55
2016-08-11,86.25
2016-08-12,86.4
2016-08-16,86.6
2016-08-17,82.9
2016-08-18,83.65
2016-08-19,85.9
2016-08-22,85.8
2016-08-23,89.6
2016-08-24,90.3
2016-08-25,88.0
2016-08-26,86.0
2016-08-29,85.05
2016-08-30,85.65
2016-08-31,85.05
2016-09-01,84.15
2016-09-02,85.1
2016-09-06,86.45
2016-09-07,85.45
2016-09-08,84.8
2016-09-09,84.7
2016-09-12,82.6
2016-09-14,83.4
2016-09-15,83.15
2016-09-16,83.8
2016-09-19,84.65
2016-09-20,87.6
2016-09-21,85.85
2016-09-22,85.6
2016-09-23,83.15
2016-09-26,83.9
2016-09-27,84.8
2016-09-28,85.05
2016-09-29,82.0
2016-09-30,82.3
2016-10-03,86.75
2016-10-04,93.4
2016-10-05,99.65
2016-10-06,96.05
2016-10-07,95.05
2016-10-10,97.6
2016-10-13,94.4
2016-10-14,93.75
2016-10-17,93.0
2016-10-18,91.7
2016-10-19,92.55
2016-10-20,94.4
2016-10-21,94.45
2016-10-24,94.45
2016-10-25,92.95
2016-10-26,91.75
2016-10-27,90.6
2016-10-28,92.65
2016-10-30,92.7
2016-11-01,91.95
2016-11-02,91.8
2016-11-03,97.95
2016-11-04,92.1
2016-11-07,95.2
2016-11-08,96.6
2016-11-09,92.95
2016-11-10,92.8
2016-11-11,91.95
2016-11-15,89.4
2016-11-16,85.7
2016-11-17,88.5
2016-11-18,85.1
2016-11-21,83.3
2016-11-22,81.2
2016-11-23,82.4
2016-11-24,84.75
2016-11-25,83.8
2016-11-28,90.45
2016-11-29,89.3
2016-11-30,87.5
2016-12-01,89.65
2016-12-02,86.5
2016-12-05,85.25
2016-12-06,91.25
2016-12-07,89.55
2016-12-08,90.5
2016-12-09,90.65
2016-12-12,88.45
2016-12-13,87.45
2016-12-14,87.2
2016-12-15,89.25
2016-12-16,88.2
2016-12-19,87.2
2016-12-20,87.4
2016-12-21,86.5
2016-12-22,86.45
2016-12-23,84.25
2016-12-26,83.25
2016-12-27,85.1
2016-12-28,84.55
2016-12-29,84.55
2016-12-30,84.1
