Date,INOXWIND
2016-01-01,359.9
2016-01-04,359.6
2016-01-05,359.15
2016-01-06,364.25
2016-01-07,349.5
2016-01-08,352.35
2016-01-11,346.25
2016-01-12,347.15
2016-01-13,341.5
2016-01-14,332.25
2016-01-15,319.25
2016-01-18,311.4
2016-01-19,322.5
2016-01-20,320.6
2016-01-21,312.9
2016-01-22,309.9
2016-01-25,308.0
2016-01-27,316.9
2016-01-28,317.55
2016-01-29,316.9
2016-02-01,310.05
2016-02-02,302.5
2016-02-03,294.55
2016-02-04,287.0
2016-02-05,294.7
2016-02-08,273.95
2016-02-09,269.6
2016-02-10,256.7
2016-02-11,244.05
2016-02-12,245.3
2016-02-15,248.6
2016-02-16,232.3
2016-02-17,232.0
2016-02-18,227.4
2016-02-19,232.5
2016-02-22,236.95
2016-02-23,229.35
2016-02-24,227.2
2016-02-25,222.55
2016-02-26,218.7
2016-02-29,218.8
2016-03-01,231.75
2016-03-02,238.35
2016-03-03,284.3
2016-03-04,295.95
2016-03-08,288.55
2016-03-09,282.25
2016-03-10,270.3
2016-03-11,258.5
2016-03-14,252.6
2016-03-15,252.6
2016-03-16,265.95
2016-03-17,265.5
2016-03-18,267.0
2016-03-21,271.4
2016-03-22,271.85
2016-03-23,267.4
2016-03-28,257.95
2016-03-29,251.65
2016-03-30,262.15
2016-03-31,259.2
2016-04-01,266.95
2016-04-04,259.6
2016-04-05,246.1
2016-04-06,247.55
2016-04-07,247.75
2016-04-08,244.7
2016-04-11,244.75
2016-04-12,252.95
2016-04-13,254.7
2016-04-18,255.05
2016-04-20,274.95
2016-04-21,272.55
2016-04-22,269.9
2016-04-25,270.95
2016-04-26,264.65
2016-04-27,269.75
2016-04-28,269.45
2016-04-29,271.8
2016-05-02,288.65
2016-05-03,282.9
2016-05-04,284.5
2016-05-05,291.45
2016-05-06,241.55
2016-05-09,249.95
2016-05-10,242.75
2016-05-11,233.7
2016-05-12,236.75
2016-05-13,239.9
2016-05-16,244.65
2016-05-17,245.0
2016-05-18,239.55
2016-05-19,237.05
2016-05-20,232.4
2016-05-23,235.0
2016-05-24,231.65
2016-05-25,227.85
2016-05-26,228.55
2016-05-27,224.2
2016-05-30,225.5
2016-05-31,218.65
2016-06-01,218.95
2016-06-02,217.35
2016-06-03,218.35
2016-06-06,214.2
2016-06-07,228.75
2016-06-08,232.85
2016-06-09,233.3
2016-06-10,241.25
2016-06-13,243.4
2016-06-14,248.15
2016-06-15,244.75
2016-06-16,241.05
2016-06-17,232.55
2016-06-20,230.1
2016-06-21,233.1
2016-06-22,236.45
2016-06-23,231.65
2016-06-24,225.45
2016-06-27,229.6
2016-06-28,230.85
2016-06-29,235.05
2016-06-30,237.75
2016-07-01,237.65
2016-07-04,235.55
2016-07-05,235.1
2016-07-07,234.0
2016-07-08,238.2
2016-07-11,238.25
2016-07-12,237.8
2016-07-13,231.25
2016-07-14,230.25
2016-07-15,230.75
2016-07-18,234.2
2016-07-19,230.0
2016-07-20,228.85
2016-07-21,227.85
2016-07-22,228.5
2016-07-25,230.5
2016-07-26,229.05
2016-07-27,224.25
2016-07-28,223.6
2016-07-29,222.7
2016-08-01,219.55
2016-08-02,219.05
2016-08-03,216.65
2016-08-04,215.8
2016-08-05,218.6
2016-08-08,208.75
2016-08-09,200.75
2016-08-10,193.85
2016-08-11,190.95
2016-08-12,184.7
2016-08-16,182.2
2016-08-17,188.85
2016-08-18,188.15
2016-08-19,193.65
2016-08-22,193.8
2016-08-23,190.95
2016-08-24,189.4
2016-08-25,188.75
2016-08-26,188.85
2016-08-29,184.5
2016-08-30,185.05
2016-08-31,188.25
2016-09-01,186.1
2016-09-02,191.65
2016-09-06,180.45
2016-09-07,180.0
2016-09-08,171.05
2016-09-09,179.1
2016-09-12,177.35
2016-09-14,198.45
2016-09-15,194.05
2016-09-16,199.05
2016-09-19,198.7
2016-09-20,201.85
2016-09-21,203.25
2016-09-22,208.2
2016-09-23,206.55
2016-09-26,206.1
2016-09-27,208.9
2016-09-28,205.7
2016-09-29,195.15
2016-09-30,200.25
2016-10-03,209.15
2016-10-04,210.4
2016-10-05,209.35
2016-10-06,213.2
2016-10-07,214.0
2016-10-10,225.4
2016-10-13,218.8
2016-10-14,222.5
2016-10-17,226.35
2016-10-18,227.15
2016-10-19,224.7
2016-10-20,224.25
2016-10-21,222.15
2016-10-24,224.1
2016-10-25,219.9
2016-10-26,215.3
2016-10-27,214.35
2016-10-28,212.35
2016-10-30,212.2
2016-11-01,218.65
2016-11-02,217.5
2016-11-03,214.8
2016-11-04,204.5
2016-11-07,204.55
2016-11-08,208.0
2016-11-09,201.65
2016-11-10,208.2
2016-11-11,196.65
2016-11-15,185.6
2016-11-16,185.45
2016-11-17,183.2
2016-11-18,181.35
2016-11-21,174.8
2016-11-22,177.3
2016-11-23,178.45
2016-11-24,175.95
2016-11-25,177.55
2016-11-28,182.55
2016-11-29,186.1
2016-11-30,190.7
2016-12-01,185.75
2016-12-02,185.85
2016-12-05,187.9
2016-12-06,198.55
2016-12-07,199.75
2016-12-08,200.7
2016-12-09,198.6
2016-12-12,201.1
2016-12-13,204.75
2016-12-14,203.55
2016-12-15,204.45
2016-12-16,203.2
2016-12-19,197.6
2016-12-20,192.9
2016-12-21,191.0
2016-12-22,185.9
2016-12-23,185.05
2016-12-26,181.35
2016-12-27,184.65
2016-12-28,181.95
2016-12-29,181.15
2016-12-30,181.9
