Date,COX&KINGS
2016-01-01,243.55
2016-01-04,238.15
2016-01-05,242.6
2016-01-06,246.0
2016-01-07,239.4
2016-01-08,245.15
2016-01-11,239.35
2016-01-12,239.8
2016-01-13,237.1
2016-01-14,226.35
2016-01-15,222.75
2016-01-18,203.0
2016-01-19,206.6
2016-01-20,192.4
2016-01-21,193.4
2016-01-22,208.0
2016-01-25,218.5
2016-01-27,219.5
2016-01-28,218.3
2016-01-29,227.6
2016-02-01,232.4
2016-02-02,217.7
2016-02-03,210.7
2016-02-04,206.0
2016-02-05,205.6
2016-02-08,201.65
2016-02-09,194.8
2016-02-10,185.55
2016-02-11,177.0
2016-02-12,158.85
2016-02-15,162.35
2016-02-16,151.55
2016-02-17,151.15
2016-02-18,159.95
2016-02-19,158.5
2016-02-22,164.25
2016-02-23,157.3
2016-02-24,152.9
2016-02-25,147.35
2016-02-26,148.9
2016-02-29,147.4
2016-03-01,161.65
2016-03-02,161.0
2016-03-03,166.0
2016-03-04,164.3
2016-03-08,167.3
2016-03-09,172.9
2016-03-10,169.55
2016-03-11,167.25
2016-03-14,167.5
2016-03-15,167.15
2016-03-16,170.2
2016-03-17,178.9
2016-03-18,190.15
2016-03-21,193.35
2016-03-22,184.65
2016-03-23,180.0
2016-03-28,177.75
2016-03-29,184.1
2016-03-30,181.9
2016-03-31,180.45
2016-04-01,181.8
2016-04-04,188.05
2016-04-05,178.4
2016-04-06,176.95
2016-04-07,176.1
2016-04-08,174.3
2016-04-11,182.8
2016-04-12,189.4
2016-04-13,189.55
2016-04-18,189.5
2016-04-20,190.45
2016-04-21,194.0
2016-04-22,192.55
2016-04-25,189.2
2016-04-26,189.75
2016-04-27,189.75
2016-04-28,186.6
2016-04-29,186.95
2016-05-02,184.35
2016-05-03,184.1
2016-05-04,180.6
2016-05-05,176.4
2016-05-06,171.65
2016-05-09,171.75
2016-05-10,174.05
2016-05-11,175.4
2016-05-12,180.2
2016-05-13,178.95
2016-05-16,184.95
2016-05-17,182.7
2016-05-18,177.7
2016-05-19,175.7
2016-05-20,174.3
2016-05-23,149.75
2016-05-24,151.35
2016-05-25,148.6
2016-05-26,147.35
2016-05-27,148.15
2016-05-30,148.55
2016-05-31,147.95
2016-06-01,149.65
2016-06-02,152.0
2016-06-03,155.4
2016-06-06,156.3
2016-06-07,152.25
2016-06-08,150.75
2016-06-09,151.2
2016-06-10,151.1
2016-06-13,153.05
2016-06-14,154.85
2016-06-15,161.6
2016-06-16,164.4
2016-06-17,160.85
2016-06-20,163.8
2016-06-21,162.25
2016-06-22,167.1
2016-06-23,169.25
2016-06-24,160.4
2016-06-27,163.0
2016-06-28,166.05
2016-06-29,168.5
2016-06-30,168.05
2016-07-01,167.7
2016-07-04,173.95
2016-07-05,173.35
2016-07-07,170.2
2016-07-08,170.0
2016-07-11,187.35
2016-07-12,193.7
2016-07-13,190.25
2016-07-14,196.05
2016-07-15,203.35
2016-07-18,203.0
2016-07-19,199.1
2016-07-20,198.55
2016-07-21,198.75
2016-07-22,195.65
2016-07-25,195.7
2016-07-26,190.95
2016-07-27,191.3
2016-07-28,192.25
2016-07-29,190.65
2016-08-01,187.1
2016-08-02,184.75
2016-08-03,182.05
2016-08-04,181.95
2016-08-05,180.8
2016-08-08,187.85
2016-08-09,189.2
2016-08-10,189.05
2016-08-11,191.3
2016-08-12,190.35
2016-08-16,189.3
2016-08-17,184.7
2016-08-18,185.85
2016-08-19,184.55
2016-08-22,181.2
2016-08-23,181.95
2016-08-24,183.0
2016-08-25,181.85
2016-08-26,192.55
2016-08-29,195.75
2016-08-30,193.4
2016-08-31,187.2
2016-09-01,186.6
2016-09-02,187.65
2016-09-06,190.65
2016-09-07,190.3
2016-09-08,205.3
2016-09-09,212.35
2016-09-12,204.45
2016-09-14,218.35
2016-09-15,228.15
2016-09-16,229.65
2016-09-19,234.15
2016-09-20,228.5
2016-09-21,225.65
2016-09-22,227.25
2016-09-23,228.7
2016-09-26,222.7
2016-09-27,220.7
2016-09-28,228.4
2016-09-29,211.5
2016-09-30,220.9
2016-10-03,225.55
2016-10-04,224.85
2016-10-05,222.0
2016-10-06,224.5
2016-10-07,224.2
2016-10-10,226.05
2016-10-13,221.15
2016-10-14,218.8
2016-10-17,220.25
2016-10-18,224.4
2016-10-19,227.0
2016-10-20,225.75
2016-10-21,225.55
2016-10-24,228.55
2016-10-25,224.05
2016-10-26,220.9
2016-10-27,221.8
2016-10-28,219.95
2016-10-30,229.25
2016-11-01,225.2
2016-11-02,221.8
2016-11-03,219.75
2016-11-04,205.4
2016-11-07,214.65
2016-11-08,213.85
2016-11-09,204.35
2016-11-10,209.45
2016-11-11,196.6
2016-11-15,186.3
2016-11-16,182.05
2016-11-17,177.0
2016-11-18,175.85
2016-11-21,166.45
2016-11-22,163.2
2016-11-23,167.0
2016-11-24,162.35
2016-11-25,169.15
2016-11-28,167.65
2016-11-29,163.0
2016-11-30,164.65
2016-12-01,163.75
2016-12-02,166.65
2016-12-05,164.85
2016-12-06,171.0
2016-12-07,169.15
2016-12-08,173.35
2016-12-09,177.85
2016-12-12,177.4
2016-12-13,181.55
2016-12-14,180.55
2016-12-15,180.4
2016-12-16,179.05
2016-12-19,176.55
2016-12-20,173.8
2016-12-21,172.55
2016-12-22,171.9
2016-12-23,174.3
2016-12-26,169.2
2016-12-27,176.7
2016-12-28,177.0
2016-12-29,179.2
2016-12-30,179.7
