Date,ASHIANA
2016-01-01,166.65
2016-01-04,163.75
2016-01-05,165.3
2016-01-06,166.25
2016-01-07,156.5
2016-01-08,157.15
2016-01-11,155.75
2016-01-12,155.4
2016-01-13,152.6
2016-01-14,149.15
2016-01-15,140.2
2016-01-18,132.5
2016-01-19,134.75
2016-01-20,134.3
2016-01-21,130.55
2016-01-22,139.3
2016-01-25,142.35
2016-01-27,140.55
2016-01-28,147.3
2016-01-29,147.85
2016-02-01,149.7
2016-02-02,146.5
2016-02-03,140.9
2016-02-04,140.05
2016-02-05,142.15
2016-02-08,138.85
2016-02-09,151.05
2016-02-10,126.95
2016-02-11,127.15
2016-02-12,132.25
2016-02-15,134.85
2016-02-16,134.4
2016-02-17,131.15
2016-02-18,130.2
2016-02-19,123.7
2016-02-22,121.9
2016-02-23,119.25
2016-02-24,117.6
2016-02-25,119.6
2016-02-26,119.25
2016-02-29,117.7
2016-03-01,125.05
2016-03-02,126.35
2016-03-03,130.7
2016-03-04,132.7
2016-03-08,132.9
2016-03-09,133.6
2016-03-10,134.7
2016-03-11,136.4
2016-03-14,134.85
2016-03-15,133.3
2016-03-16,132.0
2016-03-17,134.45
2016-03-18,133.2
2016-03-21,133.95
2016-03-22,134.95
2016-03-23,134.35
2016-03-28,130.7
2016-03-29,129.05
2016-03-30,128.45
2016-03-31,130.15
2016-04-01,136.7
2016-04-04,137.6
2016-04-05,135.15
2016-04-06,133.85
2016-04-07,133.95
2016-04-08,133.6
2016-04-11,134.1
2016-04-12,134.5
2016-04-13,144.25
2016-04-18,150.2
2016-04-20,153.15
2016-04-21,150.4
2016-04-22,158.9
2016-04-25,160.0
2016-04-26,162.8
2016-04-27,164.7
2016-04-28,165.2
2016-04-29,160.9
2016-05-02,157.85
2016-05-03,159.05
2016-05-04,157.65
2016-05-05,149.7
2016-05-06,154.45
2016-05-09,156.25
2016-05-10,153.75
2016-05-11,152.3
2016-05-12,152.7
2016-05-13,149.95
2016-05-16,148.65
2016-05-17,145.95
2016-05-18,150.05
2016-05-19,153.45
2016-05-20,152.7
2016-05-23,157.85
2016-05-24,156.8
2016-05-25,159.45
2016-05-26,160.15
2016-05-27,159.75
2016-05-30,162.25
2016-05-31,162.65
2016-06-01,161.05
2016-06-02,157.15
2016-06-03,153.9
2016-06-06,155.35
2016-06-07,151.6
2016-06-08,152.1
2016-06-09,154.4
2016-06-10,155.1
2016-06-13,155.7
2016-06-14,155.4
2016-06-15,158.25
2016-06-16,154.9
2016-06-17,155.1
2016-06-20,155.05
2016-06-21,155.95
2016-06-22,155.0
2016-06-23,155.9
2016-06-24,153.1
2016-06-27,159.25
2016-06-28,158.6
2016-06-29,162.25
2016-06-30,165.6
2016-07-01,167.5
2016-07-04,176.55
2016-07-05,173.25
2016-07-07,173.35
2016-07-08,171.05
2016-07-11,174.45
2016-07-12,173.2
2016-07-13,168.2
2016-07-14,171.55
2016-07-15,171.95
2016-07-18,171.65
2016-07-19,168.05
2016-07-20,169.05
2016-07-21,170.2
2016-07-22,172.85
2016-07-25,170.9
2016-07-26,167.05
2016-07-27,167.85
2016-07-28,165.95
2016-07-29,168.2
2016-08-01,165.9
2016-08-02,167.8
2016-08-03,164.55
2016-08-04,166.55
2016-08-05,168.4
2016-08-08,169.95
2016-08-09,171.7
2016-08-10,169.9
2016-08-11,162.0
2016-08-12,166.35
2016-08-16,170.35
2016-08-17,165.6
2016-08-18,170.95
2016-08-19,169.4
2016-08-22,169.05
2016-08-23,168.65
2016-08-24,165.55
2016-08-25,164.75
2016-08-26,163.65
2016-08-29,164.05
2016-08-30,165.1
2016-08-31,159.9
2016-09-01,159.75
2016-09-02,165.0
2016-09-06,163.1
2016-09-07,161.1
2016-09-08,162.35
2016-09-09,164.05
2016-09-12,160.6
2016-09-14,161.8
2016-09-15,157.05
2016-09-16,155.8
2016-09-19,159.6
2016-09-20,155.05
2016-09-21,156.7
2016-09-22,155.5
2016-09-23,153.7
2016-09-26,156.7
2016-09-27,150.05
2016-09-28,151.65
2016-09-29,143.95
2016-09-30,140.75
2016-10-03,141.7
2016-10-04,144.7
2016-10-05,150.25
2016-10-06,152.2
2016-10-07,145.25
2016-10-10,144.65
2016-10-13,145.85
2016-10-14,146.4
2016-10-17,145.15
2016-10-18,146.75
2016-10-19,147.3
2016-10-20,149.65
2016-10-21,147.1
2016-10-24,144.9
2016-10-25,145.95
2016-10-26,142.8
2016-10-27,143.8
2016-10-28,146.4
2016-10-30,146.75
2016-11-01,148.1
2016-11-02,147.9
2016-11-03,146.85
2016-11-04,142.75
2016-11-07,142.85
2016-11-08,144.5
2016-11-09,132.0
2016-11-10,135.85
2016-11-11,136.7
2016-11-15,128.7
2016-11-16,130.2
2016-11-17,136.85
2016-11-18,135.05
2016-11-21,126.1
2016-11-22,130.15
2016-11-23,135.0
2016-11-24,133.65
2016-11-25,136.05
2016-11-28,132.55
2016-11-29,132.75
2016-11-30,136.1
2016-12-01,140.15
2016-12-02,141.2
2016-12-05,142.2
2016-12-06,141.6
2016-12-07,144.75
2016-12-08,145.05
2016-12-09,145.95
2016-12-12,146.35
2016-12-13,143.8
2016-12-14,140.4
2016-12-15,138.9
2016-12-16,136.1
2016-12-19,138.9
2016-12-20,137.8
2016-12-21,135.65
2016-12-22,136.95
2016-12-23,133.8
2016-12-26,133.8
2016-12-27,137.5
2016-12-28,134.15
2016-12-29,132.3
2016-12-30,133.45
