Date,ORIENTREF
2016-01-01,90.05
2016-01-04,89.05
2016-01-05,88.3
2016-01-06,88.75
2016-01-07,86.1
2016-01-08,86.4
2016-01-11,84.05
2016-01-12,81.65
2016-01-13,82.0
2016-01-14,81.95
2016-01-15,79.45
2016-01-18,73.9
2016-01-19,77.0
2016-01-20,77.0
2016-01-21,76.1
2016-01-22,77.95
2016-01-25,77.75
2016-01-27,77.05
2016-01-28,81.7
2016-01-29,80.2
2016-02-01,78.75
2016-02-02,78.0
2016-02-03,79.1
2016-02-04,79.25
2016-02-05,84.95
2016-02-08,81.95
2016-02-09,80.25
2016-02-10,77.85
2016-02-11,78.05
2016-02-12,78.0
2016-02-15,76.55
2016-02-16,73.7
2016-02-17,73.25
2016-02-18,74.5
2016-02-19,76.85
2016-02-22,74.7
2016-02-23,75.55
2016-02-24,72.5
2016-02-25,72.0
2016-02-26,73.1
2016-02-29,75.25
2016-03-01,74.15
2016-03-02,75.1
2016-03-03,74.8
2016-03-04,74.25
2016-03-08,74.1
2016-03-09,74.05
2016-03-10,73.1
2016-03-11,72.95
2016-03-14,74.0
2016-03-15,74.0
2016-03-16,73.05
2016-03-17,73.2
2016-03-18,73.2
2016-03-21,73.7
2016-03-22,74.35
2016-03-23,74.6
2016-03-28,75.8
2016-03-29,75.5
2016-03-30,74.0
2016-03-31,77.05
2016-04-01,80.5
2016-04-04,80.1
2016-04-05,78.75
2016-04-06,80.35
2016-04-07,79.55
2016-04-08,77.15
2016-04-11,80.1
2016-04-12,80.25
2016-04-13,81.95
2016-04-18,80.35
2016-04-20,80.5
2016-04-21,80.1
2016-04-22,81.95
2016-04-25,81.9
2016-04-26,81.85
2016-04-27,82.9
2016-04-28,83.75
2016-04-29,84.0
2016-05-02,84.25
2016-05-03,84.0
2016-05-04,82.15
2016-05-05,82.0
2016-05-06,83.5
2016-05-09,83.65
2016-05-10,83.1
2016-05-11,83.05
2016-05-12,83.05
2016-05-13,82.1
2016-05-16,83.0
2016-05-17,83.0
2016-05-18,82.0
2016-05-19,82.5
2016-05-20,82.1
2016-05-23,82.6
2016-05-24,81.45
2016-05-25,82.2
2016-05-26,82.85
2016-05-27,82.1
2016-05-30,83.7
2016-05-31,83.45
2016-06-01,83.7
2016-06-02,83.25
2016-06-03,84.1
2016-06-06,88.6
2016-06-07,90.65
2016-06-08,92.15
2016-06-09,88.35
2016-06-10,89.8
2016-06-13,87.15
2016-06-14,86.1
2016-06-15,87.05
2016-06-16,86.55
2016-06-17,88.75
2016-06-20,87.0
2016-06-21,86.95
2016-06-22,88.45
2016-06-23,88.2
2016-06-24,87.55
2016-06-27,88.9
2016-06-28,89.25
2016-06-29,88.85
2016-06-30,89.4
2016-07-01,89.0
2016-07-04,89.0
2016-07-05,88.65
2016-07-07,88.0
2016-07-08,88.2
2016-07-11,89.0
2016-07-12,89.25
2016-07-13,89.35
2016-07-14,89.45
2016-07-15,91.65
2016-07-18,91.9
2016-07-19,90.65
2016-07-20,90.75
2016-07-21,90.25
2016-07-22,90.1
2016-07-25,91.9
2016-07-26,91.4
2016-07-27,90.5
2016-07-28,91.5
2016-07-29,91.1
2016-08-01,90.85
2016-08-02,89.95
2016-08-03,89.15
2016-08-04,94.15
2016-08-05,95.6
2016-08-08,100.2
2016-08-09,97.75
2016-08-10,97.8
2016-08-11,98.45
2016-08-12,98.6
2016-08-16,98.6
2016-08-17,97.4
2016-08-18,97.05
2016-08-19,96.7
2016-08-22,99.4
2016-08-23,99.95
2016-08-24,105.15
2016-08-25,108.75
2016-08-26,109.45
2016-08-29,110.2
2016-08-30,109.55
2016-08-31,104.7
2016-09-01,101.35
2016-09-02,104.3
2016-09-06,109.95
2016-09-07,113.65
2016-09-08,113.85
2016-09-09,112.1
2016-09-12,109.8
2016-09-14,112.1
2016-09-15,109.95
2016-09-16,108.75
2016-09-19,108.3
2016-09-20,111.4
2016-09-21,109.1
2016-09-22,114.3
2016-09-23,114.05
2016-09-26,111.0
2016-09-27,113.6
2016-09-28,114.75
2016-09-29,110.8
2016-09-30,113.95
2016-10-03,114.25
2016-10-04,114.15
2016-10-05,112.75
2016-10-06,112.65
2016-10-07,113.05
2016-10-10,114.15
2016-10-13,112.2
2016-10-14,111.35
2016-10-17,112.0
2016-10-18,111.15
2016-10-19,113.15
2016-10-20,111.4
2016-10-21,111.0
2016-10-24,112.2
2016-10-25,114.85
2016-10-26,115.45
2016-10-27,120.5
2016-10-28,125.35
2016-10-30,131.25
2016-11-01,131.25
2016-11-02,128.1
2016-11-03,125.95
2016-11-04,119.85
2016-11-07,125.75
2016-11-08,126.15
2016-11-09,126.6
2016-11-10,130.0
2016-11-11,124.65
2016-11-15,112.35
2016-11-16,113.85
2016-11-17,112.7
2016-11-18,115.0
2016-11-21,109.7
2016-11-22,109.55
2016-11-23,113.45
2016-11-24,115.6
2016-11-25,115.35
2016-11-28,116.8
2016-11-29,117.85
2016-11-30,119.3
2016-12-01,118.35
2016-12-02,115.15
2016-12-05,122.3
2016-12-06,119.05
2016-12-07,117.6
2016-12-08,120.9
2016-12-09,121.15
2016-12-12,118.85
2016-12-13,118.8
2016-12-14,116.7
2016-12-15,116.8
2016-12-16,116.85
2016-12-19,114.45
2016-12-20,113.2
2016-12-21,115.4
2016-12-22,115.85
2016-12-23,115.0
2016-12-26,112.1
2016-12-27,112.0
2016-12-28,112.25
2016-12-29,112.4
2016-12-30,114.9
