Date,L&TFH
2016-01-01,65.85
2016-01-04,64.95
2016-01-05,65.4
2016-01-06,65.35
2016-01-07,63.9
2016-01-08,64.2
2016-01-11,63.95
2016-01-12,62.95
2016-01-13,61.75
2016-01-14,61.0
2016-01-15,58.85
2016-01-18,56.7
2016-01-19,58.25
2016-01-20,56.0
2016-01-21,56.35
2016-01-22,58.15
2016-01-25,58.45
2016-01-27,58.9
2016-01-28,58.4
2016-01-29,58.35
2016-02-01,57.95
2016-02-02,57.5
2016-02-03,56.2
2016-02-04,55.45
2016-02-05,55.15
2016-02-08,55.65
2016-02-09,55.55
2016-02-10,54.35
2016-02-11,51.35
2016-02-12,49.65
2016-02-15,52.0
2016-02-16,50.75
2016-02-17,51.0
2016-02-18,51.2
2016-02-19,51.35
2016-02-22,51.85
2016-02-23,51.2
2016-02-24,51.45
2016-02-25,50.5
2016-02-26,50.7
2016-02-29,51.0
2016-03-01,52.35
2016-03-02,53.1
2016-03-03,53.75
2016-03-04,55.35
2016-03-08,54.85
2016-03-09,54.9
2016-03-10,54.85
2016-03-11,54.6
2016-03-14,54.85
2016-03-15,55.45
2016-03-16,55.9
2016-03-17,56.25
2016-03-18,56.9
2016-03-21,61.55
2016-03-22,63.35
2016-03-23,63.1
2016-03-28,63.05
2016-03-29,62.55
2016-03-30,63.35
2016-03-31,63.85
2016-04-01,65.65
2016-04-04,64.95
2016-04-05,69.45
2016-04-06,71.45
2016-04-07,69.85
2016-04-08,72.85
2016-04-11,72.7
2016-04-12,73.65
2016-04-13,73.05
2016-04-18,72.4
2016-04-20,72.1
2016-04-21,71.55
2016-04-22,69.9
2016-04-25,69.1
2016-04-26,71.1
2016-04-27,71.7
2016-04-28,70.55
2016-04-29,71.65
2016-05-02,75.35
2016-05-03,73.35
2016-05-04,73.1
2016-05-05,73.2
2016-05-06,73.35
2016-05-09,73.95
2016-05-10,75.25
2016-05-11,74.1
2016-05-12,74.15
2016-05-13,72.7
2016-05-16,72.1
2016-05-17,71.35
2016-05-18,71.05
2016-05-19,71.1
2016-05-20,71.35
2016-05-23,71.35
2016-05-24,72.05
2016-05-25,72.3
2016-05-26,73.75
2016-05-27,73.75
2016-05-30,77.8
2016-05-31,78.8
2016-06-01,77.7
2016-06-02,78.3
2016-06-03,77.85
2016-06-06,76.85
2016-06-07,77.35
2016-06-08,78.35
2016-06-09,77.95
2016-06-10,77.85
2016-06-13,76.65
2016-06-14,76.6
2016-06-15,77.2
2016-06-16,76.4
2016-06-17,76.2
2016-06-20,76.95
2016-06-21,76.25
2016-06-22,75.55
2016-06-23,75.2
2016-06-24,72.95
2016-06-27,74.9
2016-06-28,77.45
2016-06-29,77.45
2016-06-30,78.95
2016-07-01,80.2
2016-07-04,80.25
2016-07-05,78.25
2016-07-07,77.4
2016-07-08,76.9
2016-07-11,78.2
2016-07-12,78.25
2016-07-13,75.9
2016-07-14,77.15
2016-07-15,75.95
2016-07-18,75.35
2016-07-19,75.2
2016-07-20,76.0
2016-07-21,74.85
2016-07-22,76.9
2016-07-25,76.75
2016-07-26,78.4
2016-07-27,85.1
2016-07-28,87.7
2016-07-29,86.05
2016-08-01,88.25
2016-08-02,88.35
2016-08-03,87.45
2016-08-04,86.15
2016-08-05,87.0
2016-08-08,91.0
2016-08-09,89.4
2016-08-10,88.5
2016-08-11,90.0
2016-08-12,90.3
2016-08-16,92.45
2016-08-17,93.45
2016-08-18,93.8
2016-08-19,94.3
2016-08-22,94.1
2016-08-23,94.95
2016-08-24,94.9
2016-08-25,94.9
2016-08-26,93.8
2016-08-29,94.8
2016-08-30,95.35
2016-08-31,96.95
2016-09-01,97.05
2016-09-02,97.1
2016-09-06,97.45
2016-09-07,97.45
2016-09-08,97.45
2016-09-09,94.75
2016-09-12,89.1
2016-09-14,91.1
2016-09-15,93.7
2016-09-16,92.45
2016-09-19,92.95
2016-09-20,91.7
2016-09-21,91.65
2016-09-22,94.15
2016-09-23,93.2
2016-09-26,92.05
2016-09-27,90.8
2016-09-28,92.6
2016-09-29,85.65
2016-09-30,91.65
2016-10-03,92.8
2016-10-04,93.75
2016-10-05,96.55
2016-10-06,94.9
2016-10-07,93.95
2016-10-10,93.8
2016-10-13,92.55
2016-10-14,99.3
2016-10-17,98.8
2016-10-18,100.75
2016-10-19,101.2
2016-10-20,101.75
2016-10-21,102.15
2016-10-24,101.75
2016-10-25,102.85
2016-10-26,104.75
2016-10-27,105.65
2016-10-28,106.95
2016-10-30,107.8
2016-11-01,107.75
2016-11-02,104.3
2016-11-03,103.05
2016-11-04,101.1
2016-11-07,103.25
2016-11-08,103.85
2016-11-09,100.55
2016-11-10,100.45
2016-11-11,94.7
2016-11-15,84.75
2016-11-16,84.15
2016-11-17,85.25
2016-11-18,86.6
2016-11-21,82.75
2016-11-22,84.0
2016-11-23,85.15
2016-11-24,82.9
2016-11-25,88.65
2016-11-28,87.2
2016-11-29,88.25
2016-11-30,89.35
2016-12-01,87.4
2016-12-02,83.95
2016-12-05,85.45
2016-12-06,86.1
2016-12-07,85.55
2016-12-08,88.05
2016-12-09,89.15
2016-12-12,86.6
2016-12-13,85.9
2016-12-14,85.4
2016-12-15,86.45
2016-12-16,85.95
2016-12-19,84.95
2016-12-20,82.5
2016-12-21,82.25
2016-12-22,83.05
2016-12-23,84.35
2016-12-26,81.75
2016-12-27,84.0
2016-12-28,83.8
2016-12-29,84.75
2016-12-30,87.6
