Date,KSL
2016-01-01,168.4
2016-01-04,168.45
2016-01-05,185.2
2016-01-06,176.55
2016-01-07,165.0
2016-01-08,178.85
2016-01-11,176.85
2016-01-12,178.95
2016-01-13,175.55
2016-01-14,172.5
2016-01-15,163.55
2016-01-18,150.6
2016-01-19,147.2
2016-01-20,143.15
2016-01-21,142.8
2016-01-22,149.05
2016-01-25,149.7
2016-01-27,147.6
2016-01-28,148.1
2016-01-29,149.0
2016-02-01,151.6
2016-02-02,144.4
2016-02-03,140.95
2016-02-04,141.8
2016-02-05,148.65
2016-02-08,149.7
2016-02-09,145.05
2016-02-10,139.05
2016-02-11,130.1
2016-02-12,124.25
2016-02-15,139.15
2016-02-16,133.8
2016-02-17,133.7
2016-02-18,142.95
2016-02-19,140.75
2016-02-22,146.85
2016-02-23,139.45
2016-02-24,136.15
2016-02-25,136.4
2016-02-26,134.4
2016-02-29,133.3
2016-03-01,137.15
2016-03-02,142.15
2016-03-03,151.95
2016-03-04,152.15
2016-03-08,155.3
2016-03-09,153.5
2016-03-10,158.35
2016-03-11,155.75
2016-03-14,154.5
2016-03-15,152.8
2016-03-16,151.9
2016-03-17,155.9
2016-03-18,156.85
2016-03-21,156.55
2016-03-22,157.3
2016-03-23,158.9
2016-03-28,154.4
2016-03-29,159.55
2016-03-30,167.4
2016-03-31,168.15
2016-04-01,170.05
2016-04-04,172.45
2016-04-05,168.9
2016-04-06,173.05
2016-04-07,167.3
2016-04-08,168.0
2016-04-11,167.1
2016-04-12,166.35
2016-04-13,167.2
2016-04-18,168.65
2016-04-20,179.05
2016-04-21,174.3
2016-04-22,172.15
2016-04-25,173.95
2016-04-26,176.35
2016-04-27,173.75
2016-04-28,169.5
2016-04-29,170.65
2016-05-02,167.0
2016-05-03,166.7
2016-05-04,164.3
2016-05-05,163.1
2016-05-06,161.95
2016-05-09,160.2
2016-05-10,159.3
2016-05-11,158.85
2016-05-12,159.85
2016-05-13,157.9
2016-05-16,156.4
2016-05-17,160.4
2016-05-18,159.7
2016-05-19,158.15
2016-05-20,156.9
2016-05-23,160.35
2016-05-24,163.6
2016-05-25,160.75
2016-05-26,160.85
2016-05-27,173.7
2016-05-30,172.75
2016-05-31,184.05
2016-06-01,188.25
2016-06-02,185.3
2016-06-03,184.85
2016-06-06,180.55
2016-06-07,186.8
2016-06-08,192.9
2016-06-09,190.5
2016-06-10,189.85
2016-06-13,192.0
2016-06-14,196.85
2016-06-15,199.85
2016-06-16,200.15
2016-06-17,193.8
2016-06-20,194.85
2016-06-21,191.0
2016-06-22,185.65
2016-06-23,185.3
2016-06-24,179.05
2016-06-27,185.35
2016-06-28,185.85
2016-06-29,187.8
2016-06-30,189.15
2016-07-01,189.25
2016-07-04,191.0
2016-07-05,188.0
2016-07-07,186.85
2016-07-08,183.85
2016-07-11,185.65
2016-07-12,192.85
2016-07-13,187.55
2016-07-14,189.5
2016-07-15,186.25
2016-07-18,184.65
2016-07-19,184.25
2016-07-20,186.2
2016-07-21,183.2
2016-07-22,189.35
2016-07-25,227.2
2016-07-26,235.4
2016-07-27,253.45
2016-07-28,255.2
2016-07-29,244.5
2016-08-01,245.05
2016-08-02,250.4
2016-08-03,283.3
2016-08-04,286.4
2016-08-05,291.05
2016-08-08,293.95
2016-08-09,290.35
2016-08-10,285.3
2016-08-11,279.25
2016-08-12,275.2
2016-08-16,289.05
2016-08-17,293.45
2016-08-18,313.7
2016-08-19,376.4
2016-08-22,388.4
2016-08-23,368.3
2016-08-24,373.85
2016-08-25,364.6
2016-08-26,360.7
2016-08-29,361.55
2016-08-30,359.45
2016-08-31,341.1
2016-09-01,342.45
2016-09-02,343.3
2016-09-06,348.25
2016-09-07,347.3
2016-09-08,361.95
2016-09-09,353.0
2016-09-12,336.6
2016-09-14,338.1
2016-09-15,337.5
2016-09-16,340.0
2016-09-19,337.6
2016-09-20,342.35
2016-09-21,337.55
2016-09-22,338.95
2016-09-23,338.3
2016-09-26,336.8
2016-09-27,334.4
2016-09-28,329.95
2016-09-29,297.15
2016-09-30,310.3
2016-10-03,321.7
2016-10-04,338.1
2016-10-05,343.8
2016-10-06,334.6
2016-10-07,339.05
2016-10-10,336.0
2016-10-13,326.85
2016-10-14,322.45
2016-10-17,321.75
2016-10-18,338.05
2016-10-19,340.35
2016-10-20,343.3
2016-10-21,322.2
2016-10-24,323.05
2016-10-25,323.05
2016-10-26,321.35
2016-10-27,322.1
2016-10-28,319.8
2016-10-30,321.2
2016-11-01,324.9
2016-11-02,322.85
2016-11-03,317.6
2016-11-04,302.05
2016-11-07,311.4
2016-11-08,310.8
2016-11-09,302.8
2016-11-10,312.25
2016-11-11,299.0
2016-11-15,276.8
2016-11-16,274.75
2016-11-17,273.3
2016-11-18,266.0
2016-11-21,247.1
2016-11-22,263.5
2016-11-23,282.15
2016-11-24,292.0
2016-11-25,297.8
2016-11-28,298.45
2016-11-29,297.6
2016-11-30,303.55
2016-12-01,297.0
2016-12-02,290.75
2016-12-05,298.2
2016-12-06,298.7
2016-12-07,293.8
2016-12-08,300.65
2016-12-09,298.0
2016-12-12,293.7
2016-12-13,310.55
2016-12-14,302.65
2016-12-15,296.1
2016-12-16,293.25
2016-12-19,291.35
2016-12-20,288.95
2016-12-21,281.9
2016-12-22,274.1
2016-12-23,274.75
2016-12-26,263.75
2016-12-27,267.95
2016-12-28,269.75
2016-12-29,273.7
2016-12-30,276.5
