Date,GSFC
2016-01-01,75.85
2016-01-04,84.8
2016-01-05,83.5
2016-01-06,82.1
2016-01-07,79.0
2016-01-08,80.45
2016-01-11,80.55
2016-01-12,81.7
2016-01-13,79.5
2016-01-14,77.35
2016-01-15,75.65
2016-01-18,71.55
2016-01-19,73.1
2016-01-20,71.95
2016-01-21,70.9
2016-01-22,69.55
2016-01-25,70.0
2016-01-27,69.55
2016-01-28,70.2
2016-01-29,69.85
2016-02-01,69.65
2016-02-02,68.6
2016-02-03,67.35
2016-02-04,66.85
2016-02-05,66.95
2016-02-08,66.15
2016-02-09,64.55
2016-02-10,64.2
2016-02-11,61.05
2016-02-12,58.9
2016-02-15,60.95
2016-02-16,59.15
2016-02-17,59.0
2016-02-18,59.2
2016-02-19,61.85
2016-02-22,63.0
2016-02-23,61.0
2016-02-24,60.4
2016-02-25,60.6
2016-02-26,60.45
2016-02-29,63.2
2016-03-01,63.05
2016-03-02,64.2
2016-03-03,65.45
2016-03-04,64.15
2016-03-08,64.05
2016-03-09,64.25
2016-03-10,66.1
2016-03-11,65.05
2016-03-14,64.55
2016-03-15,65.8
2016-03-16,65.4
2016-03-17,64.6
2016-03-18,64.4
2016-03-21,64.95
2016-03-22,63.95
2016-03-23,64.15
2016-03-28,63.0
2016-03-29,63.15
2016-03-30,65.4
2016-03-31,64.25
2016-04-01,66.3
2016-04-04,70.1
2016-04-05,68.8
2016-04-06,69.9
2016-04-07,70.35
2016-04-08,70.7
2016-04-11,71.9
2016-04-12,72.8
2016-04-13,72.8
2016-04-18,72.75
2016-04-20,75.8
2016-04-21,74.6
2016-04-22,73.3
2016-04-25,74.2
2016-04-26,74.65
2016-04-27,75.35
2016-04-28,74.0
2016-04-29,74.35
2016-05-02,77.85
2016-05-03,77.15
2016-05-04,77.8
2016-05-05,77.85
2016-05-06,77.3
2016-05-09,76.9
2016-05-10,78.6
2016-05-11,79.4
2016-05-12,81.6
2016-05-13,83.3
2016-05-16,83.95
2016-05-17,83.65
2016-05-18,82.9
2016-05-19,81.5
2016-05-20,78.3
2016-05-23,78.8
2016-05-24,79.65
2016-05-25,73.55
2016-05-26,72.45
2016-05-27,72.9
2016-05-30,73.0
2016-05-31,71.75
2016-06-01,72.5
2016-06-02,72.6
2016-06-03,73.5
2016-06-06,73.0
2016-06-07,73.4
2016-06-08,77.1
2016-06-09,76.9
2016-06-10,75.9
2016-06-13,74.9
2016-06-14,76.0
2016-06-15,75.4
2016-06-16,74.6
2016-06-17,74.2
2016-06-20,74.65
2016-06-21,75.0
2016-06-22,73.75
2016-06-23,73.15
2016-06-24,70.6
2016-06-27,71.7
2016-06-28,73.0
2016-06-29,75.35
2016-06-30,78.55
2016-07-01,78.35
2016-07-04,77.9
2016-07-05,76.0
2016-07-07,76.7
2016-07-08,75.45
2016-07-11,76.15
2016-07-12,76.2
2016-07-13,75.0
2016-07-14,75.05
2016-07-15,74.35
2016-07-18,73.45
2016-07-19,72.95
2016-07-20,73.0
2016-07-21,72.9
2016-07-22,74.0
2016-07-25,74.85
2016-07-26,73.9
2016-07-27,73.5
2016-07-28,73.7
2016-07-29,69.85
2016-08-01,69.45
2016-08-02,69.15
2016-08-03,67.65
2016-08-04,68.05
2016-08-05,69.85
2016-08-08,70.6
2016-08-09,70.35
2016-08-10,70.05
2016-08-11,70.8
2016-08-12,70.7
2016-08-16,71.3
2016-08-17,71.75
2016-08-18,71.7
2016-08-19,71.95
2016-08-22,73.85
2016-08-23,77.1
2016-08-24,77.45
2016-08-25,76.55
2016-08-26,76.4
2016-08-29,77.3
2016-08-30,76.85
2016-08-31,75.9
2016-09-01,72.85
2016-09-02,72.2
2016-09-06,72.5
2016-09-07,72.1
2016-09-08,76.0
2016-09-09,74.75
2016-09-12,73.45
2016-09-14,75.15
2016-09-15,75.0
2016-09-16,73.95
2016-09-19,73.6
2016-09-20,74.0
2016-09-21,74.55
2016-09-22,77.05
2016-09-23,76.8
2016-09-26,75.3
2016-09-27,74.0
2016-09-28,75.85
2016-09-29,74.25
2016-09-30,76.2
2016-10-03,84.0
2016-10-04,86.25
2016-10-05,88.9
2016-10-06,87.4
2016-10-07,92.15
2016-10-10,92.1
2016-10-13,88.3
2016-10-14,89.2
2016-10-17,90.25
2016-10-18,91.55
2016-10-19,96.0
2016-10-20,96.2
2016-10-21,97.9
2016-10-24,98.45
2016-10-25,92.1
2016-10-26,96.1
2016-10-27,95.55
2016-10-28,95.05
2016-10-30,97.05
2016-11-01,103.2
2016-11-02,97.2
2016-11-03,94.2
2016-11-04,91.4
2016-11-07,92.25
2016-11-08,92.75
2016-11-09,89.5
2016-11-10,90.35
2016-11-11,87.25
2016-11-15,83.35
2016-11-16,84.2
2016-11-17,83.7
2016-11-18,82.4
2016-11-21,81.4
2016-11-22,80.75
2016-11-23,83.0
2016-11-24,82.6
2016-11-25,85.0
2016-11-28,85.05
2016-11-29,85.75
2016-11-30,89.8
2016-12-01,91.2
2016-12-02,88.65
2016-12-05,89.15
2016-12-06,90.4
2016-12-07,89.1
2016-12-08,89.8
2016-12-09,89.9
2016-12-12,89.5
2016-12-13,88.4
2016-12-14,88.9
2016-12-15,88.45
2016-12-16,87.95
2016-12-19,95.6
2016-12-20,93.45
2016-12-21,93.55
2016-12-22,90.8
2016-12-23,93.55
2016-12-26,89.15
2016-12-27,91.25
2016-12-28,93.65
2016-12-29,97.45
2016-12-30,97.9
