Date,BIOCON
2016-01-01,521.2
2016-01-04,534.2
2016-01-05,534.15
2016-01-06,523.75
2016-01-07,511.3
2016-01-08,518.15
2016-01-11,522.55
2016-01-12,518.55
2016-01-13,509.45
2016-01-14,517.75
2016-01-15,501.9
2016-01-18,481.55
2016-01-19,494.2
2016-01-20,481.7
2016-01-21,483.2
2016-01-22,483.1
2016-01-25,489.05
2016-01-27,499.75
2016-01-28,492.2
2016-01-29,489.35
2016-02-01,486.7
2016-02-02,473.8
2016-02-03,462.7
2016-02-04,467.6
2016-02-05,472.7
2016-02-08,470.75
2016-02-09,458.35
2016-02-10,457.5
2016-02-11,443.1
2016-02-12,446.1
2016-02-15,458.05
2016-02-16,448.5
2016-02-17,461.65
2016-02-18,462.5
2016-02-19,462.55
2016-02-22,471.95
2016-02-23,473.2
2016-02-24,465.4
2016-02-25,457.25
2016-02-26,467.15
2016-02-29,469.5
2016-03-01,469.8
2016-03-02,480.9
2016-03-03,483.65
2016-03-04,486.55
2016-03-08,474.8
2016-03-09,484.65
2016-03-10,490.8
2016-03-11,485.3
2016-03-14,483.35
2016-03-15,475.65
2016-03-16,473.9
2016-03-17,463.95
2016-03-18,459.3
2016-03-21,468.5
2016-03-22,467.1
2016-03-23,463.95
2016-03-28,480.5
2016-03-29,482.25
2016-03-30,481.4
2016-03-31,483.35
2016-04-01,490.9
2016-04-04,492.0
2016-04-05,527.25
2016-04-06,531.75
2016-04-07,536.5
2016-04-08,536.4
2016-04-11,546.45
2016-04-12,555.2
2016-04-13,554.35
2016-04-18,559.45
2016-04-20,566.95
2016-04-21,551.8
2016-04-22,550.95
2016-04-25,558.25
2016-04-26,565.35
2016-04-27,571.9
2016-04-28,575.65
2016-04-29,585.4
2016-05-02,607.55
2016-05-03,612.4
2016-05-04,621.3
2016-05-05,619.25
2016-05-06,612.6
2016-05-09,610.35
2016-05-10,618.6
2016-05-11,626.55
2016-05-12,626.5
2016-05-13,628.5
2016-05-16,627.05
2016-05-17,625.8
2016-05-18,623.05
2016-05-19,619.05
2016-05-20,622.05
2016-05-23,640.85
2016-05-24,644.15
2016-05-25,649.7
2016-05-26,657.3
2016-05-27,699.45
2016-05-30,701.5
2016-05-31,717.55
2016-06-01,714.55
2016-06-02,709.35
2016-06-03,703.2
2016-06-06,726.3
2016-06-07,724.05
2016-06-08,732.0
2016-06-09,721.1
2016-06-10,713.4
2016-06-13,717.25
2016-06-14,713.8
2016-06-15,719.75
2016-06-16,718.35
2016-06-17,717.1
2016-06-20,726.25
2016-06-21,724.75
2016-06-22,716.1
2016-06-23,719.3
2016-06-24,710.6
2016-06-27,757.2
2016-06-28,749.2
2016-06-29,740.2
2016-06-30,741.2
2016-07-01,739.7
2016-07-04,744.65
2016-07-05,734.5
2016-07-07,731.5
2016-07-08,727.35
2016-07-11,740.05
2016-07-12,735.4
2016-07-13,725.55
2016-07-14,711.85
2016-07-15,704.0
2016-07-18,694.3
2016-07-19,700.0
2016-07-20,710.85
2016-07-21,700.6
2016-07-22,809.7
2016-07-25,809.0
2016-07-26,803.65
2016-07-27,807.7
2016-07-28,824.8
2016-07-29,829.15
2016-08-01,826.1
2016-08-02,831.0
2016-08-03,816.35
2016-08-04,824.7
2016-08-05,836.7
2016-08-08,842.05
2016-08-09,843.7
2016-08-10,841.1
2016-08-11,846.85
2016-08-12,846.2
2016-08-16,838.8
2016-08-17,843.65
2016-08-18,855.8
2016-08-19,847.5
2016-08-22,883.15
2016-08-23,884.25
2016-08-24,882.3
2016-08-25,865.55
2016-08-26,892.45
2016-08-29,891.75
2016-08-30,912.2
2016-08-31,916.7
2016-09-01,910.2
2016-09-02,912.2
2016-09-06,921.5
2016-09-07,932.8
2016-09-08,928.6
2016-09-09,908.15
2016-09-12,885.8
2016-09-14,924.55
2016-09-15,928.95
2016-09-16,921.0
2016-09-19,933.15
2016-09-20,959.5
2016-09-21,945.55
2016-09-22,962.95
2016-09-23,962.45
2016-09-26,968.65
2016-09-27,974.85
2016-09-28,971.7
2016-09-29,923.25
2016-09-30,933.5
2016-10-03,964.05
2016-10-04,948.6
2016-10-05,956.95
2016-10-06,959.9
2016-10-07,944.3
2016-10-10,944.25
2016-10-13,942.05
2016-10-14,951.95
2016-10-17,947.4
2016-10-18,965.95
2016-10-19,1002.85
2016-10-20,980.35
2016-10-21,1008.15
2016-10-24,970.65
2016-10-25,939.5
2016-10-26,907.1
2016-10-27,920.85
2016-10-28,925.65
2016-10-30,926.55
2016-11-01,925.05
2016-11-02,909.35
2016-11-03,907.1
2016-11-04,878.05
2016-11-07,898.1
2016-11-08,893.75
2016-11-09,888.35
2016-11-10,907.35
2016-11-11,880.55
2016-11-15,861.75
2016-11-16,869.45
2016-11-17,882.35
2016-11-18,872.55
2016-11-21,851.95
2016-11-22,847.4
2016-11-23,861.2
2016-11-24,855.3
2016-11-25,877.35
2016-11-28,882.35
2016-11-29,920.1
2016-11-30,916.8
2016-12-01,925.25
2016-12-02,913.95
2016-12-05,918.4
2016-12-06,917.75
2016-12-07,917.85
2016-12-08,924.35
2016-12-09,943.65
2016-12-12,939.95
2016-12-13,935.35
2016-12-14,922.95
2016-12-15,938.15
2016-12-16,982.5
2016-12-19,967.15
2016-12-20,964.15
2016-12-21,956.7
2016-12-22,940.35
2016-12-23,930.6
2016-12-26,894.35
2016-12-27,916.95
2016-12-28,926.8
2016-12-29,945.65
2016-12-30,949.85
