Date,EKC
2016-01-01,18.3
2016-01-04,20.45
2016-01-05,23.85
2016-01-06,24.25
2016-01-07,22.5
2016-01-08,23.35
2016-01-11,25.2
2016-01-12,24.45
2016-01-13,22.15
2016-01-14,20.6
2016-01-15,19.0
2016-01-18,17.15
2016-01-19,17.85
2016-01-20,17.0
2016-01-21,16.2
2016-01-22,16.2
2016-01-25,16.55
2016-01-27,17.35
2016-01-28,18.2
2016-01-29,19.1
2016-02-01,19.75
2016-02-02,18.8
2016-02-03,17.9
2016-02-04,17.05
2016-02-05,17.4
2016-02-08,17.45
2016-02-09,17.25
2016-02-10,16.3
2016-02-11,15.2
2016-02-12,13.8
2016-02-15,15.15
2016-02-16,14.85
2016-02-17,14.65
2016-02-18,15.25
2016-02-19,16.45
2016-02-22,16.8
2016-02-23,15.5
2016-02-24,15.2
2016-02-25,15.0
2016-02-26,14.75
2016-02-29,14.45
2016-03-01,15.65
2016-03-02,16.3
2016-03-03,16.65
2016-03-04,16.3
2016-03-08,17.25
2016-03-09,17.15
2016-03-10,16.85
2016-03-11,16.95
2016-03-14,16.6
2016-03-15,16.2
2016-03-16,16.05
2016-03-17,16.3
2016-03-18,16.35
2016-03-21,16.0
2016-03-22,16.15
2016-03-23,15.85
2016-03-28,14.55
2016-03-29,14.3
2016-03-30,14.9
2016-03-31,14.95
2016-04-01,16.75
2016-04-04,17.15
2016-04-05,16.55
2016-04-06,16.85
2016-04-07,16.8
2016-04-08,16.55
2016-04-11,16.5
2016-04-12,16.45
2016-04-13,16.8
2016-04-18,17.15
2016-04-20,18.1
2016-04-21,17.7
2016-04-22,17.4
2016-04-25,16.95
2016-04-26,17.1
2016-04-27,16.95
2016-04-28,16.55
2016-04-29,16.25
2016-05-02,17.6
2016-05-03,17.05
2016-05-04,16.95
2016-05-05,16.65
2016-05-06,16.65
2016-05-09,16.7
2016-05-10,16.65
2016-05-11,16.3
2016-05-12,16.1
2016-05-13,15.85
2016-05-16,15.8
2016-05-17,15.8
2016-05-18,15.9
2016-05-19,15.1
2016-05-20,15.2
2016-05-23,15.2
2016-05-24,16.55
2016-05-25,16.25
2016-05-26,16.05
2016-05-27,16.0
2016-05-30,16.0
2016-05-31,15.45
2016-06-01,15.25
2016-06-02,15.7
2016-06-03,15.2
2016-06-06,14.85
2016-06-07,14.95
2016-06-08,14.95
2016-06-09,15.05
2016-06-10,14.95
2016-06-13,14.95
2016-06-14,14.95
2016-06-15,15.25
2016-06-16,15.1
2016-06-17,15.1
2016-06-20,15.6
2016-06-21,15.25
2016-06-22,15.0
2016-06-23,14.95
2016-06-24,14.7
2016-06-27,14.9
2016-06-28,17.35
2016-06-29,17.15
2016-06-30,16.55
2016-07-01,16.5
2016-07-04,16.35
2016-07-05,16.9
2016-07-07,16.95
2016-07-08,16.85
2016-07-11,18.55
2016-07-12,19.15
2016-07-13,18.8
2016-07-14,18.5
2016-07-15,17.9
2016-07-18,18.8
2016-07-19,18.85
2016-07-20,18.75
2016-07-21,18.1
2016-07-22,19.45
2016-07-25,20.55
2016-07-26,21.1
2016-07-27,21.3
2016-07-28,22.95
2016-07-29,22.9
2016-08-01,21.7
2016-08-02,20.8
2016-08-03,19.45
2016-08-04,19.3
2016-08-05,21.8
2016-08-08,22.35
2016-08-09,21.75
2016-08-10,21.95
2016-08-11,21.95
2016-08-12,20.75
2016-08-16,19.8
2016-08-17,19.95
2016-08-18,20.8
2016-08-19,20.85
2016-08-22,20.15
2016-08-23,19.8
2016-08-24,19.8
2016-08-25,20.0
2016-08-26,19.7
2016-08-29,20.55
2016-08-30,21.65
2016-08-31,21.75
2016-09-01,21.35
2016-09-02,20.9
2016-09-06,20.9
2016-09-07,21.8
2016-09-08,26.15
2016-09-09,28.25
2016-09-12,30.3
2016-09-14,30.7
2016-09-15,29.5
2016-09-16,29.6
2016-09-19,29.25
2016-09-20,29.25
2016-09-21,29.3
2016-09-22,28.85
2016-09-23,28.05
2016-09-26,27.0
2016-09-27,25.9
2016-09-28,27.85
2016-09-29,25.1
2016-09-30,26.45
2016-10-03,26.95
2016-10-04,27.95
2016-10-05,26.75
2016-10-06,26.2
2016-10-07,26.3
2016-10-10,29.35
2016-10-13,29.1
2016-10-14,29.5
2016-10-17,30.4
2016-10-18,30.75
2016-10-19,36.9
2016-10-20,37.0
2016-10-21,37.8
2016-10-24,40.0
2016-10-25,40.75
2016-10-26,40.1
2016-10-27,39.5
2016-10-28,39.45
2016-10-30,39.75
2016-11-01,39.5
2016-11-02,37.25
2016-11-03,36.4
2016-11-04,33.65
2016-11-07,34.75
2016-11-08,35.95
2016-11-09,33.5
2016-11-10,34.6
2016-11-11,31.4
2016-11-15,31.95
2016-11-16,31.9
2016-11-17,29.5
2016-11-18,30.15
2016-11-21,28.85
2016-11-22,28.25
2016-11-23,29.2
2016-11-24,29.4
2016-11-25,31.75
2016-11-28,33.6
2016-11-29,34.55
2016-11-30,36.45
2016-12-01,34.95
2016-12-02,33.75
2016-12-05,34.1
2016-12-06,33.95
2016-12-07,33.05
2016-12-08,34.1
2016-12-09,33.65
2016-12-12,33.0
2016-12-13,33.85
2016-12-14,33.15
2016-12-15,34.35
2016-12-16,34.65
2016-12-19,33.8
2016-12-20,34.4
2016-12-21,34.1
2016-12-22,32.95
2016-12-23,32.15
2016-12-26,30.25
2016-12-27,30.6
2016-12-28,31.25
2016-12-29,31.3
2016-12-30,33.3
