Date,EON
2016-01-01,79.65
2016-01-04,78.1
2016-01-05,81.85
2016-01-06,77.85
2016-01-07,74.0
2016-01-08,73.9
2016-01-11,71.45
2016-01-12,68.45
2016-01-13,65.35
2016-01-14,62.2
2016-01-15,59.1
2016-01-18,56.15
2016-01-19,55.65
2016-01-20,52.9
2016-01-21,50.9
2016-01-22,53.4
2016-01-25,56.05
2016-01-27,58.85
2016-01-28,61.75
2016-01-29,62.7
2016-02-01,59.6
2016-02-02,57.1
2016-02-03,54.25
2016-02-04,52.1
2016-02-05,52.8
2016-02-08,51.2
2016-02-09,50.55
2016-02-10,48.9
2016-02-11,46.5
2016-02-12,48.8
2016-02-15,51.2
2016-02-16,51.65
2016-02-17,54.1
2016-02-18,53.9
2016-02-19,52.95
2016-02-22,50.7
2016-02-23,50.7
2016-02-24,49.05
2016-02-25,46.75
2016-02-26,45.7
2016-02-29,46.95
2016-03-01,49.25
2016-03-02,51.7
2016-03-03,54.25
2016-03-04,53.55
2016-03-08,55.85
2016-03-09,53.45
2016-03-10,54.95
2016-03-11,54.45
2016-03-14,55.1
2016-03-15,54.7
2016-03-16,54.8
2016-03-17,54.6
2016-03-18,53.75
2016-03-21,55.1
2016-03-22,54.95
2016-03-23,53.5
2016-03-28,51.45
2016-03-29,51.5
2016-03-30,52.55
2016-03-31,51.45
2016-04-01,61.7
2016-04-04,70.55
2016-04-05,66.2
2016-04-06,68.4
2016-04-07,64.5
2016-04-08,63.35
2016-04-11,64.75
2016-04-12,64.8
2016-04-13,63.7
2016-04-18,67.2
2016-04-20,67.2
2016-04-21,65.55
2016-04-22,64.6
2016-04-25,64.5
2016-04-26,65.85
2016-04-27,66.5
2016-04-28,69.0
2016-04-29,67.8
2016-05-02,81.35
2016-05-03,79.55
2016-05-04,74.85
2016-05-05,80.4
2016-05-06,76.9
2016-05-09,80.15
2016-05-10,79.35
2016-05-11,78.3
2016-05-12,78.6
2016-05-13,76.45
2016-05-16,76.3
2016-05-17,76.75
2016-05-18,79.65
2016-05-19,80.0
2016-05-20,77.95
2016-05-23,80.6
2016-05-24,71.8
2016-05-25,67.7
2016-05-26,67.2
2016-05-27,67.3
2016-05-30,65.9
2016-05-31,65.85
2016-06-01,69.6
2016-06-02,71.0
2016-06-03,70.05
2016-06-06,69.3
2016-06-07,71.65
2016-06-08,73.1
2016-06-09,72.75
2016-06-10,77.1
2016-06-13,73.9
2016-06-14,71.15
2016-06-15,68.95
2016-06-16,67.6
2016-06-17,68.9
2016-06-20,67.55
2016-06-21,67.9
2016-06-22,66.9
2016-06-23,66.8
2016-06-24,64.15
2016-06-27,63.55
2016-06-28,64.55
2016-06-29,70.35
2016-06-30,69.2
2016-07-01,68.85
2016-07-04,69.1
2016-07-05,66.95
2016-07-07,68.6
2016-07-08,67.65
2016-07-11,68.5
2016-07-12,68.25
2016-07-13,67.45
2016-07-14,67.8
2016-07-15,66.1
2016-07-18,66.2
2016-07-19,65.25
2016-07-20,65.45
2016-07-21,65.4
2016-07-22,66.55
2016-07-25,67.5
2016-07-26,68.05
2016-07-27,66.85
2016-07-28,66.1
2016-07-29,66.3
2016-08-01,64.55
2016-08-02,64.05
2016-08-03,62.65
2016-08-04,63.45
2016-08-05,62.8
2016-08-08,64.2
2016-08-09,65.9
2016-08-10,64.25
2016-08-11,64.2
2016-08-12,64.45
2016-08-16,63.45
2016-08-17,62.85
2016-08-18,62.0
2016-08-19,61.8
2016-08-22,61.8
2016-08-23,61.3
2016-08-24,59.35
2016-08-25,58.75
2016-08-26,57.5
2016-08-29,58.45
2016-08-30,63.05
2016-08-31,62.9
2016-09-01,61.0
2016-09-02,60.35
2016-09-06,60.75
2016-09-07,60.9
2016-09-08,60.75
2016-09-09,62.25
2016-09-12,62.9
2016-09-14,62.7
2016-09-15,62.75
2016-09-16,61.8
2016-09-19,61.65
2016-09-20,58.4
2016-09-21,56.9
2016-09-22,58.35
2016-09-23,56.15
2016-09-26,59.8
2016-09-27,59.95
2016-09-28,59.35
2016-09-29,55.35
2016-09-30,55.95
2016-10-03,56.9
2016-10-04,58.25
2016-10-05,58.65
2016-10-06,59.7
2016-10-07,58.95
2016-10-10,66.35
2016-10-13,65.45
2016-10-14,68.85
2016-10-17,66.5
2016-10-18,71.9
2016-10-19,70.9
2016-10-20,72.45
2016-10-21,70.7
2016-10-24,72.2
2016-10-25,74.3
2016-10-26,71.45
2016-10-27,70.0
2016-10-28,69.1
2016-10-30,71.2
2016-11-01,69.85
2016-11-02,69.7
2016-11-03,67.5
2016-11-04,65.25
2016-11-07,68.25
2016-11-08,67.1
2016-11-09,65.9
2016-11-10,68.05
2016-11-11,64.1
2016-11-15,59.8
2016-11-16,59.45
2016-11-17,57.65
2016-11-18,55.0
2016-11-21,50.55
2016-11-22,48.95
2016-11-23,51.85
2016-11-24,51.0
2016-11-25,52.8
2016-11-28,56.7
2016-11-29,56.65
2016-11-30,55.05
2016-12-01,55.2
2016-12-02,54.55
2016-12-05,54.5
2016-12-06,54.95
2016-12-07,54.65
2016-12-08,56.1
2016-12-09,56.2
2016-12-12,56.25
2016-12-13,56.7
2016-12-14,56.05
2016-12-15,57.7
2016-12-16,58.7
2016-12-19,62.0
2016-12-20,59.55
2016-12-21,60.45
2016-12-22,58.7
2016-12-23,58.15
2016-12-26,56.8
2016-12-27,56.85
2016-12-28,56.85
2016-12-29,56.8
2016-12-30,57.0
