Date,PIONEEREMB
2016-01-01,78.65
2016-01-04,80.85
2016-01-05,81.25
2016-01-06,85.3
2016-01-07,85.15
2016-01-08,89.4
2016-01-11,93.85
2016-01-12,90.6
2016-01-13,87.55
2016-01-14,83.3
2016-01-15,79.15
2016-01-18,75.2
2016-01-19,71.45
2016-01-20,67.9
2016-01-21,64.55
2016-01-22,67.75
2016-01-25,70.8
2016-01-27,74.2
2016-01-28,74.8
2016-01-29,73.2
2016-02-01,71.65
2016-02-02,68.1
2016-02-03,64.7
2016-02-04,63.85
2016-02-05,60.7
2016-02-08,58.2
2016-02-09,56.4
2016-02-10,58.65
2016-02-11,56.0
2016-02-12,53.85
2016-02-15,56.5
2016-02-16,53.95
2016-02-17,51.45
2016-02-18,52.4
2016-02-19,51.7
2016-02-22,50.55
2016-02-23,49.8
2016-02-24,49.7
2016-02-25,47.3
2016-02-26,45.1
2016-02-29,43.95
2016-03-01,46.1
2016-03-02,48.4
2016-03-03,50.8
2016-03-04,53.3
2016-03-08,55.85
2016-03-09,54.2
2016-03-10,53.65
2016-03-11,51.5
2016-03-14,52.7
2016-03-15,51.5
2016-03-16,51.95
2016-03-17,51.6
2016-03-18,50.95
2016-03-21,50.6
2016-03-22,48.15
2016-03-23,49.25
2016-03-28,49.9
2016-03-29,48.85
2016-03-30,49.2
2016-03-31,51.15
2016-04-01,56.25
2016-04-04,61.85
2016-04-05,62.6
2016-04-06,63.7
2016-04-07,62.6
2016-04-08,60.95
2016-04-11,58.7
2016-04-12,56.5
2016-04-13,57.45
2016-04-18,54.85
2016-04-20,54.7
2016-04-21,54.55
2016-04-22,54.15
2016-04-25,52.4
2016-04-26,51.55
2016-04-27,54.1
2016-04-28,54.05
2016-04-29,52.2
2016-05-02,51.3
2016-05-03,50.6
2016-05-04,48.55
2016-05-05,47.6
2016-05-06,47.1
2016-05-09,49.45
2016-05-10,48.9
2016-05-11,48.65
2016-05-12,49.2
2016-05-13,47.75
2016-05-16,47.3
2016-05-17,47.45
2016-05-18,47.7
2016-05-19,46.6
2016-05-20,46.4
2016-05-23,46.9
2016-05-24,46.2
2016-05-25,44.8
2016-05-26,42.65
2016-05-27,40.6
2016-05-30,39.1
2016-05-31,41.05
2016-06-01,43.1
2016-06-02,43.05
2016-06-03,45.45
2016-06-06,44.3
2016-06-07,43.8
2016-06-08,43.6
2016-06-09,43.75
2016-06-10,43.3
2016-06-13,41.45
2016-06-14,41.2
2016-06-15,41.95
2016-06-16,41.45
2016-06-17,41.2
2016-06-20,41.6
2016-06-21,43.95
2016-06-22,42.6
2016-06-23,42.15
2016-06-24,41.0
2016-06-27,42.7
2016-06-28,43.1
2016-06-29,43.65
2016-06-30,42.55
2016-07-01,47.3
2016-07-04,50.05
2016-07-05,49.55
2016-07-07,48.85
2016-07-08,49.3
2016-07-11,50.4
2016-07-12,48.35
2016-07-13,48.55
2016-07-14,48.7
2016-07-15,46.8
2016-07-18,46.45
2016-07-19,46.9
2016-07-20,45.6
2016-07-21,44.05
2016-07-22,45.95
2016-07-25,49.4
2016-07-26,51.65
2016-07-27,50.0
2016-07-28,48.95
2016-07-29,47.8
2016-08-01,45.5
2016-08-02,46.2
2016-08-03,46.0
2016-08-04,45.25
2016-08-05,44.7
2016-08-08,44.75
2016-08-09,44.3
2016-08-10,45.05
2016-08-11,45.35
2016-08-12,44.6
2016-08-16,43.75
2016-08-17,45.0
2016-08-18,44.5
2016-08-19,44.95
2016-08-22,41.9
2016-08-23,41.95
2016-08-24,42.9
2016-08-25,43.65
2016-08-26,44.7
2016-08-29,46.5
2016-08-30,49.5
2016-08-31,51.25
2016-09-01,54.6
2016-09-02,61.55
2016-09-06,65.35
2016-09-07,65.05
2016-09-08,64.45
2016-09-09,65.45
2016-09-12,65.1
2016-09-14,67.25
2016-09-15,71.8
2016-09-16,70.6
2016-09-19,67.75
2016-09-20,69.7
2016-09-21,70.55
2016-09-22,69.5
2016-09-23,67.65
2016-09-26,65.05
2016-09-27,67.5
2016-09-28,65.8
2016-09-29,59.25
2016-09-30,59.7
2016-10-03,65.0
2016-10-04,67.5
2016-10-05,66.85
2016-10-06,65.5
2016-10-07,67.75
2016-10-10,69.75
2016-10-13,64.65
2016-10-14,70.0
2016-10-17,69.15
2016-10-18,73.0
2016-10-19,78.95
2016-10-20,75.1
2016-10-21,75.2
2016-10-24,70.95
2016-10-25,69.85
2016-10-26,69.8
2016-10-27,69.9
2016-10-28,70.2
2016-10-30,68.4
2016-11-01,66.05
2016-11-02,64.15
2016-11-03,63.85
2016-11-04,57.7
2016-11-07,57.6
2016-11-08,57.0
2016-11-09,55.15
2016-11-10,58.0
2016-11-11,55.05
2016-11-15,50.65
2016-11-16,48.4
2016-11-17,45.5
2016-11-18,45.1
2016-11-21,44.85
2016-11-22,45.7
2016-11-23,47.7
2016-11-24,47.55
2016-11-25,47.65
2016-11-28,51.05
2016-11-29,51.3
2016-11-30,54.15
2016-12-01,51.55
2016-12-02,49.75
2016-12-05,49.45
2016-12-06,48.8
2016-12-07,48.25
2016-12-08,48.95
2016-12-09,48.9
2016-12-12,49.35
2016-12-13,47.75
2016-12-14,48.0
2016-12-15,50.75
2016-12-16,50.35
2016-12-19,53.6
2016-12-20,52.65
2016-12-21,52.85
2016-12-22,51.05
2016-12-23,51.0
2016-12-26,49.15
2016-12-27,49.75
2016-12-28,49.5
2016-12-29,49.85
2016-12-30,50.55
