Date,NH
2016-01-06,336.95
2016-01-07,330.7
2016-01-08,327.4
2016-01-11,327.5
2016-01-12,331.8
2016-01-13,324.95
2016-01-14,320.1
2016-01-15,306.6
2016-01-18,299.3
2016-01-19,304.6
2016-01-20,301.2
2016-01-21,311.8
2016-01-22,316.95
2016-01-25,330.2
2016-01-27,333.95
2016-01-28,330.6
2016-01-29,333.65
2016-02-01,330.7
2016-02-02,331.75
2016-02-03,320.7
2016-02-04,321.9
2016-02-05,320.75
2016-02-08,328.4
2016-02-09,333.25
2016-02-10,321.1
2016-02-11,294.5
2016-02-12,286.5
2016-02-15,294.75
2016-02-16,290.5
2016-02-17,290.1
2016-02-18,290.45
2016-02-19,290.2
2016-02-22,289.75
2016-02-23,288.3
2016-02-24,285.25
2016-02-25,288.1
2016-02-26,284.45
2016-02-29,279.9
2016-03-01,295.4
2016-03-02,298.75
2016-03-03,299.75
2016-03-04,296.85
2016-03-08,298.85
2016-03-09,297.1
2016-03-10,293.6
2016-03-11,288.95
2016-03-14,293.85
2016-03-15,293.75
2016-03-16,295.45
2016-03-17,295.85
2016-03-18,293.65
2016-03-21,297.7
2016-03-22,294.2
2016-03-23,292.95
2016-03-28,285.0
2016-03-29,284.0
2016-03-30,287.05
2016-03-31,286.3
2016-04-01,290.1
2016-04-04,289.65
2016-04-05,296.2
2016-04-06,301.6
2016-04-07,299.45
2016-04-08,295.75
2016-04-11,299.85
2016-04-12,299.55
2016-04-13,295.5
2016-04-18,296.15
2016-04-20,296.05
2016-04-21,302.35
2016-04-22,300.1
2016-04-25,299.3
2016-04-26,300.0
2016-04-27,300.1
2016-04-28,297.8
2016-04-29,296.95
2016-05-02,294.25
2016-05-03,296.55
2016-05-04,289.45
2016-05-05,288.8
2016-05-06,290.1
2016-05-09,295.0
2016-05-10,298.8
2016-05-11,300.75
2016-05-12,307.05
2016-05-13,317.75
2016-05-16,319.3
2016-05-17,318.95
2016-05-18,325.05
2016-05-19,328.9
2016-05-20,324.3
2016-05-23,323.9
2016-05-24,322.3
2016-05-25,323.95
2016-05-26,322.35
2016-05-27,305.55
2016-05-30,306.75
2016-05-31,315.15
2016-06-01,310.7
2016-06-02,312.85
2016-06-03,310.1
2016-06-06,312.6
2016-06-07,311.7
2016-06-08,315.0
2016-06-09,312.5
2016-06-10,317.1
2016-06-13,316.9
2016-06-14,318.55
2016-06-15,318.75
2016-06-16,318.1
2016-06-17,318.75
2016-06-20,322.2
2016-06-21,322.15
2016-06-22,319.45
2016-06-23,320.65
2016-06-24,313.85
2016-06-27,313.6
2016-06-28,315.0
2016-06-29,316.05
2016-06-30,313.6
2016-07-01,313.2
2016-07-04,313.9
2016-07-05,312.5
2016-07-07,310.55
2016-07-08,306.35
2016-07-11,310.4
2016-07-12,310.2
2016-07-13,299.7
2016-07-14,291.9
2016-07-15,290.45
2016-07-18,297.2
2016-07-19,293.65
2016-07-20,292.1
2016-07-21,286.15
2016-07-22,289.65
2016-07-25,291.25
2016-07-26,289.1
2016-07-27,287.4
2016-07-28,289.8
2016-07-29,291.05
2016-08-01,318.6
2016-08-02,334.1
2016-08-03,323.8
2016-08-04,319.45
2016-08-05,318.9
2016-08-08,318.7
2016-08-09,320.4
2016-08-10,318.85
2016-08-11,310.0
2016-08-12,305.9
2016-08-16,303.9
2016-08-17,304.65
2016-08-18,304.6
2016-08-19,307.75
2016-08-22,314.25
2016-08-23,319.2
2016-08-24,320.8
2016-08-25,314.25
2016-08-26,311.5
2016-08-29,315.75
2016-08-30,310.9
2016-08-31,309.75
2016-09-01,309.0
2016-09-02,311.7
2016-09-06,311.85
2016-09-07,310.55
2016-09-08,310.25
2016-09-09,312.25
2016-09-12,311.5
2016-09-14,324.65
2016-09-15,320.15
2016-09-16,320.3
2016-09-19,320.05
2016-09-20,319.65
2016-09-21,319.55
2016-09-22,310.4
2016-09-23,313.35
2016-09-26,325.3
2016-09-27,333.45
2016-09-28,336.05
2016-09-29,323.5
2016-09-30,333.55
2016-10-03,343.6
2016-10-04,337.75
2016-10-05,340.05
2016-10-06,337.85
2016-10-07,335.55
2016-10-10,335.65
2016-10-13,338.9
2016-10-14,344.75
2016-10-17,339.75
2016-10-18,355.85
2016-10-19,352.8
2016-10-20,353.8
2016-10-21,350.2
2016-10-24,355.95
2016-10-25,362.0
2016-10-26,356.8
2016-10-27,344.75
2016-10-28,345.0
2016-10-30,355.9
2016-11-01,344.95
2016-11-02,342.2
2016-11-03,341.05
2016-11-04,338.1
2016-11-07,341.7
2016-11-08,341.65
2016-11-09,342.9
2016-11-10,354.1
2016-11-11,342.1
2016-11-15,329.7
2016-11-16,333.0
2016-11-17,322.1
2016-11-18,331.0
2016-11-21,330.85
2016-11-22,340.9
2016-11-23,351.4
2016-11-24,345.45
2016-11-25,349.1
2016-11-28,343.0
2016-11-29,344.4
2016-11-30,345.2
2016-12-01,344.3
2016-12-02,339.55
2016-12-05,340.15
2016-12-06,335.3
2016-12-07,339.9
2016-12-08,339.1
2016-12-09,338.65
2016-12-12,338.55
2016-12-13,337.05
2016-12-14,337.85
2016-12-15,338.05
2016-12-16,338.0
2016-12-19,337.25
2016-12-20,333.25
2016-12-21,333.2
2016-12-22,335.25
2016-12-23,339.65
2016-12-26,344.2
2016-12-27,338.85
2016-12-28,333.8
2016-12-29,335.05
2016-12-30,342.9
