Date,UPL
2016-01-01,440.35
2016-01-04,433.85
2016-01-05,435.3
2016-01-06,443.35
2016-01-07,417.4
2016-01-08,425.45
2016-01-11,424.9
2016-01-12,424.9
2016-01-13,411.1
2016-01-14,398.55
2016-01-15,390.35
2016-01-18,388.0
2016-01-19,391.95
2016-01-20,373.45
2016-01-21,377.7
2016-01-22,399.2
2016-01-25,401.6
2016-01-27,413.15
2016-01-28,410.65
2016-01-29,437.15
2016-02-01,438.15
2016-02-02,416.0
2016-02-03,409.1
2016-02-04,405.25
2016-02-05,412.0
2016-02-08,403.55
2016-02-09,390.3
2016-02-10,395.3
2016-02-11,387.7
2016-02-12,379.4
2016-02-15,405.0
2016-02-16,403.45
2016-02-17,395.6
2016-02-18,393.7
2016-02-19,398.05
2016-02-22,394.7
2016-02-23,394.35
2016-02-24,378.7
2016-02-25,382.2
2016-02-26,378.55
2016-02-29,381.65
2016-03-01,406.3
2016-03-02,411.55
2016-03-03,424.75
2016-03-04,444.8
2016-03-08,435.5
2016-03-09,435.05
2016-03-10,447.45
2016-03-11,438.5
2016-03-14,440.0
2016-03-15,434.25
2016-03-16,430.4
2016-03-17,437.3
2016-03-18,441.0
2016-03-21,445.25
2016-03-22,444.4
2016-03-23,456.35
2016-03-28,451.65
2016-03-29,451.35
2016-03-30,472.1
2016-03-31,477.7
2016-04-01,466.45
2016-04-04,467.5
2016-04-05,458.6
2016-04-06,458.0
2016-04-07,462.75
2016-04-08,460.0
2016-04-11,475.85
2016-04-12,493.65
2016-04-13,503.8
2016-04-18,507.25
2016-04-20,504.4
2016-04-21,514.2
2016-04-22,523.3
2016-04-25,524.6
2016-04-26,510.55
2016-04-27,514.95
2016-04-28,516.95
2016-04-29,537.9
2016-05-02,594.9
2016-05-03,579.45
2016-05-04,579.1
2016-05-05,592.45
2016-05-06,592.9
2016-05-09,587.2
2016-05-10,588.6
2016-05-11,593.55
2016-05-12,599.35
2016-05-13,583.75
2016-05-16,584.85
2016-05-17,580.2
2016-05-18,570.4
2016-05-19,561.05
2016-05-20,576.3
2016-05-23,570.7
2016-05-24,568.25
2016-05-25,588.35
2016-05-26,592.95
2016-05-27,595.4
2016-05-30,591.75
2016-05-31,595.5
2016-06-01,591.35
2016-06-02,604.95
2016-06-03,606.05
2016-06-06,611.6
2016-06-07,600.1
2016-06-08,599.1
2016-06-09,590.4
2016-06-10,580.0
2016-06-13,586.9
2016-06-14,582.4
2016-06-15,584.9
2016-06-16,568.45
2016-06-17,567.15
2016-06-20,569.05
2016-06-21,561.55
2016-06-22,556.0
2016-06-23,542.05
2016-06-24,540.2
2016-06-27,545.0
2016-06-28,546.15
2016-06-29,549.65
2016-06-30,550.1
2016-07-01,560.5
2016-07-04,555.9
2016-07-05,546.3
2016-07-07,554.25
2016-07-08,551.65
2016-07-11,546.6
2016-07-12,550.2
2016-07-13,561.3
2016-07-14,569.1
2016-07-15,566.6
2016-07-18,555.7
2016-07-19,553.2
2016-07-20,552.75
2016-07-21,559.1
2016-07-22,584.1
2016-07-25,579.4
2016-07-26,578.1
2016-07-27,608.8
2016-07-28,610.1
2016-07-29,624.85
2016-08-01,611.6
2016-08-02,588.0
2016-08-03,583.2
2016-08-04,602.3
2016-08-05,614.0
2016-08-08,622.15
2016-08-09,615.9
2016-08-10,620.3
2016-08-11,628.35
2016-08-12,629.55
2016-08-16,626.2
2016-08-17,642.6
2016-08-18,644.05
2016-08-19,645.2
2016-08-22,652.0
2016-08-23,645.25
2016-08-24,644.2
2016-08-25,632.25
2016-08-26,634.8
2016-08-29,637.15
2016-08-30,638.75
2016-08-31,638.95
2016-09-01,627.15
2016-09-02,635.2
2016-09-06,647.95
2016-09-07,660.85
2016-09-08,659.35
2016-09-09,660.5
2016-09-12,649.1
2016-09-14,696.3
2016-09-15,684.75
2016-09-16,692.8
2016-09-19,682.25
2016-09-20,679.8
2016-09-21,684.2
2016-09-22,684.25
2016-09-23,692.4
2016-09-26,682.15
2016-09-27,683.7
2016-09-28,683.0
2016-09-29,650.3
2016-09-30,673.85
2016-10-03,680.2
2016-10-04,676.5
2016-10-05,680.4
2016-10-06,671.5
2016-10-07,672.2
2016-10-10,670.9
2016-10-13,669.35
2016-10-14,683.35
2016-10-17,686.85
2016-10-18,692.6
2016-10-19,710.25
2016-10-20,714.95
2016-10-21,718.35
2016-10-24,721.45
2016-10-25,712.9
2016-10-26,699.15
2016-10-27,706.5
2016-10-28,697.8
2016-10-30,696.2
2016-11-01,706.25
2016-11-02,680.15
2016-11-03,669.35
2016-11-04,672.45
2016-11-07,668.35
2016-11-08,684.4
2016-11-09,661.2
2016-11-10,694.25
2016-11-11,647.1
2016-11-15,600.35
2016-11-16,620.7
2016-11-17,617.1
2016-11-18,623.6
2016-11-21,608.85
2016-11-22,606.2
2016-11-23,611.05
2016-11-24,609.25
2016-11-25,628.7
2016-11-28,628.65
2016-11-29,625.45
2016-11-30,633.95
2016-12-01,650.5
2016-12-02,652.2
2016-12-05,663.65
2016-12-06,672.55
2016-12-07,672.2
2016-12-08,700.15
2016-12-09,695.5
2016-12-12,695.55
2016-12-13,678.05
2016-12-14,651.1
2016-12-15,644.85
2016-12-16,663.4
2016-12-19,641.0
2016-12-20,634.3
2016-12-21,631.1
2016-12-22,618.95
2016-12-23,627.0
2016-12-26,612.3
2016-12-27,636.45
2016-12-28,631.3
2016-12-29,638.0
2016-12-30,647.0
