Date,LAKSHMIEFL
2016-01-01,16.35
2016-01-04,16.75
2016-01-05,17.75
2016-01-06,17.7
2016-01-07,20.85
2016-01-08,20.65
2016-01-11,20.15
2016-01-12,20.1
2016-01-13,18.3
2016-01-14,17.85
2016-01-15,17.15
2016-01-18,14.8
2016-01-19,16.1
2016-01-20,15.0
2016-01-21,15.25
2016-01-22,17.1
2016-01-25,17.75
2016-01-27,17.75
2016-01-28,17.55
2016-01-29,18.0
2016-02-01,17.4
2016-02-02,17.6
2016-02-03,19.85
2016-02-04,18.15
2016-02-05,17.55
2016-02-08,17.2
2016-02-09,17.05
2016-02-10,18.4
2016-02-11,17.05
2016-02-12,16.1
2016-02-15,15.2
2016-02-16,13.85
2016-02-17,13.2
2016-02-18,13.5
2016-02-19,13.45
2016-02-22,13.45
2016-02-23,13.05
2016-02-24,13.05
2016-02-25,15.5
2016-02-26,14.6
2016-02-29,14.0
2016-03-01,14.4
2016-03-02,15.2
2016-03-03,15.0
2016-03-04,14.95
2016-03-08,15.05
2016-03-09,15.15
2016-03-10,14.9
2016-03-11,14.7
2016-03-14,14.5
2016-03-15,15.1
2016-03-16,16.55
2016-03-17,15.55
2016-03-18,16.6
2016-03-21,16.75
2016-03-22,18.6
2016-03-23,19.25
2016-03-28,17.95
2016-03-29,16.8
2016-03-30,18.6
2016-03-31,19.0
2016-04-01,18.8
2016-04-04,19.8
2016-04-05,19.4
2016-04-06,19.8
2016-04-07,19.3
2016-04-08,19.15
2016-04-11,19.15
2016-04-12,18.55
2016-04-13,20.9
2016-04-18,23.75
2016-04-20,24.3
2016-04-21,25.5
2016-04-22,24.1
2016-04-25,23.5
2016-04-26,24.55
2016-04-27,25.0
2016-04-28,24.55
2016-04-29,24.55
2016-05-02,24.2
2016-05-03,23.85
2016-05-04,22.8
2016-05-05,23.05
2016-05-06,22.85
2016-05-09,24.25
2016-05-10,19.4
2016-05-11,18.05
2016-05-12,19.05
2016-05-13,18.9
2016-05-16,18.95
2016-05-17,18.45
2016-05-18,18.95
2016-05-19,19.65
2016-05-20,19.35
2016-05-23,21.2
2016-05-24,20.0
2016-05-25,21.4
2016-05-26,20.75
2016-05-27,23.0
2016-05-30,23.05
2016-05-31,22.75
2016-06-01,23.1
2016-06-02,22.75
2016-06-03,21.85
2016-06-06,22.2
2016-06-07,21.95
2016-06-08,21.7
2016-06-09,21.25
2016-06-10,21.2
2016-06-13,20.65
2016-06-14,22.45
2016-06-15,23.75
2016-06-16,22.95
2016-06-17,23.1
2016-06-20,22.25
2016-06-21,22.55
2016-06-22,23.0
2016-06-23,23.2
2016-06-24,22.4
2016-06-27,22.9
2016-06-28,22.75
2016-06-29,22.7
2016-06-30,23.45
2016-07-01,23.05
2016-07-04,22.75
2016-07-05,22.75
2016-07-07,22.7
2016-07-08,22.8
2016-07-11,23.4
2016-07-12,23.9
2016-07-13,23.75
2016-07-14,24.35
2016-07-15,29.2
2016-07-18,30.7
2016-07-19,34.95
2016-07-20,38.25
2016-07-21,34.65
2016-07-22,34.1
2016-07-25,34.35
2016-07-26,32.7
2016-07-27,32.15
2016-07-28,34.45
2016-07-29,36.3
2016-08-01,35.45
2016-08-02,34.65
2016-08-03,34.4
2016-08-04,34.1
2016-08-05,35.25
2016-08-08,41.4
2016-08-09,40.1
2016-08-10,41.9
2016-08-11,40.75
2016-08-12,40.35
2016-08-16,38.65
2016-08-17,38.6
2016-08-18,39.45
2016-08-19,39.6
2016-08-22,37.35
2016-08-23,37.35
2016-08-24,36.85
2016-08-25,36.45
2016-08-26,36.6
2016-08-29,36.2
2016-08-30,37.8
2016-08-31,37.05
2016-09-01,36.15
2016-09-02,43.1
2016-09-06,51.7
2016-09-07,47.1
2016-09-08,48.7
2016-09-09,46.85
2016-09-12,44.3
2016-09-14,46.45
2016-09-15,48.95
2016-09-16,47.3
2016-09-19,48.2
2016-09-20,48.0
2016-09-21,48.25
2016-09-22,48.2
2016-09-23,51.1
2016-09-26,56.2
2016-09-27,55.7
2016-09-28,58.1
2016-09-29,52.3
2016-09-30,50.85
2016-10-03,54.55
2016-10-04,53.95
2016-10-05,53.5
2016-10-06,53.7
2016-10-07,55.5
2016-10-10,55.1
2016-10-13,54.9
2016-10-14,55.55
2016-10-17,55.05
2016-10-18,57.5
2016-10-19,59.9
2016-10-20,59.4
2016-10-21,58.5
2016-10-24,58.85
2016-10-25,63.2
2016-10-26,68.4
2016-10-27,68.6
2016-10-28,70.15
2016-10-30,70.7
2016-11-01,67.25
2016-11-02,63.5
2016-11-03,63.5
2016-11-04,61.3
2016-11-07,64.05
2016-11-08,65.0
2016-11-09,56.35
2016-11-10,60.0
2016-11-11,56.1
2016-11-15,47.7
2016-11-16,48.15
2016-11-17,48.15
2016-11-18,47.65
2016-11-21,44.1
2016-11-22,44.5
2016-11-23,47.35
2016-11-24,52.35
2016-11-25,53.9
2016-11-28,55.35
2016-11-29,55.95
2016-11-30,56.05
2016-12-01,59.2
2016-12-02,57.1
2016-12-05,58.0
2016-12-06,61.5
2016-12-07,62.65
2016-12-08,64.8
2016-12-09,65.95
2016-12-12,68.0
2016-12-13,72.15
2016-12-14,74.2
2016-12-15,71.25
2016-12-16,70.65
2016-12-19,69.65
2016-12-20,65.85
2016-12-21,63.35
2016-12-22,61.1
2016-12-23,62.85
2016-12-26,58.35
2016-12-27,59.95
2016-12-28,61.4
2016-12-29,60.7
2016-12-30,63.75
