Date,PONNIERODE
2016-01-01,186.7
2016-01-04,188.4
2016-01-05,185.2
2016-01-06,185.55
2016-01-07,179.2
2016-01-08,192.55
2016-01-11,192.0
2016-01-12,184.95
2016-01-13,177.0
2016-01-14,174.8
2016-01-15,165.7
2016-01-18,154.25
2016-01-19,168.15
2016-01-20,159.75
2016-01-21,162.05
2016-01-22,166.75
2016-01-25,185.55
2016-01-27,181.95
2016-01-28,177.65
2016-01-29,169.4
2016-02-01,170.5
2016-02-02,175.0
2016-02-03,165.0
2016-02-04,156.0
2016-02-05,158.65
2016-02-08,150.5
2016-02-09,154.0
2016-02-10,161.3
2016-02-11,158.4
2016-02-12,145.4
2016-02-15,151.05
2016-02-16,149.0
2016-02-17,151.55
2016-02-18,151.15
2016-02-19,154.45
2016-02-22,150.0
2016-02-23,145.6
2016-02-24,153.7
2016-02-25,173.65
2016-02-26,172.3
2016-02-29,172.0
2016-03-01,166.4
2016-03-02,172.7
2016-03-03,178.9
2016-03-04,186.6
2016-03-08,189.7
2016-03-09,192.4
2016-03-10,186.5
2016-03-11,192.8
2016-03-14,221.2
2016-03-15,220.2
2016-03-16,218.15
2016-03-17,212.9
2016-03-18,214.15
2016-03-21,215.25
2016-03-22,203.2
2016-03-23,201.15
2016-03-28,200.2
2016-03-29,187.55
2016-03-30,208.65
2016-03-31,212.1
2016-04-01,213.3
2016-04-04,206.2
2016-04-05,212.55
2016-04-06,214.35
2016-04-07,208.75
2016-04-08,206.5
2016-04-11,201.6
2016-04-12,198.05
2016-04-13,196.5
2016-04-18,197.4
2016-04-20,193.5
2016-04-21,189.6
2016-04-22,192.7
2016-04-25,187.5
2016-04-26,186.2
2016-04-27,186.8
2016-04-28,184.0
2016-04-29,185.9
2016-05-02,188.9
2016-05-03,185.15
2016-05-04,185.3
2016-05-05,187.05
2016-05-06,191.55
2016-05-09,194.4
2016-05-10,194.9
2016-05-11,193.95
2016-05-12,196.65
2016-05-13,193.4
2016-05-16,192.0
2016-05-17,191.35
2016-05-18,194.85
2016-05-19,186.9
2016-05-20,188.2
2016-05-23,191.2
2016-05-24,188.6
2016-05-25,194.5
2016-05-26,190.55
2016-05-27,191.2
2016-05-30,192.1
2016-05-31,190.5
2016-06-01,193.6
2016-06-02,193.1
2016-06-03,195.6
2016-06-06,201.0
2016-06-07,206.85
2016-06-08,197.95
2016-06-09,196.85
2016-06-10,216.75
2016-06-13,236.1
2016-06-14,261.15
2016-06-15,299.75
2016-06-16,271.35
2016-06-17,244.8
2016-06-20,243.35
2016-06-21,241.7
2016-06-22,244.35
2016-06-23,234.1
2016-06-24,223.6
2016-06-27,245.95
2016-06-28,247.15
2016-06-29,253.2
2016-06-30,250.15
2016-07-01,251.0
2016-07-04,251.6
2016-07-05,247.5
2016-07-07,294.95
2016-07-08,318.6
2016-07-11,323.4
2016-07-12,320.7
2016-07-13,307.2
2016-07-14,309.8
2016-07-15,293.0
2016-07-18,288.35
2016-07-19,277.55
2016-07-20,297.8
2016-07-21,301.35
2016-07-22,309.85
2016-07-25,345.6
2016-07-26,318.9
2016-07-27,287.3
2016-07-28,282.1
2016-07-29,281.7
2016-08-01,272.75
2016-08-02,266.9
2016-08-03,250.95
2016-08-04,246.5
2016-08-05,246.75
2016-08-08,245.7
2016-08-09,235.6
2016-08-10,231.75
2016-08-11,225.85
2016-08-12,226.0
2016-08-16,211.3
2016-08-17,205.25
2016-08-18,224.9
2016-08-19,226.95
2016-08-22,212.55
2016-08-23,212.4
2016-08-24,209.15
2016-08-25,204.75
2016-08-26,206.5
2016-08-29,204.45
2016-08-30,206.3
2016-08-31,208.55
2016-09-01,203.35
2016-09-02,200.1
2016-09-06,198.8
2016-09-07,196.0
2016-09-08,197.3
2016-09-09,205.75
2016-09-12,197.95
2016-09-14,203.65
2016-09-15,200.75
2016-09-16,203.55
2016-09-19,207.65
2016-09-20,204.35
2016-09-21,203.9
2016-09-22,209.15
2016-09-23,201.85
2016-09-26,203.75
2016-09-27,203.8
2016-09-28,201.15
2016-09-29,191.25
2016-09-30,195.95
2016-10-03,199.9
2016-10-04,200.3
2016-10-05,203.75
2016-10-06,201.45
2016-10-07,205.3
2016-10-10,212.8
2016-10-13,206.15
2016-10-14,204.9
2016-10-17,200.8
2016-10-18,207.5
2016-10-19,212.05
2016-10-20,213.3
2016-10-21,210.1
2016-10-24,201.0
2016-10-25,202.25
2016-10-26,201.0
2016-10-27,205.4
2016-10-28,204.3
2016-10-30,206.85
2016-11-01,208.45
2016-11-02,217.6
2016-11-03,254.35
2016-11-04,239.35
2016-11-07,238.35
2016-11-08,224.8
2016-11-09,212.25
2016-11-10,214.6
2016-11-11,212.1
2016-11-15,195.1
2016-11-16,196.15
2016-11-17,191.2
2016-11-18,207.5
2016-11-21,205.2
2016-11-22,205.9
2016-11-23,208.05
2016-11-24,210.95
2016-11-25,208.55
2016-11-28,207.95
2016-11-29,207.45
2016-11-30,206.05
2016-12-01,205.05
2016-12-02,203.2
2016-12-05,207.55
2016-12-06,213.7
2016-12-07,212.05
2016-12-08,211.8
2016-12-09,212.45
2016-12-12,211.75
2016-12-13,211.4
2016-12-14,212.3
2016-12-15,206.85
2016-12-16,201.65
2016-12-19,199.0
2016-12-20,195.1
2016-12-21,190.8
2016-12-22,188.45
2016-12-23,195.9
2016-12-26,190.2
2016-12-27,189.4
2016-12-28,191.25
2016-12-29,194.3
2016-12-30,206.2
