Date,IBREALEST
2016-01-01,65.5
2016-01-04,64.2
2016-01-05,65.95
2016-01-06,65.2
2016-01-07,59.1
2016-01-08,59.75
2016-01-11,59.5
2016-01-12,57.7
2016-01-13,56.55
2016-01-14,54.65
2016-01-15,51.55
2016-01-18,50.1
2016-01-19,51.65
2016-01-20,49.5
2016-01-21,51.45
2016-01-22,53.5
2016-01-25,54.35
2016-01-27,53.8
2016-01-28,54.2
2016-01-29,55.35
2016-02-01,55.15
2016-02-02,52.35
2016-02-03,51.35
2016-02-04,50.5
2016-02-05,51.95
2016-02-08,52.45
2016-02-09,51.95
2016-02-10,49.7
2016-02-11,44.85
2016-02-12,45.65
2016-02-15,48.35
2016-02-16,45.85
2016-02-17,47.4
2016-02-18,47.9
2016-02-19,48.8
2016-02-22,49.9
2016-02-23,47.9
2016-02-24,47.35
2016-02-25,44.95
2016-02-26,46.3
2016-02-29,45.65
2016-03-01,48.45
2016-03-02,51.55
2016-03-03,51.25
2016-03-04,51.75
2016-03-08,53.8
2016-03-09,54.35
2016-03-10,52.4
2016-03-11,52.1
2016-03-14,52.1
2016-03-15,53.5
2016-03-16,52.7
2016-03-17,51.9
2016-03-18,52.95
2016-03-21,53.9
2016-03-22,56.2
2016-03-23,55.75
2016-03-28,53.35
2016-03-29,53.3
2016-03-30,55.35
2016-03-31,56.2
2016-04-01,57.85
2016-04-04,56.85
2016-04-05,53.2
2016-04-06,53.9
2016-04-07,53.05
2016-04-08,54.15
2016-04-11,54.65
2016-04-12,54.05
2016-04-13,54.9
2016-04-18,57.0
2016-04-20,57.6
2016-04-21,56.75
2016-04-22,57.3
2016-04-25,56.0
2016-04-26,56.85
2016-04-27,56.85
2016-04-28,63.5
2016-04-29,67.65
2016-05-02,67.5
2016-05-03,69.9
2016-05-04,67.65
2016-05-05,71.4
2016-05-06,76.3
2016-05-09,80.0
2016-05-10,82.7
2016-05-11,82.25
2016-05-12,83.5
2016-05-13,79.85
2016-05-16,84.85
2016-05-17,88.65
2016-05-18,92.95
2016-05-19,93.4
2016-05-20,91.25
2016-05-23,90.55
2016-05-24,90.05
2016-05-25,94.55
2016-05-26,99.05
2016-05-27,103.55
2016-05-30,101.5
2016-05-31,102.05
2016-06-01,101.0
2016-06-02,100.55
2016-06-03,97.0
2016-06-06,97.8
2016-06-07,101.8
2016-06-08,100.9
2016-06-09,100.1
2016-06-10,96.4
2016-06-13,93.75
2016-06-14,96.3
2016-06-15,95.6
2016-06-16,95.05
2016-06-17,98.45
2016-06-20,97.0
2016-06-21,95.0
2016-06-22,93.5
2016-06-23,92.4
2016-06-24,86.25
2016-06-27,89.05
2016-06-28,87.55
2016-06-29,88.9
2016-06-30,93.2
2016-07-01,96.9
2016-07-04,97.5
2016-07-05,95.05
2016-07-07,91.95
2016-07-08,91.2
2016-07-11,94.05
2016-07-12,95.9
2016-07-13,91.65
2016-07-14,91.45
2016-07-15,88.2
2016-07-18,86.5
2016-07-19,84.9
2016-07-20,86.25
2016-07-21,87.9
2016-07-22,86.5
2016-07-25,88.8
2016-07-26,88.7
2016-07-27,88.7
2016-07-28,94.35
2016-07-29,92.0
2016-08-01,92.55
2016-08-02,89.4
2016-08-03,84.8
2016-08-04,87.6
2016-08-05,84.6
2016-08-08,87.9
2016-08-09,87.05
2016-08-10,85.15
2016-08-11,85.8
2016-08-12,84.95
2016-08-16,84.7
2016-08-17,84.3
2016-08-18,84.3
2016-08-19,83.2
2016-08-22,83.95
2016-08-23,83.65
2016-08-24,85.55
2016-08-25,85.15
2016-08-26,82.25
2016-08-29,80.5
2016-08-30,83.05
2016-08-31,82.25
2016-09-01,78.7
2016-09-02,80.0
2016-09-06,79.9
2016-09-07,82.15
2016-09-08,86.6
2016-09-09,88.3
2016-09-12,81.85
2016-09-14,84.7
2016-09-15,88.45
2016-09-16,86.65
2016-09-19,92.6
2016-09-20,87.3
2016-09-21,85.95
2016-09-22,87.35
2016-09-23,88.0
2016-09-26,88.4
2016-09-27,88.6
2016-09-28,93.8
2016-09-29,84.95
2016-09-30,92.15
2016-10-03,93.9
2016-10-04,93.35
2016-10-05,94.4
2016-10-06,88.75
2016-10-07,86.85
2016-10-10,85.6
2016-10-13,81.85
2016-10-14,83.4
2016-10-17,81.4
2016-10-18,84.5
2016-10-19,82.95
2016-10-20,83.45
2016-10-21,84.6
2016-10-24,86.5
2016-10-25,85.75
2016-10-26,85.6
2016-10-27,87.2
2016-10-28,87.8
2016-10-30,87.05
2016-11-01,86.7
2016-11-02,82.5
2016-11-03,78.8
2016-11-04,77.75
2016-11-07,80.35
2016-11-08,80.6
2016-11-09,65.9
2016-11-10,67.9
2016-11-11,71.9
2016-11-15,66.65
2016-11-16,66.45
2016-11-17,65.35
2016-11-18,65.75
2016-11-21,60.5
2016-11-22,62.75
2016-11-23,69.0
2016-11-24,66.35
2016-11-25,70.65
2016-11-28,68.45
2016-11-29,69.9
2016-11-30,70.05
2016-12-01,68.8
2016-12-02,68.0
2016-12-05,69.25
2016-12-06,69.3
2016-12-07,67.7
2016-12-08,71.55
2016-12-09,71.4
2016-12-12,72.4
2016-12-13,70.2
2016-12-14,70.5
2016-12-15,70.7
2016-12-16,70.0
2016-12-19,72.15
2016-12-20,70.6
2016-12-21,71.3
2016-12-22,70.75
2016-12-23,70.65
2016-12-26,69.45
2016-12-27,69.9
2016-12-28,70.7
2016-12-29,69.85
2016-12-30,71.25
