Date,LAKSHVILAS
2016-01-01,99.95
2016-01-04,100.1
2016-01-05,99.85
2016-01-06,99.2
2016-01-07,97.3
2016-01-08,97.85
2016-01-11,98.6
2016-01-12,96.1
2016-01-13,94.95
2016-01-14,94.55
2016-01-15,94.05
2016-01-18,90.55
2016-01-19,89.7
2016-01-20,88.25
2016-01-21,88.0
2016-01-22,93.2
2016-01-25,93.5
2016-01-27,94.3
2016-01-28,94.65
2016-01-29,94.3
2016-02-01,95.7
2016-02-02,95.4
2016-02-03,95.05
2016-02-04,94.7
2016-02-05,94.1
2016-02-08,94.45
2016-02-09,94.6
2016-02-10,92.95
2016-02-11,92.85
2016-02-12,91.6
2016-02-15,94.05
2016-02-16,91.7
2016-02-17,91.2
2016-02-18,92.7
2016-02-19,91.85
2016-02-22,91.1
2016-02-23,90.6
2016-02-24,89.35
2016-02-25,89.05
2016-02-26,88.7
2016-02-29,88.65
2016-03-01,89.2
2016-03-02,88.8
2016-03-03,88.9
2016-03-04,88.9
2016-03-08,88.25
2016-03-09,88.15
2016-03-10,88.2
2016-03-11,88.3
2016-03-14,87.45
2016-03-15,87.0
2016-03-16,86.45
2016-03-17,85.4
2016-03-18,86.8
2016-03-21,86.2
2016-03-22,85.45
2016-03-23,84.6
2016-03-28,83.7
2016-03-29,82.95
2016-03-30,82.35
2016-03-31,81.15
2016-04-01,83.35
2016-04-04,83.65
2016-04-05,83.15
2016-04-06,83.45
2016-04-07,82.55
2016-04-08,82.0
2016-04-11,82.05
2016-04-12,81.95
2016-04-13,82.0
2016-04-18,82.0
2016-04-20,81.9
2016-04-21,81.6
2016-04-22,81.9
2016-04-25,80.9
2016-04-26,81.05
2016-04-27,80.65
2016-04-28,80.55
2016-04-29,81.6
2016-05-02,81.25
2016-05-03,81.1
2016-05-04,79.4
2016-05-05,79.9
2016-05-06,79.95
2016-05-09,80.55
2016-05-10,80.3
2016-05-11,79.75
2016-05-12,79.55
2016-05-13,79.5
2016-05-16,79.3
2016-05-17,79.75
2016-05-18,79.7
2016-05-19,79.15
2016-05-20,79.25
2016-05-23,81.05
2016-05-24,83.25
2016-05-25,83.4
2016-05-26,83.5
2016-05-27,84.4
2016-05-30,86.15
2016-05-31,89.2
2016-06-01,88.8
2016-06-02,85.0
2016-06-03,84.55
2016-06-06,86.7
2016-06-07,86.75
2016-06-08,85.0
2016-06-09,85.0
2016-06-10,84.25
2016-06-13,83.3
2016-06-14,88.35
2016-06-15,87.75
2016-06-16,90.05
2016-06-17,93.2
2016-06-20,92.1
2016-06-21,92.9
2016-06-22,91.3
2016-06-23,91.05
2016-06-24,91.55
2016-06-27,95.35
2016-06-28,94.75
2016-06-29,97.0
2016-06-30,98.95
2016-07-01,101.85
2016-07-04,102.95
2016-07-05,102.35
2016-07-07,105.4
2016-07-08,103.3
2016-07-11,109.35
2016-07-12,107.6
2016-07-13,105.05
2016-07-14,107.0
2016-07-15,110.8
2016-07-18,116.65
2016-07-19,116.7
2016-07-20,116.0
2016-07-21,120.6
2016-07-22,124.95
2016-07-25,131.3
2016-07-26,137.8
2016-07-27,136.35
2016-07-28,132.0
2016-07-29,133.1
2016-08-01,141.5
2016-08-02,141.25
2016-08-03,145.85
2016-08-04,141.0
2016-08-05,137.3
2016-08-08,137.85
2016-08-09,139.8
2016-08-10,144.05
2016-08-11,146.9
2016-08-12,143.05
2016-08-16,144.75
2016-08-17,146.65
2016-08-18,144.9
2016-08-19,147.1
2016-08-22,145.5
2016-08-23,145.9
2016-08-24,145.25
2016-08-25,141.4
2016-08-26,140.7
2016-08-29,145.85
2016-08-30,145.2
2016-08-31,142.9
2016-09-01,140.3
2016-09-02,139.9
2016-09-06,141.8
2016-09-07,142.6
2016-09-08,152.55
2016-09-09,149.35
2016-09-12,148.15
2016-09-14,150.65
2016-09-15,149.1
2016-09-16,149.35
2016-09-19,156.95
2016-09-20,152.35
2016-09-21,153.1
2016-09-22,158.45
2016-09-23,157.6
2016-09-26,156.75
2016-09-27,156.6
2016-09-28,158.3
2016-09-29,150.1
2016-09-30,154.7
2016-10-03,158.0
2016-10-04,156.95
2016-10-05,154.9
2016-10-06,154.85
2016-10-07,155.5
2016-10-10,153.7
2016-10-13,151.4
2016-10-14,151.95
2016-10-17,151.25
2016-10-18,149.55
2016-10-19,150.45
2016-10-20,158.2
2016-10-21,157.0
2016-10-24,152.75
2016-10-25,151.65
2016-10-26,154.8
2016-10-27,153.65
2016-10-28,154.8
2016-10-30,154.55
2016-11-01,154.8
2016-11-02,154.35
2016-11-03,152.55
2016-11-04,150.0
2016-11-07,156.15
2016-11-08,152.9
2016-11-09,153.65
2016-11-10,153.6
2016-11-11,153.55
2016-11-15,145.95
2016-11-16,146.35
2016-11-17,148.85
2016-11-18,151.15
2016-11-21,131.8
2016-11-22,132.1
2016-11-23,136.9
2016-11-24,138.45
2016-11-25,148.3
2016-11-28,147.0
2016-11-29,147.8
2016-11-30,149.45
2016-12-01,149.05
2016-12-02,148.2
2016-12-05,146.25
2016-12-06,145.25
2016-12-07,144.7
2016-12-08,147.4
2016-12-09,146.1
2016-12-12,144.6
2016-12-13,144.6
2016-12-14,143.1
2016-12-15,142.9
2016-12-16,142.05
2016-12-19,142.9
2016-12-20,142.65
2016-12-21,141.6
2016-12-22,142.4
2016-12-23,141.55
2016-12-26,137.05
2016-12-27,138.5
2016-12-28,140.75
2016-12-29,142.05
2016-12-30,141.4
