Date,LGBBROSLTD
2016-01-01,519.2
2016-01-04,510.0
2016-01-05,504.95
2016-01-06,504.8
2016-01-07,489.2
2016-01-08,491.95
2016-01-11,491.3
2016-01-12,488.2
2016-01-13,481.1
2016-01-14,465.6
2016-01-15,460.6
2016-01-18,451.4
2016-01-19,460.2
2016-01-20,461.85
2016-01-21,461.55
2016-01-22,469.4
2016-01-25,471.0
2016-01-27,473.25
2016-01-28,478.85
2016-01-29,472.7
2016-02-01,465.75
2016-02-02,454.25
2016-02-03,461.75
2016-02-04,453.15
2016-02-05,447.35
2016-02-08,449.1
2016-02-09,428.25
2016-02-10,429.8
2016-02-11,409.25
2016-02-12,404.15
2016-02-15,434.2
2016-02-16,425.0
2016-02-17,418.4
2016-02-18,413.55
2016-02-19,416.15
2016-02-22,417.45
2016-02-23,414.65
2016-02-24,415.2
2016-02-25,415.0
2016-02-26,412.05
2016-02-29,413.3
2016-03-01,422.7
2016-03-02,448.8
2016-03-03,443.65
2016-03-04,442.9
2016-03-08,432.55
2016-03-09,426.15
2016-03-10,422.15
2016-03-11,426.55
2016-03-14,424.85
2016-03-15,423.0
2016-03-16,425.35
2016-03-17,425.0
2016-03-18,431.0
2016-03-21,436.65
2016-03-22,435.55
2016-03-23,457.3
2016-03-28,437.3
2016-03-29,437.0
2016-03-30,439.95
2016-03-31,440.0
2016-04-01,440.05
2016-04-04,455.05
2016-04-05,468.0
2016-04-06,468.6
2016-04-07,458.85
2016-04-08,468.55
2016-04-11,464.15
2016-04-12,469.3
2016-04-13,480.05
2016-04-18,493.05
2016-04-20,483.05
2016-04-21,481.15
2016-04-22,472.35
2016-04-25,469.1
2016-04-26,470.6
2016-04-27,463.35
2016-04-28,484.95
2016-04-29,480.2
2016-05-02,461.1
2016-05-03,458.35
2016-05-04,458.15
2016-05-05,459.35
2016-05-06,460.85
2016-05-09,468.65
2016-05-10,470.35
2016-05-11,465.25
2016-05-12,466.5
2016-05-13,469.8
2016-05-16,469.75
2016-05-17,470.45
2016-05-18,474.85
2016-05-19,479.85
2016-05-20,476.25
2016-05-23,475.95
2016-05-24,472.0
2016-05-25,468.55
2016-05-26,465.15
2016-05-27,475.4
2016-05-30,461.5
2016-05-31,454.3
2016-06-01,451.05
2016-06-02,461.3
2016-06-03,465.3
2016-06-06,454.9
2016-06-07,464.0
2016-06-08,475.75
2016-06-09,486.05
2016-06-10,480.95
2016-06-13,471.45
2016-06-14,472.85
2016-06-15,473.4
2016-06-16,467.65
2016-06-17,465.3
2016-06-20,460.65
2016-06-21,454.6
2016-06-22,449.35
2016-06-23,440.8
2016-06-24,450.25
2016-06-27,451.15
2016-06-28,457.85
2016-06-29,471.4
2016-06-30,478.95
2016-07-01,469.65
2016-07-04,475.0
2016-07-05,473.65
2016-07-07,476.85
2016-07-08,499.65
2016-07-11,501.8
2016-07-12,495.85
2016-07-13,484.3
2016-07-14,494.0
2016-07-15,505.05
2016-07-18,500.1
2016-07-19,492.1
2016-07-20,504.3
2016-07-21,499.6
2016-07-22,503.65
2016-07-25,504.3
2016-07-26,476.95
2016-07-27,467.85
2016-07-28,460.15
2016-07-29,464.65
2016-08-01,469.25
2016-08-02,465.95
2016-08-03,456.7
2016-08-04,464.2
2016-08-05,472.2
2016-08-08,478.55
2016-08-09,477.1
2016-08-10,465.7
2016-08-11,462.85
2016-08-12,457.95
2016-08-16,466.2
2016-08-17,461.95
2016-08-18,462.55
2016-08-19,464.45
2016-08-22,459.15
2016-08-23,460.5
2016-08-24,461.35
2016-08-25,458.45
2016-08-26,457.25
2016-08-29,466.9
2016-08-30,468.8
2016-08-31,476.35
2016-09-01,476.0
2016-09-02,484.6
2016-09-06,488.75
2016-09-07,557.2
2016-09-08,544.15
2016-09-09,529.45
2016-09-12,519.35
2016-09-14,536.0
2016-09-15,577.0
2016-09-16,579.95
2016-09-19,574.4
2016-09-20,567.7
2016-09-21,575.05
2016-09-22,571.4
2016-09-23,574.7
2016-09-26,573.5
2016-09-27,560.65
2016-09-28,557.35
2016-09-29,546.5
2016-09-30,562.6
2016-10-03,583.35
2016-10-04,627.75
2016-10-05,622.45
2016-10-06,614.9
2016-10-07,613.05
2016-10-10,616.0
2016-10-13,594.45
2016-10-14,598.45
2016-10-17,591.75
2016-10-18,593.2
2016-10-19,597.25
2016-10-20,591.75
2016-10-21,589.2
2016-10-24,670.55
2016-10-25,681.45
2016-10-26,695.2
2016-10-27,690.6
2016-10-28,687.1
2016-10-30,697.45
2016-11-01,677.25
2016-11-02,684.1
2016-11-03,660.5
2016-11-04,642.75
2016-11-07,650.6
2016-11-08,648.3
2016-11-09,640.6
2016-11-10,634.05
2016-11-11,619.7
2016-11-15,577.25
2016-11-16,584.75
2016-11-17,581.0
2016-11-18,595.8
2016-11-21,548.8
2016-11-22,554.7
2016-11-23,588.2
2016-11-24,589.4
2016-11-25,605.95
2016-11-28,584.75
2016-11-29,584.8
2016-11-30,611.2
2016-12-01,606.9
2016-12-02,607.3
2016-12-05,603.75
2016-12-06,607.05
2016-12-07,599.15
2016-12-08,600.8
2016-12-09,601.3
2016-12-12,582.9
2016-12-13,594.25
2016-12-14,601.85
2016-12-15,599.55
2016-12-16,597.75
2016-12-19,592.5
2016-12-20,576.65
2016-12-21,575.8
2016-12-22,552.2
2016-12-23,541.35
2016-12-26,518.8
2016-12-27,543.75
2016-12-28,550.65
2016-12-29,538.75
2016-12-30,537.6
