Date,RUCHIRA
2016-01-01,63.8
2016-01-04,62.05
2016-01-05,67.65
2016-01-06,64.8
2016-01-07,59.95
2016-01-08,63.05
2016-01-11,62.15
2016-01-12,65.05
2016-01-13,58.55
2016-01-14,57.2
2016-01-15,54.6
2016-01-18,56.2
2016-01-19,57.8
2016-01-20,56.25
2016-01-21,57.8
2016-01-22,60.7
2016-01-25,60.35
2016-01-27,61.4
2016-01-28,62.05
2016-01-29,62.1
2016-02-01,64.15
2016-02-02,62.9
2016-02-03,60.75
2016-02-04,59.45
2016-02-05,62.75
2016-02-08,64.15
2016-02-09,64.25
2016-02-10,62.1
2016-02-11,56.1
2016-02-12,56.55
2016-02-15,57.85
2016-02-16,55.9
2016-02-17,54.35
2016-02-18,54.95
2016-02-19,56.4
2016-02-22,56.6
2016-02-23,54.65
2016-02-24,54.6
2016-02-25,53.4
2016-02-26,52.75
2016-02-29,51.75
2016-03-01,54.1
2016-03-02,56.45
2016-03-03,56.75
2016-03-04,55.8
2016-03-08,55.55
2016-03-09,57.2
2016-03-10,57.35
2016-03-11,61.65
2016-03-14,61.05
2016-03-15,60.15
2016-03-16,61.35
2016-03-17,62.95
2016-03-18,64.5
2016-03-21,63.6
2016-03-22,61.25
2016-03-23,63.15
2016-03-28,61.35
2016-03-29,61.55
2016-03-30,62.8
2016-03-31,62.25
2016-04-01,62.5
2016-04-04,66.35
2016-04-05,65.05
2016-04-06,66.25
2016-04-07,66.4
2016-04-08,69.45
2016-04-11,70.65
2016-04-12,70.35
2016-04-13,70.05
2016-04-18,73.85
2016-04-20,73.05
2016-04-21,74.25
2016-04-22,75.7
2016-04-25,74.9
2016-04-26,72.45
2016-04-27,73.35
2016-04-28,74.95
2016-04-29,74.6
2016-05-02,73.55
2016-05-03,73.3
2016-05-04,72.55
2016-05-05,72.1
2016-05-06,69.55
2016-05-09,71.95
2016-05-10,71.95
2016-05-11,75.95
2016-05-12,75.55
2016-05-13,73.55
2016-05-16,74.4
2016-05-17,74.1
2016-05-18,69.15
2016-05-19,65.4
2016-05-20,63.8
2016-05-23,65.15
2016-05-24,63.65
2016-05-25,64.85
2016-05-26,65.05
2016-05-27,63.8
2016-05-30,64.3
2016-05-31,66.0
2016-06-01,65.95
2016-06-02,65.35
2016-06-03,66.2
2016-06-06,65.85
2016-06-07,65.1
2016-06-08,65.1
2016-06-09,64.9
2016-06-10,64.3
2016-06-13,64.75
2016-06-14,65.05
2016-06-15,68.65
2016-06-16,69.55
2016-06-17,69.65
2016-06-20,68.95
2016-06-21,68.4
2016-06-22,67.75
2016-06-23,67.45
2016-06-24,68.25
2016-06-27,69.8
2016-06-28,70.95
2016-06-29,73.7
2016-06-30,72.05
2016-07-01,72.3
2016-07-04,73.65
2016-07-05,73.2
2016-07-07,72.5
2016-07-08,72.05
2016-07-11,72.35
2016-07-12,71.05
2016-07-13,70.25
2016-07-14,72.45
2016-07-15,75.0
2016-07-18,75.1
2016-07-19,75.35
2016-07-20,75.0
2016-07-21,77.25
2016-07-22,78.3
2016-07-25,82.3
2016-07-26,79.35
2016-07-27,83.35
2016-07-28,81.4
2016-07-29,78.0
2016-08-01,78.25
2016-08-02,76.55
2016-08-03,75.4
2016-08-04,74.9
2016-08-05,77.4
2016-08-08,75.0
2016-08-09,75.35
2016-08-10,72.55
2016-08-11,73.75
2016-08-12,73.95
2016-08-16,74.3
2016-08-17,74.95
2016-08-18,78.25
2016-08-19,82.25
2016-08-22,85.1
2016-08-23,84.1
2016-08-24,84.45
2016-08-25,86.65
2016-08-26,84.9
2016-08-29,82.95
2016-08-30,84.8
2016-08-31,83.05
2016-09-01,81.7
2016-09-02,82.65
2016-09-06,81.6
2016-09-07,80.75
2016-09-08,81.8
2016-09-09,81.1
2016-09-12,78.8
2016-09-14,79.55
2016-09-15,82.75
2016-09-16,81.85
2016-09-19,82.0
2016-09-20,82.7
2016-09-21,82.9
2016-09-22,82.65
2016-09-23,81.65
2016-09-26,81.5
2016-09-27,82.45
2016-09-28,85.8
2016-09-29,79.15
2016-09-30,80.45
2016-10-03,85.05
2016-10-04,89.6
2016-10-05,92.35
2016-10-06,95.35
2016-10-07,105.75
2016-10-10,111.85
2016-10-13,115.5
2016-10-14,115.8
2016-10-17,116.55
2016-10-18,114.85
2016-10-19,114.6
2016-10-20,111.8
2016-10-21,108.95
2016-10-24,117.8
2016-10-25,115.65
2016-10-26,115.35
2016-10-27,116.85
2016-10-28,120.05
2016-10-30,123.05
2016-11-01,124.75
2016-11-02,128.3
2016-11-03,124.65
2016-11-04,117.35
2016-11-07,120.15
2016-11-08,117.7
2016-11-09,118.55
2016-11-10,119.8
2016-11-11,110.55
2016-11-15,96.75
2016-11-16,96.9
2016-11-17,98.05
2016-11-18,102.0
2016-11-21,102.7
2016-11-22,100.7
2016-11-23,106.25
2016-11-24,105.3
2016-11-25,106.55
2016-11-28,108.0
2016-11-29,108.7
2016-11-30,110.4
2016-12-01,106.85
2016-12-02,104.05
2016-12-05,103.35
2016-12-06,105.85
2016-12-07,103.1
2016-12-08,106.95
2016-12-09,105.8
2016-12-12,103.95
2016-12-13,103.45
2016-12-14,102.25
2016-12-15,103.0
2016-12-16,107.3
2016-12-19,110.4
2016-12-20,107.35
2016-12-21,104.85
2016-12-22,102.7
2016-12-23,103.95
2016-12-26,101.25
2016-12-27,102.65
2016-12-28,102.0
2016-12-29,102.7
2016-12-30,102.75
