Date,PNC
2016-01-01,25.45
2016-01-04,24.65
2016-01-05,26.2
2016-01-06,27.35
2016-01-07,25.25
2016-01-08,27.75
2016-01-11,28.4
2016-01-12,28.8
2016-01-13,26.3
2016-01-14,25.35
2016-01-15,23.95
2016-01-18,21.75
2016-01-19,20.7
2016-01-20,21.6
2016-01-21,21.7
2016-01-22,22.6
2016-01-25,21.55
2016-01-27,21.95
2016-01-28,22.4
2016-01-29,21.55
2016-02-01,20.5
2016-02-02,19.5
2016-02-03,18.55
2016-02-04,17.65
2016-02-05,17.65
2016-02-08,17.45
2016-02-09,17.4
2016-02-10,16.5
2016-02-11,15.8
2016-02-12,14.4
2016-02-15,15.0
2016-02-16,15.55
2016-02-17,14.5
2016-02-18,13.7
2016-02-19,13.55
2016-02-22,14.15
2016-02-23,14.1
2016-02-24,13.3
2016-02-25,13.45
2016-02-26,13.75
2016-02-29,13.8
2016-03-01,14.4
2016-03-02,15.8
2016-03-03,15.9
2016-03-04,15.7
2016-03-08,15.9
2016-03-09,16.6
2016-03-10,16.45
2016-03-11,15.5
2016-03-14,15.15
2016-03-15,15.2
2016-03-16,15.1
2016-03-17,14.75
2016-03-18,14.7
2016-03-21,14.75
2016-03-22,14.4
2016-03-23,14.3
2016-03-28,14.5
2016-03-29,14.6
2016-03-30,13.95
2016-03-31,14.05
2016-04-01,14.35
2016-04-04,15.25
2016-04-05,14.6
2016-04-06,15.15
2016-04-07,14.9
2016-04-08,15.2
2016-04-11,16.15
2016-04-12,15.45
2016-04-13,15.35
2016-04-18,14.35
2016-04-20,15.25
2016-04-21,14.85
2016-04-22,15.65
2016-04-25,15.3
2016-04-26,14.75
2016-04-27,14.4
2016-04-28,14.65
2016-04-29,14.4
2016-05-02,15.25
2016-05-03,14.9
2016-05-04,14.3
2016-05-05,13.85
2016-05-06,13.65
2016-05-09,14.0
2016-05-10,13.9
2016-05-11,13.75
2016-05-12,13.9
2016-05-13,13.75
2016-05-16,14.7
2016-05-17,13.65
2016-05-18,14.05
2016-05-19,14.55
2016-05-20,14.1
2016-05-23,14.0
2016-05-24,13.5
2016-05-25,14.2
2016-05-26,13.8
2016-05-27,14.8
2016-05-30,14.45
2016-05-31,15.85
2016-06-01,15.7
2016-06-02,15.9
2016-06-03,15.75
2016-06-06,15.35
2016-06-07,15.75
2016-06-08,15.45
2016-06-09,15.05
2016-06-10,15.35
2016-06-13,14.75
2016-06-14,14.9
2016-06-15,15.5
2016-06-16,15.05
2016-06-17,14.9
2016-06-20,14.9
2016-06-21,15.0
2016-06-22,15.0
2016-06-23,15.0
2016-06-24,14.5
2016-06-27,14.8
2016-06-28,15.45
2016-06-29,15.6
2016-06-30,15.5
2016-07-01,15.25
2016-07-04,15.5
2016-07-05,15.35
2016-07-07,15.4
2016-07-08,15.85
2016-07-11,17.0
2016-07-12,20.05
2016-07-13,17.65
2016-07-14,17.7
2016-07-15,17.4
2016-07-18,17.35
2016-07-19,17.35
2016-07-20,17.1
2016-07-21,16.8
2016-07-22,17.55
2016-07-25,17.35
2016-07-26,17.15
2016-07-27,16.6
2016-07-28,16.6
2016-07-29,16.1
2016-08-01,15.8
2016-08-02,16.4
2016-08-03,15.2
2016-08-04,15.1
2016-08-05,15.95
2016-08-08,16.0
2016-08-09,15.75
2016-08-10,14.95
2016-08-11,15.0
2016-08-12,15.0
2016-08-16,14.95
2016-08-17,14.55
2016-08-18,14.8
2016-08-19,14.8
2016-08-22,14.35
2016-08-23,15.05
2016-08-24,15.1
2016-08-25,15.15
2016-08-26,15.1
2016-08-29,15.05
2016-08-30,14.7
2016-08-31,14.6
2016-09-01,14.55
2016-09-02,14.4
2016-09-06,14.25
2016-09-07,14.35
2016-09-08,14.9
2016-09-09,14.9
2016-09-12,14.6
2016-09-14,14.25
2016-09-15,17.1
2016-09-16,17.7
2016-09-19,17.15
2016-09-20,16.35
2016-09-21,17.7
2016-09-22,18.25
2016-09-23,18.05
2016-09-26,17.4
2016-09-27,18.7
2016-09-28,19.5
2016-09-29,18.1
2016-09-30,18.7
2016-10-03,19.15
2016-10-04,19.55
2016-10-05,19.8
2016-10-06,21.8
2016-10-07,22.5
2016-10-10,27.0
2016-10-13,24.5
2016-10-14,25.3
2016-10-17,23.95
2016-10-18,22.85
2016-10-19,23.55
2016-10-20,22.5
2016-10-21,22.0
2016-10-24,21.7
2016-10-25,21.0
2016-10-26,22.4
2016-10-27,22.75
2016-10-28,22.4
2016-10-30,23.15
2016-11-01,22.95
2016-11-02,22.15
2016-11-03,21.15
2016-11-04,22.0
2016-11-07,22.35
2016-11-08,22.0
2016-11-09,21.25
2016-11-10,21.5
2016-11-11,19.55
2016-11-15,18.7
2016-11-16,17.9
2016-11-17,17.8
2016-11-18,17.1
2016-11-21,16.1
2016-11-22,16.3
2016-11-23,19.1
2016-11-24,18.05
2016-11-25,18.65
2016-11-28,21.6
2016-11-29,20.6
2016-11-30,20.3
2016-12-01,19.7
2016-12-02,19.0
2016-12-05,18.9
2016-12-06,19.7
2016-12-07,19.15
2016-12-08,19.65
2016-12-09,18.95
2016-12-12,18.55
2016-12-13,19.45
2016-12-14,19.1
2016-12-15,19.65
2016-12-16,19.3
2016-12-19,23.15
2016-12-20,20.95
2016-12-21,24.6
2016-12-22,25.25
2016-12-23,24.65
2016-12-26,24.45
2016-12-27,26.9
2016-12-28,25.55
2016-12-29,26.5
2016-12-30,26.0
