Date,IZMO
2016-01-01,74.05
2016-01-04,71.6
2016-01-05,72.3
2016-01-06,70.0
2016-01-07,66.8
2016-01-08,68.0
2016-01-11,67.55
2016-01-12,63.45
2016-01-13,60.6
2016-01-14,58.7
2016-01-15,53.55
2016-01-18,47.2
2016-01-19,50.1
2016-01-20,45.6
2016-01-21,46.35
2016-01-22,48.05
2016-01-25,49.35
2016-01-27,50.95
2016-01-28,52.25
2016-01-29,54.55
2016-02-01,54.2
2016-02-02,51.45
2016-02-03,47.55
2016-02-04,47.2
2016-02-05,47.9
2016-02-08,48.25
2016-02-09,47.45
2016-02-10,45.65
2016-02-11,38.75
2016-02-12,39.9
2016-02-15,44.7
2016-02-16,44.1
2016-02-17,42.95
2016-02-18,41.55
2016-02-19,43.1
2016-02-22,46.3
2016-02-23,44.0
2016-02-24,42.55
2016-02-25,40.3
2016-02-26,39.05
2016-02-29,39.6
2016-03-01,47.45
2016-03-02,46.45
2016-03-03,48.0
2016-03-04,47.3
2016-03-08,45.4
2016-03-09,47.8
2016-03-10,45.8
2016-03-11,51.8
2016-03-14,51.15
2016-03-15,49.65
2016-03-16,49.5
2016-03-17,47.75
2016-03-18,48.1
2016-03-21,48.4
2016-03-22,48.4
2016-03-23,50.75
2016-03-28,47.4
2016-03-29,49.15
2016-03-30,50.3
2016-03-31,49.25
2016-04-01,49.7
2016-04-04,50.8
2016-04-05,48.8
2016-04-06,48.9
2016-04-07,48.25
2016-04-08,50.0
2016-04-11,51.0
2016-04-12,51.35
2016-04-13,51.65
2016-04-18,57.15
2016-04-20,55.05
2016-04-21,52.85
2016-04-22,52.3
2016-04-25,54.15
2016-04-26,53.2
2016-04-27,53.25
2016-04-28,53.45
2016-04-29,52.75
2016-05-02,52.0
2016-05-03,51.35
2016-05-04,49.95
2016-05-05,49.55
2016-05-06,48.9
2016-05-09,49.85
2016-05-10,51.25
2016-05-11,51.8
2016-05-12,52.05
2016-05-13,50.85
2016-05-16,57.9
2016-05-17,56.9
2016-05-18,56.45
2016-05-19,54.95
2016-05-20,54.1
2016-05-23,54.75
2016-05-24,53.0
2016-05-25,54.95
2016-05-26,54.25
2016-05-27,53.85
2016-05-30,55.2
2016-05-31,49.3
2016-06-01,48.95
2016-06-02,47.95
2016-06-03,47.45
2016-06-06,45.8
2016-06-07,47.85
2016-06-08,50.0
2016-06-09,50.1
2016-06-10,56.35
2016-06-13,58.7
2016-06-14,60.7
2016-06-15,60.6
2016-06-16,64.3
2016-06-17,70.15
2016-06-20,68.7
2016-06-21,65.75
2016-06-22,62.9
2016-06-23,63.0
2016-06-24,60.0
2016-06-27,61.0
2016-06-28,60.35
2016-06-29,61.6
2016-06-30,62.5
2016-07-01,61.1
2016-07-04,62.0
2016-07-05,61.9
2016-07-07,61.95
2016-07-08,61.25
2016-07-11,62.3
2016-07-12,59.85
2016-07-13,58.55
2016-07-14,60.65
2016-07-15,58.5
2016-07-18,58.25
2016-07-19,56.1
2016-07-20,58.25
2016-07-21,56.25
2016-07-22,57.2
2016-07-25,57.95
2016-07-26,57.25
2016-07-27,55.9
2016-07-28,55.65
2016-07-29,55.35
2016-08-01,53.15
2016-08-02,53.6
2016-08-03,53.05
2016-08-04,52.8
2016-08-05,53.05
2016-08-08,54.2
2016-08-09,54.55
2016-08-10,53.05
2016-08-11,51.2
2016-08-12,51.65
2016-08-16,52.1
2016-08-17,53.35
2016-08-18,52.5
2016-08-19,51.55
2016-08-22,51.6
2016-08-23,52.95
2016-08-24,52.95
2016-08-25,52.65
2016-08-26,56.0
2016-08-29,54.85
2016-08-30,56.35
2016-08-31,55.7
2016-09-01,54.1
2016-09-02,53.25
2016-09-06,53.15
2016-09-07,52.85
2016-09-08,53.25
2016-09-09,53.95
2016-09-12,52.55
2016-09-14,52.25
2016-09-15,52.85
2016-09-16,52.85
2016-09-19,52.7
2016-09-20,52.65
2016-09-21,53.25
2016-09-22,52.7
2016-09-23,53.75
2016-09-26,53.1
2016-09-27,52.8
2016-09-28,53.05
2016-09-29,47.9
2016-09-30,49.35
2016-10-03,52.2
2016-10-04,51.9
2016-10-05,54.55
2016-10-06,53.8
2016-10-07,56.25
2016-10-10,54.15
2016-10-13,52.0
2016-10-14,53.85
2016-10-17,54.35
2016-10-18,54.9
2016-10-19,55.05
2016-10-20,53.65
2016-10-21,52.9
2016-10-24,53.25
2016-10-25,52.6
2016-10-26,52.25
2016-10-27,54.85
2016-10-28,54.2
2016-10-30,54.45
2016-11-01,53.6
2016-11-02,52.3
2016-11-03,51.5
2016-11-04,50.5
2016-11-07,51.0
2016-11-08,51.35
2016-11-09,48.15
2016-11-10,50.6
2016-11-11,48.85
2016-11-15,44.6
2016-11-16,45.4
2016-11-17,42.7
2016-11-18,41.1
2016-11-21,42.15
2016-11-22,42.6
2016-11-23,43.6
2016-11-24,48.7
2016-11-25,46.15
2016-11-28,46.1
2016-11-29,45.8
2016-11-30,46.8
2016-12-01,47.0
2016-12-02,45.3
2016-12-05,45.05
2016-12-06,48.75
2016-12-07,46.8
2016-12-08,47.2
2016-12-09,48.8
2016-12-12,49.15
2016-12-13,49.25
2016-12-14,47.85
2016-12-15,48.2
2016-12-16,46.35
2016-12-19,46.95
2016-12-20,46.0
2016-12-21,46.6
2016-12-22,46.2
2016-12-23,45.8
2016-12-26,44.65
2016-12-27,44.95
2016-12-28,46.55
2016-12-29,46.7
2016-12-30,47.7
