Date,DTIL
2016-01-01,328.45
2016-01-04,319.65
2016-01-05,319.4
2016-01-06,317.6
2016-01-07,308.9
2016-01-08,300.0
2016-01-11,299.5
2016-01-12,300.9
2016-01-13,295.1
2016-01-14,289.2
2016-01-15,286.85
2016-01-18,259.4
2016-01-19,276.6
2016-01-20,269.1
2016-01-21,261.85
2016-01-22,265.95
2016-01-25,263.15
2016-01-27,248.55
2016-01-28,248.65
2016-01-29,248.6
2016-02-01,250.25
2016-02-02,249.9
2016-02-03,245.4
2016-02-04,242.7
2016-02-05,241.85
2016-02-08,242.25
2016-02-09,239.9
2016-02-10,234.45
2016-02-11,216.9
2016-02-12,219.4
2016-02-15,237.8
2016-02-16,233.7
2016-02-17,226.8
2016-02-18,230.15
2016-02-19,229.7
2016-02-22,229.2
2016-02-23,232.65
2016-02-24,231.35
2016-02-25,229.7
2016-02-26,228.1
2016-02-29,224.7
2016-03-01,239.15
2016-03-02,241.6
2016-03-03,244.45
2016-03-04,242.1
2016-03-08,240.5
2016-03-09,242.2
2016-03-10,244.85
2016-03-11,244.95
2016-03-14,242.6
2016-03-15,244.2
2016-03-16,244.95
2016-03-17,243.95
2016-03-18,246.65
2016-03-21,243.95
2016-03-22,243.45
2016-03-23,244.4
2016-03-28,241.8
2016-03-29,244.0
2016-03-30,244.1
2016-03-31,244.3
2016-04-01,244.8
2016-04-04,245.75
2016-04-05,243.05
2016-04-06,245.05
2016-04-07,249.0
2016-04-08,249.5
2016-04-11,244.9
2016-04-12,244.75
2016-04-13,244.9
2016-04-18,258.5
2016-04-20,300.25
2016-04-21,300.0
2016-04-22,310.5
2016-04-25,299.15
2016-04-26,300.85
2016-04-27,309.8
2016-04-28,301.7
2016-04-29,298.1
2016-05-02,295.15
2016-05-03,291.85
2016-05-04,287.65
2016-05-05,289.55
2016-05-06,276.9
2016-05-09,278.75
2016-05-10,279.8
2016-05-11,279.8
2016-05-12,292.7
2016-05-13,288.4
2016-05-16,281.05
2016-05-17,282.85
2016-05-18,288.2
2016-05-19,287.7
2016-05-20,296.35
2016-05-23,287.1
2016-05-24,285.1
2016-05-25,284.9
2016-05-26,281.1
2016-05-27,282.15
2016-05-30,280.0
2016-05-31,279.9
2016-06-01,272.8
2016-06-02,269.5
2016-06-03,271.4
2016-06-06,267.2
2016-06-07,267.45
2016-06-08,273.1
2016-06-09,280.0
2016-06-10,283.45
2016-06-13,301.35
2016-06-14,314.2
2016-06-15,312.8
2016-06-16,304.65
2016-06-17,308.2
2016-06-20,305.0
2016-06-21,301.55
2016-06-22,303.5
2016-06-23,299.85
2016-06-24,291.3
2016-06-27,292.6
2016-06-28,296.0
2016-06-29,306.4
2016-06-30,308.3
2016-07-01,332.45
2016-07-04,342.25
2016-07-05,327.35
2016-07-07,339.8
2016-07-08,340.7
2016-07-11,335.05
2016-07-12,337.35
2016-07-13,332.4
2016-07-14,335.95
2016-07-15,330.0
2016-07-18,326.35
2016-07-19,323.6
2016-07-20,323.1
2016-07-21,320.7
2016-07-22,319.0
2016-07-25,321.5
2016-07-26,317.2
2016-07-27,318.85
2016-07-28,322.45
2016-07-29,320.95
2016-08-01,316.45
2016-08-02,317.05
2016-08-03,302.0
2016-08-04,294.85
2016-08-05,294.2
2016-08-08,293.25
2016-08-09,288.4
2016-08-10,283.75
2016-08-11,289.8
2016-08-12,282.15
2016-08-16,272.4
2016-08-17,278.1
2016-08-18,285.95
2016-08-19,281.1
2016-08-22,276.9
2016-08-23,286.35
2016-08-24,286.3
2016-08-25,279.2
2016-08-26,274.35
2016-08-29,277.0
2016-08-30,277.7
2016-08-31,275.9
2016-09-01,272.6
2016-09-02,273.05
2016-09-06,270.6
2016-09-07,272.3
2016-09-08,269.0
2016-09-09,269.6
2016-09-12,269.0
2016-09-14,269.05
2016-09-15,273.25
2016-09-16,278.45
2016-09-19,271.6
2016-09-20,271.95
2016-09-21,270.05
2016-09-22,270.1
2016-09-23,275.15
2016-09-26,272.05
2016-09-27,270.9
2016-09-28,278.3
2016-09-29,269.0
2016-09-30,284.25
2016-10-03,286.0
2016-10-04,291.7
2016-10-05,297.9
2016-10-06,302.2
2016-10-07,300.6
2016-10-10,298.3
2016-10-13,295.85
2016-10-14,297.5
2016-10-17,287.55
2016-10-18,287.45
2016-10-19,291.6
2016-10-20,305.25
2016-10-21,306.1
2016-10-24,319.85
2016-10-25,309.85
2016-10-26,319.2
2016-10-27,315.05
2016-10-28,316.7
2016-10-30,322.65
2016-11-01,330.3
2016-11-02,320.0
2016-11-03,315.15
2016-11-04,309.6
2016-11-07,316.4
2016-11-08,315.55
2016-11-09,292.15
2016-11-10,299.35
2016-11-11,283.85
2016-11-15,268.05
2016-11-16,272.4
2016-11-17,261.85
2016-11-18,267.8
2016-11-21,255.35
2016-11-22,256.35
2016-11-23,269.7
2016-11-24,270.0
2016-11-25,279.6
2016-11-28,280.5
2016-11-29,281.05
2016-11-30,284.4
2016-12-01,280.1
2016-12-02,277.0
2016-12-05,271.55
2016-12-06,276.8
2016-12-07,277.05
2016-12-08,283.65
2016-12-09,284.95
2016-12-12,281.2
2016-12-13,285.25
2016-12-14,284.2
2016-12-15,288.65
2016-12-16,285.15
2016-12-19,294.75
2016-12-20,294.75
2016-12-21,292.45
2016-12-22,281.7
2016-12-23,285.05
2016-12-26,286.2
2016-12-27,284.5
2016-12-28,293.35
2016-12-29,298.4
2016-12-30,297.7
