Date,NESTLEIND
2016-01-01,5785.15
2016-01-04,5669.8
2016-01-05,5662.4
2016-01-06,5719.5
2016-01-07,5638.95
2016-01-08,5632.55
2016-01-11,5469.25
2016-01-12,5439.85
2016-01-13,5501.15
2016-01-14,5616.15
2016-01-15,5597.7
2016-01-18,5436.0
2016-01-19,5428.8
2016-01-20,5485.6
2016-01-21,5429.85
2016-01-22,5447.6
2016-01-25,5461.35
2016-01-27,5487.7
2016-01-28,5468.95
2016-01-29,5488.0
2016-02-01,5448.95
2016-02-02,5457.35
2016-02-03,5408.35
2016-02-04,5485.3
2016-02-05,5421.5
2016-02-08,5413.0
2016-02-09,5419.25
2016-02-10,5297.6
2016-02-11,5217.05
2016-02-12,5056.05
2016-02-15,5057.75
2016-02-16,5049.8
2016-02-17,5072.7
2016-02-18,5182.85
2016-02-19,5209.7
2016-02-22,5279.35
2016-02-23,5192.25
2016-02-24,5199.4
2016-02-25,5142.9
2016-02-26,5111.2
2016-02-29,5008.0
2016-03-01,5052.25
2016-03-02,5078.2
2016-03-03,5217.75
2016-03-04,5285.25
2016-03-08,5320.8
2016-03-09,5209.8
2016-03-10,5177.8
2016-03-11,5163.15
2016-03-14,5103.1
2016-03-15,5053.75
2016-03-16,5011.75
2016-03-17,5096.85
2016-03-18,5186.25
2016-03-21,5231.55
2016-03-22,5260.35
2016-03-23,5253.15
2016-03-28,5353.5
2016-03-29,5335.9
2016-03-30,5479.8
2016-03-31,5757.35
2016-04-01,5638.2
2016-04-04,5683.55
2016-04-05,5738.95
2016-04-06,5724.15
2016-04-07,5888.55
2016-04-08,5975.65
2016-04-11,5870.75
2016-04-12,6147.8
2016-04-13,6116.5
2016-04-18,6134.6
2016-04-20,6036.0
2016-04-21,5966.85
2016-04-22,5969.75
2016-04-25,5881.65
2016-04-26,5830.65
2016-04-27,5885.85
2016-04-28,5908.05
2016-04-29,5725.45
2016-05-02,5754.25
2016-05-03,5591.6
2016-05-04,5542.25
2016-05-05,5540.85
2016-05-06,5610.9
2016-05-09,5509.55
2016-05-10,5520.4
2016-05-11,5601.65
2016-05-12,5710.3
2016-05-13,6121.65
2016-05-16,6284.45
2016-05-17,6219.6
2016-05-18,6200.15
2016-05-19,6092.0
2016-05-20,6005.7
2016-05-23,5966.55
2016-05-24,6003.9
2016-05-25,6145.85
2016-05-26,6142.0
2016-05-27,6173.95
2016-05-30,6307.95
2016-05-31,6097.35
2016-06-01,6390.8
2016-06-02,6302.05
2016-06-03,6305.2
2016-06-06,6479.4
2016-06-07,6450.25
2016-06-08,6480.9
2016-06-09,6431.05
2016-06-10,6544.15
2016-06-13,6538.0
2016-06-14,6589.05
2016-06-15,6492.1
2016-06-16,6490.75
2016-06-17,6464.2
2016-06-20,6548.15
2016-06-21,6537.4
2016-06-22,6489.55
2016-06-23,6431.75
2016-06-24,6496.5
2016-06-27,6447.8
2016-06-28,6493.8
2016-06-29,6444.55
2016-06-30,6492.35
2016-07-01,6509.7
2016-07-04,6528.0
2016-07-05,6532.9
2016-07-07,6511.3
2016-07-08,6412.15
2016-07-11,6487.2
2016-07-12,6427.25
2016-07-13,6581.2
2016-07-14,6567.0
2016-07-15,6632.95
2016-07-18,6618.65
2016-07-19,6642.7
2016-07-20,6674.3
2016-07-21,6867.7
2016-07-22,7078.35
2016-07-25,7126.5
2016-07-26,7164.15
2016-07-27,7076.35
2016-07-28,7237.3
2016-07-29,7188.35
2016-08-01,6951.95
2016-08-02,6833.5
2016-08-03,6776.65
2016-08-04,6805.2
2016-08-05,6838.05
2016-08-08,6854.9
2016-08-09,6892.3
2016-08-10,6844.7
2016-08-11,6849.05
2016-08-12,6894.8
2016-08-16,6749.25
2016-08-17,6694.45
2016-08-18,6697.0
2016-08-19,6727.35
2016-08-22,6785.35
2016-08-23,6810.9
2016-08-24,6818.2
2016-08-25,6829.85
2016-08-26,6831.25
2016-08-29,6751.4
2016-08-30,6687.55
2016-08-31,6525.55
2016-09-01,6488.65
2016-09-02,6439.65
2016-09-06,6565.15
2016-09-07,6461.8
2016-09-08,6431.8
2016-09-09,6507.9
2016-09-12,6431.2
2016-09-14,6344.45
2016-09-15,6301.4
2016-09-16,6407.0
2016-09-19,6337.45
2016-09-20,6339.95
2016-09-21,6313.05
2016-09-22,6450.3
2016-09-23,6494.6
2016-09-26,6504.25
2016-09-27,6488.25
2016-09-28,6452.55
2016-09-29,6353.2
2016-09-30,6432.85
2016-10-03,6621.9
2016-10-04,6680.95
2016-10-05,6775.55
2016-10-06,6723.55
2016-10-07,6727.85
2016-10-10,6632.6
2016-10-13,6542.9
2016-10-14,6877.25
2016-10-17,6758.1
2016-10-18,6873.9
2016-10-19,6792.55
2016-10-20,6842.8
2016-10-21,6869.1
2016-10-24,6853.35
2016-10-25,6793.95
2016-10-26,6825.4
2016-10-27,6936.95
2016-10-28,6985.75
2016-10-30,6940.4
2016-11-01,6794.35
2016-11-02,6759.15
2016-11-03,6717.75
2016-11-04,6654.05
2016-11-07,6458.05
2016-11-08,6451.7
2016-11-09,6387.9
2016-11-10,6420.1
2016-11-11,6255.25
2016-11-15,5957.65
2016-11-16,5965.6
2016-11-17,5958.0
2016-11-18,5881.7
2016-11-21,5868.05
2016-11-22,5893.95
2016-11-23,5915.85
2016-11-24,6123.45
2016-11-25,6159.25
2016-11-28,6288.9
2016-11-29,6289.0
2016-11-30,6289.7
2016-12-01,6284.05
2016-12-02,6230.95
2016-12-05,6229.0
2016-12-06,6265.9
2016-12-07,6281.95
2016-12-08,6330.7
2016-12-09,6352.35
2016-12-12,6313.7
2016-12-13,6329.55
2016-12-14,6235.15
2016-12-15,6176.75
2016-12-16,6115.2
2016-12-19,6030.75
2016-12-20,5917.95
2016-12-21,5846.45
2016-12-22,5767.85
2016-12-23,5803.6
2016-12-26,5838.0
2016-12-27,5877.55
2016-12-28,5897.65
2016-12-29,5974.3
2016-12-30,6028.35
