Date,SANGHVIFOR
2016-01-01,60.6
2016-01-04,62.8
2016-01-05,60.4
2016-01-06,62.6
2016-01-07,59.5
2016-01-08,60.35
2016-01-11,58.75
2016-01-12,57.4
2016-01-13,55.7
2016-01-14,55.45
2016-01-15,52.9
2016-01-18,48.65
2016-01-19,49.45
2016-01-20,48.2
2016-01-21,48.25
2016-01-22,50.45
2016-01-25,51.25
2016-01-27,49.65
2016-01-28,50.55
2016-01-29,51.4
2016-02-01,55.1
2016-02-02,53.5
2016-02-03,50.5
2016-02-04,50.65
2016-02-05,51.5
2016-02-08,48.8
2016-02-09,49.35
2016-02-10,49.9
2016-02-11,44.95
2016-02-12,43.9
2016-02-15,47.45
2016-02-16,46.75
2016-02-17,45.85
2016-02-18,45.3
2016-02-19,44.9
2016-02-22,44.5
2016-02-23,43.0
2016-02-24,40.25
2016-02-25,41.3
2016-02-26,41.65
2016-02-29,43.1
2016-03-01,43.6
2016-03-02,44.95
2016-03-03,44.15
2016-03-04,44.45
2016-03-08,43.25
2016-03-09,42.3
2016-03-10,42.9
2016-03-11,42.9
2016-03-14,42.05
2016-03-15,41.05
2016-03-16,40.1
2016-03-17,40.3
2016-03-18,40.1
2016-03-21,39.75
2016-03-22,39.5
2016-03-23,40.55
2016-03-28,39.85
2016-03-29,40.0
2016-03-30,40.15
2016-03-31,41.35
2016-04-01,42.05
2016-04-04,42.75
2016-04-05,41.8
2016-04-06,42.8
2016-04-07,42.8
2016-04-08,42.95
2016-04-11,41.75
2016-04-12,41.4
2016-04-13,43.0
2016-04-18,44.8
2016-04-20,44.55
2016-04-21,44.55
2016-04-22,44.05
2016-04-25,46.15
2016-04-26,45.2
2016-04-27,45.4
2016-04-28,45.7
2016-04-29,44.75
2016-05-02,45.55
2016-05-03,44.95
2016-05-04,44.0
2016-05-05,45.0
2016-05-06,45.05
2016-05-09,45.95
2016-05-10,46.35
2016-05-11,46.75
2016-05-12,46.05
2016-05-13,45.55
2016-05-16,46.6
2016-05-17,45.55
2016-05-18,46.2
2016-05-19,46.05
2016-05-20,43.55
2016-05-23,42.8
2016-05-24,42.3
2016-05-25,44.15
2016-05-26,43.35
2016-05-27,41.65
2016-05-30,43.55
2016-05-31,42.7
2016-06-01,42.9
2016-06-02,42.75
2016-06-03,43.25
2016-06-06,42.75
2016-06-07,39.7
2016-06-08,40.75
2016-06-09,40.15
2016-06-10,40.35
2016-06-13,40.0
2016-06-14,39.95
2016-06-15,40.7
2016-06-16,39.75
2016-06-17,40.3
2016-06-20,39.35
2016-06-21,39.3
2016-06-22,39.3
2016-06-23,39.3
2016-06-24,38.5
2016-06-27,39.05
2016-06-28,40.15
2016-06-29,40.35
2016-06-30,40.7
2016-07-01,40.6
2016-07-04,41.5
2016-07-05,41.1
2016-07-07,43.0
2016-07-08,42.15
2016-07-11,41.9
2016-07-12,40.6
2016-07-13,39.85
2016-07-14,40.6
2016-07-15,39.85
2016-07-18,39.75
2016-07-19,39.95
2016-07-20,39.8
2016-07-21,39.5
2016-07-22,39.6
2016-07-25,39.95
2016-07-26,42.2
2016-07-27,40.7
2016-07-28,42.35
2016-07-29,40.6
2016-08-01,43.25
2016-08-02,41.55
2016-08-03,40.05
2016-08-04,40.35
2016-08-05,41.4
2016-08-08,40.5
2016-08-09,39.95
2016-08-10,40.4
2016-08-11,40.0
2016-08-12,40.95
2016-08-16,40.7
2016-08-17,40.55
2016-08-18,39.4
2016-08-19,40.8
2016-08-22,40.9
2016-08-23,40.3
2016-08-24,39.45
2016-08-25,39.65
2016-08-26,39.75
2016-08-29,41.6
2016-08-30,40.0
2016-08-31,39.65
2016-09-01,41.1
2016-09-02,40.95
2016-09-06,40.85
2016-09-07,40.3
2016-09-08,40.45
2016-09-09,39.6
2016-09-12,40.3
2016-09-14,38.55
2016-09-15,37.25
2016-09-16,37.7
2016-09-19,37.45
2016-09-20,37.25
2016-09-21,37.0
2016-09-22,37.4
2016-09-23,38.5
2016-09-26,38.15
2016-09-27,37.05
2016-09-28,37.0
2016-09-29,34.2
2016-09-30,36.3
2016-10-03,37.3
2016-10-04,38.65
2016-10-05,39.0
2016-10-06,38.7
2016-10-07,40.75
2016-10-10,40.7
2016-10-13,39.6
2016-10-14,38.65
2016-10-17,37.5
2016-10-18,37.75
2016-10-19,38.0
2016-10-20,39.65
2016-10-21,39.95
2016-10-24,38.3
2016-10-25,39.95
2016-10-26,41.8
2016-10-27,40.6
2016-10-28,39.8
2016-10-30,39.85
2016-11-01,42.4
2016-11-02,40.55
2016-11-03,41.15
2016-11-04,40.3
2016-11-07,39.75
2016-11-08,40.35
2016-11-09,38.3
2016-11-10,40.05
2016-11-11,38.45
2016-11-15,37.7
2016-11-16,37.35
2016-11-17,37.6
2016-11-18,37.3
2016-11-21,36.7
2016-11-22,35.9
2016-11-23,37.15
2016-11-24,36.5
2016-11-25,37.5
2016-11-28,37.85
2016-11-29,36.9
2016-11-30,36.7
2016-12-01,36.5
2016-12-02,37.5
2016-12-05,36.85
2016-12-06,44.2
2016-12-07,47.15
2016-12-08,49.5
2016-12-09,47.5
2016-12-12,47.6
2016-12-13,46.9
2016-12-14,44.7
2016-12-15,45.7
2016-12-16,44.85
2016-12-19,43.1
2016-12-20,42.35
2016-12-21,45.4
2016-12-22,43.75
2016-12-23,43.4
2016-12-26,42.05
2016-12-27,42.8
2016-12-28,42.1
2016-12-29,43.25
2016-12-30,42.5
