Date,SASKEN
2016-01-01,380.65
2016-01-04,380.1
2016-01-05,381.0
2016-01-06,379.85
2016-01-07,374.9
2016-01-08,378.35
2016-01-11,372.85
2016-01-12,366.05
2016-01-13,367.2
2016-01-14,372.1
2016-01-15,346.4
2016-01-18,331.8
2016-01-19,347.45
2016-01-20,355.6
2016-01-21,360.5
2016-01-22,355.75
2016-01-25,341.8
2016-01-27,342.25
2016-01-28,331.45
2016-01-29,335.35
2016-02-01,338.25
2016-02-02,334.05
2016-02-03,324.95
2016-02-04,311.2
2016-02-05,307.05
2016-02-08,300.7
2016-02-09,292.75
2016-02-10,276.9
2016-02-11,255.55
2016-02-12,239.55
2016-02-15,254.15
2016-02-16,249.35
2016-02-17,250.45
2016-02-18,257.3
2016-02-19,256.35
2016-02-22,253.75
2016-02-23,253.45
2016-02-24,245.95
2016-02-25,244.7
2016-02-26,238.75
2016-02-29,239.65
2016-03-01,267.25
2016-03-02,271.1
2016-03-03,281.45
2016-03-04,282.1
2016-03-08,291.35
2016-03-09,302.45
2016-03-10,315.5
2016-03-11,315.2
2016-03-14,378.2
2016-03-15,418.45
2016-03-16,409.2
2016-03-17,411.05
2016-03-18,416.8
2016-03-21,408.85
2016-03-22,399.7
2016-03-23,403.55
2016-03-28,359.85
2016-03-29,342.8
2016-03-30,351.7
2016-03-31,340.85
2016-04-01,340.2
2016-04-04,330.7
2016-04-05,321.15
2016-04-06,338.4
2016-04-07,329.4
2016-04-08,329.95
2016-04-11,336.55
2016-04-12,334.2
2016-04-13,335.2
2016-04-18,339.65
2016-04-20,358.6
2016-04-21,353.25
2016-04-22,362.2
2016-04-25,346.25
2016-04-26,346.15
2016-04-27,343.25
2016-04-28,344.65
2016-04-29,341.5
2016-05-02,335.45
2016-05-03,331.2
2016-05-04,319.25
2016-05-05,316.4
2016-05-06,315.4
2016-05-09,316.15
2016-05-10,323.0
2016-05-11,321.3
2016-05-12,319.45
2016-05-13,316.9
2016-05-16,318.85
2016-05-17,318.25
2016-05-18,328.45
2016-05-19,327.3
2016-05-20,320.75
2016-05-23,320.25
2016-05-24,315.1
2016-05-25,316.25
2016-05-26,321.1
2016-05-27,318.05
2016-05-30,330.65
2016-05-31,324.9
2016-06-01,328.65
2016-06-02,330.95
2016-06-03,326.95
2016-06-06,324.4
2016-06-07,325.1
2016-06-08,324.55
2016-06-09,323.4
2016-06-10,323.0
2016-06-13,320.15
2016-06-14,320.4
2016-06-15,321.05
2016-06-16,320.4
2016-06-17,318.4
2016-06-20,322.6
2016-06-21,323.05
2016-06-22,319.3
2016-06-23,318.2
2016-06-24,314.55
2016-06-27,317.35
2016-06-28,319.3
2016-06-29,324.5
2016-06-30,326.3
2016-07-01,322.6
2016-07-04,324.2
2016-07-05,341.2
2016-07-07,343.5
2016-07-08,350.3
2016-07-11,352.9
2016-07-12,356.05
2016-07-13,345.6
2016-07-14,351.6
2016-07-15,352.75
2016-07-18,351.15
2016-07-19,352.55
2016-07-20,348.6
2016-07-21,360.8
2016-07-22,355.2
2016-07-25,356.15
2016-07-26,359.6
2016-07-27,357.55
2016-07-28,356.0
2016-07-29,358.4
2016-08-01,352.3
2016-08-02,351.45
2016-08-03,346.4
2016-08-04,351.6
2016-08-05,352.25
2016-08-08,349.65
2016-08-09,351.65
2016-08-10,347.9
2016-08-11,349.95
2016-08-12,347.7
2016-08-16,346.4
2016-08-17,347.05
2016-08-18,348.15
2016-08-19,350.2
2016-08-22,350.15
2016-08-23,350.45
2016-08-24,355.65
2016-08-25,366.65
2016-08-26,364.7
2016-08-29,359.7
2016-08-30,361.6
2016-08-31,362.45
2016-09-01,361.8
2016-09-02,363.5
2016-09-06,356.9
2016-09-07,363.15
2016-09-08,360.15
2016-09-09,359.25
2016-09-12,353.65
2016-09-14,352.65
2016-09-15,353.15
2016-09-16,354.25
2016-09-19,352.4
2016-09-20,352.65
2016-09-21,353.45
2016-09-22,351.85
2016-09-23,352.25
2016-09-26,351.2
2016-09-27,347.75
2016-09-28,347.15
2016-09-29,329.95
2016-09-30,341.05
2016-10-03,348.75
2016-10-04,347.85
2016-10-05,357.85
2016-10-06,358.45
2016-10-07,370.05
2016-10-10,368.75
2016-10-13,365.5
2016-10-14,370.3
2016-10-17,370.6
2016-10-18,376.35
2016-10-19,379.85
2016-10-20,392.4
2016-10-21,393.35
2016-10-24,405.25
2016-10-25,430.0
2016-10-26,431.0
2016-10-27,414.4
2016-10-28,408.75
2016-10-30,406.55
2016-11-01,406.1
2016-11-02,404.0
2016-11-03,403.95
2016-11-04,401.15
2016-11-07,407.0
2016-11-08,406.2
2016-11-09,403.75
2016-11-10,405.8
2016-11-11,405.05
2016-11-15,402.85
2016-11-16,399.55
2016-11-17,395.6
2016-11-18,394.4
2016-11-21,389.25
2016-11-22,379.4
2016-11-23,384.35
2016-11-24,390.9
2016-11-25,396.75
2016-11-28,399.55
2016-11-29,397.65
2016-11-30,397.05
2016-12-01,394.9
2016-12-02,392.7
2016-12-05,400.6
2016-12-06,402.05
2016-12-07,397.25
2016-12-08,399.4
2016-12-09,403.8
2016-12-12,402.65
2016-12-13,403.6
2016-12-14,404.45
2016-12-15,415.95
2016-12-16,415.8
2016-12-19,414.55
2016-12-20,414.3
2016-12-21,419.55
2016-12-22,419.55
2016-12-23,414.1
2016-12-26,397.7
2016-12-27,400.65
2016-12-28,403.55
2016-12-29,398.05
2016-12-30,402.75
