Date,SETFNIFBK
2016-01-01,172.4
2016-01-04,168.49
2016-01-05,166.05
2016-01-06,165.9
2016-01-07,162.55
2016-01-08,163.75
2016-01-11,161.5
2016-01-12,159.85
2016-01-13,159.0
2016-01-14,157.5
2016-01-15,153.95
2016-01-18,152.34
2016-01-19,153.6
2016-01-20,150.05
2016-01-21,150.05
2016-01-22,157.1
2016-01-25,158.05
2016-01-27,156.9
2016-01-28,155.65
2016-01-29,155.6
2016-02-01,155.9
2016-02-02,151.16
2016-02-03,150.3
2016-02-04,150.15
2016-02-05,153.8
2016-02-08,155.25
2016-02-09,150.35
2016-02-10,147.07
2016-02-11,142.12
2016-02-12,141.65
2016-02-15,144.85
2016-02-16,141.28
2016-02-17,143.1
2016-02-18,144.65
2016-02-19,144.3
2016-02-22,145.95
2016-02-23,145.39
2016-02-24,141.4
2016-02-25,137.45
2016-02-26,139.35
2016-02-29,139.95
2016-03-01,145.0
2016-03-02,151.55
2016-03-03,152.8
2016-03-04,154.57
2016-03-08,152.03
2016-03-09,154.45
2016-03-10,152.95
2016-03-11,153.65
2016-03-14,154.65
2016-03-15,155.2
2016-03-16,156.64
2016-03-17,155.8
2016-03-18,157.18
2016-03-21,160.5
2016-03-22,160.5
2016-03-23,161.15
2016-03-28,157.95
2016-03-29,158.7
2016-03-30,161.8
2016-03-31,163.6
2016-04-01,162.79
2016-04-04,163.35
2016-04-05,166.48
2016-04-06,158.3
2016-04-07,157.25
2016-04-08,156.4
2016-04-11,157.4
2016-04-12,159.37
2016-04-13,163.55
2016-04-18,162.8
2016-04-20,165.0
2016-04-21,169.0
2016-04-22,168.7
2016-04-25,168.95
2016-04-26,170.5
2016-04-27,170.86
2016-04-28,169.08
2016-04-29,168.65
2016-05-02,166.8
2016-05-03,166.05
2016-05-04,164.93
2016-05-05,164.45
2016-05-06,164.4
2016-05-09,167.3
2016-05-10,168.15
2016-05-11,169.2
2016-05-12,171.0
2016-05-13,169.45
2016-05-16,164.65
2016-05-17,169.2
2016-05-18,168.0
2016-05-19,167.4
2016-05-20,166.96
2016-05-23,165.86
2016-05-24,167.24
2016-05-25,170.25
2016-05-26,173.99
2016-05-27,176.1
2016-05-30,175.33
2016-05-31,176.45
2016-06-01,177.45
2016-06-02,175.85
2016-06-03,176.97
2016-06-06,177.55
2016-06-07,179.84
2016-06-08,179.7
2016-06-09,180.5
2016-06-10,180.35
2016-06-13,177.36
2016-06-14,176.65
2016-06-15,179.1
2016-06-16,177.0
2016-06-17,178.45
2016-06-20,178.45
2016-06-21,179.15
2016-06-22,178.95
2016-06-23,180.5
2016-06-24,177.5
2016-06-27,176.15
2016-06-28,176.7
2016-06-29,177.55
2016-06-30,180.46
2016-07-01,181.55
2016-07-04,184.34
2016-07-05,182.55
2016-07-07,184.2
2016-07-08,182.25
2016-07-11,187.0
2016-07-12,189.0
2016-07-13,188.23
2016-07-14,189.85
2016-07-15,180.79
2016-07-18,192.74
2016-07-19,192.32
2016-07-20,193.9
2016-07-21,189.8
2016-07-22,190.6
2016-07-25,193.5
2016-07-26,192.05
2016-07-27,193.44
2016-07-28,193.49
2016-07-29,192.15
2016-08-01,190.25
2016-08-02,189.87
2016-08-03,190.0
2016-08-04,188.99
2016-08-05,191.65
2016-08-08,192.5
2016-08-09,192.1
2016-08-10,190.0
2016-08-11,188.55
2016-08-12,191.99
2016-08-16,192.4
2016-08-17,193.06
2016-08-18,195.8
2016-08-19,196.4
2016-08-22,196.34
2016-08-23,196.0
2016-08-24,196.0
2016-08-25,196.98
2016-08-26,195.0
2016-08-29,195.09
2016-08-30,197.81
2016-08-31,200.1
2016-09-01,201.69
2016-09-02,200.99
2016-09-06,206.24
2016-09-07,208.0
2016-09-08,207.0
2016-09-09,205.85
2016-09-12,201.04
2016-09-14,201.76
2016-09-15,200.5
2016-09-16,201.2
2016-09-19,201.85
2016-09-20,201.15
2016-09-21,200.7
2016-09-22,203.72
2016-09-23,202.5
2016-09-26,198.7
2016-09-27,197.35
2016-09-28,199.0
2016-09-29,197.43
2016-09-30,195.93
2016-10-03,197.86
2016-10-04,199.39
2016-10-05,198.5
2016-10-06,196.55
2016-10-07,196.89
2016-10-10,196.6
2016-10-13,192.57
2016-10-14,192.97
2016-10-17,193.0
2016-10-18,197.52
2016-10-19,197.0
2016-10-20,199.16
2016-10-21,200.1
2016-10-24,200.99
2016-10-25,201.51
2016-10-26,197.51
2016-10-27,198.05
2016-10-28,198.29
2016-10-30,198.13
2016-11-01,197.8
2016-11-02,195.88
2016-11-03,195.26
2016-11-04,193.58
2016-11-07,196.2
2016-11-08,196.75
2016-11-09,201.81
2016-11-10,207.81
2016-11-11,202.09
2016-11-15,195.81
2016-11-16,194.87
2016-11-17,194.26
2016-11-18,193.29
2016-11-21,187.94
2016-11-22,188.92
2016-11-23,188.05
2016-11-24,186.08
2016-11-25,188.05
2016-11-28,186.74
2016-11-29,185.95
2016-11-30,189.3
2016-12-01,187.8
2016-12-02,185.55
2016-12-05,186.25
2016-12-06,187.35
2016-12-07,185.5
2016-12-08,188.0
2016-12-09,190.03
2016-12-12,186.95
2016-12-13,187.58
2016-12-14,186.2
2016-12-15,186.8
2016-12-16,186.16
2016-12-19,185.65
2016-12-20,183.53
2016-12-21,183.92
2016-12-22,182.19
2016-12-23,181.96
2016-12-26,179.56
2016-12-27,181.11
2016-12-28,182.02
2016-12-29,182.0
2016-12-30,184.94
