Date,RPPINFRA
2016-01-01,108.65
2016-01-04,105.3
2016-01-05,108.15
2016-01-06,108.5
2016-01-07,104.0
2016-01-08,107.3
2016-01-11,114.85
2016-01-12,121.3
2016-01-13,120.95
2016-01-14,122.15
2016-01-15,123.2
2016-01-18,112.75
2016-01-19,113.65
2016-01-20,105.0
2016-01-21,108.6
2016-01-22,111.75
2016-01-25,114.65
2016-01-27,113.3
2016-01-28,115.9
2016-01-29,123.5
2016-02-01,130.45
2016-02-02,129.65
2016-02-03,130.65
2016-02-04,129.55
2016-02-05,131.15
2016-02-08,127.25
2016-02-09,124.75
2016-02-10,124.2
2016-02-11,110.1
2016-02-12,106.2
2016-02-15,110.4
2016-02-16,106.1
2016-02-17,108.25
2016-02-18,113.1
2016-02-19,114.8
2016-02-22,115.95
2016-02-23,110.7
2016-02-24,106.3
2016-02-25,105.9
2016-02-26,107.2
2016-02-29,105.3
2016-03-01,107.75
2016-03-02,107.65
2016-03-03,107.2
2016-03-04,112.95
2016-03-08,112.4
2016-03-09,111.75
2016-03-10,111.5
2016-03-11,109.15
2016-03-14,107.8
2016-03-15,105.85
2016-03-16,109.65
2016-03-17,108.05
2016-03-18,109.25
2016-03-21,115.55
2016-03-22,114.85
2016-03-23,113.15
2016-03-28,112.5
2016-03-29,116.5
2016-03-30,121.2
2016-03-31,121.95
2016-04-01,132.75
2016-04-04,138.9
2016-04-05,139.85
2016-04-06,140.25
2016-04-07,136.55
2016-04-08,137.0
2016-04-11,137.7
2016-04-12,140.75
2016-04-13,142.9
2016-04-18,145.15
2016-04-20,152.05
2016-04-21,145.95
2016-04-22,148.6
2016-04-25,146.3
2016-04-26,147.05
2016-04-27,145.45
2016-04-28,144.75
2016-04-29,148.15
2016-05-02,148.05
2016-05-03,145.55
2016-05-04,143.75
2016-05-05,144.85
2016-05-06,150.25
2016-05-09,152.55
2016-05-10,152.35
2016-05-11,150.3
2016-05-12,157.4
2016-05-13,167.65
2016-05-16,166.45
2016-05-17,164.85
2016-05-18,162.3
2016-05-19,159.7
2016-05-20,158.3
2016-05-23,155.6
2016-05-24,150.05
2016-05-25,152.1
2016-05-26,156.3
2016-05-27,157.1
2016-05-30,157.75
2016-05-31,153.75
2016-06-01,154.45
2016-06-02,156.05
2016-06-03,155.2
2016-06-06,155.95
2016-06-07,155.6
2016-06-08,157.6
2016-06-09,154.5
2016-06-10,151.0
2016-06-13,152.45
2016-06-14,150.65
2016-06-15,150.15
2016-06-16,157.95
2016-06-17,162.65
2016-06-20,159.15
2016-06-21,158.25
2016-06-22,166.05
2016-06-23,162.3
2016-06-24,154.8
2016-06-27,157.75
2016-06-28,169.4
2016-06-29,166.4
2016-06-30,167.1
2016-07-01,167.55
2016-07-04,166.3
2016-07-05,164.95
2016-07-07,175.65
2016-07-08,174.5
2016-07-11,173.8
2016-07-12,172.45
2016-07-13,178.7
2016-07-14,182.85
2016-07-15,180.05
2016-07-18,173.3
2016-07-19,171.6
2016-07-20,170.85
2016-07-21,170.1
2016-07-22,168.8
2016-07-25,170.1
2016-07-26,168.0
2016-07-27,170.5
2016-07-28,173.9
2016-07-29,174.2
2016-08-01,177.85
2016-08-02,178.1
2016-08-03,181.45
2016-08-04,183.75
2016-08-05,187.0
2016-08-08,184.1
2016-08-09,183.75
2016-08-10,185.4
2016-08-11,183.75
2016-08-12,182.85
2016-08-16,189.8
2016-08-17,185.75
2016-08-18,185.45
2016-08-19,184.0
2016-08-22,181.25
2016-08-23,177.65
2016-08-24,176.15
2016-08-25,175.0
2016-08-26,173.0
2016-08-29,175.2
2016-08-30,182.1
2016-08-31,184.75
2016-09-01,184.7
2016-09-02,184.8
2016-09-06,184.9
2016-09-07,190.2
2016-09-08,185.75
2016-09-09,183.45
2016-09-12,181.25
2016-09-14,186.95
2016-09-15,182.6
2016-09-16,191.15
2016-09-19,189.05
2016-09-20,187.95
2016-09-21,200.0
2016-09-22,201.3
2016-09-23,202.3
2016-09-26,202.7
2016-09-27,209.25
2016-09-28,204.6
2016-09-29,188.75
2016-09-30,195.3
2016-10-03,196.9
2016-10-04,194.1
2016-10-05,195.4
2016-10-06,191.05
2016-10-07,196.9
2016-10-10,197.3
2016-10-13,192.15
2016-10-14,191.55
2016-10-17,191.15
2016-10-18,191.95
2016-10-19,191.15
2016-10-20,192.85
2016-10-21,194.15
2016-10-24,194.0
2016-10-25,194.1
2016-10-26,193.9
2016-10-27,190.75
2016-10-28,191.7
2016-10-30,195.0
2016-11-01,192.1
2016-11-02,189.85
2016-11-03,186.1
2016-11-04,184.5
2016-11-07,185.3
2016-11-08,184.15
2016-11-09,177.6
2016-11-10,183.5
2016-11-11,175.95
2016-11-15,169.45
2016-11-16,180.45
2016-11-17,176.45
2016-11-18,175.2
2016-11-21,173.15
2016-11-22,177.4
2016-11-23,182.05
2016-11-24,182.0
2016-11-25,184.85
2016-11-28,183.35
2016-11-29,185.75
2016-11-30,184.7
2016-12-01,186.15
2016-12-02,177.85
2016-12-05,186.8
2016-12-06,182.5
2016-12-07,180.55
2016-12-08,184.25
2016-12-09,180.7
2016-12-12,179.45
2016-12-13,184.6
2016-12-14,181.35
2016-12-15,180.4
2016-12-16,179.5
2016-12-19,179.15
2016-12-20,178.05
2016-12-21,176.85
2016-12-22,174.15
2016-12-23,173.75
2016-12-26,165.5
2016-12-27,198.6
2016-12-28,238.3
2016-12-29,239.8
2016-12-30,231.45
