Date,CONSOFINVT
2016-01-01,75.9
2016-01-04,75.75
2016-01-05,74.95
2016-01-06,75.5
2016-01-07,73.2
2016-01-08,74.4
2016-01-11,73.0
2016-01-12,71.3
2016-01-13,71.5
2016-01-14,71.9
2016-01-15,69.1
2016-01-18,65.55
2016-01-19,67.95
2016-01-20,66.2
2016-01-21,65.5
2016-01-22,68.1
2016-01-25,66.95
2016-01-27,69.4
2016-01-28,67.6
2016-01-29,68.15
2016-02-01,68.4
2016-02-02,65.55
2016-02-03,63.3
2016-02-04,61.0
2016-02-05,61.75
2016-02-08,59.5
2016-02-09,58.85
2016-02-10,56.95
2016-02-11,49.6
2016-02-12,50.9
2016-02-15,55.9
2016-02-16,54.6
2016-02-17,54.2
2016-02-18,54.35
2016-02-19,57.4
2016-02-22,59.05
2016-02-23,57.95
2016-02-24,55.35
2016-02-25,55.65
2016-02-26,55.3
2016-02-29,55.4
2016-03-01,57.0
2016-03-02,58.35
2016-03-03,59.3
2016-03-04,58.2
2016-03-08,61.45
2016-03-09,60.2
2016-03-10,58.5
2016-03-11,59.0
2016-03-14,59.2
2016-03-15,60.0
2016-03-16,59.4
2016-03-17,59.85
2016-03-18,58.25
2016-03-21,58.45
2016-03-22,57.6
2016-03-23,56.7
2016-03-28,56.7
2016-03-29,57.45
2016-03-30,60.55
2016-03-31,59.75
2016-04-01,59.3
2016-04-04,59.8
2016-04-05,57.95
2016-04-06,59.1
2016-04-07,60.55
2016-04-08,59.7
2016-04-11,60.7
2016-04-12,62.1
2016-04-13,62.75
2016-04-18,65.6
2016-04-20,66.15
2016-04-21,68.0
2016-04-22,66.85
2016-04-25,65.35
2016-04-26,65.65
2016-04-27,65.4
2016-04-28,66.2
2016-04-29,64.5
2016-05-02,63.4
2016-05-03,61.75
2016-05-04,59.45
2016-05-05,61.75
2016-05-06,62.1
2016-05-09,61.6
2016-05-10,65.4
2016-05-11,64.85
2016-05-12,64.8
2016-05-13,63.1
2016-05-16,64.75
2016-05-17,63.65
2016-05-18,62.8
2016-05-19,62.25
2016-05-20,62.5
2016-05-23,61.85
2016-05-24,60.0
2016-05-25,60.5
2016-05-26,59.95
2016-05-27,60.15
2016-05-30,62.5
2016-05-31,62.25
2016-06-01,64.5
2016-06-02,64.2
2016-06-03,61.95
2016-06-06,63.4
2016-06-07,64.4
2016-06-08,64.65
2016-06-09,63.7
2016-06-10,61.25
2016-06-13,60.35
2016-06-14,60.1
2016-06-15,59.55
2016-06-16,60.0
2016-06-17,58.4
2016-06-20,60.3
2016-06-21,60.55
2016-06-22,58.35
2016-06-23,59.55
2016-06-24,58.5
2016-06-27,60.0
2016-06-28,59.1
2016-06-29,60.25
2016-06-30,59.4
2016-07-01,59.15
2016-07-04,61.85
2016-07-05,61.3
2016-07-07,60.0
2016-07-08,60.1
2016-07-11,61.75
2016-07-12,60.0
2016-07-13,59.5
2016-07-14,60.9
2016-07-15,60.65
2016-07-18,62.55
2016-07-19,61.1
2016-07-20,62.75
2016-07-21,62.35
2016-07-22,62.2
2016-07-25,64.8
2016-07-26,64.45
2016-07-27,63.8
2016-07-28,64.0
2016-07-29,63.8
2016-08-01,63.8
2016-08-02,63.5
2016-08-03,62.65
2016-08-04,63.9
2016-08-05,64.5
2016-08-08,63.7
2016-08-09,63.3
2016-08-10,63.25
2016-08-11,63.45
2016-08-12,64.5
2016-08-16,63.2
2016-08-17,60.95
2016-08-18,61.05
2016-08-19,61.4
2016-08-22,61.7
2016-08-23,60.6
2016-08-24,60.3
2016-08-25,63.55
2016-08-26,66.75
2016-08-29,65.65
2016-08-30,65.45
2016-08-31,65.55
2016-09-01,63.9
2016-09-02,65.65
2016-09-06,65.85
2016-09-07,64.6
2016-09-08,65.6
2016-09-09,65.3
2016-09-12,64.15
2016-09-14,63.8
2016-09-15,64.0
2016-09-16,61.95
2016-09-19,61.25
2016-09-20,60.25
2016-09-21,59.45
2016-09-22,60.3
2016-09-23,60.9
2016-09-26,61.8
2016-09-27,60.05
2016-09-28,61.5
2016-09-29,60.0
2016-09-30,59.35
2016-10-03,60.8
2016-10-04,60.4
2016-10-05,59.65
2016-10-06,61.3
2016-10-07,60.15
2016-10-10,61.5
2016-10-13,60.65
2016-10-14,61.85
2016-10-17,61.9
2016-10-18,63.6
2016-10-19,65.25
2016-10-20,66.1
2016-10-21,67.2
2016-10-24,68.5
2016-10-25,68.4
2016-10-26,67.9
2016-10-27,66.65
2016-10-28,65.8
2016-10-30,66.95
2016-11-01,69.0
2016-11-02,68.45
2016-11-03,66.6
2016-11-04,65.05
2016-11-07,66.05
2016-11-08,64.85
2016-11-09,63.5
2016-11-10,65.45
2016-11-11,62.1
2016-11-15,59.35
2016-11-16,59.15
2016-11-17,58.15
2016-11-18,59.2
2016-11-21,55.5
2016-11-22,56.45
2016-11-23,57.55
2016-11-24,57.3
2016-11-25,54.75
2016-11-28,56.75
2016-11-29,57.05
2016-11-30,58.45
2016-12-01,59.35
2016-12-02,58.15
2016-12-05,56.9
2016-12-06,59.6
2016-12-07,58.6
2016-12-08,59.45
2016-12-09,57.9
2016-12-12,58.0
2016-12-13,57.7
2016-12-14,57.95
2016-12-15,57.1
2016-12-16,57.0
2016-12-19,56.3
2016-12-20,56.35
2016-12-21,55.9
2016-12-22,55.35
2016-12-23,56.0
2016-12-26,54.1
2016-12-27,56.8
2016-12-28,56.4
2016-12-29,56.25
2016-12-30,56.25
