Date,NAHARCAP
2016-01-01,79.25
2016-01-04,77.5
2016-01-05,80.2
2016-01-06,80.05
2016-01-07,77.05
2016-01-08,78.7
2016-01-11,76.3
2016-01-12,79.0
2016-01-13,72.8
2016-01-14,74.0
2016-01-15,72.3
2016-01-18,70.05
2016-01-19,73.4
2016-01-20,66.75
2016-01-21,66.1
2016-01-22,67.95
2016-01-25,67.9
2016-01-27,67.4
2016-01-28,67.55
2016-01-29,69.95
2016-02-01,68.15
2016-02-02,68.1
2016-02-03,66.85
2016-02-04,68.6
2016-02-05,67.8
2016-02-08,66.7
2016-02-09,67.0
2016-02-10,64.5
2016-02-11,51.6
2016-02-12,46.45
2016-02-15,51.0
2016-02-16,49.0
2016-02-17,51.75
2016-02-18,52.7
2016-02-19,52.3
2016-02-22,53.85
2016-02-23,52.75
2016-02-24,51.1
2016-02-25,53.0
2016-02-26,51.35
2016-02-29,53.55
2016-03-01,54.4
2016-03-02,54.9
2016-03-03,54.55
2016-03-04,55.5
2016-03-08,57.9
2016-03-09,56.9
2016-03-11,56.2
2016-03-14,56.8
2016-03-15,57.25
2016-03-16,56.9
2016-03-17,56.4
2016-03-18,57.0
2016-03-21,58.65
2016-03-22,59.0
2016-03-23,58.85
2016-03-28,58.1
2016-03-29,55.7
2016-03-30,57.25
2016-03-31,58.3
2016-04-01,58.0
2016-04-04,61.0
2016-04-05,60.0
2016-04-06,62.5
2016-04-07,63.0
2016-04-08,62.4
2016-04-11,63.85
2016-04-12,65.0
2016-04-13,67.35
2016-04-18,66.1
2016-04-20,67.0
2016-04-21,66.0
2016-04-22,65.0
2016-04-26,67.3
2016-04-27,66.4
2016-04-28,66.3
2016-04-29,65.3
2016-05-02,66.5
2016-05-03,66.1
2016-05-04,64.35
2016-05-05,64.25
2016-05-06,64.45
2016-05-09,64.1
2016-05-10,64.15
2016-05-11,64.4
2016-05-12,67.0
2016-05-13,67.0
2016-05-16,68.2
2016-05-17,68.3
2016-05-18,69.5
2016-05-19,68.35
2016-05-20,67.3
2016-05-23,68.55
2016-05-24,66.55
2016-05-25,65.6
2016-05-26,65.85
2016-05-27,67.5
2016-05-30,66.0
2016-05-31,69.0
2016-06-01,69.8
2016-06-02,70.05
2016-06-03,70.2
2016-06-06,70.0
2016-06-07,69.95
2016-06-08,70.65
2016-06-09,69.0
2016-06-10,72.0
2016-06-13,74.95
2016-06-14,83.35
2016-06-15,83.35
2016-06-16,82.35
2016-06-17,80.0
2016-06-20,80.0
2016-06-21,81.35
2016-06-22,80.55
2016-06-23,78.15
2016-06-24,78.3
2016-06-27,78.25
2016-06-28,78.0
2016-06-29,79.2
2016-06-30,79.0
2016-07-01,79.05
2016-07-04,79.25
2016-07-05,80.0
2016-07-07,81.5
2016-07-08,80.0
2016-07-11,80.85
2016-07-12,80.5
2016-07-13,79.55
2016-07-14,78.35
2016-07-15,78.5
2016-07-18,77.25
2016-07-19,76.75
2016-07-20,75.85
2016-07-21,75.7
2016-07-22,77.05
2016-07-25,76.45
2016-07-26,85.15
2016-07-27,90.45
2016-07-28,87.35
2016-07-29,86.05
2016-08-01,84.3
2016-08-02,83.15
2016-08-03,80.9
2016-08-04,79.05
2016-08-05,83.5
2016-08-08,82.75
2016-08-09,81.45
2016-08-10,80.9
2016-08-11,80.05
2016-08-12,81.4
2016-08-16,84.2
2016-08-17,83.75
2016-08-18,82.45
2016-08-19,83.7
2016-08-22,85.95
2016-08-23,84.5
2016-08-24,83.25
2016-08-25,82.95
2016-08-26,82.7
2016-08-29,83.6
2016-08-30,85.95
2016-08-31,83.15
2016-09-01,82.5
2016-09-02,82.5
2016-09-06,82.35
2016-09-07,83.0
2016-09-08,82.2
2016-09-09,82.05
2016-09-12,81.5
2016-09-14,82.5
2016-09-15,82.0
2016-09-16,81.75
2016-09-19,82.3
2016-09-20,82.7
2016-09-21,83.0
2016-09-22,83.05
2016-09-23,83.75
2016-09-26,82.9
2016-09-27,83.25
2016-09-28,83.45
2016-09-29,79.8
2016-09-30,81.25
2016-10-03,84.4
2016-10-04,86.9
2016-10-05,87.0
2016-10-06,86.85
2016-10-07,87.85
2016-10-10,87.05
2016-10-13,84.65
2016-10-14,86.25
2016-10-17,86.5
2016-10-18,88.25
2016-10-19,90.25
2016-10-20,89.0
2016-10-21,89.75
2016-10-24,92.9
2016-10-25,92.6
2016-10-26,93.45
2016-10-27,92.6
2016-10-28,98.7
2016-10-30,99.45
2016-11-01,98.05
2016-11-02,96.0
2016-11-03,94.45
2016-11-04,91.0
2016-11-07,92.45
2016-11-08,90.5
2016-11-09,87.6
2016-11-10,90.55
2016-11-11,87.6
2016-11-15,87.0
2016-11-16,88.45
2016-11-17,86.55
2016-11-18,85.05
2016-11-21,82.1
2016-11-22,82.0
2016-11-23,84.55
2016-11-24,85.95
2016-11-25,86.65
2016-11-28,87.45
2016-11-29,86.35
2016-11-30,86.0
2016-12-01,85.4
2016-12-02,87.75
2016-12-05,87.9
2016-12-06,86.35
2016-12-07,86.75
2016-12-08,89.65
2016-12-09,88.95
2016-12-12,87.75
2016-12-13,99.95
2016-12-14,96.05
2016-12-15,94.55
2016-12-16,92.5
2016-12-19,92.4
2016-12-20,93.15
2016-12-21,91.85
2016-12-22,88.95
2016-12-23,90.55
2016-12-26,88.05
2016-12-27,89.45
2016-12-28,91.4
2016-12-29,91.55
2016-12-30,92.0
