Date,ASAL
2016-01-01,46.5
2016-01-04,43.95
2016-01-05,45.3
2016-01-06,45.4
2016-01-07,43.45
2016-01-08,42.25
2016-01-11,41.8
2016-01-12,42.85
2016-01-13,41.6
2016-01-14,40.25
2016-01-15,40.4
2016-01-18,38.0
2016-01-19,39.3
2016-01-20,37.15
2016-01-22,38.7
2016-01-25,39.3
2016-01-27,38.55
2016-01-28,38.0
2016-01-29,38.5
2016-02-01,39.45
2016-02-02,39.1
2016-02-03,38.5
2016-02-04,37.5
2016-02-05,37.55
2016-02-08,39.1
2016-02-09,38.1
2016-02-10,37.4
2016-02-11,36.0
2016-02-12,37.0
2016-02-15,37.35
2016-02-17,37.25
2016-02-18,35.1
2016-02-19,35.35
2016-02-22,35.85
2016-02-23,34.3
2016-02-24,35.05
2016-02-25,35.95
2016-02-26,35.0
2016-02-29,35.0
2016-03-01,35.05
2016-03-02,35.65
2016-03-03,35.0
2016-03-04,34.65
2016-03-08,33.3
2016-03-10,33.1
2016-03-11,33.5
2016-03-14,35.15
2016-03-15,33.0
2016-03-17,34.9
2016-03-18,34.5
2016-03-21,33.45
2016-03-22,33.85
2016-03-23,33.25
2016-03-28,33.1
2016-03-29,32.5
2016-03-30,34.0
2016-03-31,33.45
2016-04-04,35.9
2016-04-05,34.7
2016-04-07,36.5
2016-04-08,36.85
2016-04-11,37.0
2016-04-12,37.65
2016-04-13,38.0
2016-04-18,36.85
2016-04-20,38.4
2016-04-21,38.1
2016-04-22,37.6
2016-04-25,37.0
2016-04-26,38.05
2016-04-27,38.45
2016-04-28,38.2
2016-04-29,40.95
2016-05-02,41.3
2016-05-03,39.3
2016-05-04,40.45
2016-05-05,37.95
2016-05-06,37.95
2016-05-09,38.5
2016-05-10,37.75
2016-05-11,37.6
2016-05-16,40.2
2016-05-17,40.35
2016-05-18,42.9
2016-05-19,41.1
2016-05-20,39.65
2016-05-23,40.05
2016-05-24,40.5
2016-05-25,38.3
2016-05-26,38.0
2016-05-27,38.4
2016-05-30,38.2
2016-05-31,38.6
2016-06-01,38.9
2016-06-02,38.25
2016-06-03,38.5
2016-06-06,39.15
2016-06-07,38.4
2016-06-08,41.25
2016-06-09,46.1
2016-06-10,47.3
2016-06-13,48.25
2016-06-14,57.9
2016-06-15,55.7
2016-06-16,54.25
2016-06-17,52.3
2016-06-20,50.85
2016-06-21,51.9
2016-06-22,51.2
2016-06-23,51.05
2016-06-24,50.05
2016-06-27,50.7
2016-06-28,52.95
2016-06-29,52.45
2016-06-30,55.4
2016-07-01,54.0
2016-07-04,55.5
2016-07-05,53.8
2016-07-07,54.5
2016-07-08,54.85
2016-07-11,56.7
2016-07-12,57.5
2016-07-13,58.15
2016-07-14,58.6
2016-07-15,59.25
2016-07-18,56.9
2016-07-19,58.5
2016-07-20,57.35
2016-07-21,57.2
2016-07-22,58.4
2016-07-25,57.9
2016-07-26,55.25
2016-07-27,55.05
2016-07-28,56.85
2016-07-29,54.25
2016-08-01,53.75
2016-08-02,53.55
2016-08-03,52.05
2016-08-04,54.0
2016-08-05,53.7
2016-08-08,53.2
2016-08-09,52.3
2016-08-10,50.65
2016-08-11,53.15
2016-08-12,51.6
2016-08-16,53.4
2016-08-17,51.15
2016-08-18,51.15
2016-08-19,51.2
2016-08-22,52.05
2016-08-23,52.35
2016-08-24,52.0
2016-08-25,52.15
2016-08-26,51.15
2016-08-29,53.45
2016-08-30,54.65
2016-08-31,55.0
2016-09-01,54.0
2016-09-02,54.9
2016-09-06,54.95
2016-09-07,55.0
2016-09-08,55.05
2016-09-09,56.55
2016-09-12,56.45
2016-09-14,56.4
2016-09-15,58.3
2016-09-16,57.25
2016-09-19,60.85
2016-09-20,60.1
2016-09-21,67.3
2016-09-22,68.8
2016-09-23,66.8
2016-09-26,66.0
2016-09-27,65.55
2016-09-28,66.4
2016-09-29,59.8
2016-09-30,61.55
2016-10-03,62.55
2016-10-04,62.4
2016-10-05,63.2
2016-10-06,63.3
2016-10-07,62.5
2016-10-10,62.45
2016-10-13,60.3
2016-10-14,63.0
2016-10-17,61.65
2016-10-18,62.45
2016-10-19,62.05
2016-10-20,61.5
2016-10-21,66.45
2016-10-24,66.85
2016-10-25,66.0
2016-10-26,65.85
2016-10-27,62.65
2016-10-28,62.55
2016-10-30,61.55
2016-11-01,62.2
2016-11-02,65.7
2016-11-03,64.0
2016-11-04,61.4
2016-11-07,62.2
2016-11-08,60.25
2016-11-09,57.75
2016-11-10,60.65
2016-11-11,59.35
2016-11-15,54.2
2016-11-16,52.0
2016-11-17,51.05
2016-11-18,52.55
2016-11-21,51.65
2016-11-22,48.85
2016-11-23,50.0
2016-11-24,48.9
2016-11-25,51.45
2016-11-28,51.6
2016-11-29,54.6
2016-11-30,55.0
2016-12-01,53.1
2016-12-02,51.25
2016-12-06,52.0
2016-12-07,53.6
2016-12-08,52.75
2016-12-12,52.95
2016-12-13,52.15
2016-12-14,52.15
2016-12-15,52.0
2016-12-16,51.4
2016-12-19,50.7
2016-12-20,60.8
2016-12-21,63.7
2016-12-22,61.9
2016-12-23,57.75
2016-12-26,57.1
2016-12-27,58.95
2016-12-28,57.15
2016-12-29,56.4
2016-12-30,56.3
