Date,TBZ
2016-01-01,92.4
2016-01-04,91.95
2016-01-05,93.1
2016-01-06,91.45
2016-01-07,86.45
2016-01-08,84.95
2016-01-11,83.5
2016-01-12,82.8
2016-01-13,80.15
2016-01-14,81.55
2016-01-15,77.15
2016-01-18,73.05
2016-01-19,74.25
2016-01-20,70.6
2016-01-21,70.55
2016-01-22,70.35
2016-01-25,67.55
2016-01-27,67.25
2016-01-28,66.5
2016-01-29,66.75
2016-02-01,67.5
2016-02-02,68.15
2016-02-03,67.65
2016-02-04,66.85
2016-02-05,65.0
2016-02-08,66.7
2016-02-09,65.6
2016-02-10,62.45
2016-02-11,58.3
2016-02-12,55.95
2016-02-15,57.85
2016-02-16,55.05
2016-02-17,51.95
2016-02-18,52.2
2016-02-19,52.05
2016-02-22,52.45
2016-02-23,50.85
2016-02-24,50.95
2016-02-25,50.4
2016-02-26,48.9
2016-02-29,48.3
2016-03-01,48.5
2016-03-02,48.4
2016-03-03,51.05
2016-03-04,51.6
2016-03-08,54.8
2016-03-09,52.85
2016-03-10,53.15
2016-03-11,51.8
2016-03-14,51.65
2016-03-15,51.4
2016-03-16,50.2
2016-03-17,50.85
2016-03-18,50.45
2016-03-21,55.25
2016-03-22,57.75
2016-03-23,60.0
2016-03-28,55.4
2016-03-29,55.65
2016-03-30,57.05
2016-03-31,58.55
2016-04-01,58.45
2016-04-04,58.3
2016-04-05,57.3
2016-04-06,60.7
2016-04-07,60.55
2016-04-08,61.0
2016-04-11,61.85
2016-04-12,65.3
2016-04-13,64.4
2016-04-18,63.1
2016-04-20,68.15
2016-04-21,68.2
2016-04-22,67.7
2016-04-25,65.95
2016-04-26,68.65
2016-04-27,73.7
2016-04-28,71.95
2016-04-29,71.65
2016-05-02,70.6
2016-05-03,69.0
2016-05-04,68.05
2016-05-05,68.5
2016-05-06,69.6
2016-05-09,69.35
2016-05-10,68.25
2016-05-11,67.75
2016-05-12,66.95
2016-05-13,66.2
2016-05-16,66.65
2016-05-17,66.4
2016-05-18,66.15
2016-05-19,63.55
2016-05-20,62.2
2016-05-23,61.5
2016-05-24,59.9
2016-05-25,60.85
2016-05-26,64.85
2016-05-27,63.35
2016-05-30,64.0
2016-05-31,65.8
2016-06-01,65.1
2016-06-02,66.55
2016-06-03,65.6
2016-06-06,65.15
2016-06-07,65.1
2016-06-08,65.35
2016-06-09,67.55
2016-06-10,66.3
2016-06-13,66.15
2016-06-14,67.15
2016-06-15,68.1
2016-06-16,69.1
2016-06-17,69.25
2016-06-20,68.75
2016-06-21,68.4
2016-06-22,67.65
2016-06-23,67.7
2016-06-24,66.6
2016-06-27,69.45
2016-06-28,73.05
2016-06-29,72.5
2016-06-30,75.55
2016-07-01,74.1
2016-07-04,74.95
2016-07-05,73.85
2016-07-07,71.9
2016-07-08,70.65
2016-07-11,72.35
2016-07-12,72.55
2016-07-13,71.0
2016-07-14,72.6
2016-07-15,70.6
2016-07-18,69.55
2016-07-19,69.4
2016-07-20,70.5
2016-07-21,69.8
2016-07-22,71.45
2016-07-25,71.65
2016-07-26,70.1
2016-07-27,72.45
2016-07-28,72.85
2016-07-29,71.3
2016-08-01,71.35
2016-08-02,71.0
2016-08-03,70.85
2016-08-04,68.35
2016-08-05,69.2
2016-08-08,67.25
2016-08-09,68.95
2016-08-10,67.05
2016-08-11,68.2
2016-08-12,67.1
2016-08-16,66.85
2016-08-17,66.8
2016-08-18,66.9
2016-08-19,68.2
2016-08-22,69.35
2016-08-23,69.25
2016-08-24,68.3
2016-08-25,68.15
2016-08-26,67.4
2016-08-29,66.85
2016-08-30,67.35
2016-08-31,67.35
2016-09-01,69.95
2016-09-02,68.1
2016-09-06,67.75
2016-09-07,66.95
2016-09-08,67.2
2016-09-09,66.8
2016-09-12,65.15
2016-09-14,69.65
2016-09-15,70.85
2016-09-16,67.85
2016-09-19,68.15
2016-09-20,68.65
2016-09-21,69.95
2016-09-22,70.05
2016-09-23,72.5
2016-09-26,71.8
2016-09-27,70.25
2016-09-28,69.9
2016-09-29,65.9
2016-09-30,66.2
2016-10-03,68.05
2016-10-04,68.35
2016-10-05,71.15
2016-10-06,71.6
2016-10-07,76.2
2016-10-10,86.95
2016-10-13,87.8
2016-10-14,87.6
2016-10-17,83.55
2016-10-18,84.75
2016-10-19,82.85
2016-10-20,86.05
2016-10-21,84.1
2016-10-24,86.8
2016-10-25,85.5
2016-10-26,85.2
2016-10-27,87.05
2016-10-28,90.5
2016-10-30,89.1
2016-11-01,86.5
2016-11-02,82.45
2016-11-03,81.45
2016-11-04,78.45
2016-11-07,79.2
2016-11-08,79.05
2016-11-09,68.2
2016-11-10,73.25
2016-11-11,68.55
2016-11-15,63.55
2016-11-16,61.7
2016-11-17,63.65
2016-11-18,60.7
2016-11-21,57.7
2016-11-22,59.3
2016-11-23,60.1
2016-11-24,60.2
2016-11-25,61.25
2016-11-28,61.3
2016-11-29,62.45
2016-11-30,62.95
2016-12-01,66.25
2016-12-02,63.05
2016-12-05,64.4
2016-12-06,63.1
2016-12-07,62.25
2016-12-08,62.55
2016-12-09,62.4
2016-12-12,60.9
2016-12-13,61.05
2016-12-14,60.7
2016-12-15,62.7
2016-12-16,63.0
2016-12-19,60.8
2016-12-20,59.6
2016-12-21,62.95
2016-12-22,59.8
2016-12-23,58.4
2016-12-26,57.15
2016-12-27,57.85
2016-12-28,57.6
2016-12-29,58.35
2016-12-30,59.35
