Date,BHAGERIA
2016-03-02,104.25
2016-03-03,107.1
2016-03-04,110.8
2016-03-08,108.0
2016-03-09,106.3
2016-03-10,108.25
2016-03-11,108.65
2016-03-14,108.5
2016-03-15,110.9
2016-03-16,110.0
2016-03-17,111.0
2016-03-18,110.3
2016-03-21,116.75
2016-03-22,123.0
2016-03-23,126.9
2016-03-28,123.15
2016-03-29,125.0
2016-03-30,130.65
2016-03-31,139.85
2016-04-01,142.8
2016-04-04,141.95
2016-04-05,160.55
2016-04-06,180.75
2016-04-07,173.5
2016-04-08,167.6
2016-04-11,172.5
2016-04-12,167.65
2016-04-13,161.25
2016-04-18,157.7
2016-04-20,149.1
2016-04-21,155.0
2016-04-22,167.45
2016-04-25,164.75
2016-04-26,162.95
2016-04-27,161.65
2016-04-28,163.05
2016-04-29,163.9
2016-05-02,170.6
2016-05-03,164.25
2016-05-04,166.0
2016-05-05,162.1
2016-05-06,161.7
2016-05-09,154.0
2016-05-10,159.25
2016-05-11,154.8
2016-05-12,155.65
2016-05-13,152.85
2016-05-16,154.0
2016-05-17,153.0
2016-05-18,152.95
2016-05-19,152.7
2016-05-20,150.5
2016-05-23,151.45
2016-05-24,153.55
2016-05-25,152.0
2016-05-26,151.7
2016-05-27,150.05
2016-05-30,149.65
2016-05-31,148.35
2016-06-01,149.3
2016-06-02,149.0
2016-06-03,153.9
2016-06-06,159.05
2016-06-07,157.5
2016-06-08,156.3
2016-06-09,156.8
2016-06-10,154.2
2016-06-13,153.15
2016-06-14,181.15
2016-06-15,201.15
2016-06-16,196.45
2016-06-17,190.25
2016-06-20,195.45
2016-06-21,193.75
2016-06-22,190.05
2016-06-23,186.9
2016-06-24,181.45
2016-06-27,194.3
2016-06-28,208.7
2016-06-29,210.4
2016-06-30,213.3
2016-07-01,214.6
2016-07-04,242.15
2016-07-05,241.95
2016-07-07,242.1
2016-07-08,235.85
2016-07-11,232.2
2016-07-12,225.25
2016-07-13,220.55
2016-07-14,223.9
2016-07-15,220.55
2016-07-18,216.05
2016-07-19,219.6
2016-07-20,226.15
2016-07-21,218.55
2016-07-22,223.7
2016-07-25,225.0
2016-07-26,213.8
2016-07-27,216.45
2016-07-28,219.45
2016-07-29,224.9
2016-08-01,223.7
2016-08-02,228.35
2016-08-03,239.1
2016-08-04,245.0
2016-08-05,243.65
2016-08-08,247.45
2016-08-09,247.35
2016-08-10,243.95
2016-08-11,246.2
2016-08-12,249.8
2016-08-16,268.7
2016-08-17,321.35
2016-08-18,347.05
2016-08-19,339.0
2016-08-22,350.8
2016-08-23,344.65
2016-08-24,348.0
2016-08-25,339.6
2016-08-26,338.65
2016-08-29,334.6
2016-08-30,336.75
2016-08-31,336.7
2016-09-01,344.6
2016-09-02,358.3
2016-09-06,363.15
2016-09-07,353.35
2016-09-08,372.15
2016-09-09,376.05
2016-09-12,362.35
2016-09-14,434.8
2016-09-15,456.55
2016-09-16,449.45
2016-09-19,464.7
2016-09-20,508.9
2016-09-21,515.05
2016-09-22,520.6
2016-09-23,514.25
2016-09-26,514.75
2016-09-27,526.65
2016-09-28,531.8
2016-09-29,480.75
2016-09-30,528.8
2016-10-03,581.65
2016-10-04,637.6
2016-10-05,677.55
2016-10-06,643.7
2016-10-07,611.55
2016-10-10,595.2
2016-10-13,565.45
2016-10-14,593.7
2016-10-17,615.05
2016-10-18,608.15
2016-10-19,604.55
2016-10-20,615.15
2016-10-21,644.55
2016-10-24,676.75
2016-10-25,710.55
2016-10-26,373.05
2016-10-27,391.7
2016-10-28,411.25
2016-10-30,431.3
2016-11-01,418.95
2016-11-02,398.05
2016-11-03,380.3
2016-11-04,371.7
2016-11-07,390.25
2016-11-08,409.3
2016-11-09,405.0
2016-11-10,405.95
2016-11-11,386.0
2016-11-15,366.7
2016-11-16,348.4
2016-11-17,331.0
2016-11-18,318.2
2016-11-21,302.3
2016-11-22,287.2
2016-11-23,301.55
2016-11-24,316.4
2016-11-25,332.2
2016-11-28,348.8
2016-11-29,365.85
2016-11-30,381.5
2016-12-01,383.75
2016-12-02,364.65
2016-12-05,367.45
2016-12-06,361.55
2016-12-07,353.0
2016-12-08,354.4
2016-12-09,372.1
2016-12-12,375.55
2016-12-13,373.95
2016-12-14,375.8
2016-12-15,381.35
2016-12-16,372.35
2016-12-19,365.7
2016-12-20,356.4
2016-12-21,356.2
2016-12-22,339.8
2016-12-23,355.2
2016-12-26,342.9
2016-12-27,336.7
2016-12-28,342.15
2016-12-29,343.55
2016-12-30,344.7
