Date,VIKASECO
2016-01-01,20.3
2016-01-04,20.35
2016-01-05,21.0
2016-01-06,20.5
2016-01-07,20.3
2016-01-08,20.5
2016-01-11,20.8
2016-01-12,20.5
2016-01-13,18.85
2016-01-14,18.95
2016-01-15,18.05
2016-01-18,17.45
2016-01-19,17.5
2016-01-20,17.05
2016-01-21,17.05
2016-01-22,17.85
2016-01-25,18.1
2016-01-27,19.2
2016-01-28,19.0
2016-01-29,19.8
2016-02-01,20.0
2016-02-02,20.0
2016-02-03,19.9
2016-02-04,20.05
2016-02-05,21.65
2016-02-08,21.55
2016-02-09,21.2
2016-02-10,21.4
2016-02-11,19.8
2016-02-12,15.85
2016-02-15,16.15
2016-02-16,16.85
2016-02-17,15.8
2016-02-18,15.9
2016-02-19,13.0
2016-02-22,12.95
2016-02-23,12.5
2016-02-24,12.4
2016-02-25,13.05
2016-02-26,13.3
2016-02-29,13.1
2016-03-01,13.9
2016-03-02,14.5
2016-03-03,14.95
2016-03-04,14.95
2016-03-08,15.05
2016-03-09,15.25
2016-03-10,15.1
2016-03-11,14.95
2016-03-14,15.0
2016-03-15,14.8
2016-03-16,14.85
2016-03-17,14.75
2016-03-18,14.7
2016-03-21,14.95
2016-03-22,14.95
2016-03-23,15.1
2016-03-28,14.8
2016-03-29,13.45
2016-03-30,14.45
2016-03-31,15.5
2016-04-01,17.05
2016-04-04,18.45
2016-04-05,17.95
2016-04-06,18.95
2016-04-07,18.2
2016-04-08,19.65
2016-04-11,20.0
2016-04-12,20.1
2016-04-13,19.95
2016-04-18,19.55
2016-04-20,19.4
2016-04-21,19.35
2016-04-22,19.5
2016-04-25,19.25
2016-04-26,19.0
2016-04-27,18.6
2016-04-28,19.0
2016-04-29,18.2
2016-05-02,18.9
2016-05-03,18.0
2016-05-04,17.45
2016-05-05,17.4
2016-05-06,18.55
2016-05-09,18.7
2016-05-10,19.35
2016-05-11,19.2
2016-05-12,18.75
2016-05-13,18.9
2016-05-16,18.5
2016-05-17,18.8
2016-05-18,18.2
2016-05-19,18.0
2016-05-20,18.05
2016-05-23,17.95
2016-05-24,18.5
2016-05-25,17.55
2016-05-26,17.45
2016-05-27,17.4
2016-05-30,13.95
2016-05-31,11.2
2016-06-01,12.3
2016-06-02,13.5
2016-06-03,14.2
2016-06-06,14.3
2016-06-07,14.35
2016-06-08,14.15
2016-06-09,13.85
2016-06-10,13.7
2016-06-13,13.05
2016-06-14,13.6
2016-06-15,13.6
2016-06-16,13.5
2016-06-17,13.15
2016-06-20,13.15
2016-06-21,13.05
2016-06-22,12.85
2016-06-23,12.7
2016-06-24,12.1
2016-06-27,12.25
2016-06-28,12.45
2016-06-29,13.05
2016-06-30,13.7
2016-07-01,14.1
2016-07-04,13.9
2016-07-05,13.4
2016-07-07,13.8
2016-07-08,13.3
2016-07-11,13.5
2016-07-12,13.75
2016-07-13,13.25
2016-07-14,13.9
2016-07-15,13.45
2016-07-18,13.9
2016-07-19,13.6
2016-07-20,14.9
2016-07-21,15.55
2016-07-22,15.95
2016-07-25,16.25
2016-07-26,15.35
2016-07-27,14.85
2016-07-28,15.05
2016-07-29,14.8
2016-08-01,14.5
2016-08-02,14.55
2016-08-03,14.7
2016-08-04,14.7
2016-08-05,15.1
2016-08-08,14.9
2016-08-09,14.75
2016-08-10,12.45
2016-08-11,12.95
2016-08-12,12.85
2016-08-16,13.05
2016-08-17,12.75
2016-08-18,12.45
2016-08-19,12.45
2016-08-22,12.45
2016-08-23,12.0
2016-08-24,11.9
2016-08-25,12.25
2016-08-26,12.75
2016-08-29,15.1
2016-08-30,14.4
2016-08-31,14.65
2016-09-01,13.75
2016-09-02,13.35
2016-09-06,13.4
2016-09-07,12.85
2016-09-08,12.85
2016-09-09,12.6
2016-09-12,12.35
2016-09-14,12.65
2016-09-15,12.7
2016-09-16,14.55
2016-09-19,13.95
2016-09-20,14.35
2016-09-21,14.7
2016-09-22,14.7
2016-09-23,14.15
2016-09-26,14.25
2016-09-27,14.2
2016-09-28,14.0
2016-09-29,12.8
2016-09-30,13.3
2016-10-03,14.45
2016-10-04,14.55
2016-10-05,15.6
2016-10-06,16.1
2016-10-07,16.45
2016-10-10,16.3
2016-10-13,15.75
2016-10-14,15.5
2016-10-17,16.45
2016-10-18,16.6
2016-10-19,16.25
2016-10-20,16.2
2016-10-21,17.15
2016-10-24,19.4
2016-10-25,20.9
2016-10-26,20.9
2016-10-27,20.2
2016-10-28,19.65
2016-10-30,19.9
2016-11-01,19.2
2016-11-02,18.4
2016-11-03,18.9
2016-11-04,17.9
2016-11-07,18.8
2016-11-08,18.7
2016-11-09,18.9
2016-11-10,18.1
2016-11-11,17.4
2016-11-15,16.0
2016-11-16,15.8
2016-11-17,15.3
2016-11-18,15.3
2016-11-21,15.2
2016-11-22,15.3
2016-11-23,15.95
2016-11-24,16.75
2016-11-25,17.1
2016-11-28,17.5
2016-11-29,17.9
2016-11-30,18.5
2016-12-01,18.0
2016-12-02,17.7
2016-12-05,17.6
2016-12-06,17.5
2016-12-07,17.1
2016-12-08,17.25
2016-12-09,17.4
2016-12-12,17.1
2016-12-13,17.25
2016-12-14,17.5
2016-12-15,17.8
2016-12-16,17.75
2016-12-19,17.7
2016-12-20,17.95
2016-12-21,17.45
2016-12-22,16.9
2016-12-23,16.75
2016-12-26,16.5
2016-12-27,16.5
2016-12-28,16.9
2016-12-29,16.55
2016-12-30,16.45
