Date,EMKAY
2016-01-01,78.8
2016-01-04,78.35
2016-01-05,79.25
2016-01-06,78.45
2016-01-07,76.75
2016-01-08,76.2
2016-01-11,75.7
2016-01-12,77.0
2016-01-13,76.65
2016-01-14,75.95
2016-01-15,70.9
2016-01-18,65.75
2016-01-19,68.0
2016-01-20,65.0
2016-01-21,66.0
2016-01-22,64.75
2016-01-25,63.7
2016-01-27,64.2
2016-01-28,65.9
2016-01-29,63.15
2016-02-01,63.95
2016-02-02,66.05
2016-02-03,63.45
2016-02-04,61.4
2016-02-05,63.9
2016-02-08,61.15
2016-02-09,59.65
2016-02-10,58.9
2016-02-11,55.75
2016-02-12,54.0
2016-02-15,55.4
2016-02-16,52.8
2016-02-17,52.0
2016-02-18,51.55
2016-02-19,50.65
2016-02-22,52.5
2016-02-23,53.8
2016-02-24,50.9
2016-02-25,49.4
2016-02-26,47.55
2016-02-29,51.15
2016-03-01,53.2
2016-03-02,50.95
2016-03-03,53.85
2016-03-04,52.2
2016-03-08,52.45
2016-03-09,51.95
2016-03-10,52.05
2016-03-11,52.5
2016-03-14,51.25
2016-03-15,51.3
2016-03-16,53.0
2016-03-17,52.15
2016-03-18,52.95
2016-03-21,51.5
2016-03-22,55.25
2016-03-23,54.8
2016-03-28,53.4
2016-03-29,53.55
2016-03-30,52.75
2016-03-31,54.2
2016-04-01,54.0
2016-04-04,56.0
2016-04-05,55.25
2016-04-06,56.65
2016-04-07,56.4
2016-04-08,55.7
2016-04-11,55.5
2016-04-12,55.0
2016-04-13,57.75
2016-04-18,57.65
2016-04-20,57.15
2016-04-21,55.0
2016-04-22,55.5
2016-04-25,54.45
2016-04-26,54.2
2016-04-28,54.0
2016-04-29,53.35
2016-05-02,57.55
2016-05-03,55.3
2016-05-04,52.75
2016-05-05,52.8
2016-05-06,54.5
2016-05-09,53.6
2016-05-10,55.45
2016-05-11,55.0
2016-05-12,56.35
2016-05-13,55.5
2016-05-16,57.4
2016-05-17,57.55
2016-05-18,57.95
2016-05-19,57.0
2016-05-20,57.0
2016-05-23,59.0
2016-05-24,53.6
2016-05-25,55.6
2016-05-26,53.4
2016-05-27,51.6
2016-05-30,50.05
2016-05-31,51.0
2016-06-01,61.2
2016-06-02,62.75
2016-06-03,65.1
2016-06-06,64.6
2016-06-07,65.5
2016-06-08,65.0
2016-06-09,64.8
2016-06-10,63.7
2016-06-13,63.05
2016-06-14,63.35
2016-06-15,62.45
2016-06-16,61.1
2016-06-17,60.6
2016-06-20,59.7
2016-06-21,59.15
2016-06-22,58.25
2016-06-23,58.9
2016-06-24,58.2
2016-06-27,61.8
2016-06-28,59.95
2016-06-29,59.6
2016-06-30,64.7
2016-07-01,69.0
2016-07-04,67.4
2016-07-05,66.0
2016-07-07,65.45
2016-07-08,67.55
2016-07-11,68.2
2016-07-12,67.9
2016-07-13,66.4
2016-07-14,69.25
2016-07-15,67.8
2016-07-18,67.75
2016-07-19,68.5
2016-07-20,69.2
2016-07-21,69.9
2016-07-22,81.35
2016-07-25,79.4
2016-07-26,77.5
2016-07-27,76.95
2016-07-28,76.35
2016-07-29,76.85
2016-08-01,75.05
2016-08-02,74.2
2016-08-03,72.7
2016-08-04,72.95
2016-08-05,75.9
2016-08-08,78.4
2016-08-09,79.65
2016-08-10,75.25
2016-08-11,66.85
2016-08-12,65.2
2016-08-16,63.45
2016-08-17,64.1
2016-08-18,64.7
2016-08-19,65.6
2016-08-22,67.1
2016-08-23,65.75
2016-08-24,72.6
2016-08-25,71.25
2016-08-26,68.95
2016-08-29,68.15
2016-08-30,67.9
2016-08-31,67.5
2016-09-01,66.3
2016-09-02,66.9
2016-09-06,67.45
2016-09-07,66.05
2016-09-08,66.9
2016-09-09,67.2
2016-09-12,65.15
2016-09-14,66.7
2016-09-15,67.95
2016-09-16,66.0
2016-09-19,65.45
2016-09-20,64.75
2016-09-21,65.9
2016-09-22,67.0
2016-09-23,67.1
2016-09-26,65.9
2016-09-27,67.3
2016-09-28,66.6
2016-09-29,63.2
2016-09-30,66.05
2016-10-03,66.9
2016-10-04,68.4
2016-10-05,68.2
2016-10-06,67.7
2016-10-07,67.8
2016-10-10,66.55
2016-10-13,65.65
2016-10-14,66.05
2016-10-17,65.45
2016-10-18,66.65
2016-10-19,70.7
2016-10-20,70.35
2016-10-21,71.25
2016-10-24,70.15
2016-10-25,68.9
2016-10-26,68.85
2016-10-27,68.9
2016-10-28,71.3
2016-10-30,71.35
2016-11-01,73.8
2016-11-02,70.55
2016-11-03,70.7
2016-11-04,69.7
2016-11-07,72.3
2016-11-08,72.75
2016-11-09,69.6
2016-11-10,67.5
2016-11-11,63.3
2016-11-15,56.55
2016-11-16,54.5
2016-11-17,54.6
2016-11-18,53.05
2016-11-21,51.1
2016-11-22,52.75
2016-11-23,55.9
2016-11-24,54.1
2016-11-25,57.05
2016-11-28,57.95
2016-11-29,58.55
2016-11-30,58.5
2016-12-01,59.35
2016-12-02,56.65
2016-12-05,56.45
2016-12-06,57.5
2016-12-07,57.5
2016-12-08,59.15
2016-12-09,58.5
2016-12-12,57.5
2016-12-13,57.85
2016-12-14,57.45
2016-12-15,57.8
2016-12-16,59.1
2016-12-19,59.0
2016-12-20,57.55
2016-12-21,59.4
2016-12-22,59.3
2016-12-23,57.9
2016-12-26,56.05
2016-12-27,55.6
2016-12-28,56.1
2016-12-29,56.95
2016-12-30,56.6
