Date,GUJGASLTD
2016-01-01,628.7
2016-01-04,618.55
2016-01-05,655.1
2016-01-06,641.35
2016-01-07,636.2
2016-01-08,644.15
2016-01-11,643.55
2016-01-12,634.1
2016-01-13,607.6
2016-01-14,592.6
2016-01-15,562.05
2016-01-18,531.2
2016-01-19,542.05
2016-01-20,535.9
2016-01-21,540.7
2016-01-22,552.6
2016-01-25,566.15
2016-01-27,588.35
2016-01-28,575.25
2016-01-29,572.3
2016-02-01,551.95
2016-02-02,540.9
2016-02-03,508.65
2016-02-04,530.4
2016-02-05,539.6
2016-02-08,544.3
2016-02-09,533.15
2016-02-10,533.55
2016-02-11,507.95
2016-02-12,497.0
2016-02-15,521.6
2016-02-16,510.9
2016-02-17,525.0
2016-02-18,536.5
2016-02-19,532.8
2016-02-22,528.1
2016-02-23,529.9
2016-02-24,518.5
2016-02-25,500.1
2016-02-26,491.8
2016-02-29,481.15
2016-03-01,493.1
2016-03-02,489.45
2016-03-03,498.2
2016-03-04,500.65
2016-03-08,506.15
2016-03-09,504.5
2016-03-10,507.0
2016-03-11,508.7
2016-03-14,501.25
2016-03-15,500.55
2016-03-16,502.95
2016-03-17,526.1
2016-03-18,520.2
2016-03-21,527.7
2016-03-22,544.9
2016-03-23,528.1
2016-03-28,523.25
2016-03-29,534.85
2016-03-30,534.25
2016-03-31,552.55
2016-04-01,540.35
2016-04-04,539.95
2016-04-05,538.75
2016-04-06,540.25
2016-04-07,533.15
2016-04-08,534.4
2016-04-11,535.4
2016-04-12,540.55
2016-04-13,550.0
2016-04-18,549.55
2016-04-20,542.3
2016-04-21,537.95
2016-04-22,533.85
2016-04-25,528.4
2016-04-26,524.15
2016-04-27,534.9
2016-04-28,535.2
2016-04-29,535.8
2016-05-02,537.05
2016-05-03,538.5
2016-05-04,539.6
2016-05-05,540.05
2016-05-06,523.8
2016-05-09,518.05
2016-05-10,519.6
2016-05-11,519.75
2016-05-12,523.45
2016-05-13,519.9
2016-05-16,520.9
2016-05-17,518.0
2016-05-18,519.45
2016-05-19,509.5
2016-05-20,501.55
2016-05-23,495.05
2016-05-24,504.95
2016-05-25,502.5
2016-05-26,510.0
2016-05-27,515.2
2016-05-30,515.1
2016-05-31,521.25
2016-06-01,517.05
2016-06-02,513.75
2016-06-03,527.9
2016-06-06,537.9
2016-06-07,524.25
2016-06-08,520.05
2016-06-09,516.8
2016-06-10,518.2
2016-06-13,510.95
2016-06-14,517.05
2016-06-15,517.3
2016-06-16,515.5
2016-06-17,517.45
2016-06-20,519.65
2016-06-21,520.25
2016-06-22,521.6
2016-06-23,524.2
2016-06-24,517.7
2016-06-27,524.4
2016-06-28,556.9
2016-06-29,552.85
2016-06-30,557.65
2016-07-01,548.0
2016-07-04,548.95
2016-07-05,536.05
2016-07-07,543.8
2016-07-08,561.5
2016-07-11,559.95
2016-07-12,560.2
2016-07-13,559.25
2016-07-14,557.8
2016-07-15,551.1
2016-07-18,551.0
2016-07-19,550.7
2016-07-20,553.3
2016-07-21,558.05
2016-07-22,560.5
2016-07-25,554.8
2016-07-26,551.5
2016-07-27,554.8
2016-07-28,574.5
2016-07-29,591.8
2016-08-01,585.85
2016-08-02,631.25
2016-08-03,609.75
2016-08-04,611.0
2016-08-05,624.5
2016-08-08,631.3
2016-08-09,623.1
2016-08-10,616.7
2016-08-11,622.75
2016-08-12,618.5
2016-08-16,621.45
2016-08-17,640.7
2016-08-18,653.9
2016-08-19,677.45
2016-08-22,660.2
2016-08-23,660.35
2016-08-24,652.95
2016-08-25,642.9
2016-08-26,628.65
2016-08-29,635.3
2016-08-30,630.2
2016-08-31,637.85
2016-09-01,630.1
2016-09-02,641.3
2016-09-06,637.65
2016-09-07,627.4
2016-09-08,629.7
2016-09-09,628.85
2016-09-12,620.4
2016-09-14,614.85
2016-09-15,608.95
2016-09-16,636.65
2016-09-19,618.05
2016-09-20,621.65
2016-09-21,621.6
2016-09-22,624.5
2016-09-23,607.35
2016-09-26,605.5
2016-09-27,618.75
2016-09-28,605.0
2016-09-29,584.8
2016-09-30,574.35
2016-10-03,578.25
2016-10-04,579.1
2016-10-05,580.45
2016-10-06,594.0
2016-10-07,590.2
2016-10-10,580.55
2016-10-13,572.95
2016-10-14,573.9
2016-10-17,580.1
2016-10-18,591.75
2016-10-19,590.1
2016-10-20,585.25
2016-10-21,581.45
2016-10-24,580.2
2016-10-25,578.2
2016-10-26,585.05
2016-10-27,574.75
2016-10-28,573.0
2016-10-30,578.4
2016-11-01,575.0
2016-11-02,557.85
2016-11-03,553.05
2016-11-04,550.35
2016-11-07,556.5
2016-11-08,554.15
2016-11-09,558.1
2016-11-10,557.05
2016-11-11,550.85
2016-11-15,528.4
2016-11-16,524.4
2016-11-17,520.85
2016-11-18,526.05
2016-11-21,534.4
2016-11-22,519.9
2016-11-23,526.15
2016-11-24,529.55
2016-11-25,531.45
2016-11-28,529.2
2016-11-29,539.0
2016-11-30,546.35
2016-12-01,540.05
2016-12-02,535.0
2016-12-05,537.75
2016-12-06,538.2
2016-12-07,536.2
2016-12-08,543.15
2016-12-09,553.0
2016-12-12,551.2
2016-12-13,544.65
2016-12-14,547.45
2016-12-15,542.55
2016-12-16,552.95
2016-12-19,547.95
2016-12-20,540.15
2016-12-21,539.45
2016-12-22,526.5
2016-12-23,516.8
2016-12-26,510.5
2016-12-27,518.1
2016-12-28,517.9
2016-12-29,519.6
2016-12-30,523.05
