Date,QUICKHEAL
2016-02-18,253.85
2016-02-19,259.2
2016-02-22,251.6
2016-02-23,218.6
2016-02-24,211.95
2016-02-25,212.65
2016-02-26,196.95
2016-02-29,187.2
2016-03-01,195.5
2016-03-02,197.25
2016-03-03,236.7
2016-03-04,238.9
2016-03-08,250.65
2016-03-09,238.7
2016-03-10,238.15
2016-03-11,242.1
2016-03-14,238.5
2016-03-15,234.95
2016-03-16,231.2
2016-03-17,235.55
2016-03-18,219.7
2016-03-21,211.6
2016-03-22,218.9
2016-03-23,225.15
2016-03-28,217.15
2016-03-29,214.2
2016-03-30,217.05
2016-03-31,217.7
2016-04-01,224.6
2016-04-04,225.1
2016-04-05,218.55
2016-04-06,218.35
2016-04-07,216.75
2016-04-08,215.4
2016-04-11,225.7
2016-04-12,223.0
2016-04-13,221.65
2016-04-18,239.65
2016-04-20,246.05
2016-04-21,242.9
2016-04-22,250.9
2016-04-25,262.95
2016-04-26,274.75
2016-04-27,273.7
2016-04-28,264.1
2016-04-29,260.65
2016-05-02,269.15
2016-05-03,265.4
2016-05-04,262.0
2016-05-05,266.85
2016-05-06,264.9
2016-05-09,273.8
2016-05-10,272.55
2016-05-11,268.15
2016-05-12,256.3
2016-05-13,243.65
2016-05-16,248.65
2016-05-17,256.65
2016-05-18,257.5
2016-05-19,248.1
2016-05-20,241.45
2016-05-23,223.85
2016-05-24,229.5
2016-05-25,228.25
2016-05-26,231.5
2016-05-27,233.1
2016-05-30,230.8
2016-05-31,228.75
2016-06-01,236.25
2016-06-02,232.75
2016-06-03,239.0
2016-06-06,244.0
2016-06-07,241.9
2016-06-08,246.1
2016-06-09,242.75
2016-06-10,246.0
2016-06-13,252.55
2016-06-14,255.3
2016-06-15,261.45
2016-06-16,265.7
2016-06-17,274.0
2016-06-20,268.15
2016-06-21,267.25
2016-06-22,262.0
2016-06-23,257.8
2016-06-24,262.85
2016-06-27,263.25
2016-06-28,261.2
2016-06-29,263.65
2016-06-30,270.1
2016-07-01,268.15
2016-07-04,268.7
2016-07-05,281.4
2016-07-07,292.6
2016-07-08,287.75
2016-07-11,287.35
2016-07-12,281.25
2016-07-13,278.35
2016-07-14,280.75
2016-07-15,274.25
2016-07-18,252.25
2016-07-19,258.3
2016-07-20,262.25
2016-07-21,259.05
2016-07-22,263.25
2016-07-25,272.65
2016-07-26,263.5
2016-07-27,271.3
2016-07-28,280.15
2016-07-29,274.85
2016-08-01,267.2
2016-08-02,266.85
2016-08-03,260.5
2016-08-04,266.25
2016-08-05,270.65
2016-08-08,251.8
2016-08-09,250.1
2016-08-10,245.15
2016-08-11,240.6
2016-08-12,240.8
2016-08-16,243.3
2016-08-17,238.6
2016-08-18,239.7
2016-08-19,244.45
2016-08-22,241.35
2016-08-23,240.25
2016-08-24,239.95
2016-08-25,236.55
2016-08-26,234.95
2016-08-29,235.05
2016-08-30,241.9
2016-08-31,241.7
2016-09-01,238.05
2016-09-02,237.25
2016-09-06,236.9
2016-09-07,239.35
2016-09-08,235.9
2016-09-09,229.85
2016-09-12,224.6
2016-09-14,225.5
2016-09-15,225.1
2016-09-16,226.65
2016-09-19,225.3
2016-09-20,222.7
2016-09-21,221.55
2016-09-22,232.35
2016-09-23,231.0
2016-09-26,230.95
2016-09-27,228.6
2016-09-28,229.7
2016-09-29,217.1
2016-09-30,218.95
2016-10-03,228.55
2016-10-04,231.45
2016-10-05,231.25
2016-10-06,240.65
2016-10-07,238.15
2016-10-10,234.25
2016-10-13,228.95
2016-10-14,231.9
2016-10-17,234.35
2016-10-18,253.7
2016-10-19,246.0
2016-10-20,246.1
2016-10-21,256.85
2016-10-24,256.9
2016-10-25,253.4
2016-10-26,250.65
2016-10-27,254.15
2016-10-28,253.3
2016-10-30,258.8
2016-11-01,255.55
2016-11-02,247.15
2016-11-03,241.6
2016-11-04,232.95
2016-11-07,238.75
2016-11-08,236.35
2016-11-09,227.7
2016-11-10,237.4
2016-11-11,229.85
2016-11-15,237.3
2016-11-16,234.15
2016-11-17,231.65
2016-11-18,233.2
2016-11-21,223.45
2016-11-22,226.05
2016-11-23,232.3
2016-11-24,231.25
2016-11-25,235.75
2016-11-28,234.9
2016-11-29,232.45
2016-11-30,235.55
2016-12-01,227.7
2016-12-02,226.35
2016-12-05,228.8
2016-12-06,244.45
2016-12-07,246.0
2016-12-08,284.8
2016-12-09,274.25
2016-12-12,284.05
2016-12-13,273.8
2016-12-14,273.75
2016-12-15,275.75
2016-12-16,273.15
2016-12-19,273.0
2016-12-20,263.65
2016-12-21,262.65
2016-12-22,254.35
2016-12-23,252.5
2016-12-26,243.65
2016-12-27,247.6
2016-12-28,251.1
2016-12-29,249.85
2016-12-30,250.9
