Date,MANGALAM
2016-01-01,204.65
2016-01-04,214.85
2016-01-05,225.55
2016-01-06,236.8
2016-01-07,248.6
2016-01-08,261.0
2016-01-11,274.05
2016-01-12,287.75
2016-01-13,293.55
2016-01-14,296.55
2016-01-15,281.75
2016-01-18,267.7
2016-01-19,254.35
2016-01-20,241.65
2016-01-21,229.6
2016-01-22,241.05
2016-01-25,253.1
2016-01-27,250.6
2016-01-28,239.25
2016-01-29,251.2
2016-02-01,243.2
2016-02-02,239.1
2016-02-03,227.25
2016-02-04,216.3
2016-02-05,211.85
2016-02-08,211.5
2016-02-09,198.85
2016-02-10,179.35
2016-02-11,161.45
2016-02-12,153.4
2016-02-15,161.05
2016-02-16,162.5
2016-02-17,156.0
2016-02-18,148.3
2016-02-19,141.85
2016-02-22,148.9
2016-02-23,156.3
2016-02-24,154.35
2016-02-25,162.05
2016-02-26,170.15
2016-02-29,178.65
2016-03-01,187.55
2016-03-02,196.9
2016-03-03,206.7
2016-03-04,217.0
2016-03-08,227.85
2016-03-09,239.2
2016-03-10,251.15
2016-03-11,263.7
2016-03-14,276.85
2016-03-15,289.9
2016-03-16,275.45
2016-03-17,261.7
2016-03-18,248.65
2016-03-21,236.25
2016-03-22,248.05
2016-03-23,260.45
2016-03-28,264.4
2016-03-29,256.05
2016-03-30,254.25
2016-03-31,253.3
2016-04-01,246.25
2016-04-04,234.0
2016-05-10,225.35
2016-05-11,214.1
2016-05-12,218.75
2016-05-13,216.75
2016-05-16,223.4
2016-05-17,212.25
2016-05-18,201.65
2016-05-19,193.6
2016-05-20,183.95
2016-05-23,174.8
2016-05-24,166.1
2016-05-25,174.4
2016-05-26,183.1
2016-05-27,192.25
2016-05-30,184.5
2016-05-31,193.7
2016-06-01,202.6
2016-06-02,197.7
2016-06-03,189.0
2016-06-06,179.55
2016-06-07,178.3
2016-06-08,179.95
2016-06-09,180.05
2016-06-10,171.2
2016-06-13,170.35
2016-06-14,164.9
2016-06-15,161.65
2016-06-16,155.15
2016-06-17,147.4
2016-06-20,140.15
2016-06-21,147.15
2016-06-22,154.5
2016-06-23,154.1
2016-06-24,150.15
2016-06-27,156.8
2016-06-28,150.4
2016-06-29,150.5
2016-06-30,153.55
2016-07-01,151.7
2016-07-04,151.35
2016-07-05,153.45
2016-07-07,150.4
2016-07-08,150.1
2016-07-11,150.85
2016-07-12,147.15
2016-07-13,150.2
2016-07-14,165.2
2016-07-15,181.7
2016-07-18,182.5
2016-07-19,176.3
2016-07-20,174.25
2016-07-21,167.8
2016-07-22,164.4
2016-07-25,180.8
2016-07-26,176.6
2016-07-27,180.25
2016-07-28,178.75
2016-07-29,184.35
2016-08-01,170.15
2016-08-02,163.25
2016-08-03,164.6
2016-08-04,165.25
2016-08-05,182.75
2016-08-08,176.3
2016-08-09,170.5
2016-08-10,167.5
2016-08-11,166.05
2016-08-12,163.0
2016-08-16,161.05
2016-08-17,166.05
2016-08-18,164.85
2016-08-19,164.0
2016-08-22,162.75
2016-08-23,160.95
2016-08-24,168.15
2016-08-25,172.6
2016-08-26,167.65
2016-08-29,165.65
2016-08-30,168.95
2016-08-31,166.9
2016-09-01,165.1
2016-09-02,165.45
2016-09-06,164.6
2016-09-07,163.35
2016-09-08,163.2
2016-09-09,163.4
2016-09-12,160.55
2016-09-14,158.4
2016-09-15,160.7
2016-09-16,158.65
2016-09-19,158.85
2016-09-20,162.25
2016-09-21,171.9
2016-09-22,168.25
2016-09-23,167.95
2016-09-26,165.95
2016-09-27,164.9
2016-09-28,165.7
2016-09-29,152.35
2016-09-30,159.2
2016-10-03,164.3
2016-10-04,164.7
2016-10-05,162.7
2016-10-06,170.6
2016-10-07,167.1
2016-10-10,166.7
2016-10-13,163.3
2016-10-14,163.2
2016-10-17,160.95
2016-10-18,162.05
2016-10-19,161.9
2016-10-20,164.9
2016-10-21,162.55
2016-10-24,161.3
2016-10-25,160.9
2016-10-26,158.45
2016-10-27,156.95
2016-10-28,156.8
2016-10-30,157.5
2016-11-01,166.15
2016-11-02,158.3
2016-11-03,155.85
2016-11-04,151.4
2016-11-07,156.9
2016-11-08,153.1
2016-11-09,146.85
2016-11-10,162.05
2016-11-11,155.45
2016-11-15,134.45
2016-11-16,136.15
2016-11-17,140.1
2016-11-18,138.65
2016-11-21,129.9
2016-11-22,124.9
2016-11-23,132.4
2016-11-24,135.3
2016-11-25,143.55
2016-11-28,149.9
2016-11-29,150.2
2016-11-30,151.0
2016-12-01,146.3
2016-12-02,142.05
2016-12-05,141.1
2016-12-06,138.6
2016-12-07,136.95
2016-12-08,139.05
2016-12-09,140.3
2016-12-12,139.65
2016-12-13,140.7
2016-12-14,138.4
2016-12-15,139.95
2016-12-16,138.0
2016-12-19,137.35
2016-12-20,135.55
2016-12-21,134.3
2016-12-22,130.95
2016-12-23,131.8
2016-12-26,128.05
2016-12-27,129.95
2016-12-28,130.05
2016-12-29,132.35
2016-12-30,133.1
