Date,SDBL
2016-01-01,196.2
2016-01-04,192.4
2016-01-05,197.3
2016-01-06,195.0
2016-01-07,192.7
2016-01-08,193.1
2016-01-11,196.0
2016-01-12,193.3
2016-01-13,188.05
2016-01-14,192.0
2016-01-15,184.0
2016-01-18,191.2
2016-01-19,195.75
2016-01-20,186.3
2016-01-21,196.95
2016-01-22,195.25
2016-01-25,196.95
2016-01-27,193.0
2016-01-28,199.0
2016-01-29,195.55
2016-02-01,193.85
2016-02-02,190.0
2016-02-03,186.9
2016-02-04,194.3
2016-02-05,190.1
2016-02-08,190.95
2016-02-09,191.65
2016-02-10,188.4
2016-02-11,186.0
2016-02-12,189.6
2016-02-15,188.4
2016-02-16,191.0
2016-02-17,191.8
2016-02-18,186.5
2016-02-19,187.45
2016-02-22,182.75
2016-02-23,182.7
2016-02-24,184.5
2016-02-25,184.0
2016-02-26,186.9
2016-02-29,187.85
2016-03-01,184.45
2016-03-02,184.35
2016-03-03,183.35
2016-03-04,182.55
2016-03-08,182.6
2016-03-09,182.95
2016-03-10,181.5
2016-03-11,185.0
2016-03-14,180.6
2016-03-15,181.3
2016-03-16,182.05
2016-03-17,181.7
2016-03-18,181.0
2016-03-21,179.75
2016-03-22,179.15
2016-03-23,178.45
2016-03-28,178.1
2016-03-29,179.75
2016-03-30,178.8
2016-03-31,184.9
2016-04-01,182.25
2016-04-04,177.8
2016-04-05,180.25
2016-04-06,180.5
2016-04-07,184.5
2016-04-08,177.25
2016-04-11,180.85
2016-04-12,180.2
2016-04-13,179.85
2016-04-18,179.9
2016-04-20,179.75
2016-04-21,177.95
2016-04-22,179.25
2016-04-25,176.25
2016-04-26,180.65
2016-04-27,179.55
2016-04-28,179.1
2016-04-29,180.95
2016-05-02,176.1
2016-05-03,176.7
2016-05-04,171.05
2016-05-05,172.2
2016-05-06,172.2
2016-05-09,174.9
2016-05-10,172.25
2016-05-11,174.0
2016-05-12,166.15
2016-05-13,165.7
2016-05-16,166.1
2016-05-17,166.8
2016-05-18,164.9
2016-05-19,164.65
2016-05-20,165.0
2016-05-23,163.4
2016-05-24,162.25
2016-05-25,162.9
2016-05-26,164.45
2016-05-27,170.05
2016-05-30,165.95
2016-05-31,161.65
2016-06-01,162.2
2016-06-02,161.95
2016-06-03,160.8
2016-06-06,162.9
2016-06-07,157.95
2016-06-08,162.2
2016-06-09,161.6
2016-06-10,162.3
2016-06-13,161.0
2016-06-14,165.4
2016-06-15,158.7
2016-06-16,156.5
2016-06-17,161.0
2016-06-20,167.65
2016-06-21,164.05
2016-06-22,170.6
2016-06-23,165.25
2016-06-24,167.1
2016-06-27,162.3
2016-06-28,164.7
2016-06-29,162.7
2016-06-30,163.1
2016-07-01,162.45
2016-07-04,161.9
2016-07-05,157.55
2016-07-07,162.95
2016-07-08,166.6
2016-07-11,166.4
2016-07-12,163.8
2016-07-13,165.35
2016-07-14,166.9
2016-07-15,163.35
2016-07-18,161.7
2016-07-19,164.9
2016-07-20,161.25
2016-07-21,161.55
2016-07-22,161.4
2016-07-25,162.0
2016-07-26,161.5
2016-07-27,162.0
2016-07-28,160.85
2016-07-29,160.55
2016-08-01,159.65
2016-08-02,160.5
2016-08-03,160.1
2016-08-04,160.25
2016-08-05,160.15
2016-08-08,160.05
2016-08-09,159.1
2016-08-10,160.0
2016-08-11,157.2
2016-08-12,159.0
2016-08-16,159.45
2016-08-17,153.7
2016-08-18,155.7
2016-08-19,160.95
2016-08-22,161.85
2016-08-23,159.0
2016-08-24,155.65
2016-08-25,157.2
2016-08-26,161.35
2016-08-29,159.15
2016-08-30,161.0
2016-08-31,159.55
2016-09-01,160.0
2016-09-02,159.0
2016-09-06,159.0
2016-09-07,154.6
2016-09-08,158.0
2016-09-09,156.0
2016-09-12,159.35
2016-09-14,167.55
2016-09-15,189.25
2016-09-16,182.15
2016-09-19,173.1
2016-09-20,172.6
2016-09-21,171.8
2016-09-22,170.0
2016-09-23,169.55
2016-09-26,175.75
2016-09-27,207.35
2016-09-28,171.3
2016-09-29,161.65
2016-09-30,171.35
2016-10-03,168.75
2016-10-04,167.85
2016-10-05,167.35
2016-10-06,166.1
2016-10-07,164.0
2016-10-10,164.95
2016-10-13,162.8
2016-10-14,163.85
2016-10-17,159.5
2016-10-18,158.55
2016-10-19,176.25
2016-10-20,178.95
2016-10-21,170.65
2016-10-24,164.95
2016-10-25,162.4
2016-10-26,169.95
2016-10-27,167.45
2016-10-28,164.65
2016-10-30,168.0
2016-11-01,163.5
2016-11-02,162.45
2016-11-03,173.45
2016-11-04,165.0
2016-11-07,162.65
2016-11-08,157.45
2016-11-09,138.55
2016-11-10,148.2
2016-11-11,141.8
2016-11-15,124.8
2016-11-16,114.75
2016-11-17,116.65
2016-11-18,115.05
2016-11-21,113.15
2016-11-22,111.5
2016-11-23,113.55
2016-11-24,113.75
2016-11-25,130.45
2016-11-28,153.8
2016-11-29,142.4
2016-11-30,141.85
2016-12-01,138.9
2016-12-02,135.65
2016-12-05,131.95
2016-12-06,132.95
2016-12-07,138.25
2016-12-08,135.85
2016-12-09,137.45
2016-12-12,133.4
2016-12-13,134.2
2016-12-14,138.0
2016-12-15,132.8
2016-12-16,132.1
2016-12-19,133.25
2016-12-20,129.9
2016-12-21,130.2
2016-12-22,127.0
2016-12-23,127.35
2016-12-26,122.3
2016-12-27,120.4
2016-12-28,121.95
2016-12-29,125.05
2016-12-30,126.25
