Date,EXCEL
2016-01-01,35.25
2016-01-04,37.2
2016-01-05,38.1
2016-01-06,36.15
2016-01-07,35.35
2016-01-08,35.1
2016-01-11,37.35
2016-01-12,36.5
2016-01-13,34.3
2016-01-14,34.05
2016-01-15,33.35
2016-01-18,28.9
2016-01-19,28.85
2016-01-20,25.2
2016-01-21,24.35
2016-01-22,27.9
2016-01-25,33.45
2016-01-27,34.1
2016-01-28,33.65
2016-01-29,32.35
2016-02-01,33.85
2016-02-02,40.05
2016-02-03,37.8
2016-02-04,36.35
2016-02-05,38.0
2016-02-08,37.55
2016-02-09,34.9
2016-02-10,33.65
2016-02-11,30.95
2016-02-12,29.15
2016-02-15,30.0
2016-02-16,28.1
2016-02-17,28.0
2016-02-18,28.1
2016-02-19,28.7
2016-02-22,28.45
2016-02-23,27.55
2016-02-24,27.95
2016-02-25,26.15
2016-02-26,26.75
2016-02-29,25.7
2016-03-01,27.6
2016-03-02,29.05
2016-03-03,28.15
2016-03-04,27.9
2016-03-08,27.2
2016-03-09,26.65
2016-03-10,26.95
2016-03-11,27.0
2016-03-14,26.65
2016-03-15,26.65
2016-03-16,26.9
2016-03-17,26.75
2016-03-18,25.75
2016-03-21,25.5
2016-03-22,26.4
2016-03-23,26.2
2016-03-28,25.55
2016-03-29,27.5
2016-03-30,28.4
2016-03-31,26.55
2016-04-01,28.65
2016-04-04,28.5
2016-04-05,30.0
2016-04-06,33.45
2016-04-07,33.15
2016-04-08,32.35
2016-04-11,32.95
2016-04-12,31.55
2016-04-13,37.85
2016-04-18,37.5
2016-04-20,38.05
2016-04-21,36.85
2016-04-22,36.8
2016-04-25,42.85
2016-04-26,41.35
2016-04-27,40.2
2016-04-28,39.05
2016-04-29,39.6
2016-05-02,39.95
2016-05-03,39.3
2016-05-04,39.35
2016-05-05,40.35
2016-05-06,41.55
2016-05-09,43.55
2016-05-10,42.4
2016-05-11,41.1
2016-05-12,42.05
2016-05-13,42.5
2016-05-16,43.15
2016-05-17,43.45
2016-05-18,43.35
2016-05-19,44.15
2016-05-20,43.6
2016-05-23,40.8
2016-05-24,40.95
2016-05-25,41.35
2016-05-26,40.65
2016-05-27,39.35
2016-05-30,38.9
2016-05-31,36.45
2016-06-01,36.0
2016-06-02,37.9
2016-06-03,37.5
2016-06-06,38.15
2016-06-07,38.1
2016-06-08,38.15
2016-06-09,36.9
2016-06-10,39.3
2016-06-13,39.0
2016-06-14,38.95
2016-06-15,40.05
2016-06-16,38.2
2016-06-17,38.0
2016-06-20,38.55
2016-06-21,39.35
2016-06-22,38.9
2016-06-23,38.2
2016-06-24,38.9
2016-06-27,38.85
2016-06-28,38.5
2016-06-29,38.9
2016-06-30,42.65
2016-07-01,41.95
2016-07-04,41.7
2016-07-05,41.85
2016-07-07,43.1
2016-07-08,47.95
2016-07-11,44.4
2016-07-12,40.1
2016-07-13,48.1
2016-07-14,46.65
2016-07-15,45.35
2016-07-18,47.7
2016-07-19,47.0
2016-07-20,46.2
2016-07-21,44.65
2016-07-22,41.35
2016-07-25,41.2
2016-07-26,38.75
2016-07-27,38.55
2016-07-28,39.1
2016-07-29,38.95
2016-08-01,38.8
2016-08-02,36.85
2016-08-03,35.65
2016-08-04,36.45
2016-08-05,39.5
2016-08-08,39.5
2016-08-09,37.45
2016-08-10,37.0
2016-08-11,37.1
2016-08-12,37.4
2016-08-16,37.65
2016-08-17,35.5
2016-08-18,36.05
2016-08-19,36.15
2016-08-22,35.6
2016-08-23,35.2
2016-08-24,35.8
2016-08-25,35.0
2016-08-26,34.8
2016-08-29,34.8
2016-08-30,35.05
2016-08-31,36.75
2016-09-01,36.05
2016-09-02,34.65
2016-09-06,34.75
2016-09-07,34.6
2016-09-08,34.2
2016-09-09,34.2
2016-09-12,33.5
2016-09-14,32.3
2016-09-15,31.1
2016-09-16,32.05
2016-09-19,31.55
2016-09-20,31.85
2016-09-21,32.0
2016-09-22,31.6
2016-09-23,31.1
2016-09-26,30.35
2016-09-27,34.0
2016-09-28,32.55
2016-09-29,32.8
2016-09-30,33.65
2016-10-03,38.0
2016-10-04,39.35
2016-10-05,44.7
2016-10-06,44.45
2016-10-07,45.95
2016-10-10,46.8
2016-10-13,45.65
2016-10-14,45.45
2016-10-17,45.2
2016-10-18,46.05
2016-10-19,45.15
2016-10-20,51.0
2016-10-21,51.75
2016-10-24,51.05
2016-10-25,51.85
2016-10-26,50.55
2016-10-27,50.65
2016-10-28,49.9
2016-10-30,49.75
2016-11-01,53.35
2016-11-02,51.35
2016-11-03,50.25
2016-11-04,46.25
2016-11-07,46.55
2016-11-08,48.1
2016-11-09,41.5
2016-11-10,44.7
2016-11-11,40.9
2016-11-15,35.15
2016-11-16,34.55
2016-11-17,33.5
2016-11-18,33.2
2016-11-21,32.0
2016-11-22,31.5
2016-11-23,36.05
2016-11-24,36.85
2016-11-25,37.75
2016-11-28,38.6
2016-11-29,40.1
2016-11-30,40.4
2016-12-01,39.75
2016-12-02,38.9
2016-12-05,39.15
2016-12-06,38.9
2016-12-07,38.75
2016-12-08,39.55
2016-12-09,39.25
2016-12-12,37.55
2016-12-13,37.0
2016-12-14,36.8
2016-12-15,36.4
2016-12-16,36.9
2016-12-19,35.3
2016-12-20,36.3
2016-12-21,35.4
2016-12-22,35.25
2016-12-23,35.0
2016-12-26,35.2
2016-12-27,35.3
2016-12-28,36.15
2016-12-29,35.05
2016-12-30,35.85
