Date,RAJSREESUG
2016-01-01,32.45
2016-01-04,34.3
2016-01-05,34.1
2016-01-06,34.5
2016-01-07,32.7
2016-01-08,36.55
2016-01-11,37.0
2016-01-12,34.75
2016-01-13,35.5
2016-01-14,33.9
2016-01-15,30.85
2016-01-18,28.2
2016-01-19,28.95
2016-01-20,28.4
2016-01-21,26.95
2016-01-22,28.4
2016-01-25,28.4
2016-01-27,28.6
2016-01-28,28.65
2016-01-29,28.4
2016-02-01,29.95
2016-02-02,29.55
2016-02-03,29.05
2016-02-04,28.2
2016-02-05,28.35
2016-02-08,28.9
2016-02-09,27.35
2016-02-10,25.0
2016-02-11,22.15
2016-02-12,21.1
2016-02-15,23.85
2016-02-16,23.35
2016-02-17,22.35
2016-02-18,23.25
2016-02-19,23.4
2016-02-22,22.95
2016-02-23,22.15
2016-02-24,23.45
2016-02-25,23.3
2016-02-26,23.5
2016-02-29,23.5
2016-03-01,24.65
2016-03-02,25.2
2016-03-03,25.65
2016-03-04,29.75
2016-03-08,33.0
2016-03-09,35.3
2016-03-10,33.05
2016-03-11,31.2
2016-03-14,33.65
2016-03-15,37.0
2016-03-16,37.5
2016-03-17,35.15
2016-03-18,38.65
2016-03-21,41.0
2016-03-22,40.1
2016-03-23,39.05
2016-03-28,35.95
2016-03-29,35.95
2016-03-30,39.5
2016-03-31,38.65
2016-04-01,43.45
2016-04-04,48.15
2016-04-05,48.55
2016-04-06,49.55
2016-04-07,49.05
2016-04-08,52.85
2016-04-11,53.85
2016-04-12,50.5
2016-04-13,47.9
2016-04-18,53.25
2016-04-20,48.9
2016-04-21,49.0
2016-04-22,48.65
2016-04-25,46.9
2016-04-26,47.15
2016-04-27,45.45
2016-04-28,42.6
2016-04-29,46.15
2016-05-02,50.1
2016-05-03,50.55
2016-05-04,49.65
2016-05-05,51.55
2016-05-06,52.6
2016-05-09,53.1
2016-05-10,52.2
2016-05-11,53.1
2016-05-12,53.65
2016-05-13,51.6
2016-05-16,50.55
2016-05-17,48.75
2016-05-18,48.85
2016-05-19,47.15
2016-05-20,45.85
2016-05-23,46.8
2016-05-24,45.65
2016-05-25,46.9
2016-05-26,48.75
2016-05-27,48.5
2016-05-30,49.05
2016-05-31,47.85
2016-06-01,47.25
2016-06-02,47.95
2016-06-03,50.55
2016-06-06,53.75
2016-06-07,54.8
2016-06-08,54.05
2016-06-09,53.55
2016-06-10,58.25
2016-06-13,61.35
2016-06-14,62.15
2016-06-15,74.55
2016-06-16,88.75
2016-06-17,79.9
2016-06-20,76.6
2016-06-21,74.05
2016-06-22,67.55
2016-06-23,66.2
2016-06-24,63.65
2016-06-27,66.8
2016-06-28,70.1
2016-06-29,73.6
2016-06-30,76.3
2016-07-01,74.85
2016-07-04,76.35
2016-07-05,74.15
2016-07-07,77.85
2016-07-08,78.45
2016-07-11,77.05
2016-07-12,76.75
2016-07-13,74.4
2016-07-14,75.3
2016-07-15,73.05
2016-07-18,71.15
2016-07-19,69.9
2016-07-20,73.35
2016-07-21,74.45
2016-07-22,74.55
2016-07-25,74.95
2016-07-26,73.25
2016-07-27,72.3
2016-07-28,71.9
2016-07-29,74.55
2016-08-01,72.55
2016-08-02,69.2
2016-08-03,66.65
2016-08-04,65.55
2016-08-05,61.55
2016-08-08,62.9
2016-08-09,59.6
2016-08-10,57.75
2016-08-11,54.5
2016-08-12,51.8
2016-08-16,47.15
2016-08-17,45.9
2016-08-18,48.15
2016-08-19,50.55
2016-08-22,49.55
2016-08-23,52.0
2016-08-24,52.25
2016-08-25,51.2
2016-08-26,50.15
2016-08-29,49.0
2016-08-30,47.95
2016-08-31,49.6
2016-09-01,47.25
2016-09-02,48.0
2016-09-06,47.9
2016-09-07,48.35
2016-09-08,48.5
2016-09-09,50.2
2016-09-12,48.75
2016-09-14,49.2
2016-09-15,50.65
2016-09-16,51.7
2016-09-19,56.85
2016-09-20,58.5
2016-09-21,57.4
2016-09-22,58.2
2016-09-23,58.5
2016-09-26,58.55
2016-09-27,57.9
2016-09-28,57.8
2016-09-29,52.75
2016-09-30,55.2
2016-10-03,57.65
2016-10-04,57.35
2016-10-05,60.45
2016-10-06,58.8
2016-10-07,61.6
2016-10-10,60.25
2016-10-13,60.15
2016-10-14,59.1
2016-10-17,58.9
2016-10-18,60.35
2016-10-19,59.9
2016-10-20,59.95
2016-10-21,61.6
2016-10-24,61.35
2016-10-25,60.2
2016-10-26,60.15
2016-10-27,60.5
2016-10-28,60.25
2016-10-30,63.55
2016-11-01,62.15
2016-11-02,61.75
2016-11-03,62.8
2016-11-04,61.65
2016-11-07,64.2
2016-11-08,60.5
2016-11-09,56.7
2016-11-10,59.85
2016-11-11,55.3
2016-11-15,53.7
2016-11-16,53.25
2016-11-17,50.3
2016-11-18,56.0
2016-11-21,53.6
2016-11-22,53.9
2016-11-23,56.1
2016-11-24,56.0
2016-11-25,57.25
2016-11-28,59.0
2016-11-29,58.95
2016-11-30,57.65
2016-12-01,56.3
2016-12-02,56.7
2016-12-05,55.6
2016-12-06,56.5
2016-12-07,55.7
2016-12-08,55.7
2016-12-09,55.65
2016-12-12,54.55
2016-12-13,55.05
2016-12-14,53.95
2016-12-15,53.1
2016-12-16,52.9
2016-12-19,52.8
2016-12-20,50.8
2016-12-21,50.65
2016-12-22,49.35
2016-12-23,52.75
2016-12-26,51.0
2016-12-27,51.5
2016-12-28,53.35
2016-12-29,54.7
2016-12-30,57.7
