Date,MENONBE
2016-01-01,75.2
2016-01-04,78.8
2016-01-05,79.65
2016-01-06,75.45
2016-01-07,69.55
2016-01-08,73.8
2016-01-11,73.9
2016-01-12,71.6
2016-01-13,68.3
2016-01-14,66.4
2016-01-15,61.65
2016-01-18,57.15
2016-01-19,56.2
2016-01-20,54.65
2016-01-21,57.3
2016-01-22,60.15
2016-01-25,61.1
2016-01-27,62.95
2016-01-28,62.9
2016-01-29,62.25
2016-02-01,61.05
2016-02-02,61.0
2016-02-03,59.05
2016-02-04,58.6
2016-02-05,58.55
2016-02-08,59.0
2016-02-09,58.7
2016-02-10,57.8
2016-02-11,52.15
2016-02-12,49.95
2016-02-15,53.7
2016-02-16,52.45
2016-02-17,51.1
2016-02-18,50.9
2016-02-19,50.2
2016-02-22,49.85
2016-02-23,50.0
2016-02-24,51.25
2016-02-25,52.5
2016-02-26,50.25
2016-02-29,50.2
2016-03-01,51.95
2016-03-02,53.75
2016-03-03,54.85
2016-03-04,58.2
2016-03-08,55.75
2016-03-09,55.3
2016-03-10,55.1
2016-03-11,54.8
2016-03-14,55.4
2016-03-15,54.45
2016-03-16,52.65
2016-03-17,54.2
2016-03-18,55.1
2016-03-21,63.4
2016-03-22,61.2
2016-03-23,61.3
2016-03-28,59.15
2016-03-29,57.3
2016-03-30,58.3
2016-03-31,60.25
2016-04-01,61.95
2016-04-04,61.6
2016-04-05,61.45
2016-04-06,62.9
2016-04-07,62.35
2016-04-08,62.3
2016-04-11,62.65
2016-04-12,62.5
2016-04-13,62.95
2016-04-18,63.45
2016-04-20,63.25
2016-04-21,63.55
2016-04-22,63.75
2016-04-25,62.95
2016-04-26,63.3
2016-04-27,62.8
2016-04-28,62.65
2016-04-29,63.35
2016-05-02,62.3
2016-05-03,62.75
2016-05-04,62.35
2016-05-05,61.55
2016-05-06,61.75
2016-05-09,61.95
2016-05-10,64.55
2016-05-11,62.8
2016-05-12,64.3
2016-05-13,63.95
2016-05-16,63.6
2016-05-17,63.25
2016-05-18,62.5
2016-05-19,60.1
2016-05-20,67.8
2016-05-23,63.15
2016-05-24,62.6
2016-05-25,63.0
2016-05-26,62.6
2016-05-27,62.65
2016-05-30,63.1
2016-05-31,62.5
2016-06-01,62.35
2016-06-02,62.4
2016-06-03,61.35
2016-06-06,61.05
2016-06-07,61.45
2016-06-08,62.1
2016-06-09,61.1
2016-06-10,61.15
2016-06-13,60.4
2016-06-14,60.2
2016-06-15,59.25
2016-06-16,60.05
2016-06-17,59.7
2016-06-20,59.4
2016-06-21,59.35
2016-06-22,58.75
2016-06-23,59.75
2016-06-24,58.3
2016-06-27,60.5
2016-06-28,59.05
2016-06-29,60.25
2016-06-30,62.0
2016-07-01,62.3
2016-07-04,64.9
2016-07-05,64.95
2016-07-07,65.9
2016-07-08,66.05
2016-07-11,66.3
2016-07-12,69.3
2016-07-13,69.65
2016-07-14,83.55
2016-07-15,81.8
2016-07-18,78.9
2016-07-19,78.1
2016-07-20,80.0
2016-07-21,79.25
2016-07-22,77.9
2016-07-25,79.8
2016-07-26,77.45
2016-07-27,78.2
2016-07-28,78.25
2016-07-29,78.1
2016-08-01,83.05
2016-08-02,83.55
2016-08-03,80.5
2016-08-04,79.85
2016-08-05,78.65
2016-08-08,80.55
2016-08-09,78.3
2016-08-10,77.15
2016-08-11,76.6
2016-08-12,77.6
2016-08-16,77.9
2016-08-17,79.25
2016-08-18,80.85
2016-08-19,84.1
2016-08-22,83.95
2016-08-23,84.3
2016-08-24,91.1
2016-08-25,104.6
2016-08-26,103.55
2016-08-29,99.35
2016-08-30,85.2
2016-08-31,86.55
2016-09-01,83.8
2016-09-02,82.55
2016-09-06,80.8
2016-09-07,83.75
2016-09-08,83.3
2016-09-09,83.1
2016-09-12,79.65
2016-09-14,78.9
2016-09-15,78.7
2016-09-16,78.75
2016-09-19,77.5
2016-09-20,79.1
2016-09-21,80.3
2016-09-22,80.55
2016-09-23,80.25
2016-09-26,78.6
2016-09-27,77.85
2016-09-28,77.5
2016-09-29,72.7
2016-09-30,74.85
2016-10-03,77.55
2016-10-04,78.55
2016-10-05,78.85
2016-10-06,77.7
2016-10-07,77.45
2016-10-10,77.6
2016-10-13,75.6
2016-10-14,76.0
2016-10-17,79.95
2016-10-18,84.9
2016-10-19,86.2
2016-10-20,85.55
2016-10-21,85.3
2016-10-24,84.15
2016-10-25,82.8
2016-10-26,81.5
2016-10-27,81.75
2016-10-28,79.9
2016-10-30,80.5
2016-11-01,80.6
2016-11-02,78.9
2016-11-03,76.75
2016-11-04,75.35
2016-11-07,76.8
2016-11-08,75.6
2016-11-09,76.95
2016-11-10,77.1
2016-11-11,75.1
2016-11-15,68.55
2016-11-16,68.05
2016-11-17,68.3
2016-11-18,68.8
2016-11-21,63.95
2016-11-22,64.95
2016-11-23,67.65
2016-11-24,68.4
2016-11-25,70.35
2016-11-28,71.45
2016-11-29,71.05
2016-11-30,71.9
2016-12-01,71.25
2016-12-02,69.25
2016-12-05,68.6
2016-12-06,71.85
2016-12-07,70.9
2016-12-08,71.55
2016-12-09,72.6
2016-12-12,73.3
2016-12-13,71.8
2016-12-14,71.6
2016-12-15,71.95
2016-12-16,71.0
2016-12-19,78.3
2016-12-20,74.45
2016-12-21,74.55
2016-12-22,73.65
2016-12-23,72.05
2016-12-26,69.35
2016-12-27,69.6
2016-12-28,69.6
2016-12-29,70.2
2016-12-30,70.05
