Date,HIKAL
2016-01-01,168.65
2016-01-04,161.45
2016-01-05,167.35
2016-01-06,169.9
2016-01-07,162.95
2016-01-08,163.2
2016-01-11,159.0
2016-01-12,154.85
2016-01-13,156.0
2016-01-14,156.75
2016-01-15,151.7
2016-01-18,144.25
2016-01-19,145.85
2016-01-20,144.0
2016-01-21,145.15
2016-01-22,143.95
2016-01-25,144.35
2016-01-27,148.4
2016-01-28,148.7
2016-01-29,154.25
2016-02-01,153.6
2016-02-02,150.25
2016-02-03,147.45
2016-02-04,145.9
2016-02-05,143.65
2016-02-08,142.55
2016-02-09,138.15
2016-02-10,136.35
2016-02-11,135.65
2016-02-12,129.0
2016-02-15,128.7
2016-02-16,128.25
2016-02-17,129.85
2016-02-18,128.1
2016-02-19,129.15
2016-02-22,129.3
2016-02-23,129.3
2016-02-24,128.95
2016-02-25,128.9
2016-02-26,123.95
2016-02-29,124.9
2016-03-01,130.65
2016-03-02,134.3
2016-03-03,135.05
2016-03-04,136.25
2016-03-08,135.75
2016-03-09,137.15
2016-03-10,136.85
2016-03-11,137.45
2016-03-14,134.05
2016-03-15,131.7
2016-03-16,130.5
2016-03-17,128.1
2016-03-18,130.1
2016-03-21,131.35
2016-03-22,130.45
2016-03-23,124.15
2016-03-28,125.65
2016-03-29,122.7
2016-03-30,118.25
2016-03-31,117.35
2016-04-01,120.35
2016-04-04,124.7
2016-04-05,125.55
2016-04-06,135.35
2016-04-07,132.8
2016-04-08,133.55
2016-04-11,132.75
2016-04-12,132.05
2016-04-13,134.95
2016-04-18,142.5
2016-04-20,144.9
2016-04-21,140.6
2016-04-22,143.75
2016-04-25,144.8
2016-04-26,143.3
2016-04-27,143.4
2016-04-28,143.75
2016-04-29,142.2
2016-05-02,146.5
2016-05-03,142.15
2016-05-04,140.3
2016-05-05,140.55
2016-05-06,149.0
2016-05-09,156.65
2016-05-10,153.1
2016-05-11,153.75
2016-05-12,154.85
2016-05-13,162.7
2016-05-16,159.3
2016-05-17,157.55
2016-05-18,158.75
2016-05-19,156.45
2016-05-20,155.65
2016-05-23,149.3
2016-05-24,149.3
2016-05-25,148.3
2016-05-26,149.15
2016-05-27,149.85
2016-05-30,146.2
2016-05-31,145.5
2016-06-01,149.85
2016-06-02,155.85
2016-06-03,152.65
2016-06-06,152.75
2016-06-07,150.05
2016-06-08,152.8
2016-06-09,154.9
2016-06-10,154.25
2016-06-13,151.7
2016-06-14,149.35
2016-06-15,153.55
2016-06-16,152.2
2016-06-17,160.75
2016-06-20,159.7
2016-06-21,157.5
2016-06-22,153.8
2016-06-23,155.35
2016-06-24,154.45
2016-06-27,159.75
2016-06-28,157.0
2016-06-29,159.0
2016-06-30,170.7
2016-07-01,175.25
2016-07-04,176.5
2016-07-05,175.4
2016-07-07,175.0
2016-07-08,174.7
2016-07-11,175.1
2016-07-12,173.6
2016-07-13,172.3
2016-07-14,172.3
2016-07-15,172.5
2016-07-18,169.05
2016-07-19,166.8
2016-07-20,174.1
2016-07-21,170.55
2016-07-22,172.95
2016-07-25,177.05
2016-07-26,182.0
2016-07-27,182.05
2016-07-28,182.1
2016-07-29,184.1
2016-08-01,185.45
2016-08-02,184.0
2016-08-03,180.05
2016-08-04,180.6
2016-08-05,185.35
2016-08-08,194.65
2016-08-09,195.0
2016-08-10,180.95
2016-08-11,178.3
2016-08-12,184.0
2016-08-16,180.05
2016-08-17,177.8
2016-08-18,176.4
2016-08-19,173.5
2016-08-22,168.75
2016-08-23,164.3
2016-08-24,178.9
2016-08-25,178.35
2016-08-26,178.75
2016-08-29,181.25
2016-08-30,181.95
2016-08-31,182.1
2016-09-01,181.95
2016-09-02,180.95
2016-09-06,177.9
2016-09-07,182.25
2016-09-08,181.15
2016-09-09,178.15
2016-09-12,177.2
2016-09-14,178.4
2016-09-15,181.55
2016-09-16,182.75
2016-09-19,191.75
2016-09-20,193.0
2016-09-21,192.9
2016-09-22,202.35
2016-09-23,198.05
2016-09-26,209.1
2016-09-27,208.0
2016-09-28,205.35
2016-09-29,198.9
2016-09-30,218.6
2016-10-03,219.8
2016-10-04,222.25
2016-10-05,223.9
2016-10-06,217.05
2016-10-07,212.85
2016-10-10,212.65
2016-10-13,204.95
2016-10-14,210.25
2016-10-17,209.9
2016-10-18,209.1
2016-10-19,210.55
2016-10-20,205.8
2016-10-21,223.9
2016-10-24,222.5
2016-10-25,220.2
2016-10-26,214.6
2016-10-27,213.6
2016-10-28,217.9
2016-10-30,222.45
2016-11-01,222.0
2016-11-02,220.0
2016-11-03,224.35
2016-11-04,216.9
2016-11-07,220.55
2016-11-08,223.0
2016-11-09,231.05
2016-11-10,224.5
2016-11-11,218.55
2016-11-15,212.6
2016-11-16,212.05
2016-11-17,210.45
2016-11-18,210.55
2016-11-21,206.45
2016-11-22,209.5
2016-11-23,211.05
2016-11-24,213.95
2016-11-25,215.15
2016-11-28,211.8
2016-11-29,227.9
2016-11-30,229.95
2016-12-01,225.9
2016-12-02,220.85
2016-12-05,220.1
2016-12-06,223.35
2016-12-07,220.75
2016-12-08,220.5
2016-12-09,225.1
2016-12-12,223.2
2016-12-13,223.1
2016-12-14,218.8
2016-12-15,217.05
2016-12-16,215.35
2016-12-19,213.65
2016-12-20,211.8
2016-12-21,214.6
2016-12-22,209.9
2016-12-23,210.35
2016-12-26,205.05
2016-12-27,210.0
2016-12-28,208.9
2016-12-29,211.75
2016-12-30,214.45
