Date,HCC
2016-01-01,25.8
2016-01-04,25.45
2016-01-05,26.25
2016-01-06,26.15
2016-01-07,24.75
2016-01-08,25.45
2016-01-11,25.1
2016-01-12,24.6
2016-01-13,23.4
2016-01-14,22.7
2016-01-15,20.9
2016-01-18,19.75
2016-01-19,20.0
2016-01-20,19.0
2016-01-21,19.05
2016-01-22,20.0
2016-01-25,20.35
2016-01-27,20.85
2016-01-28,21.65
2016-01-29,21.85
2016-02-01,22.3
2016-02-02,20.2
2016-02-03,19.9
2016-02-04,19.85
2016-02-05,20.45
2016-02-08,20.35
2016-02-09,19.65
2016-02-10,18.65
2016-02-11,17.95
2016-02-12,17.6
2016-02-15,18.45
2016-02-16,18.0
2016-02-17,17.45
2016-02-18,17.65
2016-02-19,17.4
2016-02-22,17.65
2016-02-23,17.45
2016-02-24,17.3
2016-02-25,17.15
2016-02-26,17.2
2016-02-29,17.65
2016-03-01,18.65
2016-03-02,19.35
2016-03-03,19.35
2016-03-04,19.9
2016-03-08,19.65
2016-03-09,20.0
2016-03-10,19.75
2016-03-11,19.95
2016-03-14,19.7
2016-03-15,19.5
2016-03-16,19.25
2016-03-17,19.2
2016-03-18,19.25
2016-03-21,19.2
2016-03-22,19.15
2016-03-23,19.8
2016-03-28,19.45
2016-03-29,19.25
2016-03-30,19.65
2016-03-31,19.5
2016-04-01,19.75
2016-04-04,19.85
2016-04-05,19.55
2016-04-06,21.15
2016-04-07,20.7
2016-04-08,20.85
2016-04-11,20.8
2016-04-12,20.95
2016-04-13,21.1
2016-04-18,21.5
2016-04-20,21.8
2016-04-21,21.35
2016-04-22,21.45
2016-04-25,21.85
2016-04-26,22.15
2016-04-27,22.45
2016-04-28,22.0
2016-04-29,20.9
2016-05-02,20.45
2016-05-03,20.15
2016-05-04,19.7
2016-05-05,19.6
2016-05-06,19.4
2016-05-09,19.85
2016-05-10,20.1
2016-05-11,19.75
2016-05-12,19.85
2016-05-13,19.1
2016-05-16,19.1
2016-05-17,19.0
2016-05-18,19.2
2016-05-19,18.95
2016-05-20,18.65
2016-05-23,18.5
2016-05-24,18.2
2016-05-25,18.4
2016-05-26,18.7
2016-05-27,18.95
2016-05-30,19.15
2016-05-31,18.65
2016-06-01,18.85
2016-06-02,18.8
2016-06-03,18.6
2016-06-06,18.7
2016-06-07,18.55
2016-06-08,19.95
2016-06-09,19.6
2016-06-10,19.7
2016-06-13,19.5
2016-06-14,20.65
2016-06-15,20.55
2016-06-16,20.3
2016-06-17,20.55
2016-06-20,20.75
2016-06-21,20.4
2016-06-22,19.95
2016-06-23,19.75
2016-06-24,19.05
2016-06-27,19.6
2016-06-28,19.8
2016-06-29,20.3
2016-06-30,20.5
2016-07-01,21.05
2016-07-04,20.9
2016-07-05,23.1
2016-07-07,23.05
2016-07-08,22.55
2016-07-11,23.15
2016-07-12,24.45
2016-07-13,24.05
2016-07-14,24.3
2016-07-15,23.7
2016-07-18,23.05
2016-07-19,22.75
2016-07-20,22.95
2016-07-21,22.6
2016-07-22,23.75
2016-07-25,23.7
2016-07-26,23.55
2016-07-27,23.6
2016-07-28,23.45
2016-07-29,23.35
2016-08-01,22.7
2016-08-02,22.05
2016-08-03,21.65
2016-08-04,22.7
2016-08-05,23.15
2016-08-08,23.4
2016-08-09,23.1
2016-08-10,22.45
2016-08-11,22.35
2016-08-12,22.15
2016-08-16,21.75
2016-08-17,21.65
2016-08-18,22.6
2016-08-19,23.0
2016-08-22,22.75
2016-08-23,22.9
2016-08-24,22.4
2016-08-25,23.3
2016-08-26,23.5
2016-08-29,22.95
2016-08-30,22.95
2016-08-31,27.5
2016-09-01,32.8
2016-09-02,35.55
2016-09-06,34.75
2016-09-07,33.1
2016-09-08,36.4
2016-09-09,37.9
2016-09-12,38.1
2016-09-14,41.15
2016-09-15,39.85
2016-09-16,38.95
2016-09-19,39.0
2016-09-20,39.75
2016-09-21,39.05
2016-09-22,38.6
2016-09-23,37.65
2016-09-26,36.75
2016-09-27,37.0
2016-09-28,37.15
2016-09-29,33.45
2016-09-30,35.0
2016-10-03,36.9
2016-10-04,36.15
2016-10-05,36.3
2016-10-06,35.65
2016-10-07,35.4
2016-10-10,34.95
2016-10-13,33.8
2016-10-14,35.6
2016-10-17,34.7
2016-10-18,38.2
2016-10-19,37.5
2016-10-20,37.9
2016-10-21,37.95
2016-10-24,37.55
2016-10-25,37.65
2016-10-26,37.9
2016-10-27,36.8
2016-10-28,36.3
2016-10-30,36.4
2016-11-01,36.6
2016-11-02,35.95
2016-11-03,35.6
2016-11-04,34.4
2016-11-07,35.85
2016-11-08,35.4
2016-11-09,34.55
2016-11-10,35.6
2016-11-11,34.0
2016-11-15,31.55
2016-11-16,32.25
2016-11-17,31.7
2016-11-18,31.45
2016-11-21,29.95
2016-11-22,31.45
2016-11-23,32.2
2016-11-24,32.1
2016-11-25,33.1
2016-11-28,33.65
2016-11-29,33.85
2016-11-30,34.1
2016-12-01,40.9
2016-12-02,40.55
2016-12-05,39.75
2016-12-06,39.1
2016-12-07,39.45
2016-12-08,39.95
2016-12-09,39.45
2016-12-12,38.45
2016-12-13,39.0
2016-12-14,40.9
2016-12-15,41.15
2016-12-16,40.6
2016-12-19,39.9
2016-12-20,38.9
2016-12-21,38.75
2016-12-22,37.9
2016-12-23,38.15
2016-12-26,36.05
2016-12-27,36.95
2016-12-28,37.45
2016-12-29,37.55
2016-12-30,39.7
