Date,EUROTEXIND
2016-01-01,37.4
2016-01-04,36.95
2016-01-05,36.35
2016-01-06,36.4
2016-01-07,33.85
2016-01-08,34.0
2016-01-11,34.75
2016-01-12,33.45
2016-01-13,32.75
2016-01-14,31.0
2016-01-15,28.55
2016-01-18,28.4
2016-01-19,28.4
2016-01-20,29.0
2016-01-21,26.95
2016-01-22,28.5
2016-01-25,29.95
2016-01-27,29.1
2016-01-28,28.65
2016-01-29,29.15
2016-02-01,28.2
2016-02-02,28.1
2016-02-03,29.0
2016-02-04,28.55
2016-02-05,28.75
2016-02-08,27.55
2016-02-09,27.0
2016-02-10,26.55
2016-02-11,26.7
2016-02-12,26.8
2016-02-16,23.9
2016-02-17,22.0
2016-02-18,23.6
2016-02-22,25.15
2016-02-23,24.8
2016-02-24,23.15
2016-02-25,24.45
2016-02-26,22.3
2016-02-29,22.3
2016-03-01,22.45
2016-03-02,22.65
2016-03-03,22.95
2016-03-04,23.0
2016-03-08,21.95
2016-03-09,23.6
2016-03-11,24.85
2016-03-14,24.75
2016-03-16,23.2
2016-03-17,23.95
2016-03-18,22.65
2016-03-21,21.8
2016-03-22,21.85
2016-03-23,23.1
2016-03-28,23.1
2016-03-29,21.45
2016-03-30,22.4
2016-03-31,23.0
2016-04-01,23.65
2016-04-04,24.0
2016-04-05,23.9
2016-04-06,24.05
2016-04-07,24.5
2016-04-11,23.7
2016-04-12,25.3
2016-04-13,25.85
2016-04-18,24.75
2016-04-20,25.95
2016-04-21,25.9
2016-04-22,23.7
2016-04-25,25.75
2016-04-26,26.65
2016-04-27,26.1
2016-04-28,26.0
2016-04-29,25.2
2016-05-02,25.1
2016-05-03,27.1
2016-05-04,26.9
2016-05-05,26.9
2016-05-06,26.8
2016-05-09,28.9
2016-05-10,27.9
2016-05-11,28.65
2016-05-12,28.4
2016-05-13,27.75
2016-05-16,25.7
2016-05-17,26.15
2016-05-18,25.15
2016-05-19,26.3
2016-05-20,25.45
2016-05-23,24.45
2016-05-24,24.0
2016-05-25,25.4
2016-05-26,25.95
2016-05-27,27.0
2016-05-30,25.1
2016-05-31,23.5
2016-06-02,26.6
2016-06-03,25.0
2016-06-06,23.95
2016-06-07,23.7
2016-06-08,24.1
2016-06-09,24.7
2016-06-10,25.05
2016-06-13,25.0
2016-06-14,24.3
2016-06-15,25.45
2016-06-16,25.5
2016-06-17,26.05
2016-06-20,25.0
2016-06-22,26.05
2016-06-23,27.3
2016-06-24,26.9
2016-06-27,26.7
2016-06-28,27.0
2016-06-29,26.0
2016-06-30,26.0
2016-07-01,26.0
2016-07-04,27.1
2016-07-05,27.0
2016-07-07,26.9
2016-07-08,28.95
2016-07-11,29.0
2016-07-12,29.65
2016-07-13,28.0
2016-07-14,28.65
2016-07-15,26.5
2016-07-18,26.75
2016-07-19,28.45
2016-07-20,26.8
2016-07-21,27.1
2016-07-22,27.2
2016-07-25,27.9
2016-07-26,27.25
2016-07-27,28.3
2016-07-28,27.55
2016-07-29,27.1
2016-08-01,27.7
2016-08-02,25.65
2016-08-03,26.05
2016-08-04,27.0
2016-08-05,26.15
2016-08-08,25.15
2016-08-09,26.2
2016-08-10,25.0
2016-08-11,26.1
2016-08-12,27.05
2016-08-16,26.95
2016-08-17,26.0
2016-08-18,25.75
2016-08-19,25.15
2016-08-22,26.95
2016-08-23,25.6
2016-08-24,26.8
2016-08-25,26.8
2016-08-26,27.75
2016-08-29,26.0
2016-08-30,25.75
2016-08-31,25.25
2016-09-01,25.5
2016-09-02,26.1
2016-09-06,26.65
2016-09-07,26.0
2016-09-08,26.45
2016-09-09,26.3
2016-09-12,26.3
2016-09-14,26.0
2016-09-15,25.5
2016-09-16,26.0
2016-09-19,26.5
2016-09-20,25.9
2016-09-21,26.25
2016-09-22,26.5
2016-09-23,26.3
2016-09-26,25.35
2016-09-27,25.6
2016-09-28,26.0
2016-09-29,25.95
2016-09-30,25.8
2016-10-03,27.4
2016-10-04,26.75
2016-10-05,26.2
2016-10-06,27.55
2016-10-07,27.65
2016-10-10,28.6
2016-10-13,26.75
2016-10-14,27.4
2016-10-17,29.55
2016-10-18,28.8
2016-10-19,27.75
2016-10-20,28.6
2016-10-21,29.55
2016-10-24,30.2
2016-10-25,28.9
2016-10-26,28.2
2016-10-27,29.85
2016-10-28,29.7
2016-11-01,29.15
2016-11-02,29.25
2016-11-03,28.35
2016-11-04,28.7
2016-11-07,29.3
2016-11-08,29.1
2016-11-09,27.0
2016-11-10,28.3
2016-11-11,29.45
2016-11-17,26.9
2016-11-18,28.25
2016-11-21,26.65
2016-11-22,25.8
2016-11-23,27.85
2016-11-24,27.0
2016-11-25,27.25
2016-11-28,28.85
2016-11-29,27.25
2016-11-30,28.5
2016-12-01,28.95
2016-12-02,26.65
2016-12-05,26.3
2016-12-06,28.0
2016-12-07,29.0
2016-12-08,28.0
2016-12-09,33.6
2016-12-12,36.4
2016-12-13,32.55
2016-12-14,31.6
2016-12-15,32.5
2016-12-16,31.05
2016-12-19,30.0
2016-12-20,28.4
2016-12-21,28.9
2016-12-22,29.55
2016-12-23,28.5
2016-12-26,26.45
2016-12-27,26.05
2016-12-28,27.35
2016-12-29,27.85
2016-12-30,28.75
