Date,CEATLTD
2016-01-01,1073.7
2016-01-04,1068.5
2016-01-05,1061.15
2016-01-06,1069.25
2016-01-07,1015.5
2016-01-08,1004.7
2016-01-11,1002.0
2016-01-12,1015.45
2016-01-13,1016.25
2016-01-14,1002.65
2016-01-15,962.6
2016-01-18,915.55
2016-01-19,901.85
2016-01-20,890.1
2016-01-21,895.25
2016-01-22,925.15
2016-01-25,922.3
2016-01-27,916.55
2016-01-28,917.7
2016-01-29,940.55
2016-02-01,924.7
2016-02-02,921.15
2016-02-03,904.3
2016-02-04,891.55
2016-02-05,903.4
2016-02-08,913.5
2016-02-09,907.8
2016-02-10,948.45
2016-02-11,900.7
2016-02-12,898.05
2016-02-15,950.8
2016-02-16,951.35
2016-02-17,954.1
2016-02-18,938.1
2016-02-19,950.95
2016-02-22,968.65
2016-02-23,946.65
2016-02-24,931.2
2016-02-25,947.8
2016-02-26,930.7
2016-02-29,947.8
2016-03-01,989.3
2016-03-02,1048.3
2016-03-03,1086.9
2016-03-04,1098.95
2016-03-08,1098.85
2016-03-09,1084.75
2016-03-10,1063.45
2016-03-11,1056.35
2016-03-14,1079.25
2016-03-15,1086.55
2016-03-16,1077.1
2016-03-17,1085.75
2016-03-18,1117.5
2016-03-21,1129.55
2016-03-22,1097.05
2016-03-23,1074.9
2016-03-28,1053.0
2016-03-29,1042.8
2016-03-30,1062.15
2016-03-31,1086.65
2016-04-01,1067.9
2016-04-04,1056.5
2016-04-05,1047.1
2016-04-06,1076.6
2016-04-07,1088.15
2016-04-08,1083.65
2016-04-11,1073.0
2016-04-12,1124.25
2016-04-13,1123.65
2016-04-18,1149.2
2016-04-20,1135.8
2016-04-21,1125.1
2016-04-22,1104.55
2016-04-25,1149.8
2016-04-26,1146.2
2016-04-27,1121.6
2016-04-28,1173.6
2016-04-29,1098.6
2016-05-02,1094.45
2016-05-03,1099.9
2016-05-04,1055.75
2016-05-05,1052.6
2016-05-06,1044.6
2016-05-09,1033.75
2016-05-10,1015.1
2016-05-11,1011.05
2016-05-12,1023.1
2016-05-13,1013.65
2016-05-16,1010.4
2016-05-17,1004.95
2016-05-18,1004.65
2016-05-19,963.3
