Date,HMVL
2016-01-01,296.7
2016-01-04,294.35
2016-01-05,289.1
2016-01-06,288.6
2016-01-07,291.2
2016-01-08,293.45
2016-01-11,294.4
2016-01-12,294.15
2016-01-13,292.1
2016-01-14,282.55
2016-01-15,282.5
2016-01-18,273.0
2016-01-19,272.0
2016-01-20,267.7
2016-01-21,253.6
2016-01-22,253.75
2016-01-25,270.15
2016-01-27,282.55
2016-01-28,277.85
2016-01-29,278.25
2016-02-01,279.65
2016-02-02,278.15
2016-02-03,273.95
2016-02-04,269.55
2016-02-05,265.35
2016-02-08,265.05
2016-02-09,275.25
2016-02-10,264.95
2016-02-11,259.85
2016-02-12,264.4
2016-02-15,270.05
2016-02-16,273.1
2016-02-17,267.9
2016-02-18,268.75
2016-02-19,269.9
2016-02-22,265.05
2016-02-23,257.6
2016-02-24,259.15
2016-02-25,256.8
2016-02-26,259.8
2016-02-29,259.9
2016-03-01,260.05
2016-03-02,259.25
2016-03-03,259.6
2016-03-04,266.6
2016-03-08,266.5
2016-03-09,262.2
2016-03-10,260.85
2016-03-11,255.2
2016-03-14,251.85
2016-03-15,254.05
2016-03-16,253.15
2016-03-17,246.35
2016-03-18,246.6
2016-03-21,248.0
2016-03-22,247.05
2016-03-23,247.15
2016-03-28,249.2
2016-03-29,247.65
2016-03-30,246.55
2016-03-31,249.85
2016-04-01,247.05
2016-04-04,250.95
2016-04-05,245.2
2016-04-06,249.45
2016-04-07,249.25
2016-04-08,250.2
2016-04-11,249.75
2016-04-12,249.85
2016-04-13,262.1
2016-04-18,269.9
2016-04-20,269.95
2016-04-21,270.1
2016-04-22,269.45
2016-04-25,269.95
2016-04-26,259.7
2016-04-27,257.25
2016-04-28,256.05
2016-04-29,254.7
2016-05-02,259.65
2016-05-03,267.75
2016-05-04,266.85
2016-05-05,263.9
2016-05-06,267.4
2016-05-09,266.85
2016-05-10,267.5
2016-05-11,267.6
2016-05-12,270.05
2016-05-13,277.85
2016-05-16,279.9
2016-05-17,277.85
2016-05-18,279.05
2016-05-19,275.1
2016-05-20,278.1
2016-05-23,278.55
2016-05-24,277.5
2016-05-25,265.9
2016-05-26,268.7
2016-05-27,269.35
2016-05-30,269.1
2016-05-31,263.1
2016-06-01,267.8
2016-06-02,268.65
2016-06-03,270.8
2016-06-06,271.45
2016-06-07,274.75
2016-06-08,277.95
2016-06-09,276.15
2016-06-10,277.45
2016-06-13,272.35
2016-06-14,273.8
2016-06-15,274.95
2016-06-16,274.65
2016-06-17,271.8
2016-06-20,272.15
2016-06-21,273.95
2016-06-22,270.05
2016-06-23,270.0
2016-06-24,271.7
2016-06-27,274.05
2016-06-28,274.55
2016-06-29,272.65
2016-06-30,273.15
2016-07-01,271.95
2016-07-04,272.15
2016-07-05,271.75
2016-07-07,272.1
2016-07-08,273.85
2016-07-11,272.0
2016-07-12,271.6
2016-07-13,271.8
2016-07-14,272.15
2016-07-15,272.05
2016-07-18,275.35
2016-07-19,272.45
2016-07-20,273.05
2016-07-21,273.2
2016-07-22,272.8
2016-07-25,274.25
2016-07-26,273.1
2016-07-27,273.45
2016-07-28,275.85
2016-07-29,274.6
2016-08-01,274.9
2016-08-02,274.35
2016-08-03,273.7
2016-08-04,269.95
2016-08-05,270.25
2016-08-08,273.5
2016-08-09,274.75
2016-08-10,273.9
2016-08-11,273.5
2016-08-12,271.2
2016-08-16,269.6
2016-08-17,268.9
2016-08-18,271.35
2016-08-19,268.25
2016-08-22,267.15
2016-08-23,270.5
2016-08-24,275.25
2016-08-25,276.8
2016-08-26,275.35
2016-08-29,285.8
2016-08-30,285.85
2016-08-31,287.45
2016-09-01,283.0
2016-09-02,279.65
2016-09-06,279.9
2016-09-07,285.4
2016-09-08,287.15
2016-09-09,287.95
2016-09-12,282.05
2016-09-14,279.95
2016-09-15,279.5
2016-09-16,283.8
2016-09-19,285.85
2016-09-20,284.0
2016-09-21,283.15
2016-09-22,284.85
2016-09-23,285.55
2016-09-26,283.0
2016-09-27,284.95
2016-09-28,286.3
2016-09-29,284.5
2016-09-30,286.7
2016-10-03,288.15
2016-10-04,290.1
2016-10-05,293.6
2016-10-06,297.3
2016-10-07,297.55
2016-10-10,291.75
2016-10-13,295.35
2016-10-14,294.4
2016-10-17,295.0
2016-10-18,298.45
2016-10-19,304.55
2016-10-20,301.9
2016-10-21,298.85
2016-10-24,302.95
2016-10-25,302.7
2016-10-26,300.75
2016-10-27,301.9
2016-10-28,302.0
2016-10-30,305.0
2016-11-01,302.85
2016-11-02,299.7
2016-11-03,299.35
2016-11-04,292.4
2016-11-07,294.65
2016-11-08,291.65
2016-11-09,284.25
2016-11-10,294.0
2016-11-11,285.95
2016-11-15,269.9
2016-11-16,275.75
2016-11-17,270.4
2016-11-18,267.05
2016-11-21,269.95
2016-11-22,269.25
2016-11-23,272.4
2016-11-24,266.7
2016-11-25,269.25
2016-11-28,269.3
2016-11-29,271.5
2016-11-30,271.3
2016-12-01,273.5
2016-12-02,271.1
2016-12-05,260.05
2016-12-06,259.9
2016-12-07,259.6
2016-12-08,256.25
2016-12-09,259.7
2016-12-12,262.65
2016-12-13,266.6
2016-12-14,260.2
2016-12-15,265.55
2016-12-16,271.5
2016-12-19,270.2
2016-12-20,270.3
2016-12-21,272.95
2016-12-22,270.9
2016-12-23,267.75
2016-12-26,259.9
2016-12-27,263.75
2016-12-28,261.3
2016-12-29,263.75
2016-12-30,266.65
